name,team,games_played,kicks,handballs,disposals,marks,goals,behinds,tackles,frees_for,frees_against,hitouts,inside_50s,goal_assists,supercoach_score,dreamteam_score,contested_possessions,uncontested_possessions,effective_disposals,disposal_efficiency,clangers,contested_marks,marks_inside_50,clearances,centre_clearances,stoppage_clearances,rebound_50s,one_percenters,bounces,metres_gained,score_involvements,turnovers,intercepts,tackles_inside_50,time_on_ground_pct
Dion Prestia,Richmond,20,211,228,439,63,8,3,56,9,15,NA,60,13,1625,1517,168,280,315,72,68,NA,11,77,29,48,35,25,1,6502,102,74,39,8,79.45
Andrew Gaff,West Coast,23,210,250,460,90,3,4,66,17,18,NA,49,6,1639,1649,128,339,341,74,55,2,9,32,5,27,33,18,4,4939,83,77,66,7,83.7
Brennan Cox,Fremantle,20,210,128,338,151,2,NA,19,4,11,NA,14,1,1757,1398,111,215,291,86,37,36,1,4,NA,4,78,165,NA,4757,40,60,123,1,89.75
Connor MacDonald,Hawthorn,21,209,154,363,84,12,15,54,13,6,NA,54,8,1433,1485,112,258,256,71,34,2,9,17,3,14,14,11,5,5937,105,69,40,19,75.38
Jake Soligo,Adelaide,21,209,138,347,74,10,11,65,11,16,NA,45,9,1535,1419,148,214,248,71,57,3,14,53,19,34,36,23,6,6240,97,70,50,7,76.67
Lachlan Schultz,Fremantle,23,208,157,365,100,33,19,95,25,18,NA,65,17,1820,1806,127,233,252,69,59,9,27,21,3,18,8,29,1,5715,127,76,29,41,82.13
Finn Callaghan,GWS,21,208,228,436,97,3,3,42,4,10,NA,67,13,1507,1534,101,338,333,76,47,2,3,29,8,21,34,13,8,7553,107,83,62,5,80.62
Jeremy Finlayson,Port Adelaide,22,207,72,279,102,38,38,40,13,21,60,47,15,1762,1507,131,154,163,58,54,25,51,34,15,19,12,53,4,5688,140,53,22,14,83.41
Callum Mills,Sydney,20,207,196,403,95,7,5,88,13,8,NA,55,8,1742,1686,141,261,302,75,53,7,6,40,12,28,35,30,1,6040,96,70,71,14,79.2
Aidan Corr,North Melbourne,19,206,81,287,93,1,NA,23,12,17,NA,8,NA,1319,1118,65,182,240,84,38,10,NA,4,NA,4,89,120,8,5481,27,48,87,NA,87.11
Josh Rachele,Adelaide,21,204,117,321,81,23,25,70,22,15,NA,56,14,1553,1509,111,212,221,69,62,4,22,30,14,16,14,18,10,6085,117,74,31,28,76.43
Brayden Fiorini,Gold Coast,17,204,98,302,69,4,8,44,11,10,NA,52,6,1099,1204,90,211,191,63,47,NA,3,34,12,22,34,23,NA,5248,70,62,33,5,71.76
Willem Drew,Port Adelaide,25,203,231,434,62,5,9,166,20,22,1,87,11,2149,1915,217,220,305,70,62,1,5,107,31,76,25,46,2,6150,126,74,61,26,77.16
Sam Powell-Pepper,Port Adelaide,25,202,141,343,64,31,31,78,21,39,NA,59,14,1627,1513,160,176,216,63,87,7,23,38,7,31,10,29,1,5478,131,76,30,34,85.88
Aliir Aliir,Port Adelaide,24,202,81,283,121,NA,NA,37,20,30,NA,18,1,1761,1209,141,145,217,77,69,35,1,3,NA,3,80,171,2,4356,39,60,188,NA,97.96
Shannon Hurn,West Coast,13,202,70,272,70,NA,NA,25,5,7,NA,19,2,1190,1040,46,136,243,89,22,3,NA,4,NA,4,74,29,8,5436,26,35,66,NA,73.92
Oliver Wines,Port Adelaide,25,201,342,543,84,6,5,85,30,24,1,84,11,2014,1879,227,304,390,72,74,2,6,93,37,56,30,29,NA,6265,107,88,75,9,72.8
Eric Hipwood,Brisbane,26,200,57,257,140,41,29,49,22,27,5,56,23,1636,1551,95,167,161,63,71,27,69,1,NA,1,NA,44,2,5701,141,79,21,21,84.08
Will Ashcroft,Brisbane,18,200,198,398,61,8,6,63,19,4,NA,52,10,1521,1492,147,247,289,73,41,1,1,65,17,48,28,12,2,4635,90,60,29,8,75.67
Christian Salem,Melbourne,16,200,106,306,63,NA,NA,61,10,10,NA,41,1,1199,1225,93,197,214,70,44,6,NA,16,1,15,53,17,1,5010,49,61,79,3,83.69
Will Hoskin-Elliott,Collingwood,23,199,87,286,92,10,4,47,8,2,NA,47,7,1328,1301,80,200,197,69,38,5,8,13,1,12,28,46,2,5129,76,64,60,6,73.61
Jack Buckley,GWS,26,198,143,341,114,NA,NA,79,18,15,NA,21,2,2047,1511,152,193,284,83,50,18,1,5,NA,5,69,228,5,5206,49,59,187,NA,93.31
Izak Rankine,Adelaide,20,197,121,318,74,36,27,64,14,28,NA,64,15,1652,1484,156,160,198,62,70,8,33,38,4,34,4,18,15,5519,127,68,27,18,90.4
Ryan Lester,Brisbane,19,197,71,268,119,1,1,38,18,10,NA,25,NA,1422,1237,82,182,231,86,27,13,NA,2,1,1,38,77,NA,3998,47,31,114,NA,87.26
Charlie Cameron,Brisbane,26,196,61,257,88,59,27,76,23,16,NA,55,17,1877,1634,115,146,166,65,49,13,54,19,NA,19,11,30,3,4578,149,49,23,44,82.08
Brent Daniels,GWS,20,196,140,336,54,26,14,66,19,13,NA,72,19,1524,1444,137,194,224,67,60,1,19,38,3,35,6,13,7,5337,126,68,24,30,80.45
Liam Henry,Fremantle,16,196,131,327,79,1,5,42,7,15,NA,37,9,1150,1228,81,250,232,71,46,2,6,18,4,14,19,8,6,4946,58,58,40,4,82.12
Tom Atkins,Geelong,23,195,251,446,33,4,1,175,29,34,NA,54,5,2002,1838,238,207,319,72,78,NA,5,117,49,68,27,31,4,5142,105,68,66,18,73.61
Ben Hobbs,Essendon,18,195,159,354,72,6,4,73,25,33,NA,63,5,1333,1377,135,224,255,72,67,2,6,61,18,43,20,10,3,5336,85,79,29,12,69.33
Brandon Ellis,Gold Coast,16,195,93,288,86,7,8,37,4,7,NA,46,5,1260,1210,86,203,224,78,29,4,5,26,2,24,14,15,4,4841,65,55,48,7,84.94
Jake Lever,Melbourne,24,194,145,339,129,NA,NA,25,13,25,NA,27,NA,1781,1297,133,207,290,86,57,17,NA,4,NA,4,77,132,1,5628,45,63,201,NA,98.5
Jy Simpkin,North Melbourne,18,194,178,372,48,9,4,71,18,26,NA,69,5,1428,1364,158,224,264,71,68,1,5,76,23,53,12,31,9,5373,90,80,30,10,77.56
Kysaiah Pickett,Melbourne,23,193,72,265,58,37,30,93,14,26,NA,55,23,1591,1457,125,138,160,60,73,3,33,28,10,18,5,31,3,4942,135,75,16,46,83.26
Judd McVee,Melbourne,25,192,128,320,69,NA,NA,34,10,7,NA,24,4,1430,1164,114,207,252,79,29,6,1,6,NA,6,60,64,3,4507,52,61,135,1,78.48
Darcy Byrne-Jones,Port Adelaide,23,192,100,292,68,18,17,66,13,10,NA,53,21,1550,1352,113,181,201,69,46,2,18,11,2,9,9,47,4,4686,118,58,43,28,75.13
Nathan Broad,Richmond,19,192,113,305,101,2,NA,45,13,13,NA,20,3,1515,1271,83,211,256,84,41,14,NA,4,NA,4,67,105,9,4969,44,50,115,3,90.42
Oskar Baker,Western Bulldogs,18,191,73,264,86,6,9,22,4,10,NA,63,9,975,1084,53,222,172,65,44,NA,6,14,2,12,20,29,12,6651,70,70,34,4,71.83
Touk Miller,Gold Coast,13,191,133,324,50,4,1,68,12,16,NA,57,8,1269,1250,126,197,234,72,54,1,5,66,26,40,31,11,1,5621,76,52,18,18,82
Lachlan Murphy,Adelaide,22,190,139,329,67,12,8,67,25,16,NA,80,13,1500,1374,142,192,220,67,54,3,9,49,3,46,10,25,10,5647,111,69,25,21,78.18
Harry McKay,Carlton,21,190,57,247,141,29,29,34,32,19,18,51,11,1483,1439,118,135,159,64,52,47,51,6,NA,6,1,40,2,5242,111,59,10,16,86.1
Sebastian Ross,St Kilda,17,190,137,327,42,1,1,61,13,11,NA,68,8,1162,1201,137,195,214,65,47,2,1,63,26,37,23,32,10,5700,54,66,47,6,66.53
Brody Mihocek,Collingwood,24,189,60,249,114,47,26,44,13,25,NA,54,11,1584,1451,107,145,165,66,57,27,52,4,NA,4,1,31,NA,5030,129,56,17,22,90.33
Lincoln McCarthy,Brisbane,24,188,93,281,62,28,11,72,17,22,NA,75,15,1464,1354,122,151,167,59,61,9,18,27,9,18,6,30,NA,5088,104,62,32,32,78.42
Jamarra Ugle-Hagan,Western Bulldogs,23,188,73,261,120,35,35,22,19,14,1,58,14,1393,1381,115,155,145,56,59,31,62,NA,NA,NA,NA,20,1,4722,140,69,13,11,83.48
Mitchito Owens,St Kilda,23,187,159,346,83,26,16,87,39,14,49,66,10,1830,1694,194,166,240,69,55,23,15,37,12,25,12,45,9,5620,103,80,47,26,82.57
Mark O'Connor,Geelong,22,186,123,309,96,3,2,68,26,16,NA,38,3,1468,1362,110,202,244,79,45,7,2,29,10,19,45,42,1,4601,62,61,78,4,80.09
Jaeger O'Meara,Fremantle,21,186,225,411,55,7,3,102,21,21,NA,50,4,1688,1584,183,229,312,76,49,1,3,90,39,51,20,20,1,4647,89,51,41,8,73.29
Jayden Laverde,Essendon,19,186,115,301,124,1,NA,37,21,18,NA,20,1,1373,1281,86,211,264,88,36,10,1,6,NA,6,60,74,2,4698,50,43,109,NA,85.21
Hunter Clark,St Kilda,19,185,161,346,54,4,2,68,16,22,NA,50,5,1204,1287,143,202,238,69,64,3,1,52,20,32,16,17,NA,4545,76,59,43,2,58.11
Jack Ross,Richmond,19,185,161,346,100,8,4,35,9,6,NA,53,9,1419,1360,108,240,271,78,40,4,13,32,3,29,45,25,7,6429,74,59,61,4,78.21
Ryan Byrnes,St Kilda,20,184,151,335,68,5,4,42,10,10,NA,46,9,1243,1240,105,238,244,73,49,1,5,22,2,20,37,20,10,5316,67,51,51,7,77.75
Dominic Sheed,West Coast,15,184,182,366,84,5,4,47,14,20,NA,34,6,1265,1344,122,256,255,70,63,NA,1,63,25,38,31,8,1,4037,59,58,31,5,81.07
Jye Caldwell,Essendon,21,183,208,391,71,11,12,89,20,18,NA,67,12,1642,1578,168,225,277,71,51,6,8,70,23,47,24,12,2,5320,109,69,34,12,75.71
Justin McInerney,Sydney,19,183,142,325,87,13,5,42,16,12,NA,45,5,1352,1325,88,234,249,77,39,3,15,20,4,16,25,32,3,4856,96,45,54,4,78.95
Jesse Hogan,GWS,23,182,119,301,141,49,28,40,20,12,20,38,9,1764,1693,154,151,200,66,58,45,70,6,NA,6,2,41,NA,3730,126,58,10,25,86.48
George Hewett,Carlton,22,182,263,445,49,3,1,102,22,15,NA,58,7,1755,1623,209,240,347,78,46,3,6,78,25,53,24,8,2,4359,93,64,55,7,65.59
Brodie Kemp,Carlton,17,182,87,269,113,1,NA,28,5,7,NA,21,2,1206,1161,76,185,205,76,40,22,NA,2,NA,2,51,77,2,4045,34,51,104,NA,91.88
Josh Ward,Hawthorn,16,181,151,332,76,2,3,31,10,8,NA,31,6,1167,1198,85,252,259,78,32,1,2,32,10,22,31,9,1,4518,70,47,32,5,78
Aaron Naughton,Western Bulldogs,23,180,87,267,100,44,33,59,29,20,22,43,22,1728,1538,157,118,171,64,55,41,57,5,NA,5,4,51,1,4699,144,61,19,31,86.43
Sam Flanders,Gold Coast,14,179,160,339,75,5,3,35,11,4,NA,52,8,1238,1254,122,212,242,71,30,2,5,48,17,31,17,10,1,4224,70,56,30,8,71.93
Sam Durham,Essendon,22,178,185,363,107,5,2,47,13,24,NA,40,5,1435,1386,137,237,273,75,64,9,8,24,4,20,27,34,5,5021,85,82,53,8,81.91
Will Hayward,Sydney,23,177,92,269,99,25,19,72,20,11,NA,43,13,1529,1456,115,154,195,72,44,19,23,6,NA,6,11,27,NA,4372,117,50,24,30,83.22
Jack Payne,Brisbane,23,177,48,225,124,NA,NA,20,10,12,NA,15,1,1282,1053,72,154,177,79,47,17,NA,1,NA,1,81,135,NA,4369,34,54,114,NA,91.35
Daniel Butler,St Kilda,24,176,83,259,49,33,13,101,24,24,NA,56,11,1370,1408,94,165,164,63,71,4,16,10,2,8,12,21,7,5097,105,74,30,43,77.17
Samuel Collins,Gold Coast,23,176,104,280,127,NA,NA,37,14,9,NA,17,NA,1679,1252,127,153,219,78,37,17,NA,5,NA,5,58,210,NA,4264,36,52,178,NA,97.09
Tanner Bruhn,Geelong,19,176,134,310,56,8,1,92,13,17,NA,55,6,1307,1343,127,189,207,67,53,NA,2,55,19,36,22,8,9,5118,74,70,35,5,62.58
Lachlan Sholl,Adelaide,16,175,100,275,78,4,5,31,5,11,NA,32,6,1079,1084,79,202,209,76,32,1,5,22,3,19,32,3,3,4624,66,45,55,5,80.62
Luke Davies-Uniacke,North Melbourne,14,175,208,383,52,8,6,63,18,19,NA,69,12,1591,1364,185,213,292,76,47,1,1,93,31,62,28,9,7,5744,77,62,33,7,81.21
Oscar McInerney,Brisbane,25,173,137,310,44,9,7,72,24,25,845,69,3,2350,2068,247,65,153,49,76,22,11,140,37,103,27,82,NA,5006,88,82,29,4,82.64
Travis Boak,Port Adelaide,21,173,162,335,60,7,6,58,13,9,NA,52,6,1363,1289,128,200,239,71,46,3,6,40,14,26,28,13,2,5093,84,61,64,7,70.1
Luke Pedlar,Adelaide,21,173,76,249,72,25,15,55,26,25,NA,52,13,1172,1223,115,146,154,62,66,3,22,29,11,18,4,19,2,4794,100,67,33,20,74.48
Bobby Hill,Collingwood,24,172,75,247,78,33,14,56,13,15,NA,54,15,1477,1304,88,158,174,70,45,4,27,6,1,5,4,24,32,4431,103,50,30,22,74.38
Harry Cunningham,Sydney,24,171,148,319,85,3,2,68,10,15,NA,22,5,1435,1321,91,232,252,79,33,3,3,16,2,14,61,45,6,4133,57,42,85,6,86.25
Beau McCreery,Collingwood,25,170,84,254,67,17,12,96,7,27,NA,69,15,1339,1303,77,163,184,72,53,3,11,10,4,6,6,18,20,5598,97,64,25,26,71.12
Jamie Elliott,Collingwood,24,170,101,271,110,39,28,70,15,11,NA,38,17,1726,1566,106,174,178,66,50,10,59,8,NA,8,2,37,3,3808,140,49,23,40,83.5
Oscar Allen,West Coast,23,170,68,238,113,53,23,37,29,11,4,34,8,1599,1474,99,142,171,72,29,31,52,4,NA,4,9,53,NA,4193,120,36,20,22,89.65
Luke Jackson,Fremantle,23,165,181,346,78,22,19,81,30,18,406,45,7,2251,1948,192,168,251,73,53,28,26,59,19,40,20,55,NA,4579,128,59,64,19,82.57
Darcy Tucker,North Melbourne,18,165,127,292,76,6,2,28,10,14,NA,46,7,1116,1095,82,218,222,76,45,4,5,20,6,14,37,15,10,5340,57,66,41,3,73.11
Kieren Briggs,GWS,17,165,97,262,47,4,6,77,22,21,440,64,7,1788,1567,181,74,158,60,58,12,4,110,42,68,30,60,NA,4477,75,47,44,7,75.59
Brandon Zerk-Thatcher,Essendon,22,164,103,267,120,NA,NA,33,13,18,NA,9,NA,1477,1149,109,159,217,81,44,16,NA,3,NA,3,55,161,1,3490,41,50,146,1,91.09
Jack Higgins,St Kilda,22,163,130,293,82,36,25,43,25,14,NA,32,12,1458,1391,115,182,182,62,45,5,40,7,NA,7,6,18,2,4251,132,71,20,27,79.09
Oliver Hollands,Carlton,19,163,103,266,58,2,4,48,13,9,NA,42,7,1075,1063,77,199,188,71,43,1,5,22,3,19,25,34,1,5036,52,64,41,8,75.26
Harry Morrison,Hawthorn,13,163,78,241,69,2,2,36,5,7,NA,33,4,863,994,64,172,169,70,38,NA,3,12,1,11,30,9,2,3917,48,52,50,4,77.31
Daniel Lloyd,GWS,23,162,135,297,67,12,15,70,7,7,NA,50,13,1433,1310,125,175,206,69,44,4,12,9,NA,9,13,23,4,5198,90,52,39,30,82.35
Jacob Hopper,Richmond,16,162,180,342,55,7,4,64,18,13,NA,67,12,1258,1292,133,210,241,70,58,1,5,68,31,37,24,9,1,4984,74,58,28,9,70.12
Trent Cotchin,Richmond,19,161,150,311,53,7,8,45,10,13,NA,50,7,1173,1143,139,168,207,67,52,4,8,50,16,34,16,16,NA,4250,78,52,34,5,68.47
Matt Cottrell,Carlton,17,160,78,238,72,11,11,34,9,5,NA,43,5,1050,1059,78,160,166,70,31,3,11,11,NA,11,21,20,2,4215,77,42,42,6,89.76
Max Michalanney,Adelaide,22,159,78,237,80,NA,NA,75,15,12,NA,22,2,1235,1152,74,156,195,82,39,8,1,6,NA,6,49,63,NA,3760,40,45,84,NA,82.86
Jimmy Webster,St Kilda,17,159,99,258,94,NA,NA,31,8,11,NA,18,1,1085,1056,70,181,216,84,27,4,NA,5,NA,5,43,48,3,3457,24,38,67,NA,75.76
Cameron Zurhaar,North Melbourne,16,159,99,258,39,20,19,36,20,21,NA,75,15,1109,1032,114,146,163,63,57,9,9,33,14,19,9,16,6,5545,88,68,29,9,82.62
Darcy Fogarty,Adelaide,21,157,80,237,102,34,23,41,11,24,1,41,16,1430,1268,102,139,161,68,50,24,42,8,NA,8,1,24,2,3966,114,46,10,30,84.67
Ethan Hughes,Fremantle,20,157,110,267,85,2,1,35,9,6,NA,35,4,1170,1090,69,199,217,81,29,6,NA,11,1,10,43,53,1,3718,46,49,66,3,78.95
Matthew Kennedy,Carlton,16,157,134,291,58,5,6,48,12,11,NA,49,8,1123,1120,123,165,205,70,35,3,4,50,18,32,19,9,NA,3968,64,46,39,6,64.06
Jack Scrimshaw,Hawthorn,16,157,119,276,85,4,1,26,7,12,NA,16,1,1201,1064,76,189,228,83,33,11,3,5,1,4,45,49,27,3915,46,33,84,1,76.38
Marcus Windhager,St Kilda,19,156,148,304,74,2,5,48,11,7,NA,34,2,1099,1185,83,225,216,71,33,1,4,18,1,17,25,12,3,3944,49,45,43,3,69.05
Jack Bowes,Geelong,17,156,105,261,66,4,6,40,8,14,NA,45,1,1040,1032,104,150,187,72,47,5,7,24,7,17,31,17,4,5093,60,52,66,2,67.35
Todd Marshall,Port Adelaide,21,155,41,196,103,36,16,48,16,12,NA,29,15,1373,1260,78,120,124,63,49,22,61,NA,NA,NA,3,35,1,3584,98,52,18,27,77.95
Mark Blicavs,Geelong,19,154,147,301,65,12,7,88,21,19,202,56,8,1740,1548,176,121,208,69,60,17,14,82,42,40,12,48,NA,4205,88,65,43,11,76.95
Kade Chandler,Melbourne,23,152,122,274,83,24,13,60,11,11,NA,50,18,1452,1324,94,185,201,73,32,4,23,11,1,10,6,16,NA,4071,107,48,23,26,72.48
Nick Larkey,North Melbourne,23,152,64,216,97,71,24,17,29,15,3,25,7,1597,1380,96,124,152,70,39,26,64,2,NA,2,1,48,4,3845,127,40,10,11,96.35
Robbie Fox,Sydney,20,152,151,303,61,2,3,39,11,19,2,18,2,1298,1068,114,189,240,79,52,9,3,8,1,7,56,67,4,4076,47,53,118,NA,80.85
Oleg Markov,Collingwood,23,151,128,279,83,1,2,45,12,6,NA,38,4,1250,1140,82,200,233,84,34,2,2,8,4,4,43,39,17,4952,61,42,79,NA,69.13
Jarrod Witts,Gold Coast,21,151,139,290,51,4,2,55,31,26,824,42,3,2229,1907,180,117,189,65,59,14,3,92,29,63,15,59,NA,3288,90,50,31,5,82.76
Michael Frederick,Fremantle,19,151,76,227,77,26,12,32,11,13,NA,51,14,1148,1104,70,163,166,73,39,4,23,11,2,9,9,15,6,4682,86,50,27,15,80.32
Hayden McLean,Sydney,22,150,121,271,97,21,14,55,15,28,213,42,12,1621,1487,135,137,200,74,58,33,25,28,5,23,14,76,NA,3316,112,54,41,12,79.55
Dougal Howard,St Kilda,18,150,81,231,99,NA,1,15,8,9,NA,7,NA,1213,951,73,152,205,89,32,10,NA,2,NA,2,36,147,NA,2692,28,27,110,NA,94.06
Jason Johannisen,Western Bulldogs,11,150,58,208,54,5,1,16,4,6,NA,23,3,820,809,38,144,161,77,23,2,2,3,NA,3,34,14,6,3757,43,34,46,1,74.73
Bailey Humphrey,Gold Coast,19,148,88,236,32,11,12,49,12,9,NA,57,10,1126,975,129,107,157,67,44,6,9,27,8,19,11,9,1,4550,84,57,40,14,67.63
Mac Andrew,Gold Coast,17,148,39,187,88,NA,NA,24,9,20,NA,18,NA,927,831,66,120,143,76,45,19,NA,6,NA,6,47,70,1,3913,32,43,82,NA,84.53
Curtis Taylor,North Melbourne,16,148,73,221,76,9,7,30,12,10,NA,35,4,931,981,59,168,160,72,37,6,13,10,2,8,15,15,2,3915,55,51,30,11,82.5
Taylor Duryea,Western Bulldogs,20,147,93,240,84,NA,1,40,18,16,NA,24,NA,1025,1010,74,163,192,80,43,6,NA,6,3,3,48,52,4,4349,42,45,80,NA,79.05
Jack Graham,Richmond,20,147,156,303,45,9,7,77,10,16,NA,54,12,1327,1219,104,205,236,78,47,NA,8,27,5,22,18,14,5,4359,85,47,38,21,79.2
Trent McKenzie,Port Adelaide,19,147,28,175,74,NA,NA,21,5,13,NA,18,1,997,769,49,98,147,84,27,16,NA,2,NA,2,52,80,1,4182,18,39,73,NA,82.11
Jake Riccardi,GWS,21,146,52,198,84,35,20,33,8,17,16,37,9,1095,1129,62,132,122,62,51,14,46,6,3,3,3,39,NA,3549,98,49,14,21,72.14
Jaidyn Stephenson,North Melbourne,21,146,80,226,75,26,10,41,7,12,1,47,9,1035,1125,69,160,145,64,40,5,18,9,NA,9,9,13,11,4421,78,54,19,23,78.67
Tom Hawkins,Geelong,20,146,68,214,91,49,26,18,9,17,63,22,18,1569,1260,113,107,133,62,42,29,71,14,NA,14,1,13,1,3843,142,39,8,12,91.75
Ben McKay,North Melbourne,19,146,86,232,113,NA,NA,22,11,16,NA,7,NA,1201,1000,89,143,195,84,36,29,NA,3,NA,3,37,92,3,2222,23,31,134,NA,95
Tyson Stengle,Geelong,19,146,71,217,48,27,9,42,10,16,NA,53,12,1094,1025,84,135,138,64,49,3,17,14,2,12,2,18,7,3885,94,50,14,16,78.89
Xavier Duursma,Port Adelaide,16,146,99,245,67,6,1,44,16,8,NA,29,5,1039,1042,99,146,178,73,48,5,3,25,4,21,23,15,7,3975,41,56,59,5,75.62
Nathan Murphy,Collingwood,24,145,87,232,86,NA,NA,46,28,21,NA,8,1,1394,1016,99,137,184,79,56,14,NA,2,NA,2,60,168,3,3144,36,45,149,NA,87.83
Jake Stringer,Essendon,17,145,83,228,45,21,23,51,10,15,NA,56,10,1100,1054,121,119,132,58,52,7,16,45,33,12,7,17,NA,4576,88,55,15,25,79.41
Luke Breust,Hawthorn,21,144,81,225,77,47,23,44,20,19,NA,37,6,1278,1269,102,131,141,63,54,12,46,12,NA,12,2,15,1,4019,108,52,14,25,78.67
Jeremy Howe,Collingwood,14,144,60,204,84,7,1,26,5,3,NA,11,2,1083,947,44,131,169,83,16,9,8,3,1,2,58,42,2,3951,46,29,51,1,82.93
Jamaine Jones,West Coast,13,142,84,226,47,4,2,27,9,4,NA,36,5,890,866,71,157,169,75,37,NA,2,16,5,11,34,8,7,4182,52,46,51,2,71.62
Edward Curnow,Carlton,17,141,84,225,46,3,6,43,4,11,NA,33,10,866,896,69,156,150,67,32,NA,4,20,3,17,15,8,1,2888,71,45,27,10,65.82
Dane Rampe,Sydney,15,140,93,233,62,NA,NA,33,7,12,NA,17,NA,1110,895,67,157,192,82,28,2,NA,2,NA,2,50,85,1,4112,39,45,94,NA,88.93
Oliver Henry,Geelong,22,139,86,225,82,41,20,35,18,10,NA,35,7,1310,1229,105,126,149,66,43,14,40,7,1,6,4,23,1,3958,110,48,25,15,80.32
Jack Riewoldt,Richmond,21,139,49,188,94,32,28,43,11,16,2,30,6,1220,1154,96,91,106,56,51,33,58,5,NA,5,1,43,NA,3518,103,55,8,24,87.05
Darcy Cameron,Collingwood,19,139,110,249,65,5,6,61,37,24,490,18,4,1753,1567,162,96,168,67,56,26,8,60,17,43,16,42,NA,2464,88,36,51,4,74.16
Cody Weightman,Western Bulldogs,19,139,59,198,54,34,18,52,22,13,NA,38,10,1216,1110,97,102,125,63,38,9,28,10,4,6,6,23,1,3682,105,44,14,23,76.47
Bayley Fritsch,Melbourne,17,139,52,191,71,38,25,27,16,11,NA,43,12,1212,1078,74,120,117,61,29,14,37,NA,NA,NA,1,20,2,4320,100,37,18,10,82.53
Liam Shiels,North Melbourne,16,139,144,283,66,3,3,88,12,17,NA,50,4,1123,1237,103,180,206,73,47,5,3,41,12,29,21,20,NA,3986,63,55,43,9,74.56
Levi Casboult,Gold Coast,20,138,57,195,95,24,11,29,9,26,93,34,10,1093,1108,93,98,121,62,66,30,31,18,6,12,5,43,NA,3357,81,57,15,12,84.45
Brady Hough,West Coast,15,138,88,226,85,NA,NA,19,13,4,NA,13,1,941,922,52,170,194,86,19,5,1,5,1,4,29,24,NA,2343,29,25,61,1,84.8
Lachlan Weller,Gold Coast,9,138,56,194,61,NA,2,15,4,7,NA,23,4,750,754,41,130,151,78,23,1,1,6,NA,6,43,12,4,4594,36,38,38,1,79.78
Jake Kolodjashnij,Geelong,19,136,82,218,89,NA,3,29,6,9,NA,17,2,1110,937,70,140,176,81,24,10,NA,2,NA,2,33,68,3,3151,37,34,91,1,85.05
Willie Rioli,Port Adelaide,19,136,69,205,52,31,17,47,15,17,NA,39,17,1301,1057,91,115,134,65,36,6,18,12,3,9,4,24,1,3630,106,42,31,22,81.32
Jake Kelly,Essendon,17,136,108,244,91,1,NA,28,10,8,NA,22,NA,1041,1001,72,173,199,82,23,3,1,7,NA,7,33,44,NA,3102,48,30,77,1,88.88
Joshua Weddle,Hawthorn,17,135,159,294,87,4,NA,23,5,3,NA,36,2,1137,1096,80,210,231,79,34,7,1,8,2,6,38,42,27,4503,56,52,76,2,83.18
Zac Fisher,Carlton,12,135,115,250,40,4,5,16,7,9,NA,21,2,813,828,66,180,182,73,33,NA,3,19,4,15,25,18,1,3427,50,39,35,3,76.92
Alex Pearce,Fremantle,23,134,96,230,90,NA,NA,49,19,21,NA,8,1,1353,1016,112,118,181,79,41,22,NA,6,NA,6,57,117,NA,2739,19,44,146,NA,93.61
Sam Switkowski,Fremantle,22,134,174,308,58,16,9,89,25,7,NA,63,12,1489,1389,135,187,225,73,37,2,12,45,13,32,8,31,8,4198,109,48,38,22,75.73
Jack Gunston,Brisbane,17,134,36,170,88,22,14,16,8,8,NA,35,5,904,932,61,111,111,65,34,15,26,1,1,NA,9,19,NA,3325,78,39,15,10,75.35
Anthony Scott,Western Bulldogs,22,132,105,237,53,12,6,55,15,4,NA,45,6,1131,1066,93,150,179,76,28,7,10,16,NA,16,9,23,NA,4090,63,42,33,11,74.05
Logan McDonald,Sydney,20,131,63,194,84,32,15,31,13,7,5,36,9,1179,1099,81,109,139,72,27,15,31,3,NA,3,NA,25,NA,2860,97,37,11,13,77.35
Matt Johnson,Fremantle,18,131,125,256,59,4,4,46,10,7,NA,31,4,972,1021,71,183,204,80,34,1,3,33,4,29,19,10,1,3788,55,44,37,7,57.44
Seamus Mitchell,Hawthorn,14,131,102,233,66,NA,1,25,6,7,NA,20,3,872,881,54,170,172,74,36,2,NA,1,NA,1,33,22,14,3658,36,44,61,NA,70.86
Bailey J. Williams,West Coast,23,130,165,295,44,5,3,79,40,37,634,56,2,1769,1764,205,107,192,65,82,16,6,96,39,57,19,47,1,3803,63,66,53,3,81.78
Marlion Pickett,Richmond,21,130,142,272,54,8,4,55,15,24,3,58,10,1209,1054,128,163,193,71,67,5,9,17,7,10,13,39,3,4828,75,69,46,21,77.9
Toby Nankervis,Richmond,15,130,121,251,37,3,4,82,23,23,487,24,2,1565,1534,135,95,161,64,63,4,2,65,20,45,23,65,NA,2634,62,43,43,11,80.27
Jack Darling,West Coast,20,129,75,204,80,26,19,51,17,13,33,32,8,1226,1167,94,110,132,65,30,23,30,12,1,11,1,32,1,3546,88,38,12,31,92.55
Sam De Koning,Geelong,19,129,105,234,86,NA,NA,11,10,10,32,18,2,1168,911,94,142,182,78,28,12,NA,8,1,7,43,91,1,3433,33,35,96,1,88.79
Tylar Young,Richmond,19,129,48,177,55,NA,NA,23,9,16,NA,16,NA,986,701,76,90,121,68,47,13,NA,2,NA,2,69,148,NA,3980,27,54,99,1,88.53
