name,team,games_played,kicks,handballs,disposals,marks,goals,behinds,tackles,frees_for,frees_against,hitouts,inside_50s,goal_assists,supercoach_score,dreamteam_score,contested_possessions,uncontested_possessions,effective_disposals,disposal_efficiency,clangers,contested_marks,marks_inside_50,clearances,centre_clearances,stoppage_clearances,rebound_50s,one_percenters,bounces,metres_gained,score_involvements,turnovers,intercepts,tackles_inside_50,time_on_ground_pct
Brad Crouch,St Kilda,24,292,359,651,90,8,6,142,25,22,NA,79,10,2293,2445,283,362,446,69,106,1,6,131,49,82,33,24,3,6825,107,106,56,18,78.5
Ed Richards,Western Bulldogs,19,292,111,403,107,1,3,36,8,21,NA,34,1,1638,1517,121,249,307,76,65,7,NA,11,1,10,111,59,23,8179,84,76,133,NA,82.63
Harrison Himmelberg,GWS,25,291,165,456,121,12,7,44,15,25,21,50,13,2013,1782,129,277,353,77,65,16,11,27,6,21,115,91,10,9240,96,91,110,3,80.84
Nicholas Martin,Essendon,23,290,216,506,124,17,4,50,18,13,NA,63,22,2028,1959,160,348,370,73,69,5,13,31,6,25,59,39,14,7702,125,87,80,12,89.78
Toby Greene,GWS,24,289,137,426,106,66,35,60,30,28,NA,120,26,2182,2076,184,237,250,59,103,15,46,41,21,20,3,27,1,9030,197,119,32,34,90.29
Andrew McGrath,Essendon,23,289,235,524,120,NA,1,47,11,5,NA,41,4,1998,1882,113,360,424,81,38,3,NA,11,1,10,124,34,67,9509,92,84,131,NA,83.17
Tim Kelly,West Coast,22,288,333,621,75,10,6,104,22,29,NA,108,20,2260,2172,295,325,388,62,117,3,3,129,51,78,42,17,13,9311,132,135,63,10,82.09
James Worpel,Hawthorn,23,286,314,600,52,10,9,92,22,39,NA,118,8,2069,1984,285,333,406,68,97,2,6,149,69,80,25,19,3,8907,127,130,52,23,77.74
Joshua Kelly,GWS,22,286,306,592,64,16,8,97,18,13,NA,102,7,2249,2133,238,355,434,73,79,1,6,89,35,54,34,25,7,9138,115,105,77,11,83.73
Jayden Hunt,West Coast,23,283,147,430,125,7,8,54,8,9,NA,60,7,1757,1765,105,325,327,76,57,2,4,24,6,18,77,38,14,8697,74,86,77,2,89.39
Nick Vlastuin,Richmond,21,283,111,394,144,2,1,53,19,14,NA,20,1,1934,1705,116,225,316,80,50,17,2,9,NA,9,116,84,1,7382,63,75,172,NA,89.76
Harris Andrews,Brisbane,26,281,88,369,203,1,NA,31,25,17,NA,19,2,2304,1732,127,231,320,87,50,41,NA,4,NA,4,89,275,3,5401,72,45,195,NA,97.77
Kane Farrell,Port Adelaide,22,281,79,360,82,2,3,42,9,14,NA,58,4,1665,1397,86,223,289,80,39,3,3,14,NA,14,90,43,28,9561,68,73,97,1,82.27
Charlie Curnow,Carlton,26,280,76,356,180,81,44,27,39,21,3,92,19,2416,2149,179,177,239,67,61,67,73,4,2,2,2,56,1,8920,198,79,15,16,93.73
Dustin Martin,Richmond,20,280,192,472,94,25,22,38,11,14,NA,100,15,1887,1799,195,268,311,66,70,22,30,57,16,41,7,27,9,7450,154,89,39,10,84.8
Angus Brayshaw,Melbourne,24,279,269,548,93,2,5,79,19,12,NA,69,10,2079,1970,201,344,402,73,63,3,2,81,21,60,51,38,3,7192,97,81,100,2,76.83
Jayden Short,Richmond,16,279,77,356,100,7,4,40,10,9,NA,55,6,1578,1480,83,256,284,80,39,4,1,24,3,21,73,12,15,8729,69,75,66,NA,76
Ryan Burton,Port Adelaide,22,278,58,336,80,8,6,46,19,17,NA,47,4,1640,1396,86,179,266,79,48,5,5,9,NA,9,100,60,1,8989,66,63,96,4,78.95
Adam Cerra,Carlton,22,275,285,560,74,9,7,106,43,19,NA,112,13,2347,2088,222,349,422,75,66,3,8,98,39,59,27,36,6,8411,133,88,77,7,74.18
Wil Powell,Gold Coast,18,275,90,365,115,NA,3,42,20,21,NA,39,3,1654,1478,83,215,293,80,52,8,NA,13,NA,13,105,40,5,8162,51,68,118,1,79.72
Matt Rowell,Gold Coast,23,273,214,487,43,7,2,190,41,35,NA,86,12,2353,2116,330,186,326,67,91,NA,2,176,62,114,39,31,4,7198,117,86,65,19,82.87
Ed Langdon,Melbourne,25,272,218,490,93,6,10,54,13,9,NA,78,11,1794,1779,160,327,354,72,74,NA,9,45,5,40,47,26,5,8013,94,105,94,7,91.28
