AgeClass,Name,Sex,Event,Equipment,Age,BirthYearClass,Division,BodyweightKg,WeightClassKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,Lift,Best_lift
13-15,Abdulrahman Juma Aljunabi,M,SBD,Raw,15,14-18,Juniors,79.3,83,227.5,5,157.69,156.18,150.55,32.23,Yes,UAE,NA,UAEPL,Best3BenchKg,87.5
13-15,Abdulrahman Juma Aljunabi,M,SBD,Raw,15,14-18,Juniors,79.3,83,227.5,5,157.69,156.18,150.55,32.23,Yes,UAE,NA,UAEPL,Best3DeadliftKg,70
13-15,Cristopher Rodriguez,M,SBD,Raw,14.5,14-18,MR-T1,49.6,52,202.5,1,203.05,209.01,206.38,36.79,Yes,USA,GA,USAPL,Best3SquatKg,65
13-15,Cristopher Rodriguez,M,SBD,Raw,14.5,14-18,MR-T1,49.6,52,202.5,1,203.05,209.01,206.38,36.79,Yes,USA,GA,USAPL,Best3BenchKg,40
13-15,Cristopher Rodriguez,M,SBD,Raw,14.5,14-18,MR-T1,49.6,52,202.5,1,203.05,209.01,206.38,36.79,Yes,USA,GA,USAPL,Best3DeadliftKg,97.5
13-15,Blake Williamson,M,SBD,Raw,15,14-18,MR-V,72.65,74,377.5,9,276.5,275.16,266.23,55.95,Yes,USA,WI,AMP,Best3SquatKg,142.5
13-15,Blake Williamson,M,SBD,Raw,15,14-18,MR-V,72.65,74,377.5,9,276.5,275.16,266.23,55.95,Yes,USA,WI,AMP,Best3BenchKg,95
13-15,Blake Williamson,M,SBD,Raw,15,14-18,MR-V,72.65,74,377.5,9,276.5,275.16,266.23,55.95,Yes,USA,WI,AMP,Best3DeadliftKg,140
13-15,Caleb Cajas,M,SBD,Raw,13.5,14-18,MR-T1,89.9,93,350,1,226.44,223.56,214.27,46.56,Yes,USA,CA,USAPL,Best3SquatKg,112.5
13-15,Caleb Cajas,M,SBD,Raw,13.5,14-18,MR-T1,89.9,93,350,1,226.44,223.56,214.27,46.56,Yes,USA,CA,USAPL,Best3BenchKg,77.5
13-15,Caleb Cajas,M,SBD,Raw,13.5,14-18,MR-T1,89.9,93,350,1,226.44,223.56,214.27,46.56,Yes,USA,CA,USAPL,Best3DeadliftKg,160
13-15,Ari Manthie,M,SBD,Raw,15,14-18,Juniors 13-15,96.2,100,460,1,288.07,284.54,272.01,59.2,Yes,USA,MT,USPA,Best3SquatKg,147.5
13-15,Ari Manthie,M,SBD,Raw,15,14-18,Juniors 13-15,96.2,100,460,1,288.07,284.54,272.01,59.2,Yes,USA,MT,USPA,Best3BenchKg,120
13-15,Ari Manthie,M,SBD,Raw,15,14-18,Juniors 13-15,96.2,100,460,1,288.07,284.54,272.01,59.2,Yes,USA,MT,USPA,Best3DeadliftKg,192.5
13-15,Payton Kreger,M,SBD,Single-ply,14.5,14-18,M-T1,97.6,100,362.5,1,225.53,222.83,212.94,38.36,Yes,USA,NE,USAPL,Best3SquatKg,100
13-15,Payton Kreger,M,SBD,Single-ply,14.5,14-18,M-T1,97.6,100,362.5,1,225.53,222.83,212.94,38.36,Yes,USA,NE,USAPL,Best3BenchKg,95
13-15,Payton Kreger,M,SBD,Single-ply,14.5,14-18,M-T1,97.6,100,362.5,1,225.53,222.83,212.94,38.36,Yes,USA,NE,USAPL,Best3DeadliftKg,167.5
13-15,Wesley Shafor,M,SBD,Raw,12.5,NA,MR-Y,89,90,232.5,1,151.19,149.28,143.14,31.08,Yes,USA,AZ,USAPL,Best3SquatKg,85
13-15,Wesley Shafor,M,SBD,Raw,12.5,NA,MR-Y,89,90,232.5,1,151.19,149.28,143.14,31.08,Yes,USA,AZ,USAPL,Best3BenchKg,42.5
13-15,Wesley Shafor,M,SBD,Raw,12.5,NA,MR-Y,89,90,232.5,1,151.19,149.28,143.14,31.08,Yes,USA,AZ,USAPL,Best3DeadliftKg,105
13-15,Kendall Powell,M,SBD,Raw,12.5,NA,MR-Y3,84.45,90,307.5,1,205.6,203.19,195.3,42.2,Yes,USA,SC,USAPL,Best3SquatKg,102.5
13-15,Kendall Powell,M,SBD,Raw,12.5,NA,MR-Y3,84.45,90,307.5,1,205.6,203.19,195.3,42.2,Yes,USA,SC,USAPL,Best3BenchKg,65
13-15,Kendall Powell,M,SBD,Raw,12.5,NA,MR-Y3,84.45,90,307.5,1,205.6,203.19,195.3,42.2,Yes,USA,SC,USAPL,Best3DeadliftKg,140
13-15,Kirill Krayushkin,M,SBD,Raw,14.5,14-18,Teen 15-16,51.3,53,205,3,198.9,204.06,201.11,36.57,Yes,NA,NA,FPR,Best3SquatKg,70
13-15,Kirill Krayushkin,M,SBD,Raw,14.5,14-18,Teen 15-16,51.3,53,205,3,198.9,204.06,201.11,36.57,Yes,NA,NA,FPR,Best3BenchKg,52.5
13-15,Kirill Krayushkin,M,SBD,Raw,14.5,14-18,Teen 15-16,51.3,53,205,3,198.9,204.06,201.11,36.57,Yes,NA,NA,FPR,Best3DeadliftKg,82.5
13-15,Jacob Corven,M,SBD,Raw,14.5,14-18,MR-T1,74.3,75,387.5,1,279.68,277.94,268.66,56.77,Yes,USA,OH,USAPL,Best3SquatKg,127.5
