"School","Points","Goal Differential","Goals Scored","Goals Conceded","Wins","Losses","Ties","Record (W-L-T)","Games","PPG","Goal Differential Per Game","Win Percentage"
"Alvernia",17,-2,24,26,4,9,5,"4-9-5",18,0.944444444444444,-0.111111111111111,0.222222222222222
"Concordia-Moorhead",17,-3,18,21,5,9,2,"5-9-2",16,1.0625,-0.1875,0.3125
"Hartwick",17,-3,18,21,4,8,5,"4-8-5",17,1,-0.176470588235294,0.235294117647059
"La Verne",17,-6,14,20,4,8,5,"4-8-5",17,1,-0.352941176470588,0.235294117647059
"Waynesburg",17,-6,22,28,4,7,5,"4-7-5",16,1.0625,-0.375,0.25
"Finlandia",17,-7,10,17,5,6,2,"5-6-2",13,1.30769230769231,-0.538461538461538,0.384615384615385
"Elizabethtown",17,-10,14,24,5,9,2,"5-9-2",16,1.0625,-0.625,0.3125
"Willamette",17,-12,22,34,5,11,2,"5-11-2",18,0.944444444444444,-0.666666666666667,0.277777777777778
"Averett",17,-15,20,35,5,9,2,"5-9-2",16,1.0625,-0.9375,0.3125
"New Jersey City",16,2,32,30,4,8,4,"4-8-4",16,1,0.125,0.25
"St. Joseph's (Bklyn.)",16,-3,33,36,5,9,1,"5-9-1",15,1.06666666666667,-0.2,0.333333333333333
"Smith",16,-4,18,22,4,9,4,"4-9-4",17,0.941176470588235,-0.235294117647059,0.235294117647059
"Wisconsin Lutheran",16,-6,47,53,5,12,1,"5-12-1",18,0.888888888888889,-0.333333333333333,0.277777777777778
"Hamline",16,-9,10,19,4,9,4,"4-9-4",17,0.941176470588235,-0.529411764705882,0.235294117647059
"Mitchell",16,-11,13,24,4,8,4,"4-8-4",16,1,-0.6875,0.25
"Allegheny",16,-12,21,33,4,9,4,"4-9-4",17,0.941176470588235,-0.705882352941177,0.235294117647059
"Northland",16,-14,13,27,4,10,4,"4-10-4",18,0.888888888888889,-0.777777777777778,0.222222222222222
"Penn State-Abington",16,-18,36,54,5,11,1,"5-11-1",17,0.941176470588235,-1.05882352941176,0.294117647058824
"Thomas",16,-22,15,37,4,6,4,"4-6-4",14,1.14285714285714,-1.57142857142857,0.285714285714286
"Nebraska Wesleyan",16,-23,12,35,5,8,1,"5-8-1",14,1.14285714285714,-1.64285714285714,0.357142857142857
"Randolph",15,0,28,28,4,7,3,"4-7-3",14,1.07142857142857,0,0.285714285714286
"Trinity (D.C.)",15,-7,35,42,5,4,0,"5-4-0",9,1.66666666666667,-0.777777777777778,0.555555555555556
"Oglethorpe",15,-8,14,22,4,7,3,"4-7-3",14,1.07142857142857,-0.571428571428571,0.285714285714286
"Cornell",15,-11,15,26,4,9,3,"4-9-3",16,0.9375,-0.6875,0.25
"Ramapo",15,-12,22,34,5,10,0,"5-10-0",15,1,-0.8,0.333333333333333
"Rosemont",15,-15,20,35,4,7,3,"4-7-3",14,1.07142857142857,-1.07142857142857,0.285714285714286
"Crown",15,-23,20,43,4,10,3,"4-10-3",17,0.882352941176471,-1.35294117647059,0.235294117647059
"Wilkes",15,-29,15,44,4,11,3,"4-11-3",18,0.833333333333333,-1.61111111111111,0.222222222222222
"Ripon",15,-30,17,47,4,11,3,"4-11-3",18,0.833333333333333,-1.66666666666667,0.222222222222222
"Lakeland",15,-36,22,58,5,13,0,"5-13-0",18,0.833333333333333,-2,0.277777777777778
"Minnesota-Morris",15,-36,26,62,4,12,3,"4-12-3",19,0.789473684210526,-1.89473684210526,0.210526315789474
"SUNY-Purchase",15,-39,20,59,5,9,0,"5-9-0",14,1.07142857142857,-2.78571428571429,0.357142857142857
"New England College",15,-47,13,60,3,12,6,"3-12-6",21,0.714285714285714,-2.23809523809524,0.142857142857143
"RPI",14,-5,11,16,3,7,5,"3-7-5",15,0.933333333333333,-0.333333333333333,0.2
"Carthage",14,-9,14,23,3,8,5,"3-8-5",16,0.875,-0.5625,0.1875
"Salem",14,-9,23,32,4,9,2,"4-9-2",15,0.933333333333333,-0.6,0.266666666666667
"North Park",14,-10,18,28,4,10,2,"4-10-2",16,0.875,-0.625,0.25
"Sul Ross State",14,-10,18,28,4,7,2,"4-7-2",13,1.07692307692308,-0.769230769230769,0.307692307692308
"Howard Payne",14,-14,17,31,4,9,2,"4-9-2",15,0.933333333333333,-0.933333333333333,0.266666666666667
"Catholic",14,-16,14,30,3,10,5,"3-10-5",18,0.777777777777778,-0.888888888888889,0.166666666666667
"Keuka",14,-16,9,25,3,8,5,"3-8-5",16,0.875,-1,0.1875
"Oneonta State",14,-16,8,24,4,9,2,"4-9-2",15,0.933333333333333,-1.06666666666667,0.266666666666667
"Alma",14,-22,21,43,4,7,2,"4-7-2",13,1.07692307692308,-1.69230769230769,0.307692307692308
"Principia",14,-28,21,49,4,11,2,"4-11-2",17,0.823529411764706,-1.64705882352941,0.235294117647059
"Centenary (N.J.)",14,-40,28,68,4,9,2,"4-9-2",15,0.933333333333333,-2.66666666666667,0.266666666666667
"Colby",13,3,25,22,4,9,1,"4-9-1",14,0.928571428571429,0.214285714285714,0.285714285714286
"Concordia-Chicago",13,-6,17,23,3,8,4,"3-8-4",15,0.866666666666667,-0.4,0.2
"Caltech",13,-13,5,18,3,8,4,"3-8-4",15,0.866666666666667,-0.866666666666667,0.2
"St. Elizabeth",13,-17,31,48,4,9,1,"4-9-1",14,0.928571428571429,-1.21428571428571,0.285714285714286
"Bluffton",13,-18,16,34,4,10,1,"4-10-1",15,0.866666666666667,-1.2,0.266666666666667
"Morrisville State",13,-19,20,39,4,10,1,"4-10-1",15,0.866666666666667,-1.26666666666667,0.266666666666667
"Whitman",13,-22,14,36,4,12,1,"4-12-1",17,0.764705882352941,-1.29411764705882,0.235294117647059
"Albright",13,-23,10,33,3,12,4,"3-12-4",19,0.684210526315789,-1.21052631578947,0.157894736842105
"Occidental",12,-4,7,11,2,6,6,"2-6-6",14,0.857142857142857,-0.285714285714286,0.142857142857143
"Monmouth",12,-9,27,36,3,10,3,"3-10-3",16,0.75,-0.5625,0.1875
"Suffolk",12,-10,14,24,3,9,3,"3-9-3",15,0.8,-0.666666666666667,0.2
"Wittenberg",12,-16,12,28,2,10,6,"2-10-6",18,0.666666666666667,-0.888888888888889,0.111111111111111
"Clarks Summit",12,-17,29,46,3,8,3,"3-8-3",14,0.857142857142857,-1.21428571428571,0.214285714285714
"Mass-Dartmouth",12,-25,15,40,3,12,3,"3-12-3",18,0.666666666666667,-1.38888888888889,0.166666666666667
"Simmons",12,-25,17,42,3,12,3,"3-12-3",18,0.666666666666667,-1.38888888888889,0.166666666666667
"Geneva",12,-26,22,48,3,11,3,"3-11-3",17,0.705882352941177,-1.52941176470588,0.176470588235294
"North Carolina Wesleyan",12,-29,22,51,4,11,0,"4-11-0",15,0.8,-1.93333333333333,0.266666666666667
"Notre Dame (Md.)",12,-34,26,60,4,9,0,"4-9-0",13,0.923076923076923,-2.61538461538462,0.307692307692308
"UC Santa Cruz",11,-1,7,8,3,4,2,"3-4-2",9,1.22222222222222,-0.111111111111111,0.333333333333333
"Fredonia State",11,-9,15,24,2,9,5,"2-9-5",16,0.6875,-0.5625,0.125
"LeTourneau",11,-12,9,21,2,8,5,"2-8-5",15,0.733333333333333,-0.8,0.133333333333333
"William Paterson",11,-13,22,35,2,12,5,"2-12-5",19,0.578947368421053,-0.684210526315789,0.105263157894737
"St. Scholastica",11,-21,14,35,2,11,5,"2-11-5",18,0.611111111111111,-1.16666666666667,0.111111111111111
"Pacific",11,-22,12,34,2,9,5,"2-9-5",16,0.6875,-1.375,0.125
"Immaculata",11,-34,20,54,3,13,2,"3-13-2",18,0.611111111111111,-1.88888888888889,0.166666666666667
"Mount Aloysius",11,-46,16,62,3,14,2,"3-14-2",19,0.578947368421053,-2.42105263157895,0.157894736842105
"Miss. U. for Women",10,6,18,12,3,4,1,"3-4-1",8,1.25,0.75,0.375
"Franklin",10,-16,12,28,3,12,1,"3-12-1",16,0.625,-1,0.1875
"Juniata",10,-22,8,30,2,12,4,"2-12-4",18,0.555555555555556,-1.22222222222222,0.111111111111111
"Dean",10,-27,14,41,2,10,4,"2-10-4",16,0.625,-1.6875,0.125
"Framingham State",10,-32,11,43,3,13,1,"3-13-1",17,0.588235294117647,-1.88235294117647,0.176470588235294
"Norwich",10,-34,14,48,3,13,1,"3-13-1",17,0.588235294117647,-2,0.176470588235294
"Marietta",10,-35,13,48,3,12,1,"3-12-1",16,0.625,-2.1875,0.1875
"Bard",10,-41,8,49,3,13,1,"3-13-1",17,0.588235294117647,-2.41176470588235,0.176470588235294
"Eureka",10,-85,12,97,3,13,1,"3-13-1",17,0.588235294117647,-5,0.176470588235294
"UW-Stout",9,-18,14,32,2,12,3,"2-12-3",17,0.529411764705882,-1.05882352941176,0.117647058823529
"La Roche",9,-19,15,34,2,9,3,"2-9-3",14,0.642857142857143,-1.35714285714286,0.142857142857143
"Eastern Mennonite",9,-21,25,46,2,13,3,"2-13-3",18,0.5,-1.16666666666667,0.111111111111111
"Rockford",9,-24,18,42,3,13,0,"3-13-0",16,0.5625,-1.5,0.1875
"SUNY-Maritime",9,-34,21,55,3,11,0,"3-11-0",14,0.642857142857143,-2.42857142857143,0.214285714285714
"Salem State",9,-37,15,52,3,14,0,"3-14-0",17,0.529411764705882,-2.17647058823529,0.176470588235294
"Muskingum",9,-41,16,57,2,13,3,"2-13-3",18,0.5,-2.27777777777778,0.111111111111111
"Buena Vista",9,-45,8,53,3,12,0,"3-12-0",15,0.6,-3,0.2
