name,team,position,height,height_inches,wingspan,wingspan_inches,wingspan_advantage,games,minutes,avg_dist_of_fg,2pt_rate,3pt_rate,fg_percent,2pt_percent,3pt_percent,ft_percent,e_fg_percent,ts_percent,pts,trb,stl,blk,d_rtg,dws,dbpm
Nikola Jović,MIA,PF,"6'9.5""",81.5,"7'0.25""",84.25,2.75,46,1156,16.1,0.443,0.557,0.456,0.563,0.371,0.828,0.56,0.595,15.4,5.6,1.2,0.4,114,1.3,0.6
Nikola Vučević,CHI,C,"6'10.25""",82.25,"7'4.5""",88.5,6.25,73,2278,12.5,0.691,0.309,0.53,0.587,0.402,0.805,0.592,0.611,21.3,11.6,1,0.8,113,2.6,0.1
Noah Clowney,BKN,PF,"6'10""",82,"7'2""",86,4,46,1042,19.2,0.298,0.702,0.358,0.414,0.333,0.838,0.474,0.516,14.5,6.3,0.8,0.7,117,0.8,-1
Norman Powell,LAC,SG,"6'3""",75,"6'10.75""",82.75,7.75,60,1958,15.3,0.547,0.453,0.484,0.538,0.418,0.804,0.578,0.615,24,3.5,1.3,0.2,113,2.3,-0.2
OG Anunoby,NYK,SF,"6'6.25""",78.25,"7'2.25""",86.25,8,74,2706,13.5,0.552,0.448,0.476,0.561,0.372,0.81,0.559,0.591,17.7,4.8,1.5,0.9,114,2.8,0.1
Obi Toppin,IND,PF,"6'8.75""",80.75,"7'2""",86,5.25,79,1545,14.9,0.497,0.503,0.529,0.695,0.365,0.781,0.621,0.642,19.4,7.4,1.1,0.7,114,1.6,-0.1
Ochai Agbaji,TOR,SG,"6'4.5""",76.5,"6'10.25""",82.25,5.75,64,1739,13.2,0.526,0.474,0.498,0.587,0.399,0.708,0.593,0.601,13.8,5,1.2,0.6,116,1.5,0.2
Olivier-Maxence Prosper,DAL,PF,"6'6.75""",78.75,"7'1""",85,6.25,52,584,10.4,0.707,0.293,0.402,0.472,0.235,0.645,0.437,0.484,12.4,7.8,1.6,0.4,116,0.5,-0.5
Onyeka Okongwu,ATL,C,"6'8.25""",80.25,"7'2""",86,5.75,74,2064,7.9,0.784,0.216,0.567,0.634,0.324,0.759,0.602,0.634,17.2,11.5,1.2,1.2,114,2.3,0.2
Orlando Robinson,TOR,C,"6'10""",82,"7'4""",88,6,44,770,10,0.801,0.199,0.444,0.474,0.327,0.771,0.477,0.519,14.2,10.3,0.8,0.7,115,0.8,-0.4
Oso Ighodaro,PHX,C,"6'9.5""",81.5,"6'11""",83,1.5,61,1045,6.4,0.989,0.011,0.604,0.611,0,0.58,0.604,0.61,8.8,7.6,1,1,119,0.6,0.3
P.J. Washington,DAL,PF,"6'6.5""",78.5,"7'2.5""",86.5,8,57,1835,12.3,0.641,0.359,0.453,0.493,0.381,0.722,0.521,0.556,16.4,8.7,1.2,1.2,114,2.1,0.2
Paolo Banchero,ORL,PF,"6'9""",81,"7'0.5""",84.5,3.5,46,1582,13.8,0.701,0.299,0.452,0.509,0.32,0.727,0.5,0.551,27.1,7.9,0.8,0.6,110,2.4,0.2
Pascal Siakam,IND,PF,"6'8.25""",80.25,"7'3.25""",87.25,7,78,2548,12.4,0.726,0.274,0.519,0.568,0.389,0.734,0.572,0.599,22.3,7.6,1,0.6,115,2.5,-0.5
Pat Connaughton,MIL,SG,"6'4""",76,"6'8""",80,4,41,603,13.7,0.542,0.458,0.469,0.594,0.321,0.774,0.542,0.567,12.9,6.5,0.5,0.7,115,0.6,-0.8
