name,team,position,height,height_inches,wingspan,wingspan_inches,wingspan_advantage,games,minutes,avg_dist_of_fg,2pt_rate,3pt_rate,fg_percent,2pt_percent,3pt_percent,ft_percent,e_fg_percent,ts_percent,pts,trb,stl,blk,d_rtg,dws,dbpm
Jaden Hardy,DAL,SG,"6'3.5""",75.5,"6'9""",81,5.5,57,907,16.2,0.524,0.476,0.435,0.479,0.386,0.698,0.527,0.549,19.7,3.5,1.1,0.2,119,0.5,-1.9
Jaden Ivey,DET,SG,"6'3.5""",75.5,"6'9""",81,5.5,30,898,13.7,0.627,0.373,0.46,0.49,0.409,0.733,0.536,0.569,21.2,5,1.1,0.4,115,0.8,-0.8
Jaden McDaniels,MIN,SF,"6'9""",81,"6'11""",83,2,82,2614,12.8,0.637,0.363,0.477,0.561,0.33,0.813,0.537,0.562,13.8,6.5,1.5,1,110,3.9,1.4
Jae'Sean Tate,HOU,PF,"6'4""",76,"6'8""",80,4,52,588,10.4,0.689,0.311,0.473,0.529,0.348,0.681,0.527,0.557,11.5,7.2,1.6,0.4,111,0.8,1.4
Jaime Jaquez Jr.,MIA,SF,"6'6""",78,"6'9.5""",81.5,3.5,66,1368,9.9,0.742,0.258,0.461,0.513,0.311,0.754,0.501,0.543,15,7.6,1.6,0.4,112,1.8,0.5
Jake LaRavia,SAC,SF,"6'6.75""",78.75,"6'9.5""",81.5,2.75,66,1349,14.6,0.579,0.421,0.475,0.513,0.423,0.678,0.564,0.591,12.2,6.9,1.7,0.6,114,1.5,1.1
Jakob Poeltl,TOR,C,"7'0.25""",84.25,"7'2.75""",86.75,2.5,57,1686,5,0.995,0.005,0.627,0.628,0.333,0.674,0.628,0.641,17.6,11.7,1.4,1.5,110,2.5,1.3
Jalen Brunson,NYK,PG,"6'1""",73,"6'4""",76,3,65,2301,14.2,0.669,0.331,0.488,0.539,0.383,0.821,0.551,0.605,26.4,2.9,0.9,0.1,118,1.4,-1.3
Jalen Green,HOU,SG,"6'4""",76,"6'7.5""",79.5,3.5,82,2697,16.3,0.54,0.46,0.423,0.482,0.354,0.813,0.505,0.544,23,5,0.9,0.4,113,3.2,-0.5
Jalen Johnson,ATL,PF,"6'7.75""",79.75,"7'0.25""",84.25,4.5,36,1284,10.2,0.74,0.26,0.5,0.566,0.312,0.746,0.541,0.569,19.1,10.1,1.6,1,113,1.6,1.4
Jalen Pickett,DEN,PG,"6'2""",74,"6'7.25""",79.25,5.25,49,666,18.8,0.439,0.561,0.428,0.468,0.396,0.75,0.539,0.545,10.8,3.8,1,0.3,119,0.3,-0.7
Jalen Smith,CHI,PF,"6'9.25""",81.25,"7'2.25""",86.25,5,64,962,15.4,0.456,0.544,0.466,0.634,0.324,0.809,0.554,0.586,19.6,13.4,0.6,1.6,112,1.3,-0.6
Jalen Suggs,ORL,PG,"6'3.5""",75.5,"6'5.5""",77.5,2,35,1002,17.7,0.497,0.503,0.41,0.506,0.314,0.882,0.489,0.536,20.4,5.1,1.8,1.2,108,1.8,1.3
Jalen Williams,OKC,SG,"6'4.5""",76.5,"7'2.25""",86.25,9.75,69,2237,13.3,0.709,0.291,0.484,0.533,0.365,0.789,0.537,0.573,24,5.9,1.8,0.7,107,4.1,1.4
Jalen Wilson,BKN,SF,"6'5.5""",77.5,"6'8""",80,2.5,79,2031,16.9,0.416,0.584,0.397,0.481,0.337,0.818,0.495,0.541,13.3,4.8,0.7,0.1,119,1,-1.3
Jamal Murray,DEN,PG,"6'3.5""",75.5,"6'6.5""",78.5,3,67,2418,15.6,0.646,0.354,0.474,0.518,0.393,0.886,0.543,0.584,21.4,3.9,1.4,0.5,118,1.6,-1
Jamal Shead,TOR,PG,"6'0.25""",72.25,"6'3""",75,2.75,75,1467,15.3,0.558,0.442,0.405,0.47,0.323,0.768,0.476,0.499,13.1,2.8,1.4,0.2,117,1.1,-0.9
James Harden,LAC,SG,"6'4""",76,"6'10.75""",82.75,6.75,79,2789,17.3,0.484,0.516,0.41,0.472,0.352,0.874,0.501,0.582,23.3,5.9,1.5,0.7,110,4.3,0.8
Jarace Walker,IND,PF,"6'6.5""",78.5,"7'2.5""",86.5,8,75,1187,16.4,0.486,0.514,0.472,0.543,0.405,0.667,0.576,0.59,14,6.9,1.6,0.8,112,1.5,0.8
Jared McCain,PHI,SG,"6'2""",74,"6'3.5""",75.5,1.5,23,592,16,0.515,0.485,0.46,0.532,0.383,0.875,0.553,0.589,21.4,3.4,0.9,0,123,0.1,-1.6
Jaren Jackson Jr.,MEM,PF,"6'9.75""",81.75,"7'5.25""",89.25,7.5,74,2207,13.1,0.679,0.321,0.488,0.541,0.375,0.781,0.548,0.591,26.8,6.8,1.5,1.8,111,3.2,0.8
Jarred Vanderbilt,LAL,PF,"6'8.5""",80.5,"7'1""",85,4.5,36,581,8.2,0.736,0.264,0.488,0.562,0.281,0.556,0.525,0.537,9.1,11.3,2.2,0.6,110,0.9,1.3
Jarrett Allen,CLE,C,"6'9""",81,"7'5.25""",89.25,8.25,82,2296,3.6,0.992,0.008,0.706,0.712,0,0.718,0.706,0.724,17.3,12.5,1.2,1.1,108,4,1.2
Jaxson Hayes,LAL,C,"6'10.25""",82.25,"7'3.5""",87.5,5.25,56,1093,2.9,0.987,0.013,0.722,0.732,0,0.622,0.722,0.72,12.6,8.9,1,1.7,112,1.4,1.3
Jaylen Brown,BOS,SF,"6'5.25""",77.25,"6'11.75""",83.75,6.5,63,2158,13.4,0.68,0.32,0.463,0.529,0.324,0.764,0.515,0.555,23.3,6.1,1.2,0.3,112,2.9,-0.4
Jaylen Clark,MIN,SG,"6'4""",76,"6'9""",81,5,40,522,13.4,0.575,0.425,0.467,0.493,0.431,0.784,0.558,0.598,11.2,3.7,2.5,0.1,111,0.7,2.7
Jaylen Wells,MEM,SF,"6'6.5""",78.5,"6'7.25""",79.25,0.75,79,2043,17.4,0.42,0.58,0.425,0.525,0.352,0.822,0.527,0.56,14.5,4.7,0.8,0.1,118,1.4,-1
Jaylin Williams,OKC,C,"6'8.75""",80.75,"7'1""",85,4.25,47,784,19.7,0.308,0.692,0.439,0.529,0.399,0.767,0.577,0.594,12.8,12,1,1.3,104,1.7,2.7
Jaylon Tyson,CLE,SG,"6'5.5""",77.5,"6'8""",80,2.5,47,453,12.4,0.611,0.389,0.43,0.484,0.345,0.792,0.497,0.523,13.3,7.6,1,0.2,114,0.5,-0.2
Jayson Tatum,BOS,SF,"6'7.5""",79.5,"6'11""",83,3.5,72,2624,17.1,0.503,0.497,0.452,0.559,0.343,0.814,0.537,0.582,26.5,8.5,1,0.5,110,4.2,0.8
Jerami Grant,POR,PF,"6'6.5""",78.5,"7'2.75""",86.75,8.25,47,1524,16,0.484,0.516,0.373,0.381,0.365,0.849,0.467,0.523,16,3.9,1,1.1,117,1.2,-0.3
Jeremiah Robinson-Earl,NOP,PF,"6'7.75""",79.75,"6'9.75""",81.75,2,66,1239,14,0.527,0.473,0.455,0.557,0.341,0.836,0.536,0.563,12.1,9.2,1.1,0.2,120,0.5,-1.6
Jeremy Sochan,SAS,PF,"6'8.5""",80.5,"6'11.75""",83.75,3.25,54,1364,7.4,0.806,0.194,0.535,0.59,0.308,0.696,0.565,0.589,16.3,9.3,1.2,0.7,117,1.1,-0.4
Jett Howard,ORL,SF,"6'8""",80,"6'9""",81,1,60,701,20.8,0.29,0.71,0.374,0.566,0.296,0.696,0.479,0.491,13.7,3.6,0.7,0.6,114,0.8,-1.2
Jimmy Butler,GSW,SF,"6'6""",78,"6'7.5""",79.5,1.5,55,1746,9,0.826,0.174,0.504,0.546,0.308,0.842,0.531,0.626,19.9,6.1,1.6,0.4,113,2,1
Jock Landale,HOU,C,"6'11""",83,"7'2""",86,3,42,500,9.2,0.829,0.171,0.533,0.556,0.423,0.675,0.569,0.59,14.4,9.9,0.9,0.7,111,0.7,0.4
Joel Embiid,PHI,C,"6'11.75""",83.75,"7'5""",89,5.25,19,574,13.5,0.756,0.244,0.444,0.492,0.299,0.882,0.481,0.58,28.3,9.7,0.9,1.1,116,0.5,-0.3
John Collins,UTA,PF,"6'8.25""",80.25,"6'11.25""",83.25,3,40,1220,11,0.721,0.279,0.527,0.577,0.399,0.848,0.583,0.628,22.4,9.6,1.2,1.2,118,0.8,-0.4
John Konchar,MEM,SF,"6'4.75""",76.75,"6'8""",80,3.25,46,558,18,0.319,0.681,0.451,0.621,0.371,0.875,0.577,0.592,7.2,9.7,1.9,0.9,110,0.9,2.3
Jonas Valančiūnas,SAC,C,"6'11""",83,"7'5""",89,6,81,1524,7.3,0.941,0.059,0.55,0.571,0.216,0.879,0.557,0.602,19.9,14.8,0.9,1.1,114,1.7,-0.1
Jonathan Isaac,ORL,PF,"6'10.5""",82.5,"7'1""",85,2.5,71,1090,14.1,0.534,0.466,0.414,0.549,0.258,0.682,0.474,0.512,12.6,10.4,2,2.6,103,2.5,1.8
Jonathan Kuminga,GSW,SF,"6'7""",79,"6'11.25""",83.25,4.25,47,1144,11.3,0.734,0.266,0.454,0.508,0.305,0.668,0.495,0.535,22.6,6.8,1.2,0.7,112,1.5,-0.1
Jonathan Mogbo,TOR,PF,"6'6.25""",78.25,"7'2""",86,7.75,63,1286,8.6,0.803,0.197,0.438,0.486,0.243,0.732,0.462,0.496,10.9,8.7,1.5,1,113,1.6,1
Jordan Clarkson,UTA,SG,"6'3.25""",75.25,"6'8""",80,4.75,37,962,16.6,0.529,0.471,0.408,0.448,0.362,0.797,0.493,0.54,22.5,4.4,1.2,0.3,122,0.2,-2.1
Jordan Hawkins,NOP,SG,"6'4.25""",76.25,"6'6.75""",78.75,2.5,56,1321,19.3,0.403,0.597,0.372,0.433,0.331,0.816,0.471,0.504,16.5,4.3,0.8,0.6,123,0.1,-3
Jordan Poole,WAS,SG,"6'3.5""",75.5,"6'6.75""",78.75,3.25,68,2001,18.8,0.412,0.588,0.432,0.51,0.378,0.883,0.544,0.591,25,3.7,1.5,0.5,120,0.8,-1.6
Jose Alvarado,NOP,PG,"5'11""",71,"6'1""",73,2,56,1366,17.9,0.407,0.593,0.392,0.439,0.359,0.811,0.498,0.523,15.3,3.6,2,0.4,120,0.5,-0.8
Josh Giddey,CHI,SF,"6'8""",80,"6'7.5""",79.5,-0.5,70,2117,12.3,0.652,0.348,0.465,0.512,0.378,0.781,0.531,0.57,17.4,9.6,1.4,0.8,113,2.5,1.1
Josh Green,CHA,SG,"6'4.5""",76.5,"6'9.75""",81.75,5.25,68,1887,16.8,0.411,0.589,0.428,0.48,0.391,0.681,0.543,0.559,9.7,3.3,1.4,0.3,119,1,0.2
Josh Hart,NYK,SF,"6'3.75""",75.75,"6'8.25""",80.25,4.5,77,2897,11.3,0.673,0.327,0.525,0.618,0.333,0.776,0.579,0.611,13.1,9.2,1.5,0.3,112,3.8,1.8
Josh Okogie,CHA,SF,"6'3""",75,"7'0""",84,9,40,625,13.2,0.566,0.434,0.443,0.517,0.348,0.741,0.519,0.567,16.3,6.5,2.8,1,113,0.7,1.6
Jrue Holiday,BOS,PG,"6'3.25""",75.25,"6'7""",79,3.75,62,1896,16.2,0.466,0.534,0.443,0.547,0.353,0.909,0.538,0.565,13,5,1.3,0.5,113,2.4,1
Julian Champagnie,SAS,SF,"6'7""",79,"6'10""",82,3,82,1932,19.3,0.278,0.722,0.415,0.53,0.371,0.904,0.549,0.577,15.2,5.9,1.1,0.7,118,1.2,-0.9
Julian Phillips,CHI,SF,"6'6.75""",78.75,"6'11.5""",83.5,4.75,79,1123,14.2,0.467,0.533,0.446,0.582,0.327,0.789,0.533,0.571,11.7,5.4,1.2,0.6,117,0.8,-0.4
Julian Strawther,DEN,SF,"6'6""",78,"6'9.25""",81.25,3.25,65,1384,17.2,0.447,0.553,0.432,0.535,0.349,0.822,0.529,0.559,15.3,3.7,1,0.4,119,0.8,-1.4
Julius Randle,MIN,PF,"6'7.75""",79.75,"7'0""",84,4.25,69,2226,12.4,0.666,0.334,0.485,0.555,0.344,0.806,0.542,0.593,20.8,7.9,0.8,0.3,113,2.6,-0.2
Jusuf Nurkić,CHA,C,"6'11.5""",83.5,"7'2""",86,2.5,51,1063,10.9,0.702,0.298,0.477,0.551,0.305,0.664,0.523,0.555,15.3,13.5,1.4,1.2,112,1.5,0.9
KJ Martin,UTA,SF,"6'6""",78,"6'7.25""",79.25,1.25,43,912,9,0.711,0.289,0.552,0.671,0.259,0.787,0.59,0.618,10.8,4.9,0.7,0.9,122,0.2,-0.3
Karl-Anthony Towns,NYK,C,"6'11""",83,"7'3.5""",87.5,4.5,72,2517,10.8,0.722,0.278,0.526,0.567,0.42,0.829,0.584,0.63,25.2,13.2,1,0.7,110,3.8,0.1
Kawhi Leonard,LAC,SF,"6'6""",78,"7'3""",87,9,37,1180,14.4,0.695,0.305,0.498,0.536,0.411,0.81,0.56,0.589,24.3,6.7,1.8,0.5,109,1.9,0.6
Keegan Murray,SAC,PF,"6'8""",80,"6'11""",83,3,76,2610,17.2,0.452,0.548,0.444,0.566,0.343,0.833,0.538,0.553,13,7,0.8,1,117,2.1,-0.8
Kel'el Ware,MIA,C,"6'11.75""",83.75,"7'4.5""",88.5,4.75,64,1422,9.3,0.761,0.239,0.554,0.629,0.315,0.687,0.592,0.603,15.1,12,1,1.8,108,2.5,0.6
Keldon Johnson,SAS,SF,"6'4.75""",76.75,"6'9.25""",81.25,4.5,77,1838,11.3,0.644,0.356,0.482,0.573,0.318,0.773,0.538,0.572,19.2,7.3,1,0.4,119,1,-1.6
Kelly Olynyk,NOP,C,"6'10.75""",82.75,"6'9.75""",81.75,-1,44,891,11.6,0.705,0.295,0.5,0.534,0.418,0.769,0.562,0.609,15.5,8.3,1.3,0.8,116,0.7,0.4
Kelly Oubre Jr.,PHI,SF,"6'5.75""",77.75,"7'2.25""",86.25,8.5,60,2078,11.3,0.673,0.327,0.47,0.555,0.293,0.751,0.518,0.551,15.7,6.4,1.6,0.5,118,1.4,-0.6
Kenrich Williams,OKC,SF,"6'6""",78,"6'7.25""",79.25,1.25,69,1132,15.3,0.517,0.483,0.483,0.574,0.386,0.718,0.576,0.587,13.9,7.7,1.4,0.3,109,1.9,0.9
Kentavious Caldwell-Pope,ORL,SG,"6'4.5""",76.5,"6'8""",80,3.5,77,2279,19.3,0.393,0.607,0.439,0.589,0.342,0.863,0.543,0.574,10.6,2.7,1.6,0.5,112,3.1,1.6
Keon Ellis,SAC,SG,"6'3.5""",75.5,"6'8.5""",80.5,5,80,1948,19.8,0.308,0.692,0.489,0.615,0.433,0.849,0.639,0.664,12.3,3.9,2.2,1.2,114,2.2,2
Keon Johnson,BKN,SG,"6'3.5""",75.5,"6'7.25""",79.25,3.75,79,1925,15.6,0.485,0.515,0.389,0.468,0.314,0.77,0.47,0.499,15.7,5.6,1.5,0.6,115,1.9,-0.1
Kessler Edwards,DAL,SF,"6'7""",79,"6'11.25""",83.25,4.25,40,608,12.5,0.6,0.4,0.496,0.556,0.407,0.923,0.578,0.597,9.9,6.8,1.1,1.2,115,0.6,0.6
Kevin Durant,PHX,PF,"6'9""",81,"7'4.75""",88.75,7.75,62,2265,15.5,0.669,0.331,0.527,0.574,0.43,0.839,0.598,0.642,26.2,5.9,0.8,1.2,119,1.2,-0.7
Kevin Huerter,CHI,SG,"6'6.25""",78.25,"6'7.5""",79.5,1.25,69,1679,18.8,0.353,0.647,0.425,0.587,0.338,0.714,0.535,0.544,14.6,4.4,1.4,0.5,117,1.3,-0.2
Kevon Looney,GSW,C,"6'8""",80,"7'3.5""",87.5,7.5,76,1142,4.6,0.982,0.018,0.514,0.516,0.4,0.566,0.518,0.535,10.8,14.6,1.5,1.2,108,2.1,1.3
Keyonte George,UTA,SG,"6'4""",76,"6'6""",78,2,67,2109,17.6,0.448,0.552,0.391,0.449,0.343,0.818,0.485,0.539,19.2,4.3,0.8,0.2,123,0.1,-2.5
Khris Middleton,WAS,SF,"6'6.75""",78.75,"6'10.75""",82.75,4,37,843,17.1,0.605,0.395,0.475,0.549,0.361,0.857,0.546,0.588,18.8,5.9,1.5,0.3,115,0.8,0.3
Klay Thompson,DAL,SG,"6'5.75""",77.75,"6'9""",81,3.25,72,1965,20.1,0.369,0.631,0.412,0.448,0.391,0.905,0.535,0.552,18.4,4.5,0.9,0.5,119,1.1,-1.6
Kris Dunn,LAC,PG,"6'3""",75,"6'9""",81,6,74,1783,15.7,0.487,0.513,0.439,0.549,0.335,0.682,0.525,0.531,9.6,5.1,2.6,0.5,108,3.2,3.4
Kris Murray,POR,PF,"6'7.75""",79.75,"6'11.75""",83.75,4,69,1040,12.2,0.57,0.43,0.419,0.566,0.225,0.456,0.468,0.472,9.9,6.3,1.2,0.6,116,0.9,0.1
Kristaps Porziņģis,BOS,C,"7'2.5""",86.5,"7'6""",90,3.5,42,1210,16,0.564,0.436,0.483,0.537,0.412,0.809,0.572,0.618,24.3,8.4,0.9,1.9,109,2,1.2
Kyle Anderson,MIA,PF,"6'7.5""",79.5,"7'2.75""",86.75,7.25,61,1002,10.9,0.769,0.231,0.469,0.502,0.357,0.738,0.51,0.538,12.8,7.4,1.4,1.2,111,1.5,2.2
Kyle Filipowski,UTA,PF,"6'10.75""",82.75,"6'10.5""",82.5,-0.25,72,1522,13.2,0.575,0.425,0.502,0.614,0.35,0.65,0.576,0.594,16.3,10.4,1.1,0.5,118,1,-0.3
Kyle Kuzma,MIL,PF,"6'8""",80,"6'7""",79,-1,65,1936,13.5,0.631,0.369,0.436,0.512,0.307,0.634,0.493,0.514,17.9,6.9,0.7,0.4,118,1.3,-2
Kyle Lowry,PHI,PG,"5'11.75""",71.75,"6'2""",74,2.25,35,659,22.5,0.248,0.752,0.35,0.414,0.33,0.818,0.474,0.525,7.5,3.7,1.8,0.6,118,0.4,1.5
Kyrie Irving,DAL,PG,"6'1.75""",73.75,"6'4""",76,2.25,50,1804,14.9,0.62,0.38,0.473,0.517,0.401,0.916,0.549,0.594,24.6,4.8,1.3,0.5,118,1.3,-0.5
Kyshawn George,WAS,SF,"6'7""",79,"6'10.25""",82.25,3.25,68,1802,19.1,0.352,0.648,0.372,0.464,0.322,0.753,0.476,0.503,11.8,5.7,1.4,1,118,1.1,-0.3
LaMelo Ball,CHA,PG,"6'6""",78,"6'8""",80,2,47,1505,17.8,0.474,0.526,0.405,0.478,0.339,0.843,0.494,0.536,28.3,5.5,1.3,0.3,117,1.1,-0.9
Landry Shamet,NYK,SG,"6'4""",76,"6'6.75""",78.75,2.75,50,762,19.3,0.322,0.678,0.461,0.595,0.397,0.667,0.596,0.601,13.5,2.9,1.1,0.1,118,0.5,-0.6
Larry Nance Jr.,ATL,C,"6'7.5""",79.5,"7'1.5""",85.5,6,24,463,15,0.51,0.49,0.516,0.582,0.447,0.692,0.626,0.632,15.8,8,1.6,1,114,0.5,0.7
Lauri Markkanen,UTA,PF,"6'11""",83,"6'11""",83,0,47,1476,17.3,0.43,0.57,0.423,0.525,0.346,0.876,0.521,0.571,21.8,6.8,0.8,0.4,122,0.3,-2.1
