Name,Sex,Age,BodyweightKg,BenchKg,SquatKg,DeadliftKg
Michelle Robbins,F,25,79.34,122.5,182.5,217.5
Sara Shelton,F,25,91.39,75,137.5,140
Lauren Bowen,F,25,80.15,52.5,112.5,115
Kristen Ruiz,F,25,64.4,62.5,117.5,147.5
Sara Shelton,F,25,90.7,75,137.5,147.5
Alexzandria Rattanavong,F,25,56.67,67.5,137.5,170
Katrina Chuah,F,25,61.04,67.5,120,140
Annemia Pretzmann,F,25,71.6,72.5,135,172.5
Olga Pyzhyanova,F,25,75,67.5,100,105
Mariya Ryzhova,F,25,52,52.5,105,110
Svetlana Kochetkova,F,25,66.3,67.5,120,150
Ekaterina Myasnikova,F,25,80.8,85,170,180
Aleksandra Tereshchenko,F,25,49.4,42.5,75,80
Alina Tsiborovskaya,F,25,71.2,65,120,137.5
Mariya Ryzhova,F,25,54.3,50,97.5,120
Galina Abramova,F,25,63.1,72.5,140,190
Olga Pyzhyanova,F,25,75,72.5,110,110
Yana Vorontsova,F,25,56,45,80,80
Mariam Kalachyan,F,25,54.8,45,100,115
Polina Babakova,F,25,49.9,45,92.5,102.5
Nika Velial,F,25,58.4,87.5,107.5,127.5
Yuliya Kukhareva,F,25,56,55,120,135
Kseniya Suslova,F,25,75,60,115,120
Regina Bochko,F,25,50.8,30,57.5,90
Tatyana Chechkina,F,25,47.6,40,70,70
Ekaterina Anoshina,F,25,55.2,40,72.5,95
Leysan Rafikova,F,25,78.3,77.5,120,145
Kseniya Golikova,F,25,49.8,50,72.5,70
Svetlana Kashirina,F,25,60,55,80,120
Ekaterina Kostina,F,25,66,60,110,140
Alina Kufeld,F,25,55.8,62.5,105,110
Anna Mikhalina,F,25,55,40,70,80
Svetlana Kochetkova,F,25,65.6,70,135,150
Renata Bakieva,F,25,55.6,45,80,100
Ekaterina Anoshina,F,25,55.7,40,70,95
Elena Yakovleva,F,25,74.6,52.5,80,112.5
Gulbariyat Kravtsova,F,25,65.7,67.5,130,130
Mariya Savkina,F,25,71.2,75,115,135
Anastasiya Pykhova,F,25,73.2,60,100,160
Aleksandra Nasonova,F,25,53.4,47.5,75,105
Oksana Lugovskaya,F,25,53.3,47.5,70,110
Svetlana Kashirina,F,25,59.2,65,82.5,132.5
Ekaterina Afanaseva,F,25,54.4,32.5,57.5,60
Ekaterina Myasnikova,F,25,74.1,77.5,125,167.5
Elena Korobeynikova,F,25,59.1,55,90,127.5
Lidiya Sedova,F,25,51.7,42.5,72.5,82.5
Kristina Zhalevich,F,25,51,35,57.5,75
Irina Dudyreva,F,25,51.9,65,110,135
Yuliya Banatskaya,F,25,51.2,42.5,60,57.5
Alena Prokaeva,F,25,58.7,35,82.5,95
Ekaterina Galochka,F,25,48,50,65,95
Anna Chubarova,F,25,72,95,155,182.5
Kseniya Almasova,F,25,56,57.5,102.5,110
Regina Bochko,F,25,51.2,30,55,90
Lidiya Sedova,F,25,51.6,40,60,80
Tamara Mischenko,F,25,50.7,37.5,75,82.5
Alina Fadeeva,F,25,67.4,90,120,150
Kristina Kharchenko,F,25,58.1,75,107.5,145
Tatyana Yunaeva,F,25,61.1,45,80,85
Alyona Prokaeva,F,25,58.1,35,65,80
Anastasiya Svateeva,F,25,50.3,42.5,72.5,80
