tourney_name,surface,result,player,rank,hand,height,country,age,best_of,minutes,numAces,numDF,servePoints,first_serve_in,first_serve_won,second_serve_won,serve_games_won,break_points_saved,break_points_faced
United Cup,Hard,Loser,Marie Bouzkova,24,R,180,CZE,24.4,3,80,1,1,57,40,23,7,9,3,7
United Cup,Hard,Winner,Petra Kvitova,16,L,183,CZE,32.8,3,109,3,10,74,46,31,12,9,9,11
United Cup,Hard,Loser,Laura Siegemund,176,R,168,GER,34.8,3,109,0,2,61,43,20,9,9,4,9
United Cup,Hard,Winner,Marie Bouzkova,24,R,180,CZE,24.4,3,109,4,2,65,49,33,9,10,0,1
United Cup,Hard,Loser,Jule Niemeier,65,R,178,GER,23.3,3,109,3,7,66,34,22,13,10,5,9
United Cup,Hard,Winner,Nuria Parrizas Diaz,70,R,167,ESP,31.4,3,85,2,2,60,40,29,11,8,5,5
United Cup,Hard,Winner,Paula Badosa,13,R,180,ESP,25.1,3,184,3,12,119,70,48,21,16,7,12
United Cup,Hard,Loser,Harriet Dart,98,R,175,GBR,26.4,3,184,1,5,110,66,38,16,15,4,11
United Cup,Hard,Loser,Nuria Parrizas Diaz,70,R,167,ESP,31.4,3,125,0,4,84,60,31,11,12,12,18
United Cup,Hard,Winner,Harriet Dart,98,R,175,GBR,26.4,3,92,5,0,54,36,30,10,10,2,3
United Cup,Hard,Winner,Beatriz Haddad Maia,15,L,185,BRA,26.5,3,78,2,3,48,30,22,8,7,3,4
United Cup,Hard,Loser,Martina Trevisan,27,L,160,ITA,29.1,3,78,0,4,49,35,15,3,7,3,9
United Cup,Hard,Winner,Lucia Bronzetti,54,R,NA,ITA,24,3,77,4,2,47,29,20,10,7,1,2
United Cup,Hard,Loser,Laura Pigossi,118,R,164,BRA,28.4,3,77,0,1,44,36,12,3,7,1,7
United Cup,Hard,Winner,Martina Trevisan,27,L,160,ITA,29.1,3,182,5,7,105,73,45,13,15,11,16
United Cup,Hard,Winner,Lucia Bronzetti,54,R,NA,ITA,24,3,108,4,4,75,35,26,19,10,8,11
United Cup,Hard,Winner,Beatriz Haddad Maia,15,L,185,BRA,26.5,3,91,5,1,48,32,24,12,9,0,0
United Cup,Hard,Winner,Laura Pigossi,118,R,164,BRA,28.4,3,110,1,5,71,42,27,13,9,3,6
United Cup,Hard,Winner,Caroline Garcia,4,R,177,FRA,29.2,3,113,7,1,78,46,37,18,11,4,4
United Cup,Hard,Loser,Petra Martic,38,R,181,CRO,31.9,3,113,4,2,67,36,27,19,11,0,1
United Cup,Hard,Winner,Donna Vekic,67,R,179,CRO,26.5,3,114,4,2,71,46,30,13,9,3,4
United Cup,Hard,Loser,Alize Cornet,36,R,173,FRA,32.9,3,114,1,2,80,53,30,12,10,8,12
United Cup,Hard,Winner,Caroline Garcia,4,R,177,FRA,29.2,3,64,3,1,37,20,18,10,7,0,0
United Cup,Hard,Loser,Nadia Podoroska,196,R,170,ARG,25.8,3,64,1,3,54,36,17,6,7,6,11
United Cup,Hard,Winner,Alize Cornet,36,R,173,FRA,32.9,3,75,0,2,53,28,17,18,8,0,1
United Cup,Hard,Winner,Petra Martic,38,R,181,CRO,31.9,3,113,3,5,70,41,32,14,13,2,5
United Cup,Hard,Loser,Nadia Podoroska,196,R,170,ARG,25.8,3,113,0,3,74,46,26,11,12,3,9
United Cup,Hard,Winner,Donna Vekic,67,R,179,CRO,26.5,3,70,0,2,43,27,20,10,8,0,1
Adelaide 1,Hard,Winner,Aryna Sabalenka,5,R,182,BLR,24.6,3,103,12,7,73,31,29,23,11,3,3
Adelaide 1,Hard,Loser,Linda Noskova,102,R,NA,CZE,18.1,3,103,6,8,87,50,37,15,10,5,6
Adelaide 1,Hard,Winner,Linda Noskova,102,R,NA,CZE,18.1,3,110,8,2,97,59,39,21,13,10,12
Adelaide 1,Hard,Loser,Ons Jabeur,2,R,167,TUN,28.3,3,110,4,4,76,38,29,20,12,4,6
Adelaide 1,Hard,Winner,Aryna Sabalenka,5,R,182,BLR,24.6,3,78,6,5,55,31,25,13,9,3,3
Adelaide 1,Hard,Loser,Irina Camelia Begu,34,R,181,ROU,32.3,3,78,1,2,48,27,17,9,8,4,7
Adelaide 1,Hard,Winner,Ons Jabeur,2,R,167,TUN,28.3,3,113,2,3,79,47,33,14,12,3,7
Adelaide 1,Hard,Loser,Marta Kostyuk,69,R,175,UKR,20.5,3,113,2,1,89,53,34,16,12,3,8
Adelaide 1,Hard,Winner,Linda Noskova,102,R,NA,CZE,18.1,3,178,7,5,117,76,52,19,17,7,11
Adelaide 1,Hard,Loser,Victoria Azarenka,26,R,180,BLR,33.4,3,178,15,6,127,90,59,18,17,11,16
Adelaide 1,Hard,Winner,Irina Camelia Begu,34,R,181,ROU,32.3,3,130,2,2,76,51,30,12,11,6,10
Adelaide 1,Hard,Loser,Veronika Kudermetova,9,R,175,RUS,25.6,3,130,1,2,77,45,21,17,11,5,11
Adelaide 1,Hard,Winner,Aryna Sabalenka,5,R,182,BLR,24.6,3,93,6,4,73,44,32,14,11,6,8
Adelaide 1,Hard,Loser,Marketa Vondrousova,92,L,173,CZE,23.5,3,93,5,2,73,51,32,7,10,8,12
Adelaide 1,Hard,Winner,Ons Jabeur,2,R,167,TUN,28.3,3,77,2,3,62,35,31,11,10,0,2
Adelaide 1,Hard,Loser,Sorana Cirstea,45,R,176,ROU,32.7,3,77,0,1,52,35,21,7,9,2,6
Adelaide 1,Hard,Winner,Marta Kostyuk,69,R,175,UKR,20.5,3,141,5,3,110,75,56,17,15,9,10
Adelaide 1,Hard,Loser,Elena Rybakina,21,R,184,KAZ,23.5,3,141,7,3,102,52,40,24,14,5,9
Adelaide 1,Hard,Winner,Linda Noskova,102,R,NA,CZE,18.1,3,74,3,2,56,36,25,12,8,2,2
Adelaide 1,Hard,Loser,Claire Liu,59,R,170,USA,22.6,3,74,3,3,52,30,14,11,8,1,5
Adelaide 1,Hard,Winner,Victoria Azarenka,26,R,180,BLR,33.4,3,99,1,0,54,37,29,9,10,1,2
Adelaide 1,Hard,Loser,Qinwen Zheng,28,R,NA,CHN,20.2,3,99,10,2,74,40,28,13,10,7,11
Adelaide 1,Hard,Winner,Irina Camelia Begu,34,R,181,ROU,32.3,3,73,4,1,33,22,17,9,7,1,2
Adelaide 1,Hard,Loser,Jelena Ostapenko,18,R,177,LAT,25.5,3,73,1,4,72,44,25,5,8,8,14
Adelaide 1,Hard,Winner,Veronika Kudermetova,9,R,175,RUS,25.6,3,79,2,0,45,28,19,9,8,1,3
Adelaide 1,Hard,Loser,Bianca Andreescu,46,R,170,CAN,22.5,3,79,0,2,53,34,12,10,8,9,15
Adelaide 1,Hard,Winner,Marketa Vondrousova,92,L,173,CZE,23.5,3,67,2,4,47,30,25,8,8,1,1
Adelaide 1,Hard,Loser,Kaia Kanepi,32,R,181,EST,37.5,3,67,0,1,52,28,16,9,8,4,8
Adelaide 1,Hard,Winner,Aryna Sabalenka,5,R,182,BLR,24.6,3,135,11,6,96,68,42,17,12,7,10
Adelaide 1,Hard,Loser,Liudmila Samsonova,20,R,180,RUS,24.1,3,135,8,4,86,51,36,16,12,4,7
Adelaide 1,Hard,Winner,Sorana Cirstea,45,R,176,ROU,32.7,3,104,2,0,81,45,33,17,9,6,7
Adelaide 1,Hard,Loser,Viktorija Golubic,76,R,169,SUI,30.2,3,104,0,4,57,41,25,3,9,3,7
Adelaide 1,Hard,Winner,Marta Kostyuk,69,R,175,UKR,20.5,3,125,3,8,68,38,25,15,13,0,4
Adelaide 1,Hard,Winner,Elena Rybakina,21,R,184,KAZ,23.5,3,141,14,6,86,49,42,18,15,2,4
Adelaide 1,Hard,Loser,Danielle Collins,14,R,178,USA,29,3,141,5,10,106,60,39,22,14,13,17
Adelaide 1,Hard,Winner,Linda Noskova,102,R,NA,CZE,18.1,3,153,3,4,117,79,48,17,16,8,14
Adelaide 1,Hard,Loser,Daria Kasatkina,8,R,170,RUS,25.6,3,153,3,0,102,72,38,12,14,7,15
Adelaide 1,Hard,Winner,Claire Liu,59,R,170,USA,22.6,3,130,5,1,82,53,39,16,14,3,5
Adelaide 1,Hard,Winner,Victoria Azarenka,26,R,180,BLR,33.4,3,158,1,5,90,60,35,16,12,4,8
Adelaide 1,Hard,Loser,Anhelina Kalinina,39,R,179,UKR,25.9,3,158,1,3,99,64,42,13,12,3,7
Adelaide 1,Hard,Winner,Qinwen Zheng,28,R,NA,CHN,20.2,3,147,6,1,106,64,49,21,15,6,8
Adelaide 1,Hard,Loser,Anett Kontaveit,17,R,174,EST,27,3,147,3,2,91,54,39,18,14,3,6
Adelaide 1,Hard,Winner,Jelena Ostapenko,18,R,177,LAT,25.5,3,66,1,2,52,31,23,11,8,1,2
Adelaide 1,Hard,Loser,Karolina Pliskova,31,R,184,CZE,30.7,3,66,3,3,47,33,18,4,8,3,8
Adelaide 1,Hard,Winner,Irina Camelia Begu,34,R,181,ROU,32.3,3,157,3,7,88,51,33,17,13,6,11
Adelaide 1,Hard,Loser,Shelby Rogers,47,R,175,USA,30.2,3,157,1,5,95,56,36,13,15,3,10
Adelaide 1,Hard,Winner,Bianca Andreescu,46,R,170,CAN,22.5,3,133,3,4,85,57,38,10,13,6,11
Adelaide 1,Hard,Winner,Veronika Kudermetova,9,R,175,RUS,25.6,3,75,7,1,46,31,21,9,7,3,4
Adelaide 1,Hard,Winner,Marketa Vondrousova,92,L,173,CZE,23.5,3,136,6,5,114,89,56,13,14,13,16
Adelaide 1,Hard,Loser,Ekaterina Alexandrova,19,R,175,RUS,28.1,3,136,5,17,102,54,36,19,13,10,15
Adelaide 1,Hard,Winner,Kaia Kanepi,32,R,181,EST,37.5,3,123,6,0,77,46,37,15,14,3,5
Adelaide 1,Hard,Loser,Aliaksandra Sasnovich,30,R,174,BLR,28.7,3,123,3,1,85,49,31,18,13,1,5
Adelaide 1,Hard,Winner,Liudmila Samsonova,20,R,180,RUS,24.1,3,119,17,3,96,55,36,24,14,4,7
Adelaide 1,Hard,Loser,Shuai Zhang,25,R,177,CHN,33.9,3,119,2,3,79,49,27,15,13,7,13
Auckland,Hard,Winner,Coco Gauff,7,R,175,USA,18.8,3,75,5,3,66,44,31,10,7,10,10
Auckland,Hard,Loser,Rebeka Masarova,130,R,186,ESP,23.4,3,75,3,2,49,34,19,2,7,5,10
Auckland,Hard,Winner,Coco Gauff,7,R,175,USA,18.8,3,73,2,3,45,33,23,5,7,3,4
Auckland,Hard,Loser,Danka Kovinic,60,R,169,MNE,28.1,3,73,3,4,62,31,14,12,7,9,15
Auckland,Hard,Winner,Rebeka Masarova,130,R,186,ESP,23.4,3,67,9,1,51,38,29,6,9,2,3
Auckland,Hard,Loser,Ysaline Bonaventure,95,L,178,BEL,28.3,3,67,0,3,53,27,16,12,9,2,6
Auckland,Hard,Winner,Coco Gauff,7,R,175,USA,18.8,3,76,8,2,47,28,25,11,9,0,0
Auckland,Hard,Loser,Lin Zhu,84,R,173,CHN,28.9,3,76,1,1,62,44,25,9,8,10,13
Auckland,Hard,Winner,Danka Kovinic,60,R,169,MNE,28.1,3,70,8,1,49,37,27,11,9,0,0
Auckland,Hard,Loser,Viktoria Hruncakova,134,R,NA,SVK,24.6,3,70,2,6,56,29,22,9,8,6,9
Auckland,Hard,Winner,Ysaline Bonaventure,95,L,178,BEL,28.3,3,69,1,4,56,32,23,14,9,5,6
Auckland,Hard,Loser,Leylah Fernandez,40,L,168,CAN,20.3,3,69,3,4,58,40,24,7,9,4,8
Auckland,Hard,Winner,Rebeka Masarova,130,R,186,ESP,23.4,3,124,3,4,88,59,45,15,12,3,4
Auckland,Hard,Loser,Karolina Muchova,151,R,178,CZE,26.3,3,124,1,0,77,55,40,11,12,1,2
Auckland,Hard,Winner,Coco Gauff,7,R,175,USA,18.8,3,83,9,2,62,43,33,9,10,6,7
Auckland,Hard,Loser,Sofia Kenin,227,R,170,USA,24.1,3,83,1,0,72,43,30,12,10,4,7
Auckland,Hard,Winner,Lin Zhu,84,R,173,CHN,28.9,3,143,3,2,93,60,36,14,14,8,14
Auckland,Hard,Loser,Venus Williams,1003,R,185,USA,42.5,3,143,3,4,89,56,30,14,15,6,14
Auckland,Hard,Winner,Viktoria Hruncakova,134,R,NA,SVK,24.6,3,94,3,3,63,37,19,13,9,7,11
Auckland,Hard,Loser,Emma Raducanu,78,R,175,GBR,20.1,3,94,4,1,51,35,25,7,10,3,5
Auckland,Hard,Winner,Danka Kovinic,60,R,169,MNE,28.1,3,136,3,2,100,60,41,23,14,8,10
Auckland,Hard,Loser,Lauren Davis,87,R,157,USA,29.2,3,136,2,4,68,42,27,14,13,0,4
Auckland,Hard,Winner,Ysaline Bonaventure,95,L,178,BEL,28.3,3,87,4,3,69,43,32,17,13,3,5
Auckland,Hard,Loser,Rebecca Marino,63,R,183,CAN,32,3,87,16,3,86,61,41,9,14,5,9
Auckland,Hard,Winner,Leylah Fernandez,40,L,168,CAN,20.3,3,45,2,1,34,20,17,11,7,0,0
Auckland,Hard,Loser,Julia Grabher,82,R,170,AUT,26.5,3,45,1,1,38,25,9,5,6,5,10
Auckland,Hard,Winner,Karolina Muchova,151,R,178,CZE,26.3,3,82,2,0,47,31,23,11,8,0,0
Auckland,Hard,Loser,Elena Gabriela Ruse,116,U,NA,ROU,25.1,3,82,2,7,62,34,20,13,9,5,9
Auckland,Hard,Winner,Rebeka Masarova,130,R,186,ESP,23.4,3,69,10,1,47,33,26,9,9,2,3
Auckland,Hard,Loser,Anna Blinkova,73,R,179,RUS,24.3,3,69,2,6,56,35,19,10,8,5,9
Auckland,Hard,Winner,Coco Gauff,7,R,175,USA,18.8,3,82,1,2,53,30,21,14,9,4,6
Auckland,Hard,Loser,Tatjana Maria,68,R,172,GER,35.4,3,82,1,3,72,46,24,10,8,8,13
Auckland,Hard,Winner,Sofia Kenin,227,R,170,USA,24.1,3,96,2,2,77,59,43,7,11,6,8
Auckland,Hard,Loser,Xin Yu Wang,86,R,182,CHN,21.2,3,96,2,2,65,29,21,16,10,4,7
Auckland,Hard,Winner,Venus Williams,1003,R,185,USA,42.5,3,104,2,4,60,40,32,7,10,0,2
Auckland,Hard,Loser,Katie Volynets,113,R,NA,USA,21,3,104,1,2,73,49,32,7,10,7,11
Auckland,Hard,Winner,Lin Zhu,84,R,173,CHN,28.9,3,168,0,1,122,74,39,26,16,12,19
Auckland,Hard,Loser,Madison Brengle,57,R,168,USA,32.7,3,168,0,1,100,77,43,9,16,3,10
Auckland,Hard,Winner,Viktoria Hruncakova,134,R,NA,SVK,24.6,3,96,9,2,65,42,32,11,10,6,7
Auckland,Hard,Loser,Bernarda Pera,44,L,175,USA,28,3,96,4,9,79,49,33,11,10,7,10
Auckland,Hard,Winner,Emma Raducanu,78,R,175,GBR,20.1,3,148,2,2,87,57,37,14,14,4,7
Auckland,Hard,Loser,Linda Fruhvirtova,79,R,NA,CZE,17.6,3,148,5,2,108,73,49,12,14,8,13
Auckland,Hard,Winner,Lauren Davis,87,R,157,USA,29.2,3,74,2,1,53,32,22,13,8,3,4
Auckland,Hard,Loser,Tamara Zidansek,85,R,168,SLO,25,3,74,1,4,48,27,14,7,7,3,8
Auckland,Hard,Winner,Danka Kovinic,60,R,169,MNE,28.1,3,74,4,2,55,33,28,11,9,3,4
Auckland,Hard,Loser,Nao Hibino,138,R,163,JPN,28,3,74,1,6,47,29,17,6,8,2,6
Auckland,Hard,Winner,Rebecca Marino,63,R,183,CAN,32,3,86,4,1,69,52,38,9,11,5,7
Auckland,Hard,Loser,Dalma Galfi,83,U,NA,HUN,24.3,3,86,6,0,72,54,33,10,10,7,10
Auckland,Hard,Winner,Julia Grabher,82,R,170,AUT,26.5,3,117,4,10,89,51,32,16,13,3,8
Auckland,Hard,Loser,Tereza Martincova,71,R,178,CZE,28.1,3,117,0,3,91,71,33,10,14,8,17
Auckland,Hard,Winner,Leylah Fernandez,40,L,168,CAN,20.3,3,61,3,2,39,23,18,12,7,4,4
Auckland,Hard,Winner,Karolina Muchova,151,R,178,CZE,26.3,3,38,1,0,22,16,14,2,4,0,0
Auckland,Hard,Loser,Xiyu Wang,50,L,NA,CHN,21.7,3,38,0,1,31,22,16,4,5,2,3
Auckland,Hard,Winner,Elena Gabriela Ruse,116,U,NA,ROU,25.1,3,144,9,7,86,40,31,23,14,6,10
Auckland,Hard,Winner,Anna Blinkova,73,R,179,RUS,24.3,3,149,9,6,98,60,42,19,16,4,7
Auckland,Hard,Loser,Elisabetta Cocciaretto,64,R,NA,ITA,21.9,3,149,6,1,98,60,36,23,16,6,10
Auckland,Hard,Winner,Rebeka Masarova,130,R,186,ESP,23.4,3,111,4,4,71,50,35,8,11,5,8
Auckland,Hard,Loser,Sloane Stephens,37,R,170,USA,29.7,3,111,1,5,90,63,36,10,10,10,14
Adelaide 2,Hard,Winner,Belinda Bencic,13,R,175,SUI,25.8,3,67,3,2,41,26,23,6,7,0,0
Adelaide 2,Hard,Loser,Daria Kasatkina,8,R,170,RUS,25.6,3,67,2,1,44,33,14,3,7,2,7
Adelaide 2,Hard,Winner,Belinda Bencic,13,R,175,SUI,25.8,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adelaide 2,Hard,Loser,Veronika Kudermetova,9,R,175,RUS,25.7,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adelaide 2,Hard,Winner,Daria Kasatkina,8,R,170,RUS,25.6,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adelaide 2,Hard,Loser,Paula Badosa,11,R,180,ESP,25.1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adelaide 2,Hard,Winner,Belinda Bencic,13,R,175,SUI,25.8,3,113,9,3,71,45,35,15,13,0,2
Adelaide 2,Hard,Loser,Caroline Garcia,4,R,177,FRA,29.2,3,113,11,2,78,51,39,12,14,3,7
Adelaide 2,Hard,Winner,Veronika Kudermetova,9,R,175,RUS,25.7,3,167,6,5,114,70,48,22,15,10,13
Adelaide 2,Hard,Loser,Danielle Collins,14,R,178,USA,29,3,167,5,4,89,46,31,24,14,9,13
Adelaide 2,Hard,Winner,Paula Badosa,11,R,180,ESP,25.1,3,154,6,6,87,51,39,20,12,2,3
Adelaide 2,Hard,Loser,Beatriz Haddad Maia,15,L,185,BRA,26.6,3,154,3,5,94,66,49,11,12,8,10
Adelaide 2,Hard,Winner,Daria Kasatkina,8,R,170,RUS,25.6,3,92,1,2,62,44,31,7,10,5,8
Adelaide 2,Hard,Loser,Petra Kvitova,16,L,183,CZE,32.8,3,92,2,7,66,43,24,9,11,5,10
Adelaide 2,Hard,Winner,Caroline Garcia,4,R,177,FRA,29.2,3,135,14,3,93,65,46,12,15,1,4
Adelaide 2,Hard,Loser,Katerina Siniakova,48,R,174,CZE,26.6,3,135,0,6,102,59,41,21,15,5,9
Adelaide 2,Hard,Winner,Belinda Bencic,13,R,175,SUI,25.8,3,91,6,3,57,31,24,10,9,5,7
Adelaide 2,Hard,Loser,Anna Kalinskaya,64,R,175,RUS,24.1,3,91,2,2,63,42,25,6,9,5,10
Adelaide 2,Hard,Winner,Danielle Collins,14,R,178,USA,29,3,102,1,6,63,31,23,18,10,3,5
Adelaide 2,Hard,Loser,Jil Teichmann,33,L,170,SUI,25.4,3,102,2,4,75,51,30,12,11,7,11
Adelaide 2,Hard,Winner,Veronika Kudermetova,9,R,175,RUS,25.7,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adelaide 2,Hard,Loser,Ekaterina Alexandrova,20,R,175,RUS,28.1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adelaide 2,Hard,Winner,Beatriz Haddad Maia,15,L,185,BRA,26.6,3,118,4,3,74,53,38,9,11,5,6
Adelaide 2,Hard,Winner,Paula Badosa,11,R,180,ESP,25.1,3,83,10,3,58,27,21,17,10,5,7
Adelaide 2,Hard,Loser,Kaia Kanepi,32,R,181,EST,37.5,3,83,1,1,66,47,24,9,9,4,9
Adelaide 2,Hard,Winner,Petra Kvitova,16,L,183,CZE,32.8,3,71,2,3,51,36,22,6,6,4,6
Adelaide 2,Hard,Loser,Qinwen Zheng,30,R,NA,CHN,20.2,3,71,5,2,40,17,14,7,6,1,3
Adelaide 2,Hard,Winner,Daria Kasatkina,8,R,170,RUS,25.6,3,90,6,0,56,38,28,12,10,2,3
Adelaide 2,Hard,Loser,Barbora Krejcikova,21,R,178,CZE,27,3,90,3,3,64,41,28,6,10,3,7
Adelaide 2,Hard,Winner,Katerina Siniakova,48,R,174,CZE,26.6,3,43,0,3,32,21,15,5,4,6,6
Adelaide 2,Hard,Loser,Anastasia Potapova,45,R,175,RUS,21.7,3,43,0,3,27,13,6,4,4,2,5
Adelaide 2,Hard,Winner,Anna Kalinskaya,64,R,175,RUS,24.1,3,79,1,1,59,40,25,8,9,7,10
Adelaide 2,Hard,Loser,Jelena Ostapenko,18,R,177,LAT,25.5,3,79,1,4,60,36,15,10,10,2,8
Adelaide 2,Hard,Winner,Belinda Bencic,13,R,175,SUI,25.8,3,79,10,2,48,35,31,10,10,0,0
Adelaide 2,Hard,Winner,Danielle Collins,14,R,178,USA,29,3,76,7,3,56,34,24,11,9,2,4
Adelaide 2,Hard,Loser,Karolina Pliskova,31,R,184,CZE,30.8,3,76,6,2,63,42,26,4,9,3,8
Adelaide 2,Hard,Winner,Jil Teichmann,33,L,170,SUI,25.4,3,99,5,2,61,37,27,18,11,2,2
Adelaide 2,Hard,Loser,Anastasia Pavlyuchenkova,365,R,177,RUS,31.5,3,99,1,4,65,37,29,14,11,2,4
Adelaide 2,Hard,Winner,Ekaterina Alexandrova,20,R,175,RUS,28.1,3,93,6,7,62,36,31,10,10,3,4
Adelaide 2,Hard,Winner,Veronika Kudermetova,9,R,175,RUS,25.7,3,178,20,3,100,67,48,17,15,7,10
Adelaide 2,Hard,Loser,Victoria Azarenka,25,R,180,BLR,33.4,3,178,11,8,118,73,55,18,15,12,14
Adelaide 2,Hard,Winner,Beatriz Haddad Maia,15,L,185,BRA,26.6,3,107,4,3,56,41,32,9,10,3,4
Adelaide 2,Hard,Loser,Sorana Cirstea,43,R,176,ROU,32.7,3,107,2,2,80,57,35,9,9,6,9
Adelaide 2,Hard,Loser,Liudmila Samsonova,19,R,180,RUS,24.1,3,86,4,7,52,27,19,7,10,3,8
