stadium,attendance,home_team,away_team,home_goals,away_goals,Home Expected goals(xG),Home Total shots,Home Shots on target,Home Big chances,Home Big chances missed,Home Accurate passes,Home Accurate passes %,Home Fouls committed,Home Corners,Home Shots off target,Home Blocked shots,Home Hit woodwork,Home Shots inside box,Home Shots outside box,Home xG open play,Home xG set play,Home Non-penalty xG,Home xG on target (xGOT),Home Passes,Home Own half,Home Opposition half,Home Accurate long balls,Home Accurate long balls %,Home Accurate crosses,Home Accurate crosses %,Home Throws,Home Touches in opposition box,Home Offsides,Home Yellow cards,Home Red cards,Home Tackles won,Home Tackles won %,Home Interceptions,Home Blocks,Home Clearances,Home Keeper saves,Home Duels won,Home Ground duels won,Home Ground duels won %,Home Aerial duels won,Home Aerial duels won %,Home Successful dribbles,Home Successful dribbles %,Away Expected goals(xG),Away Total shots,Away Shots on target,Away Big chances,Away Big chances missed,Away Accurate passes,Away Accurate passes %,Away Fouls committed,Away Corners,Away Total shots.,Away Shots off target,Away Blocked shots,Away Hit woodwork,Away Shots inside box,Away Shots outside box,Away xG open play,Away xG set play,Away Non-penalty xG,Away xG on target (xGOT),Away Passes,Away Own half,Away Opposition half,Away Accurate long balls,Away Accurate long balls %,Away Accurate crosses,Away Accurate crosses %,Away Throws,Away Touches in opposition box,Away Offsides,Away Yellow cards,Away Red cards,Away Tackles won,Away Tackles won %,Away Interceptions,Away Blocks,Away Clearances,Away Keeper saves,Away Duels won,Away Ground duels won,Away Ground duels won %,Away Aerial duels won,Away Aerial duels won %,Away Successful dribbles,Away Successful dribbles %
Fuball Arena Mnchen,64288,Denmark,Serbia,0,0,0.67,10,3,1,1,269,78,11,8,5,2,0,6,4,0.58,0.09,0.67,0.44,562,261,213,25,45,3,14,15,19,0,2,0,5,50,10,1,20,1,43,17,40,26,55,3,30,0.29,5,1,0,0,462,88,5,2,5,3,1,0,4,1,0.29,0,0.29,0.08,488,264,136,30,44,7,39,17,10,3,2,0,7,50,8,2,25,3,46,25,60,21,45,2,33
Cologne Stadium,41536,England,Slovenia,0,0,0.8,12,4,1,1,269,78,11,6,4,4,0,6,6,0.68,0.12,0.8,0.56,746,288,394,31,70,8,44,17,28,2,3,0,3,60,3,1,5,1,26,19,40,7,54,5,36,0.15,4,1,0,0,462,88,9,0,4,2,1,0,1,3,0.15,0,0.15,0.09,275,100,103,13,30,1,25,12,6,0,2,0,10,67,4,4,24,3,35,29,60,6,46,4,67
Frankfurt Arena,45033,Slovakia,Romania,1,1,0.86,13,4,1,0,476,87,11,5,7,2,0,9,4,0.63,0.23,0.86,0.58,437,220,124,20,38,7,35,24,22,3,1,0,5,50,8,0,23,4,39,20,43,19,61,2,33,1.19,9,5,1,0,455,86,10,1,9,4,0,0,6,3,0.36,0.04,0.4,1.41,323,130,95,16,25,0,0,23,10,1,3,0,7,70,7,2,29,3,39,27,57,12,39,7,70
Stuttgart Arena,54000,Ukraine,Belgium,0,0,0.82,13,4,0,0,476,87,9,3,5,4,0,6,7,0.62,0.19,0.82,0.29,374,190,123,22,44,4,40,16,16,2,1,0,9,50,11,4,20,4,45,30,60,15,56,4,100,0.88,12,4,1,1,455,86,8,7,12,4,4,0,6,6,0.8,0.08,0.88,0.71,564,233,260,27,60,1,11,18,19,0,1,0,3,75,2,4,10,4,32,20,40,12,44,8,53
Volksparkstadion,47683,Czechia,Turkiye,1,2,1.62,12,7,4,3,537,91,16,3,3,2,0,8,4,0.55,1.06,1.62,1.67,229,94,66,28,44,5,31,19,25,0,5,2,6,67,2,7,19,3,39,22,34,17,49,7,44,1.46,18,5,1,1,364,83,9,7,18,6,7,0,11,7,1.37,0.09,1.46,2.32,512,200,247,25,43,2,15,14,33,1,11,0,11,73,4,3,19,5,60,42,66,18,51,12,67
Arena AufSchalke,49616,Georgia,Portugal,2,0,1.65,7,3,3,1,537,91,6,1,3,1,0,7,0,0.86,0,0.86,1.63,270,146,60,15,33,0,0,14,11,0,1,0,13,62,4,8,26,5,47,40,52,7,37,9,60,2.04,22,5,4,4,364,83,11,11,22,9,8,0,13,9,1.45,0.59,2.04,0.52,690,129,513,12,80,8,21,11,30,1,3,0,10,56,8,1,10,1,49,37,48,12,63,13,50
Olympiastadion Berlin,68172,Switzerland,Italy,2,0,1.25,16,4,2,1,480,90,9,4,5,7,1,8,8,1.18,0.07,1.25,2.14,513,184,286,15,54,0,0,18,22,0,0,0,8,89,6,3,26,1,36,28,50,8,42,5,50,0.73,11,1,1,1,368,88,15,6,11,7,3,2,4,7,0.71,0.01,0.73,0.07,520,189,266,6,27,3,15,14,12,1,3,0,10,83,8,6,17,2,39,28,50,11,58,7,58
BVB Stadion Dortmund,61612,Germany,Denmark,2,0,2.58,15,9,5,3,480,90,7,6,5,1,0,9,6,1.4,0.39,1.79,4.06,536,199,277,24,55,4,31,20,20,4,0,0,6,75,8,5,22,2,45,30,51,15,58,10,42,1.18,11,2,1,1,368,88,15,6,11,4,5,0,8,3,0.91,0.28,1.18,0.77,435,202,165,25,51,3,20,10,25,3,2,0,12,67,4,1,18,7,40,29,49,11,42,4,80
Arena AufSchalke,47244,England,Slovakia,2,1,1.52,16,2,2,1,311,80,12,9,7,7,1,9,7,0.66,0.86,1.52,0.84,808,406,302,30,48,6,17,24,38,1,3,0,9,60,6,3,9,2,70,48,59,22,45,14,54,2.15,13,3,2,1,373,84,19,1,13,7,3,0,8,5,2.01,0.14,2.15,1.21,472,183,196,19,32,6,33,13,19,2,6,0,12,57,9,7,44,0,61,34,41,27,55,2,29
Cologne Stadium,42233,Spain,Georgia,4,1,3.36,35,13,5,3,311,80,11,13,11,11,0,20,15,2.61,0.75,3.36,5.09,792,166,582,19,76,8,24,15,48,3,1,0,10,56,6,1,8,0,45,35,49,10,67,12,46,0.25,4,0,0,0,373,84,5,3,4,3,1,0,1,3,0.25,0,0.25,0,263,175,33,13,36,0,0,8,4,0,1,0,10,50,7,11,28,9,41,36,51,5,33,7,41
Dsseldorf Arena,46810,France,Belgium,1,0,1.06,19,2,1,1,352,88,7,5,16,1,0,13,6,0.76,0.29,1.06,0.3,609,189,373,23,72,7,37,14,39,1,3,0,11,73,7,2,18,3,41,34,53,7,41,9,56,0.23,5,2,0,0,609,92,10,2,5,1,2,0,3,2,0.23,0,0.23,0.08,496,302,140,20,47,1,8,15,13,0,2,0,11,65,7,1,18,2,40,30,47,10,59,6,43
Frankfurt Arena,46576,Portugal,Slovenia,0,0,1.97,20,6,1,1,352,88,8,11,8,6,2,11,9,0.67,0.51,1.18,1.44,770,308,371,29,53,11,28,24,38,4,1,0,16,70,12,2,25,2,83,61,56,22,48,22,55,0.6,10,2,1,1,609,92,17,4,10,6,2,0,3,7,0.43,0.18,0.6,0.53,305,96,91,24,32,2,22,25,10,6,5,0,22,61,9,6,37,6,72,48,44,24,52,7,41
Fuball Arena Mnchen,65012,Romania,Netherlands,0,3,0.28,5,1,0,0,246,79,8,4,3,1,0,2,3,0.28,0,0.28,0.08,271,124,79,23,45,2,13,17,10,0,2,0,5,56,8,6,35,3,26,19,38,7,30,1,14,2.93,23,6,6,4,430,87,9,13,23,11,6,1,17,6,2.46,0.47,2.93,2.26,500,210,228,25,58,7,24,22,50,4,2,0,4,33,9,1,23,1,47,31,62,16,70,11,69
Leipzig Stadium,38305,Austria,Turkiye,1,2,3.14,21,5,5,4,246,79,12,10,9,7,0,14,7,2.22,0.93,3.14,2.1,564,189,281,23,53,13,34,24,31,2,2,0,5,42,5,1,13,2,44,24,38,20,54,7,41,0.92,6,3,2,0,430,87,5,4,6,2,1,0,5,1,0.19,0.73,0.92,1.78,379,178,125,21,37,4,29,16,10,1,2,0,8,40,13,7,55,4,56,39,62,17,46,7,58
Stuttgart Arena,54000,Spain,Germany,2,1,1.41,18,6,3,2,373,86,17,1,9,3,0,6,12,1.35,0.06,1.41,1.49,576,235,261,32,55,4,44,8,28,3,5,1,11,65,11,7,37,5,70,50,52,20,67,13,50,2.15,23,5,5,4,505,89,22,5,23,11,7,1,14,9,2.05,0.09,2.15,1.91,588,236,262,28,52,12,36,21,45,2,8,0,14,61,9,3,19,4,56,46,48,10,33,7,44
Volksparkstadion,47789,Portugal,France,0,0,1.84,15,4,4,4,373,86,8,11,5,6,0,11,4,1.73,0.11,1.84,1.18,869,457,357,25,66,3,9,21,29,1,1,0,11,65,8,5,19,5,43,40,48,3,43,11,46,1.14,20,5,2,2,505,89,13,4,20,9,6,2,7,13,1.07,0.06,1.14,0.31,586,228,309,35,78,3,19,10,25,2,1,0,13,59,6,6,35,4,48,44,52,4,57,14,61
Dsseldorf Arena,46907,England,Switzerland,1,1,0.65,13,3,0,0,365,85,8,4,2,8,0,7,6,0.64,0.01,0.65,1.27,670,230,385,46,69,6,21,22,37,3,1,0,16,70,6,2,21,2,59,47,58,12,60,11,58,1.47,11,3,1,0,286,81,13,3,11,6,2,1,10,1,1.47,0,1.47,1.23,623,273,298,24,57,5,23,16,30,0,2,0,12,63,3,8,30,2,42,34,42,8,40,7,54
Olympiastadion Berlin,70091,Netherlands,Turkiye,2,1,1.09,11,4,2,1,365,85,16,3,4,3,0,7,4,1,0.09,1.09,1.3,536,175,301,12,43,3,20,10,22,4,4,0,10,91,8,4,20,2,37,25,40,12,55,8,42,1.31,15,4,3,2,286,81,7,7,15,8,3,1,9,6,0.64,0.68,1.31,0.75,361,181,113,22,46,5,25,8,17,2,1,1,7,41,12,3,15,3,47,37,60,10,45,5,42
Fuball Arena Mnchen,62042,Spain,France,2,1,0.75,6,2,1,1,411,82,9,4,2,2,0,2,4,0.75,0,0.75,0.4,500,214,228,25,56,2,14,18,12,0,2,0,6,55,1,3,30,2,33,28,44,5,25,4,31,1.1,9,3,2,1,259,73,14,6,9,3,3,0,8,1,0.82,0.27,1.1,1.03,339,134,149,15,52,10,33,17,30,0,2,0,12,63,5,2,16,0,50,35,56,15,75,8,62
BVB Stadion Dortmund,60926,Netherlands,England,1,2,0.54,7,2,0,0,411,82,11,3,3,2,1,6,1,0.29,0.25,0.54,0.24,414,214,158,11,44,6,46,9,11,1,3,0,5,42,10,3,16,2,29,20,43,9,53,2,29,1.25,9,5,2,1,259,73,6,0,9,2,2,1,5,4,0.47,0,0.47,2.35,589,261,281,26,74,2,22,16,18,4,3,0,6,60,7,2,5,2,34,26,57,8,47,6,55
Olympiastadion Berlin,65600,Spain,England,2,1,1.77,16,6,5,3,262,79,11,10,5,5,0,12,4,1.56,0.2,1.77,2.12,545,232,257,24,63,4,16,21,30,1,1,0,10,71,5,4,15,2,35,22,40,13,57,3,27,0.55,9,4,2,2,571,90,5,2,9,2,3,0,5,4,0.2,0.35,0.55,0.55,294,126,103,23,47,1,14,11,16,0,3,0,12,67,5,5,27,4,43,33,60,10,43,4,33
