"rank","Player","G","AB","R","H","Doubles","Triples","HR","RBI","SB","CS","BB","SO","IBB","HBP","SH","SF","DP","BA","OBP","SLG","OPS","OPS_plus","wOBA","BB%","K%","BB/K","HR%","ISO","begin_year","end_year","Pos","PA"
38,"Frank Duncan",959,2966,441,748,126,30,15,363,67,1,357,34,1,27,160,0,3,0.252,0.338,0.33,0.668,86,0.326,7.1,0.4,16,0.3,0.08,1920,1945,"C",3510
38,"Frank Duncan",959,2966,441,748,126,30,15,363,67,1,357,34,1,27,160,0,3,0.252,0.338,0.33,0.668,86,0.307,10.2,1.8,5.56,0.4,0.078,1920,1945,"C",3510
39,"Bingo DeMoss",885,3153,576,746,104,23,4,293,183,9,363,14,NA,41,165,1,NA,0.237,0.323,0.288,0.611,79,0.29,9.8,1.5,7.21,0.1,0.051,1910,1930,"2B",3723
40,"Bullet Rogan",721,2180,426,730,110,60,50,435,111,3,254,5,0,17,52,1,0,0.335,0.408,0.509,0.917,155,0.411,10.1,0.5,19.4,2,0.174,1920,1938,"CF",2504
41,"Jelly Gardner",721,2566,491,720,77,19,3,237,140,10,379,21,0,9,80,1,0,0.281,0.375,0.329,0.704,103,0.335,12.5,1.8,6.62,0.1,0.048,1917,1931,"RF",3035
42,"Jim West",712,2542,381,719,111,40,34,402,17,0,265,17,2,17,36,3,4,0.283,0.354,0.398,0.752,99,0.349,9.3,0.8,12.82,1.2,0.115,1930,1948,"1B",2863
43,"Dave Malarcher",780,2701,482,716,81,19,7,283,135,10,370,25,0,34,136,0,0,0.265,0.361,0.317,0.678,98,0.32,11.4,2.6,4.52,0.2,0.052,1916,1934,"3B",3241
44,"Rap Dixon",608,2178,514,710,136,48,77,465,109,0,281,7,0,14,81,0,0,0.326,0.406,0.539,0.945,146,0.413,11,0.5,23.57,3,0.213,1922,1937,"RF",2554
45,"Clarence Smith",578,2215,390,710,96,52,29,394,89,1,125,5,0,4,60,1,0,0.321,0.358,0.45,0.808,112,0.36,5.2,0.9,5.6,1.2,0.13,1921,1933,"RF",2405
46,"Henry Kimbro",600,2322,500,691,111,49,31,266,79,2,331,13,1,24,23,0,2,0.298,0.391,0.428,0.818,121,0.385,12.3,0.6,19.92,1.1,0.13,1937,1948,"CF",2700
47,"Newt Joseph",690,2401,394,686,133,40,32,406,94,3,271,34,0,15,89,2,1,0.286,0.361,0.414,0.776,115,0.349,9.8,3.2,2.76,1.2,0.129,1922,1935,"3B",2778
48,"Oliver Marcell",619,2274,387,685,85,30,15,318,56,2,232,9,1,18,100,2,0,0.301,0.37,0.385,0.755,104,0.346,8.8,1,7.22,0.6,0.084,1918,1930,"3B",2626
49,"Willard Brown",485,1873,386,672,145,48,66,449,101,1,145,12,1,4,6,1,1,0.359,0.406,0.593,0.999,186,0.452,7.1,0.9,8.67,3.3,0.234,1935,1948,"CF",2029
50,"Jim Brown",752,2475,396,670,111,38,18,381,76,7,229,25,0,15,78,4,1,0.271,0.336,0.368,0.704,103,0.322,8.2,2.3,3.24,0.6,0.097,1919,1937,"C",2801
51,"Candy Jim Taylor",783,2355,358,668,105,24,37,366,112,1,220,1,0,24,62,1,0,0.284,0.351,0.396,0.747,108,0.346,8.3,0.3,35,1.4,0.112,1907,1942,"3B",2662
52,"Larry Brown",867,2563,297,659,103,36,15,324,26,1,294,13,0,24,111,0,1,0.257,0.339,0.343,0.682,86,0.314,9.8,0.9,11,0.5,0.086,1921,1947,"C",2992
53,"Gene Benson",585,2245,329,656,86,32,17,328,21,3,199,5,0,3,26,0,2,0.292,0.351,0.382,0.732,95,0.344,8,0.2,37,0.7,0.09,1934,1948,"CF",2473
54,"Charlie Blackwell",570,2076,429,654,99,50,45,371,92,1,261,3,NA,50,48,2,NA,0.315,0.404,0.476,0.88,140,0.403,10.7,0.5,21,1.8,0.161,1915,1929,"RF",2437
55,"Heavy Johnson",495,1775,329,654,121,50,57,425,47,0,161,5,0,21,51,0,0,0.368,0.427,0.589,1.016,172,0.445,8,1,5.6,2.8,0.221,1920,1932,"RF",2008
56,"Jesse Barber",558,2223,394,654,90,37,12,247,70,0,164,4,0,9,53,0,NA,0.294,0.345,0.384,0.729,125,0.343,6.7,0.9,7.75,0.5,0.09,1910,1924,"RF",2449
57,"Dobie Moore",470,1887,376,652,118,52,34,391,69,3,118,8,0,15,58,1,1,0.346,0.388,0.517,0.906,150,0.402,5.7,0.9,5.25,1.6,0.172,1920,1926,"SS",2079
58,"George Shively",535,2120,453,649,72,32,8,214,125,0,212,9,1,21,46,0,NA,0.306,0.375,0.382,0.756,115,0.358,8.8,1.5,7.11,0.3,0.075,1911,1924,"LF",2399
59,"Otto Briggs",599,2288,397,649,80,29,6,207,82,6,237,17,0,25,76,2,1,0.284,0.357,0.352,0.709,93,0.331,9,1.3,7.18,0.2,0.068,1915,1934,"RF",2628
60,"Chester Williams",630,2319,323,647,100,38,10,289,46,0,153,6,0,8,65,0,1,0.279,0.326,0.368,0.694,88,0.316,6,0.3,20,0.4,0.089,1930,1942,"SS",2545
61,"Edgar Wesley",515,1915,321,613,100,29,86,421,48,0,199,3,NA,7,40,0,NA,0.32,0.386,0.537,0.923,144,0.411,9.2,0.4,20,4,0.217,1917,1927,"1B",2161
62,"Valentín Dreke",462,1856,323,608,84,23,15,258,60,0,143,2,NA,23,37,0,NA,0.328,0.383,0.422,0.805,127,0.371,6.9,0.3,24.5,0.7,0.094,1919,1927,"LF",2059
63,"George Giles",488,1846,365,582,104,33,9,274,71,1,196,5,0,8,63,0,0,0.315,0.383,0.422,0.805,112,0.365,9.3,0.3,30.8,0.4,0.107,1927,1938,"1B",2113
64,"Dink Mothell",607,2173,416,581,106,35,18,327,88,1,244,14,0,29,120,0,0,0.267,0.349,0.373,0.722,102,0.325,9.5,1.8,5.21,0.7,0.106,1920,1934,"2B",2566
65,"Lemuel Hawkins",572,2145,327,579,64,24,5,238,59,4,167,7,0,19,66,0,2,0.27,0.328,0.329,0.657,83,0.305,7,0.9,7,0.2,0.059,1921,1928,"1B",2397
66,"Frank Duncan",605,2105,308,574,98,25,7,243,31,0,168,1,NA,40,65,0,NA,0.273,0.338,0.353,0.691,110,0.326,7.1,0.4,16,0.3,0.08,1907,1928,"LF",2378
66,"Frank Duncan",605,2105,308,574,98,25,7,243,31,0,168,1,NA,40,65,0,NA,0.273,0.338,0.353,0.691,110,0.307,10.2,1.8,5.56,0.4,0.078,1907,1928,"LF",2378
67,"Bernardo Baró",509,1955,323,573,71,29,16,246,89,1,189,1,NA,6,59,1,NA,0.293,0.357,0.384,0.741,115,0.346,8.6,0.2,47,0.7,0.091,1915,1929,"RF",2210
68,"Jake Stephens",676,2430,376,573,69,24,4,184,80,2,221,38,0,29,98,0,0,0.236,0.307,0.289,0.596,59,0.28,8,1.9,4.53,0.1,0.053,1921,1937,"SS",2778
69,"Goose Curry",622,1897,413,573,88,33,26,275,66,2,317,21,0,20,39,0,1,0.302,0.407,0.424,0.832,125,0.388,13.9,1.3,11.9,1.1,0.122,1928,1947,"RF",2273
70,"Nat Rogers",547,1893,270,571,87,30,16,292,35,1,139,4,1,8,36,0,0,0.302,0.352,0.405,0.757,116,0.346,6.7,0.5,13,0.8,0.103,1923,1945,"RF",2076
71,"Felton Snow",576,2111,307,561,76,29,12,286,29,0,146,28,0,3,70,1,2,0.266,0.314,0.346,0.66,77,0.303,6.3,1.7,3.71,0.5,0.081,1931,1947,"3B",2331
72,"Connie Day",661,2378,295,558,86,28,15,276,47,0,178,7,0,12,97,0,NA,0.235,0.291,0.313,0.605,66,0.278,6.7,0.7,10,0.6,0.079,1917,1932,"2B",2665
73,"Sanford Jackson",574,2124,343,557,55,30,2,173,72,3,161,7,0,10,87,2,1,0.262,0.317,0.319,0.636,81,0.293,6.8,0.9,6.14,0.1,0.057,1923,1936,"CF",2384
74,"Jimmie Crutchfield",565,2112,298,556,59,34,6,215,49,1,164,6,0,7,37,1,0,0.263,0.318,0.332,0.65,80,0.304,7.1,0.4,19.17,0.3,0.069,1930,1945,"CF",2321
75,"Lennie Pearson",510,1885,354,552,104,24,55,356,46,0,165,14,2,2,20,0,2,0.293,0.35,0.461,0.811,119,0.371,8,0.8,9.64,2.7,0.168,1937,1948,"1B",2072
76,"Pete Washington",585,2027,299,546,83,22,50,314,34,1,200,15,NA,18,85,NA,NA,0.269,0.34,0.406,0.746,97,0.334,8.6,1.2,7.07,2.1,0.137,1923,1936,"CF",2330
77,"Martín Dihigo",492,1756,361,546,83,27,85,383,50,2,224,5,0,9,41,0,0,0.311,0.392,0.534,0.926,144,0.408,11,0.8,15,4.2,0.223,1923,1945,"RF",2030
78,"Johnny Jones",476,1825,348,543,73,33,25,245,28,1,168,0,NA,20,47,0,NA,0.298,0.363,0.415,0.778,101,0.353,8.2,0,NA,1.2,0.117,1922,1934,"LF",2060
79,"Robert Hudspeth",468,1740,237,538,90,22,44,302,20,0,133,5,NA,8,50,2,NA,0.309,0.361,0.462,0.823,119,0.369,6.9,0.8,8.2,2.3,0.153,1920,1932,"1B",1933
80,"Steel Arm Davis",466,1649,278,538,95,45,32,319,49,4,128,10,0,13,34,0,0,0.326,0.379,0.497,0.876,150,0.389,7,1.1,6.7,1.8,0.17,1920,1935,"RF",1824
81,"Alex Radcliff",458,1814,259,537,100,32,20,265,34,2,110,25,3,10,29,1,1,0.296,0.34,0.42,0.759,122,0.345,5.6,1.6,3.28,1,0.123,1926,1946,"3B",1964
82,"Pelayo Chacón",517,1991,334,536,77,32,6,225,73,0,186,0,NA,25,62,1,NA,0.269,0.339,0.349,0.688,108,0.325,8.2,0,NA,0.3,0.08,1910,1931,"SS",2265
83,"Dave Thomas",531,1995,293,534,94,29,20,245,14,0,155,6,0,15,38,0,0,0.268,0.325,0.374,0.699,91,0.322,7,0.6,10.17,0.9,0.106,1929,1946,"1B",2203
84,"George McAllister",536,2009,304,530,63,26,11,195,31,NA,199,0,NA,6,89,NA,NA,0.264,0.332,0.337,0.669,88,0.306,8.6,0,NA,0.5,0.074,1923,1934,"1B",2303
85,"José María Fernández",552,1912,210,522,71,13,4,259,19,0,115,1,1,6,39,2,1,0.273,0.316,0.33,0.646,82,0.303,5.5,0.2,15,0.2,0.057,1916,1947,"C",2074
86,"Louis Santop",453,1547,262,519,89,28,24,318,47,0,145,1,2,8,39,0,2,0.335,0.395,0.476,0.871,150,0.401,8.3,0.3,37,1.4,0.14,1910,1926,"C",1739
