"rank","Player","G","AB","R","H","Doubles","Triples","HR","RBI","SB","CS","BB","SO","IBB","HBP","SH","SF","DP","BA","OBP","SLG","OPS","OPS_plus","wOBA","BB%","K%","BB/K","HR%","ISO","begin_year","end_year","Pos","PA"
262,"Tetelo Vargas",160,606,131,209,33,13,4,89,12,2,66,6,0,4,8,2,0,0.345,0.412,0.462,0.874,139,0.404,9.6,1.7,4.5,0.6,0.117,1927,1943,"CF",686
263,"Johnie Scott",215,795,140,208,26,16,4,108,31,0,66,5,0,4,5,0,0,0.262,0.321,0.35,0.671,89,0.321,7.6,1.4,6,0.5,0.088,1944,1948,"LF",870
264,"Agustín Parpetti",201,742,94,204,28,10,8,115,12,NA,54,0,NA,6,23,NA,NA,0.275,0.329,0.372,0.701,120,0.328,6.5,0,NA,1,0.097,1908,1923,"1B",825
265,"Artie Wilson",133,543,102,203,22,13,0,49,19,2,56,5,0,4,6,0,0,0.374,0.436,0.462,0.898,162,0.425,9.2,1.7,5.2,0,0.088,1944,1948,"SS",609
266,"Pearl Webster",174,673,131,202,17,11,5,76,53,NA,71,NA,NA,6,23,NA,NA,0.3,0.372,0.38,0.752,116,0.358,9.2,NA,NA,0.6,0.08,1911,1918,"C",773
267,"Eddie Holtz",248,869,113,200,21,8,3,85,22,0,66,8,NA,10,28,1,NA,0.23,0.292,0.283,0.575,53,0.271,6.8,1.6,4.13,0.3,0.053,1919,1924,"SS",974
268,"Obie Lackey",203,709,84,199,27,4,7,97,9,NA,41,1,NA,1,26,NA,NA,0.281,0.321,0.36,0.681,76,0.308,5.3,0.3,16,0.9,0.079,1929,1943,"SS",777
269,"Bus Clarkson",176,635,134,198,46,9,25,146,13,0,89,7,4,1,4,0,0,0.312,0.397,0.531,0.928,152,0.42,12.2,1.1,11.29,3.4,0.219,1938,1946,"SS",729
270,"Hank Thompson",170,627,141,197,30,15,16,93,26,NA,71,1,0,7,7,NA,NA,0.314,0.39,0.486,0.877,144,0.405,10,0.3,39,2.2,0.172,1943,1948,"RF",712
271,"J. H. Hamilton",185,713,90,197,27,5,6,82,17,NA,26,NA,NA,0,22,NA,NA,0.276,0.302,0.353,0.655,78,0.294,3.4,NA,NA,0.8,0.077,1924,1927,"2B",761
272,"John Barnes",270,823,92,196,35,8,5,91,4,0,60,3,NA,3,20,1,NA,0.238,0.292,0.318,0.61,60,0.282,6.6,2.5,1.67,0.6,0.08,1921,1931,"C",907
273,"Lou Louden",205,709,103,195,27,7,3,99,13,0,49,0,1,5,9,1,0,0.275,0.326,0.346,0.671,88,0.318,6.3,0,NA,0.4,0.071,1941,1948,"C",773
274,"Bob Scott",188,725,105,192,19,1,5,68,26,1,62,NA,NA,4,13,2,NA,0.265,0.325,0.314,0.64,85,0.305,7.7,NA,NA,0.6,0.05,1919,1927,"LF",806
275,"Toussaint Allen",236,774,95,192,24,10,4,87,11,0,44,5,0,6,33,1,0,0.248,0.293,0.32,0.614,77,0.281,5.1,1.1,5.4,0.5,0.072,1919,1928,"1B",858
276,"Ameal Brooks",231,734,122,192,34,11,15,108,13,0,78,9,1,8,16,0,1,0.262,0.339,0.399,0.738,102,0.337,9.3,2.1,4,1.8,0.138,1929,1947,"C",836
277,"Otto Ray",211,640,111,191,35,19,6,96,21,0,56,5,NA,4,24,0,NA,0.298,0.359,0.441,0.799,119,0.36,7.7,1.1,7.6,0.8,0.142,1920,1924,"C",724
278,"L. D. Livingston",193,679,108,191,26,22,16,139,11,NA,69,7,NA,4,19,NA,NA,0.281,0.351,0.455,0.806,124,0.356,8.9,1.5,5.29,2.1,0.174,1928,1932,"LF",771
279,"Larry Doby",150,564,129,190,35,21,21,129,21,0,84,2,0,2,7,0,0,0.337,0.425,0.585,1.01,175,0.458,12.8,0.9,14,3.2,0.248,1942,1947,"2B",657
280,"Bert Johnson",175,634,108,190,24,15,13,129,8,0,41,3,0,3,12,NA,0,0.3,0.345,0.446,0.792,107,0.358,5.9,0.7,10,1.9,0.147,1932,1938,"RF",690
281,"Paíto Herrera",175,702,110,190,29,7,1,61,21,1,51,0,NA,9,20,0,NA,0.271,0.328,0.336,0.664,91,0.313,6.5,0,NA,0.1,0.066,1915,1928,"3B",782
282,"Dewitt Owens",212,725,76,190,28,3,1,52,18,NA,30,1,NA,1,30,NA,NA,0.262,0.292,0.313,0.605,65,0.272,3.8,0.4,10,0.1,0.051,1926,1930,"SS",786
283,"Willie Gray",187,708,134,189,37,12,4,86,32,1,78,5,NA,7,22,1,NA,0.267,0.345,0.37,0.715,80,0.331,9.6,2.2,2.6,0.5,0.103,1920,1937,"CF",816
284,"Earl Gurley",239,657,85,189,33,16,9,89,7,NA,62,3,NA,1,29,NA,NA,0.288,0.35,0.428,0.778,110,0.344,8.3,1.8,5.33,1.2,0.14,1922,1932,"LF",749
285,"John Reese",322,826,138,189,30,11,4,72,38,1,81,3,NA,2,53,1,NA,0.229,0.299,0.306,0.605,66,0.277,8.4,1.4,5.67,0.4,0.077,1918,1931,"RF",963
286,"Lázaro Salazar",171,608,110,188,32,6,10,81,20,0,70,6,NA,5,12,NA,NA,0.309,0.385,0.431,0.816,118,0.374,10.1,1.3,8.17,1.4,0.122,1930,1936,"LF",695
287,"Johnny Smith",161,616,81,188,19,11,3,80,5,0,33,5,0,0,3,1,0,0.305,0.34,0.386,0.726,116,0.343,5.1,1.6,3,0.5,0.081,1940,1948,"RF",653
288,"Ed Young",184,671,104,188,37,8,11,100,19,2,51,4,0,8,4,1,1,0.28,0.338,0.408,0.746,123,0.353,6.9,1,8.25,1.5,0.128,1936,1947,"1B",735
289,"Johnson Hill",197,729,93,186,30,11,21,104,8,0,34,3,NA,1,30,0,NA,0.255,0.289,0.413,0.702,98,0.308,4.3,1.4,2.67,2.6,0.158,1910,1928,"3B",794
290,"Pancho Coimbre",148,561,96,185,31,8,6,94,8,0,55,3,2,5,8,0,0,0.33,0.395,0.446,0.84,130,0.387,8.7,0.9,8.67,1,0.116,1940,1944,"RF",629
291,"Bonnie Serrell",162,592,102,184,37,16,9,86,13,1,44,2,0,4,9,1,0,0.311,0.362,0.473,0.835,160,0.386,6.8,0.3,21,1.4,0.162,1941,1945,"2B",650
292,"Felix McLaurin",163,636,97,183,20,11,7,57,19,0,62,4,0,4,3,0,0,0.288,0.355,0.387,0.741,122,0.356,8.8,1.2,5.25,1,0.099,1942,1946,"CF",705
293,"Bobo Leonard",210,673,96,181,28,7,9,75,11,NA,69,2,NA,1,30,0,NA,0.269,0.338,0.371,0.709,90,0.323,8.9,1.3,8.5,1.2,0.103,1921,1928,"CF",773
294,"Pepper Bassett",224,708,69,181,33,2,9,101,5,0,38,5,0,3,12,1,1,0.256,0.296,0.346,0.642,80,0.297,5,1.1,4.2,1.2,0.09,1935,1948,"C",762
295,"Eddie Dwight",212,710,145,180,14,8,2,57,74,0,83,4,NA,9,25,NA,NA,0.254,0.339,0.304,0.643,81,0.303,10,0.8,14.5,0.2,0.051,1925,1937,"CF",827
296,"Bobby Winston",185,662,125,178,34,4,2,64,21,NA,96,0,NA,3,27,1,NA,0.269,0.364,0.341,0.705,113,0.333,12.2,0,NA,0.3,0.073,1905,1921,"LF",789
297,"J. C. McHaskell",215,795,81,177,21,7,3,70,7,NA,46,0,NA,3,39,NA,NA,0.223,0.268,0.278,0.546,48,0.246,5.2,0,NA,0.3,0.055,1927,1929,"1B",883
298,"Duke Cleveland",170,630,119,177,22,6,2,73,19,1,63,7,0,5,9,0,0,0.281,0.351,0.344,0.695,110,0.336,8.9,1.1,8.29,0.3,0.063,1938,1947,"RF",707
299,"Luis Márquez",153,575,103,174,30,5,10,64,42,0,49,0,0,7,4,NA,1,0.303,0.365,0.424,0.789,123,0.373,7.7,0,NA,1.6,0.122,1946,1948,"CF",635
300,"Ashby Dunbar",157,595,102,174,28,8,2,83,27,NA,48,NA,NA,16,6,0,NA,0.292,0.361,0.376,0.738,118,0.358,7.2,NA,NA,0.3,0.084,1906,1920,"LF",665
301,"Red Longley",238,744,80,174,22,6,4,88,12,0,89,3,1,4,18,1,0,0.234,0.319,0.296,0.614,81,0.298,10.4,0.5,23,0.5,0.062,1932,1947,"LF",856
302,"Knucks James",195,778,89,173,17,11,4,73,26,NA,51,NA,NA,3,15,NA,NA,0.222,0.273,0.288,0.561,66,0.269,6,NA,NA,0.5,0.066,1900,1918,"2B",847
303,"Clarence Isreal",217,711,123,172,19,8,6,79,13,1,82,9,0,4,15,NA,1,0.242,0.324,0.316,0.64,75,0.305,10.1,1.3,8.33,0.7,0.075,1940,1947,"3B",812
304,"Ed Mayweather",183,623,94,171,28,14,10,106,7,0,66,5,0,4,9,1,0,0.274,0.347,0.413,0.76,122,0.353,9.4,0.8,12,1.4,0.138,1935,1942,"1B",703
305,"Todd Allen",175,622,97,171,34,4,8,83,41,NA,68,NA,NA,5,12,NA,NA,0.275,0.351,0.381,0.732,107,0.35,9.6,NA,NA,1.1,0.106,1908,1925,"3B",707
306,"Quincy Trouppe",204,631,111,170,31,11,7,94,12,0,88,6,3,8,10,1,0,0.269,0.365,0.387,0.752,114,0.354,11.9,1.3,8.83,0.9,0.117,1930,1948,"C",738
307,"John Britton",150,621,82,169,19,6,1,72,10,0,24,2,0,5,10,2,0,0.272,0.304,0.327,0.631,88,0.299,3.6,0.6,7,0.2,0.055,1942,1948,"3B",662
308,"Jasper Washington",151,556,75,168,41,5,3,96,5,0,24,2,NA,12,12,1,NA,0.302,0.344,0.41,0.754,94,0.345,4,0.8,5,0.5,0.108,1922,1933,"1B",605
309,"Dave Hoskins",158,565,87,165,22,11,5,87,3,1,39,7,0,2,12,1,0,0.292,0.339,0.396,0.736,104,0.342,6.3,1.1,5.57,0.8,0.104,1942,1946,"RF",619
310,"Bill Cooper",196,604,104,165,26,4,7,78,9,1,64,14,0,2,10,0,0,0.273,0.345,0.364,0.709,91,0.333,9.4,2.1,4.36,1,0.091,1937,1946,"C",680
311,"José Magriñat",202,736,68,165,29,8,2,74,12,NA,39,NA,NA,1,27,NA,NA,0.224,0.264,0.293,0.558,76,0.259,4.9,NA,NA,0.2,0.069,1906,1916,"LF",803
312,"Jimmy Ford",176,635,86,165,20,9,4,80,11,0,48,2,1,1,8,1,1,0.26,0.312,0.339,0.651,92,0.309,6.9,0.6,12.5,0.6,0.079,1937,1945,"2B",693
313,"Recurvon Terán",176,666,87,165,23,7,4,87,15,0,56,0,NA,5,18,1,NA,0.248,0.31,0.321,0.632,87,0.301,7.5,0,NA,0.5,0.074,1915,1924,"2B",746
314,"Charlie Spearman",181,555,90,165,31,6,14,100,8,0,50,NA,NA,6,18,0,NA,0.297,0.362,0.45,0.812,111,0.363,7.9,NA,NA,2.2,0.153,1919,1929,"C",629
315,"Joe Scott",141,537,74,164,20,8,3,70,12,1,31,1,NA,2,2,NA,NA,0.305,0.346,0.389,0.735,107,0.344,5.4,0.2,29,0.5,0.084,1927,1938,"1B",572
316,"Harry Moore",180,693,103,164,29,4,5,88,10,NA,57,NA,NA,3,16,NA,NA,0.237,0.297,0.312,0.609,79,0.287,7.4,NA,NA,0.7,0.075,1894,1913,"1B",769
317,"Ernest Duff",142,492,90,163,27,7,4,69,17,NA,26,0,NA,4,14,NA,NA,0.331,0.37,0.439,0.809,112,0.362,4.9,0,NA,0.7,0.108,1925,1929,"RF",536
318,"Jim Starks",183,604,95,163,31,5,15,93,10,1,62,6,1,4,8,1,1,0.27,0.341,0.412,0.754,100,0.344,9.1,1.3,6.83,2.2,0.142,1927,1946,"1B",679
319,"Minnie Miñoso",122,514,97,161,32,12,9,66,11,2,40,1,0,5,1,NA,0,0.313,0.369,0.475,0.843,141,0.394,7.1,0.2,36,1.6,0.161,1946,1948,"3B",560
320,"Wesley Pryor",139,549,82,161,22,7,3,73,12,NA,31,NA,NA,4,11,NA,NA,0.293,0.336,0.375,0.711,110,0.331,5.2,NA,NA,0.5,0.082,1907,1914,"3B",595
321,"Harry Buckner",153,506,91,161,38,10,10,88,26,NA,42,NA,NA,21,10,NA,NA,0.318,0.394,0.492,0.886,168,0.41,7.3,NA,NA,1.7,0.174,1896,1917,"RF",579
322,"Norman Robinson",171,588,84,160,23,7,0,72,15,1,40,0,0,2,5,0,0,0.272,0.321,0.335,0.656,76,0.313,6.3,0,NA,0,0.063,1940,1948,"RF",635
323,"Subby Byas",196,593,81,159,25,4,3,64,10,2,62,3,1,8,18,0,0,0.268,0.345,0.339,0.684,96,0.322,9.1,0.5,17.67,0.4,0.071,1932,1942,"C",681
324,"Milton Lewis",168,580,71,159,24,6,19,102,0,0,35,9,0,4,8,0,1,0.274,0.32,0.434,0.754,100,0.34,5.6,10.5,0.33,3,0.16,1922,1928,"2B",627
325,"Eppie Hamilton",209,546,57,158,22,8,3,67,5,NA,21,1,NA,3,14,NA,NA,0.289,0.319,0.375,0.695,90,0.316,3.6,0.7,7,0.5,0.086,1923,1937,"C",584
326,"Billy Horne",194,683,85,158,16,8,2,76,13,0,60,8,0,1,23,1,1,0.231,0.294,0.287,0.581,75,0.276,7.8,1.5,4.88,0.3,0.056,1938,1946,"2B",768
327,"Thad Christopher",193,632,94,158,30,5,14,82,11,1,84,2,0,2,9,0,0,0.25,0.34,0.38,0.72,99,0.337,11.6,0.4,31,1.9,0.13,1935,1945,"LF",727
328,"John Cason",195,655,55,157,19,5,3,63,5,0,57,1,NA,8,23,1,NA,0.24,0.308,0.298,0.606,69,0.285,7.7,0.7,14,0.4,0.058,1918,1928,"C",744
329,"Lou Dials",178,592,81,157,26,14,7,80,12,0,61,2,NA,1,15,NA,NA,0.265,0.335,0.392,0.727,97,0.333,9.1,1.1,5.5,1,0.127,1927,1936,"RF",669
330,"Pedro Arango",158,586,74,157,21,10,9,85,12,NA,41,3,NA,7,12,0,NA,0.268,0.323,0.384,0.707,91,0.321,6.3,2,3.33,1.4,0.116,1925,1939,"3B",646
331,"Rogelio Alonso",182,648,74,157,25,8,1,55,17,NA,47,1,NA,4,7,NA,NA,0.242,0.298,0.31,0.608,72,0.284,6.7,0.7,6,0.1,0.068,1927,1930,"LF",706
332,"Frank Russell",159,581,81,156,28,8,0,77,11,0,31,1,0,7,19,0,0,0.269,0.313,0.344,0.658,78,0.306,4.9,0.2,12,0,0.076,1943,1948,"2B",638
333,"Milt Laurent",191,666,90,156,29,7,3,78,23,NA,37,0,NA,1,14,NA,NA,0.234,0.276,0.312,0.588,61,0.27,5.2,0,NA,0.4,0.078,1929,1932,"2B",718
334,"Pete Booker",160,560,87,155,27,0,0,61,6,NA,36,NA,NA,7,25,NA,NA,0.277,0.328,0.325,0.653,91,0.302,5.7,NA,NA,0,0.048,1905,1917,"C",628
335,"Rogelio Linares",172,611,82,155,30,9,4,79,6,0,50,6,1,9,14,0,0,0.254,0.319,0.352,0.671,83,0.314,7.3,1.1,5.5,0.6,0.098,1940,1946,"LF",684
336,"Jimmy Wilkes",179,655,115,154,19,8,5,60,10,0,86,0,0,3,10,NA,1,0.235,0.327,0.311,0.638,78,0.311,11.4,0,NA,0.7,0.076,1945,1948,"CF",754
337,"Leon Ruffin",241,725,81,154,19,2,2,91,7,0,56,4,0,7,20,0,0,0.212,0.275,0.252,0.528,42,0.254,6.9,1,8,0.2,0.04,1935,1946,"C",808
338,"Red Moore",166,553,79,154,24,8,3,88,5,0,58,4,0,5,23,0,0,0.278,0.352,0.367,0.719,96,0.331,9.1,0.7,11.75,0.5,0.089,1936,1940,"1B",639
339,"Ed Steele",131,454,100,154,25,15,9,82,15,3,69,3,1,16,8,1,0,0.339,0.443,0.52,0.962,180,0.446,12.6,1.1,10.67,1.6,0.181,1942,1948,"RF",548
340,"Bill Kindle",128,494,100,152,18,6,3,59,39,NA,44,NA,NA,5,23,0,NA,0.308,0.37,0.387,0.757,115,0.351,7.8,NA,NA,0.5,0.079,1911,1925,"2B",566
341,"Silvio García",132,475,67,152,22,7,9,90,25,0,38,0,0,6,5,NA,1,0.32,0.378,0.453,0.83,125,0.386,7.3,0,NA,1.7,0.133,1936,1947,"SS",524
342,"Gervasio González",172,637,93,152,25,4,3,77,12,NA,69,NA,NA,8,28,NA,NA,0.239,0.321,0.305,0.625,100,0.299,9.3,NA,NA,0.4,0.066,1910,1917,"1B",742
343,"Dennis Graham",125,449,78,152,17,6,1,70,14,1,31,1,0,0,8,0,NA,0.339,0.381,0.41,0.791,101,NA,NA,NA,NA,NA,NA,1921,1931,"RF",488
344,"Eddie Douglass",140,565,79,152,18,3,8,64,19,0,28,NA,NA,1,14,0,NA,0.269,0.305,0.354,0.659,94,0.303,4.6,NA,NA,1.3,0.085,1918,1925,"1B",608
345,"Luis Bustamante",172,643,81,151,19,5,0,49,25,NA,58,NA,NA,2,16,NA,NA,0.235,0.3,0.28,0.58,83,0.279,8.1,NA,NA,0,0.045,1904,1913,"SS",719
346,"Robert Bonner",173,632,87,149,38,7,8,71,9,0,42,2,NA,6,16,0,NA,0.236,0.29,0.356,0.646,64,0.293,6,1,7,1.1,0.12,1921,1926,"1B",696
347,"Bill Johnson",157,528,70,148,24,11,8,72,10,NA,45,NA,NA,2,17,0,NA,0.28,0.339,0.413,0.752,99,0.339,7.6,NA,NA,1.4,0.133,1920,1928,"C",592
348,"Eugene Moore",161,600,86,148,23,5,1,64,36,1,51,1,NA,11,21,0,NA,0.247,0.317,0.307,0.624,75,0.296,7.5,0.9,11,0.1,0.06,1909,1921,"RF",683
349,"Paul Hardy",220,659,81,148,16,7,1,59,9,0,46,3,0,5,17,0,0,0.225,0.28,0.275,0.555,63,0.264,6.3,0.6,11.33,0.1,0.05,1932,1943,"C",727
350,"John Shackelford",145,519,67,148,13,6,6,50,14,0,23,0,0,0,8,0,0,0.285,0.315,0.368,0.684,79,0.312,4.2,0,NA,1.1,0.083,1924,1930,"3B",550
351,"Johnny Pugh",170,575,93,147,23,5,8,86,51,0,49,0,0,11,12,1,NA,0.256,0.325,0.355,0.68,95,0.328,7.6,0,NA,1.2,0.099,1908,1922,"RF",648
352,"Willie Woods",175,638,63,146,9,2,0,45,27,1,28,1,0,10,23,0,NA,0.229,0.272,0.249,0.521,51,0.247,4,0.2,17,0,0.02,1919,1926,"CF",699
353,"Danny McClellan",135,518,72,144,18,5,0,47,12,NA,38,NA,NA,1,13,NA,NA,0.278,0.329,0.332,0.661,105,0.316,6.7,NA,NA,0,0.054,1903,1913,"CF",570
354,"Chico Renfroe",155,518,83,143,20,10,1,58,10,0,62,0,NA,9,24,NA,0,0.276,0.363,0.359,0.722,101,0.339,10.1,0,NA,0.2,0.083,1945,1948,"SS",613
355,"Chuffie Alexander",162,545,72,143,22,8,1,45,18,NA,21,1,NA,2,26,NA,NA,0.262,0.292,0.338,0.63,85,0.281,3.5,0.2,16,0.2,0.075,1927,1932,"LF",594
356,"Tatica Campos",190,653,74,142,12,0,2,46,20,1,76,NA,NA,0,24,0,NA,0.217,0.299,0.245,0.544,74,0.269,10.1,NA,NA,0.3,0.028,1915,1930,"RF",753
357,"Scrappy Brown",178,600,68,140,17,5,2,47,19,1,28,2,NA,4,32,0,NA,0.233,0.272,0.288,0.56,48,0.253,4.2,0.9,5,0.3,0.055,1920,1930,"SS",664
358,"John Bissant",146,504,80,140,19,10,3,50,8,1,36,3,0,1,8,0,1,0.278,0.327,0.373,0.7,112,0.33,6.6,1,6.33,0.5,0.095,1937,1947,"LF",549
359,"Johnie Watson",162,575,98,140,19,7,4,61,15,NA,42,0,NA,1,17,0,NA,0.243,0.296,0.322,0.618,59,0.284,6.6,0,NA,0.6,0.078,1917,1926,"LF",635
360,"Burdell Young",137,517,78,139,18,12,7,57,14,NA,38,NA,NA,2,17,0,NA,0.269,0.321,0.391,0.712,82,0.321,6.6,NA,NA,1.2,0.122,1922,1928,"RF",574
361,"Jim Gilliam",144,502,96,139,23,9,0,68,18,1,68,0,0,3,16,NA,0,0.277,0.366,0.359,0.725,103,0.343,11.5,0,NA,0,0.082,1946,1948,"2B",589
362,"Isaac Lane",138,508,91,138,13,7,4,50,23,0,45,1,NA,4,10,0,NA,0.272,0.336,0.348,0.684,87,0.322,7.9,0.2,36,0.7,0.077,1918,1922,"3B",567
363,"Louis Miller",180,664,62,137,23,2,1,62,18,0,44,1,NA,5,27,1,NA,0.206,0.261,0.252,0.512,50,0.244,5.9,0.6,11,0.1,0.045,1910,1923,"3B",741
364,"Buck Miller",232,618,67,137,16,10,0,44,7,0,55,1,0,0,20,0,0,0.222,0.285,0.28,0.565,58,0.263,7.9,1.2,6,0,0.058,1924,1930,"SS",693
365,"Tack Summers",147,491,62,137,17,6,2,47,5,NA,38,1,NA,8,10,NA,NA,0.279,0.341,0.35,0.691,80,0.32,6.9,0.4,17,0.4,0.071,1923,1928,"LF",547
366,"T. J. Brown",172,561,64,136,28,5,0,49,12,0,35,1,0,5,25,0,0,0.242,0.293,0.31,0.603,81,0.283,5.6,0.2,29,0,0.068,1939,1948,"SS",626
367,"Chappie Johnson",184,634,57,135,25,1,5,61,12,NA,52,NA,NA,5,34,0,NA,0.213,0.278,0.279,0.557,69,0.262,7.2,NA,NA,0.7,0.066,1899,1922,"C",725
368,"Lee Moody",123,468,55,134,20,3,2,70,6,0,16,0,0,0,10,0,NA,0.286,0.31,0.355,0.665,100,NA,NA,NA,NA,NA,NA,1944,1947,"1B",494
369,"Johnny Ray",174,610,102,134,7,5,0,40,9,0,80,6,0,13,10,1,0,0.22,0.322,0.248,0.57,71,0.288,11.2,1.4,8.33,0,0.028,1937,1945,"CF",714
370,"Charlie Parks",178,495,57,134,25,8,6,64,3,0,58,10,1,2,13,0,1,0.271,0.35,0.39,0.739,104,0.343,10.2,1.8,5.7,1.1,0.119,1938,1947,"C",568
371,"Art Pennington",139,498,71,134,14,8,7,64,10,0,67,7,0,2,4,0,0,0.269,0.358,0.371,0.73,125,0.351,11.7,2,5.43,1.2,0.102,1941,1945,"LF",571
372,"Carlos Morán",127,487,90,132,21,6,3,48,12,NA,49,NA,NA,3,18,NA,NA,0.271,0.341,0.357,0.699,113,0.325,8.8,NA,NA,0.5,0.086,1906,1914,"3B",557
373,"Babe Melton",114,401,81,132,19,18,16,71,14,NA,30,0,NA,4,7,NA,NA,0.329,0.382,0.586,0.968,135,NA,NA,NA,NA,NA,NA,1926,1929,"CF",442
374,"Ernest Gatewood",215,666,63,132,10,5,0,60,11,NA,52,NA,NA,1,15,0,NA,0.198,0.257,0.228,0.486,36,0.238,7.1,NA,NA,0,0.03,1914,1927,"C",734
375,"James Buford",125,448,54,131,12,6,3,48,13,NA,17,NA,NA,1,8,NA,NA,0.292,0.32,0.366,0.686,95,NA,NA,NA,NA,NA,NA,1929,1933,"2B",474
376,"Bud Barbee",173,490,63,130,13,5,6,67,4,1,52,1,1,1,7,0,0,0.265,0.337,0.349,0.686,87,0.324,9.5,0.6,15,1.1,0.084,1937,1948,"1B",550
377,"Sam Hairston",115,414,74,129,23,4,5,62,7,0,42,1,0,3,5,0,1,0.312,0.379,0.423,0.802,126,NA,NA,NA,NA,NA,NA,1944,1948,"3B",464
378,"William Parks",128,476,62,129,18,4,2,48,13,NA,44,NA,NA,2,23,0,NA,0.271,0.335,0.338,0.673,103,0.316,8.1,NA,NA,0.4,0.067,1909,1922,"SS",545
379,"Robert Gaston",197,564,67,129,28,3,2,75,1,1,64,4,0,7,15,0,0,0.229,0.315,0.3,0.615,67,0.294,9.8,0.9,10.5,0.3,0.071,1932,1948,"C",650
380,"George Wright",122,459,54,128,24,1,2,56,9,NA,28,NA,NA,1,5,NA,NA,0.279,0.322,0.349,0.67,96,NA,NA,NA,NA,NA,NA,1904,1913,"SS",493
381,"Lyman Bostock",109,394,46,128,18,7,0,54,4,0,29,0,0,0,9,NA,0,0.325,0.371,0.406,0.777,128,NA,NA,NA,NA,NA,NA,1940,1948,"1B",432
382,"Marvin Williams",85,335,68,127,24,10,8,79,6,NA,25,10,1,2,4,0,0,0.379,0.425,0.582,1.008,161,NA,NA,NA,NA,NA,NA,1943,1945,"2B",366
383,"Bob Thurman",119,379,60,126,19,7,8,65,10,0,24,0,NA,3,3,NA,NA,0.332,0.377,0.483,0.86,142,NA,NA,NA,NA,NA,NA,1946,1948,"RF",409
384,"John Kemp",140,487,52,126,17,2,3,48,7,NA,23,NA,NA,0,21,NA,NA,0.259,0.292,0.32,0.612,74,0.28,4.3,NA,NA,0.6,0.062,1923,1928,"CF",531
385,"Dave Campbell",135,484,65,125,17,6,2,37,7,0,45,2,0,2,11,NA,0,0.258,0.324,0.331,0.654,72,0.306,8.3,0.4,22.5,0.4,0.072,1938,1942,"2B",542
386,"Harry Bauchman",173,588,71,125,13,5,1,55,21,2,49,0,NA,2,24,0,NA,0.213,0.275,0.257,0.532,68,0.256,7.4,0,NA,0.2,0.044,1911,1921,"2B",663
387,"John Lyles",143,495,82,125,16,4,1,48,21,0,44,4,0,8,10,0,0,0.253,0.324,0.307,0.631,90,0.305,7.9,1,8.25,0.2,0.055,1932,1943,"SS",557
388,"Will Owens",175,591,55,125,8,2,0,43,6,NA,32,0,NA,1,15,NA,NA,0.212,0.253,0.232,0.485,34,0.229,5,0,NA,0,0.02,1923,1933,"SS",639
389,"Marshall Riddle",131,452,45,124,13,9,1,48,15,0,39,3,0,1,12,0,0,0.274,0.333,0.35,0.683,105,0.322,7.7,0.7,10.67,0.2,0.075,1937,1943,"2B",504
390,"Willie Grace",113,400,45,123,16,4,1,54,5,3,26,0,0,1,10,0,0,0.308,0.351,0.375,0.726,111,NA,NA,NA,NA,NA,NA,1943,1948,"RF",437
391,"Granville Lyons",129,469,53,122,17,10,4,52,3,1,24,2,NA,2,11,NA,NA,0.26,0.299,0.365,0.664,82,0.3,4.7,1.1,5,0.8,0.104,1932,1942,"1B",506
392,"Rafael Figarola",160,507,52,120,11,1,2,46,11,NA,37,NA,NA,2,33,NA,NA,0.237,0.291,0.274,0.565,80,0.263,6.4,NA,NA,0.3,0.037,1904,1923,"C",579
393,"Sylvester Foreman",187,536,63,120,12,10,3,57,3,0,62,3,0,4,19,0,0,0.224,0.309,0.3,0.609,64,0.286,10,2.3,3.33,0.5,0.076,1921,1932,"C",621
394,"Ralph Wyatt",126,490,69,120,9,9,3,49,10,0,33,0,0,0,10,0,0,0.245,0.293,0.318,0.611,87,0.289,6.2,0,NA,0.6,0.073,1941,1946,"SS",533
395,"Verdell Mathis",168,446,68,120,10,1,1,39,6,0,43,4,1,0,7,0,0,0.269,0.333,0.303,0.636,89,NA,NA,NA,NA,NA,NA,1940,1948,"CF",496
396,"Horace Jenkins",124,422,54,119,13,3,0,42,4,NA,32,0,NA,9,10,0,NA,0.282,0.346,0.327,0.673,114,NA,NA,NA,NA,NA,NA,1910,1921,"CF",473
397,"Sidney Brooks",186,528,48,119,20,1,0,43,16,1,51,0,NA,3,17,0,NA,0.225,0.297,0.267,0.564,55,0.273,8.5,0,NA,0,0.042,1919,1926,"LF",599
398,"Jesse Douglas",106,405,62,118,13,7,1,46,13,2,30,0,0,3,6,0,0,0.291,0.345,0.365,0.71,117,NA,NA,NA,NA,NA,NA,1940,1945,"2B",444
399,"Harry Simpson",124,412,71,118,18,4,3,53,6,NA,41,1,1,1,2,NA,0,0.286,0.352,0.371,0.724,106,NA,NA,NA,NA,NA,NA,1946,1948,"CF",456
400,"Fernando Díaz",119,455,59,117,17,7,1,49,14,0,41,1,0,5,8,0,0,0.257,0.325,0.332,0.657,84,0.315,8.1,0.3,32,0.2,0.075,1945,1947,"RF",509
401,"Cleo Smith",112,407,77,117,16,8,5,56,19,0,39,1,NA,0,18,0,NA,0.287,0.35,0.403,0.753,106,NA,NA,NA,NA,NA,NA,1922,1928,"2B",464
402,"Cleveland Clark",136,443,68,115,18,10,2,52,7,0,56,1,0,2,12,0,NA,0.26,0.345,0.359,0.704,100,0.333,10.9,0.2,53,0.4,0.099,1945,1948,"CF",513
