Date,Site,set,play_description,set_winner,losing_team_at_timeout,losing_team_win,home_before_timeout,visiting_before_timeout,winner_next_point,home_after_timeout,visiting_after_timeout,overall_set_number
2014-10-25,"Juniata (Memorial Gym)

",2,Timeout Stevenson.,visiting,home,FALSE,21,22,home,22,22,946
2014-10-25,"Juniata (Memorial Gym)

",3,Timeout Stevenson.,visiting,home,FALSE,4,9,visiting,4,10,947
2014-10-25,"Juniata (Memorial Gym)

",3,Timeout Eastern.,visiting,home,FALSE,8,13,visiting,8,14,947
2014-10-25,"Juniata (Memorial Gym)

",3,Timeout Stevenson.,visiting,home,FALSE,8,18,home,9,18,947
2014-10-25,"Juniata (Memorial Gym)

",1,Timeout Eastern.,visiting,home,FALSE,13,14,home,14,14,948
2014-10-25,"Juniata (Memorial Gym)

",1,Timeout Carnegie Mellon.,visiting,home,FALSE,23,24,visiting,23,25,948
2014-10-25,"Juniata (Memorial Gym)

",2,Timeout Carnegie Mellon.,home,visiting,FALSE,14,9,visiting,14,10,949
2014-10-25,"Juniata (Memorial Gym)

",3,Timeout Carnegie Mellon.,home,visiting,FALSE,7,0,home,8,0,950
2014-10-25,"Juniata (Memorial Gym)

",3,Timeout Carnegie Mellon.,home,visiting,FALSE,14,2,visiting,14,3,950
2014-10-31,"St. Davids, PA (The Gymnasium)

",1,Timeout Susquehanna.,visiting,home,FALSE,12,18,visiting,12,19,952
2014-10-31,"St. Davids, PA (The Gymnasium)

",1,Timeout Susquehanna.,visiting,home,FALSE,13,21,visiting,13,22,952
2014-10-31,"St. Davids, PA (The Gymnasium)

",2,Timeout Susquehanna.,visiting,home,FALSE,17,19,visiting,17,20,953
2014-10-31,"St. Davids, PA (The Gymnasium)

",2,Timeout Susquehanna.,visiting,home,FALSE,19,23,home,20,23,953
2014-10-31,"St. Davids, PA (The Gymnasium)

",3,Timeout Eastern.,home,visiting,FALSE,12,8,home,13,8,954
2014-10-31,"St. Davids, PA (The Gymnasium)

",3,Timeout Susquehanna.,home,visiting,FALSE,18,17,home,19,17,954
2014-10-31,"St. Davids, PA (The Gymnasium)

",4,Timeout Eastern.,visiting,visiting,TRUE,10,6,visiting,10,7,955
2014-10-31,"St. Davids, PA (The Gymnasium)

",4,Timeout Susquehanna.,visiting,home,FALSE,11,14,visiting,11,15,955
2014-10-31,"St. Davids, PA (The Gymnasium)

",4,Timeout Eastern.,visiting,visiting,TRUE,19,18,visiting,19,19,955
2014-10-31,"St. Davids, PA (The Gymnasium)

",4,Timeout Susquehanna.,visiting,home,FALSE,19,21,home,20,21,955
2014-11-05,"St. Davids, PA (The Gymnasium)

",1,Timeout Wilkes.,visiting,home,FALSE,7,13,visiting,7,14,956
2014-11-05,"St. Davids, PA (The Gymnasium)

",2,Timeout Wilkes.,visiting,home,FALSE,3,10,home,4,10,957
2014-11-05,"St. Davids, PA (The Gymnasium)

",2,Timeout Wilkes.,visiting,home,FALSE,14,22,visiting,14,23,957
2014-11-05,"St. Davids, PA (The Gymnasium)

",3,Timeout Wilkes.,visiting,home,FALSE,5,13,visiting,5,14,958
2014-11-08,"St. Davids, PA (The Gymnasium)

",1,Timeout DeSales University.,visiting,home,FALSE,8,13,home,9,13,959
2014-11-08,"St. Davids, PA (The Gymnasium)

",1,Timeout Eastern.,visiting,visiting,TRUE,18,17,home,19,17,959
2014-11-08,"St. Davids, PA (The Gymnasium)

",1,Timeout DeSales University.,visiting,home,FALSE,20,22,home,21,22,959
2014-11-08,"St. Davids, PA (The Gymnasium)

",2,Timeout DeSales University.,visiting,home,FALSE,1,7,visiting,1,8,960
2014-11-08,"St. Davids, PA (The Gymnasium)

",2,Timeout DeSales University.,visiting,home,FALSE,2,15,visiting,2,16,960
2014-11-08,"St. Davids, PA (The Gymnasium)

",3,Timeout DeSales University.,visiting,home,FALSE,6,11,visiting,6,12,961
2014-11-08,"St. Davids, PA (The Gymnasium)

",3,Timeout Eastern.,visiting,home,FALSE,14,17,visiting,14,18,961
2014-11-08,"St. Davids, PA (The Gymnasium)

",3,Timeout DeSales University.,visiting,home,FALSE,17,22,visiting,17,23,961
2014-11-14,"Newport News, Va. (The Freeman Center)

",1,Timeout Salem.,visiting,home,FALSE,5,10,visiting,5,11,962
2014-11-14,"Newport News, Va. (The Freeman Center)

",2,Timeout Salem.,visiting,home,FALSE,7,14,visiting,7,15,963
2014-11-14,"Newport News, Va. (The Freeman Center)

",3,Timeout Salem.,visiting,home,FALSE,2,6,visiting,2,7,964
2014-11-15,"Newport News, Va. (The Freeman Center)

",1,Timeout Haverford.,visiting,home,FALSE,11,21,home,12,21,965
2014-11-15,"Newport News, Va. (The Freeman Center)

",1,Timeout Eastern.,visiting,home,FALSE,19,24,home,20,24,965
2014-11-15,"Newport News, Va. (The Freeman Center)

",2,Timeout Eastern.,visiting,visiting,TRUE,16,14,visiting,16,15,966
2014-11-15,"Newport News, Va. (The Freeman Center)

",2,Timeout Haverford.,visiting,home,FALSE,20,23,visiting,20,24,966
2014-11-15,"Newport News, Va. (The Freeman Center)

",2,Timeout Haverford.,visiting,home,FALSE,20,24,visiting,20,25,966
2014-11-15,"Newport News, Va. (The Freeman Center)

",3,Timeout Haverford.,visiting,visiting,TRUE,7,6,home,8,6,967
2014-11-15,"Newport News, Va. (The Freeman Center)

",3,Timeout Haverford.,visiting,home,FALSE,12,19,visiting,12,20,967
2014-11-16,"Newport News, Va. (The Freeman Center)

",1,Timeout Eastern.,visiting,home,FALSE,5,10,home,6,10,968
2014-11-16,"Newport News, Va. (The Freeman Center)

",1,Timeout Chris. Newport.,visiting,visiting,TRUE,14,13,visiting,14,14,968
2014-11-16,"Newport News, Va. (The Freeman Center)

",1,Timeout Eastern.,visiting,home,FALSE,15,19,visiting,15,20,968
2014-11-16,"Newport News, Va. (The Freeman Center)

",2,Timeout Chris. Newport.,visiting,visiting,TRUE,14,13,visiting,14,14,969
2014-11-16,"Newport News, Va. (The Freeman Center)

",2,Timeout Eastern.,visiting,visiting,TRUE,17,16,visiting,17,17,969
2014-11-16,"Newport News, Va. (The Freeman Center)

",2,Timeout Eastern.,visiting,home,FALSE,22,23,home,23,23,969
2014-11-16,"Newport News, Va. (The Freeman Center)

",3,Timeout Eastern.,visiting,home,FALSE,1,4,visiting,1,5,970
2014-11-16,"Newport News, Va. (The Freeman Center)

",3,Timeout Chris. Newport.,visiting,home,FALSE,6,10,visiting,6,11,970
2014-11-16,"Newport News, Va. (The Freeman Center)

",3,Timeout Eastern.,visiting,home,FALSE,15,22,home,16,22,970
2014-09-06,"Cambridge, Mass. (Malkin Athletic Cent)

",1,Timeout Harvard.,visiting,visiting,TRUE,19,17,home,20,17,971
2014-09-06,"Cambridge, Mass. (Malkin Athletic Cent)

",1,Timeout Central Conn. St..,visiting,visiting,TRUE,22,21,visiting,22,22,971
2014-09-06,"Cambridge, Mass. (Malkin Athletic Cent)

",1,Timeout Central Conn. St..,visiting,home,FALSE,22,23,visiting,22,24,971
2014-09-06,"Cambridge, Mass. (Malkin Athletic Cent)

",2,Timeout Harvard.,visiting,visiting,TRUE,12,7,visiting,12,8,972
2014-09-06,"Cambridge, Mass. (Malkin Athletic Cent)

",2,Timeout Harvard.,visiting,visiting,TRUE,22,18,home,23,18,972
2014-09-06,"Cambridge, Mass. (Malkin Athletic Cent)

",2,Timeout Central Conn. St..,visiting,visiting,TRUE,24,22,visiting,24,23,972
2014-09-06,"Cambridge, Mass. (Malkin Athletic Cent)

",2,Timeout Central Conn. St..,visiting,tied,FALSE,24,24,visiting,24,25,972
2014-09-06,"Cambridge, Mass. (Malkin Athletic Cent)

",3,Timeout Central Conn. St..,visiting,home,FALSE,12,15,visiting,12,16,973
2014-09-06,"Cambridge, Mass. (Malkin Athletic Cent)

",3,Timeout Central Conn. St..,visiting,home,FALSE,17,22,home,18,22,973
2014-09-06,"Cambridge, Mass. (Malkin Athletic Cent)

",1,Timeout DELAWARE.,home,visiting,FALSE,20,17,home,21,17,974
