"Event","NOC"
"Rowing Men's Double Sculls","MEX"
"Rowing Men's Double Sculls","NED"
"Rowing Men's Double Sculls","NOR"
"Rowing Men's Double Sculls","NZL"
"Rowing Men's Double Sculls","POL"
"Rowing Men's Double Sculls","POR"
"Rowing Men's Double Sculls","ROU"
"Rowing Men's Double Sculls","RUS"
"Rowing Men's Double Sculls","SLO"
"Rowing Men's Double Sculls","SRB"
"Rowing Men's Double Sculls","SUI"
"Rowing Men's Double Sculls","SVK"
"Rowing Men's Double Sculls","SWE"
"Rowing Men's Double Sculls","TCH"
"Rowing Men's Double Sculls","UKR"
"Rowing Men's Double Sculls","URS"
"Rowing Men's Double Sculls","URU"
"Rowing Men's Double Sculls","USA"
"Rowing Men's Double Sculls","YUG"
"Rowing Men's Lightweight Coxless Fours","ARG"
"Rowing Men's Lightweight Coxless Fours","AUS"
"Rowing Men's Lightweight Coxless Fours","AUT"
"Rowing Men's Lightweight Coxless Fours","CAN"
"Rowing Men's Lightweight Coxless Fours","CHI"
"Rowing Men's Lightweight Coxless Fours","CHN"
"Rowing Men's Lightweight Coxless Fours","CZE"
"Rowing Men's Lightweight Coxless Fours","DEN"
"Rowing Men's Lightweight Coxless Fours","EGY"
"Rowing Men's Lightweight Coxless Fours","ESP"
"Rowing Men's Lightweight Coxless Fours","FRA"
"Rowing Men's Lightweight Coxless Fours","GBR"
"Rowing Men's Lightweight Coxless Fours","GER"
"Rowing Men's Lightweight Coxless Fours","GRE"
"Rowing Men's Lightweight Coxless Fours","IRL"
"Rowing Men's Lightweight Coxless Fours","ITA"
"Rowing Men's Lightweight Coxless Fours","JPN"
"Rowing Men's Lightweight Coxless Fours","NED"
"Rowing Men's Lightweight Coxless Fours","NZL"
"Rowing Men's Lightweight Coxless Fours","POL"
"Rowing Men's Lightweight Coxless Fours","POR"
"Rowing Men's Lightweight Coxless Fours","RSA"
"Rowing Men's Lightweight Coxless Fours","RUS"
"Rowing Men's Lightweight Coxless Fours","SCG"
"Rowing Men's Lightweight Coxless Fours","SUI"
"Rowing Men's Lightweight Coxless Fours","USA"
