name,team,position,height,height_inches,wingspan,wingspan_inches,wingspan_advantage,games,minutes,fg_percent,avg_dist_of_fg,2pt_rate,3pt_rate,2pt_percent,3pt_percent,e_fg_percent,ft_percent,ts_percent
Jordan Poole,WAS,SG,"6'3.5""",75.5,"6'6.75""",78.75,3.25,68,2001,0.432,18.8,0.412,0.588,0.51,0.378,0.544,0.883,0.591
Jordan Walsh,BOS,SF,"6'5.75""",77.75,"7'1.75""",85.75,8,52,403,0.361,17.7,0.337,0.663,0.536,0.273,0.452,0.583,0.464
Jose Alvarado,NOP,PG,"5'11""",71,"6'1""",73,2,56,1366,0.392,17.9,0.407,0.593,0.439,0.359,0.498,0.811,0.523
Josh Christopher,MIA,SG,"6'3.25""",75.25,"6'9.25""",81.25,6,14,69,0.355,11.5,0.645,0.355,0.45,0.182,0.387,0.667,0.416
Josh Giddey,CHI,SF,"6'8""",80,"6'7.5""",79.5,-0.5,70,2117,0.465,12.3,0.652,0.348,0.512,0.378,0.531,0.781,0.57
Josh Green,CHA,SG,"6'4.5""",76.5,"6'9.75""",81.75,5.25,68,1887,0.428,16.8,0.411,0.589,0.48,0.391,0.543,0.681,0.559
Josh Hart,NYK,SF,"6'3.75""",75.75,"6'8.25""",80.25,4.5,77,2897,0.525,11.3,0.673,0.327,0.618,0.333,0.579,0.776,0.611
Josh Minott,MIN,PF,"6'7.5""",79.5,"6'11.75""",83.75,4.25,46,276,0.489,12.9,0.522,0.478,0.638,0.326,0.567,0.895,0.605
Josh Okogie,CHA,SF,"6'3""",75,"7'0""",84,9,40,625,0.443,13.2,0.566,0.434,0.517,0.348,0.519,0.741,0.567
Jrue Holiday,BOS,PG,"6'3.25""",75.25,"6'7""",79,3.75,62,1896,0.443,16.2,0.466,0.534,0.547,0.353,0.538,0.909,0.565
Julian Champagnie,SAS,SF,"6'7""",79,"6'10""",82,3,82,1932,0.415,19.3,0.278,0.722,0.53,0.371,0.549,0.904,0.577
Julian Phillips,CHI,SF,"6'6.75""",78.75,"6'11.5""",83.5,4.75,79,1123,0.446,14.2,0.467,0.533,0.582,0.327,0.533,0.789,0.571
Julian Strawther,DEN,SF,"6'6""",78,"6'9.25""",81.25,3.25,65,1384,0.432,17.2,0.447,0.553,0.535,0.349,0.529,0.822,0.559
Julius Randle,MIN,PF,"6'7.75""",79.75,"7'0""",84,4.25,69,2226,0.485,12.4,0.666,0.334,0.555,0.344,0.542,0.806,0.593
Jusuf Nurkić,CHA,C,"6'11.5""",83.5,"7'2""",86,2.5,51,1063,0.477,10.9,0.702,0.298,0.551,0.305,0.523,0.664,0.555
KJ Martin,UTA,SF,"6'6""",78,"6'7.25""",79.25,1.25,43,912,0.552,9,0.711,0.289,0.671,0.259,0.59,0.787,0.618
Karl-Anthony Towns,NYK,C,"6'11""",83,"7'3.5""",87.5,4.5,72,2517,0.526,10.8,0.722,0.278,0.567,0.42,0.584,0.829,0.63
Kawhi Leonard,LAC,SF,"6'6""",78,"7'3""",87,9,37,1180,0.498,14.4,0.695,0.305,0.536,0.411,0.56,0.81,0.589
Keegan Murray,SAC,PF,"6'8""",80,"6'11""",83,3,76,2610,0.444,17.2,0.452,0.548,0.566,0.343,0.538,0.833,0.553
Kel'el Ware,MIA,C,"6'11.75""",83.75,"7'4.5""",88.5,4.75,64,1422,0.554,9.3,0.761,0.239,0.629,0.315,0.592,0.687,0.603
Keldon Johnson,SAS,SF,"6'4.75""",76.75,"6'9.25""",81.25,4.5,77,1838,0.482,11.3,0.644,0.356,0.573,0.318,0.538,0.773,0.572
Kelly Olynyk,NOP,C,"6'10.75""",82.75,"6'9.75""",81.75,-1,44,891,0.5,11.6,0.705,0.295,0.534,0.418,0.562,0.769,0.609
Kelly Oubre Jr.,PHI,SF,"6'5.75""",77.75,"7'2.25""",86.25,8.5,60,2078,0.47,11.3,0.673,0.327,0.555,0.293,0.518,0.751,0.551
Kenrich Williams,OKC,SF,"6'6""",78,"6'7.25""",79.25,1.25,69,1132,0.483,15.3,0.517,0.483,0.574,0.386,0.576,0.718,0.587
Kentavious Caldwell-Pope,ORL,SG,"6'4.5""",76.5,"6'8""",80,3.5,77,2279,0.439,19.3,0.393,0.607,0.589,0.342,0.543,0.863,0.574
Keon Ellis,SAC,SG,"6'3.5""",75.5,"6'8.5""",80.5,5,80,1948,0.489,19.8,0.308,0.692,0.615,0.433,0.639,0.849,0.664
Keon Johnson,BKN,SG,"6'3.5""",75.5,"6'7.25""",79.25,3.75,79,1925,0.389,15.6,0.485,0.515,0.468,0.314,0.47,0.77,0.499
Kessler Edwards,DAL,SF,"6'7""",79,"6'11.25""",83.25,4.25,40,608,0.496,12.5,0.6,0.4,0.556,0.407,0.578,0.923,0.597
Kevin Durant,PHX,PF,"6'9""",81,"7'4.75""",88.75,7.75,62,2265,0.527,15.5,0.669,0.331,0.574,0.43,0.598,0.839,0.642
Kevin Huerter,CHI,SG,"6'6.25""",78.25,"6'7.5""",79.5,1.25,69,1679,0.425,18.8,0.353,0.647,0.587,0.338,0.535,0.714,0.544
Kevin Love,MIA,PF,"6'7.75""",79.75,"6'11.25""",83.25,3.5,23,251,0.357,17.3,0.417,0.583,0.354,0.358,0.461,0.696,0.488
Kevin McCullar Jr.,NYK,SF,"6'5.25""",77.25,"6'9""",81,3.75,4,29,0.286,9.4,0.857,0.143,0.333,0,0.286,1,0.381
Kevon Looney,GSW,C,"6'8""",80,"7'3.5""",87.5,7.5,76,1142,0.514,4.6,0.982,0.018,0.516,0.4,0.518,0.566,0.535
Keyonte George,UTA,SG,"6'4""",76,"6'6""",78,2,67,2109,0.391,17.6,0.448,0.552,0.449,0.343,0.485,0.818,0.539
Khris Middleton,WAS,SF,"6'6.75""",78.75,"6'10.75""",82.75,4,37,843,0.475,17.1,0.605,0.395,0.549,0.361,0.546,0.857,0.588
Klay Thompson,DAL,SG,"6'5.75""",77.75,"6'9""",81,3.25,72,1965,0.412,20.1,0.369,0.631,0.448,0.391,0.535,0.905,0.552
Kobe Bufkin,ATL,SG,"6'4.25""",76.25,"6'7.75""",79.75,3.5,10,124,0.383,14.2,0.596,0.404,0.5,0.211,0.426,0.722,0.483
Kris Dunn,LAC,PG,"6'3""",75,"6'9""",81,6,74,1783,0.439,15.7,0.487,0.513,0.549,0.335,0.525,0.682,0.531
Kris Murray,POR,PF,"6'7.75""",79.75,"6'11.75""",83.75,4,69,1040,0.419,12.2,0.57,0.43,0.566,0.225,0.468,0.456,0.472
Kristaps Porziņģis,BOS,C,"7'2.5""",86.5,"7'6""",90,3.5,42,1210,0.483,16,0.564,0.436,0.537,0.412,0.572,0.809,0.618
Kyle Anderson,MIA,PF,"6'7.5""",79.5,"7'2.75""",86.75,7.25,61,1002,0.469,10.9,0.769,0.231,0.502,0.357,0.51,0.738,0.538
Kyle Filipowski,UTA,PF,"6'10.75""",82.75,"6'10.5""",82.5,-0.25,72,1522,0.502,13.2,0.575,0.425,0.614,0.35,0.576,0.65,0.594
Kyle Kuzma,MIL,PF,"6'8""",80,"6'7""",79,-1,65,1936,0.436,13.5,0.631,0.369,0.512,0.307,0.493,0.634,0.514
Kyle Lowry,PHI,PG,"5'11.75""",71.75,"6'2""",74,2.25,35,659,0.35,22.5,0.248,0.752,0.414,0.33,0.474,0.818,0.525
Kyrie Irving,DAL,PG,"6'1.75""",73.75,"6'4""",76,2.25,50,1804,0.473,14.9,0.62,0.38,0.517,0.401,0.549,0.916,0.594
Kyshawn George,WAS,SF,"6'7""",79,"6'10.25""",82.25,3.25,68,1802,0.372,19.1,0.352,0.648,0.464,0.322,0.476,0.753,0.503
LaMelo Ball,CHA,PG,"6'6""",78,"6'8""",80,2,47,1505,0.405,17.8,0.474,0.526,0.478,0.339,0.494,0.843,0.536
Lamar Stevens,MEM,SF,"6'5.75""",77.75,"6'9""",81,3.25,17,155,0.46,14.4,0.571,0.429,0.583,0.296,0.524,0.727,0.545
Landry Shamet,NYK,SG,"6'4""",76,"6'6.75""",78.75,2.75,50,762,0.461,19.3,0.322,0.678,0.595,0.397,0.596,0.667,0.601
Larry Nance Jr.,ATL,C,"6'7.5""",79.5,"7'1.5""",85.5,6,24,463,0.516,15,0.51,0.49,0.582,0.447,0.626,0.692,0.632
Lauri Markkanen,UTA,PF,"6'11""",83,"6'11""",83,0,47,1476,0.423,17.3,0.43,0.57,0.525,0.346,0.521,0.876,0.571
LeBron James,LAL,PF,"6'8.5""",80.5,"7'0.25""",84.25,3.75,70,2444,0.513,13.4,0.688,0.312,0.574,0.376,0.571,0.782,0.604
Leonard Miller,MIN,PF,"6'9.25""",81.25,"7'2""",86,4.75,13,32,0.4,10.9,0.667,0.333,0.6,0,0.4,1,0.54
Lonnie Walker IV,PHI,SG,"6'3.75""",75.75,"6'10.5""",82.5,6.75,20,477,0.42,19,0.401,0.599,0.518,0.354,0.526,0.8,0.548
Lonzo Ball,CHI,PG,"6'5.25""",77.25,"6'9""",81,3.75,35,777,0.366,23,0.198,0.802,0.458,0.344,0.504,0.815,0.524
Luguentz Dort,OKC,SG,"6'2.75""",74.75,"6'8.5""",80.5,5.75,71,2073,0.435,19.5,0.304,0.696,0.489,0.412,0.578,0.717,0.586
Luka Dončić,LAL,SF,"6'6.5""",78.5,"6'11""",83,4.5,50,1769,0.45,17.4,0.531,0.469,0.522,0.368,0.536,0.782,0.587
Luka Garza,MIN,C,"6'10""",82,"7'1.5""",85.5,3.5,39,219,0.495,11.8,0.657,0.343,0.609,0.278,0.543,0.686,0.573
Luke Kennard,MEM,SG,"6'4.5""",76.5,"6'5.25""",77.25,0.75,65,1472,0.478,19.1,0.394,0.606,0.547,0.433,0.609,0.895,0.631
Luke Kornet,BOS,C,"7'1""",85,"7'1""",85,0,73,1361,0.668,2.8,0.989,0.011,0.675,0,0.668,0.691,0.683
Malaki Branham,SAS,SG,"6'4""",76,"6'10""",82,6,47,427,0.458,15.3,0.558,0.442,0.5,0.405,0.547,0.818,0.575
Malcolm Brogdon,WAS,PG,"6'3.75""",75.75,"6'10.5""",82.5,6.75,24,564,0.433,11.5,0.767,0.233,0.478,0.286,0.467,0.88,0.544
Malik Beasley,DET,SG,"6'3.5""",75.5,"6'7""",79,3.5,82,2283,0.43,20.8,0.285,0.715,0.466,0.416,0.579,0.679,0.59
Malik Monk,SAC,SG,"6'2.25""",74.25,"6'5""",77,2.75,65,2054,0.439,16,0.544,0.456,0.534,0.325,0.513,0.865,0.549
MarJon Beauchamp,NYK,SG,"6'5.25""",77.25,"7'0.75""",84.75,7.5,35,156,0.415,16,0.554,0.446,0.472,0.345,0.492,0.75,0.535
Marcus Sasser,DET,PG,"6'1.25""",73.25,"6'7""",79,5.75,57,811,0.463,17.5,0.486,0.514,0.549,0.382,0.561,0.843,0.589
Marcus Smart,WAS,PG,"6'2""",74,"6'9.25""",81.25,7.25,34,680,0.393,17.4,0.451,0.549,0.448,0.348,0.488,0.761,0.529
Mark Williams,CHA,C,"7'0""",84,"7'6.5""",90.5,6.5,44,1171,0.604,3.8,0.991,0.009,0.609,0,0.604,0.804,0.647
Markelle Fultz,SAC,PG,"6'3""",75,"6'9""",81,6,21,184,0.418,12.4,0.881,0.119,0.407,0.5,0.448,1,0.452
Markieff Morris,LAL,C,"6'7.75""",79.75,"6'10.75""",82.75,3,15,165,0.3,19.9,0.486,0.514,0.353,0.25,0.364,0.833,0.385
Marvin Bagley III,MEM,PF,"6'10.5""",82.5,"7'0""",84,1.5,31,265,0.519,7.8,0.821,0.179,0.598,0.158,0.533,0.657,0.56
Mason Plumlee,PHX,C,"6'11.25""",83.25,"6'11""",83,-0.25,74,1300,0.619,3.9,0.98,0.02,0.631,0,0.619,0.648,0.645
Matas Buzelis,CHI,PF,"6'8.75""",80.75,"6'10""",82,1.25,80,1511,0.454,13.7,0.521,0.479,0.54,0.361,0.541,0.815,0.571
Matisse Thybulle,POR,SF,"6'5""",77,"6'11.5""",83.5,6.5,15,312,0.477,15.6,0.455,0.545,0.525,0.438,0.597,0.467,0.592
Max Christie,DAL,SG,"6'4.25""",76.25,"6'8.75""",80.75,4.5,78,2127,0.427,16.9,0.468,0.532,0.496,0.366,0.525,0.855,0.57
Max Strus,CLE,SG,"6'5""",77,"6'7.5""",79.5,2.5,50,1273,0.442,20.6,0.214,0.786,0.65,0.386,0.594,0.824,0.607
Maxi Kleber,LAL,C,"6'9.25""",81.25,"6'10.75""",82.75,1.5,34,637,0.385,15.9,0.49,0.51,0.511,0.265,0.453,0.762,0.489
Maxwell Lewis,BKN,SG,"6'6.25""",78.25,"7'0""",84,5.75,28,327,0.417,13.7,0.537,0.463,0.448,0.38,0.505,0.7,0.516
Michael Porter Jr.,DEN,PF,"6'9.75""",81.75,"7'0""",84,2.25,77,2593,0.504,15.9,0.533,0.467,0.599,0.395,0.596,0.768,0.617
Mikal Bridges,NYK,SF,"6'5.75""",77.75,"7'1""",85,7.25,82,3036,0.5,14.7,0.609,0.391,0.594,0.354,0.57,0.814,0.585
Mike Conley,MIN,PG,"5'11""",71,"6'5.75""",77.75,6.75,71,1756,0.4,19.4,0.338,0.662,0.38,0.41,0.535,0.9,0.573
Miles Bridges,CHA,SF,"6'5.25""",77.25,"6'9.5""",81.5,4.25,64,2029,0.431,13.8,0.587,0.413,0.513,0.313,0.495,0.87,0.541
Miles McBride,NYK,PG,"6'1""",73,"6'8.75""",80.75,7.75,64,1593,0.406,18.3,0.43,0.57,0.455,0.369,0.511,0.813,0.531
Monte Morris,PHX,PG,"6'1.25""",73.25,"6'4""",76,2.75,45,571,0.426,16.1,0.559,0.441,0.477,0.36,0.505,0.857,0.546
Moritz Wagner,ORL,C,"6'10""",82,"7'0""",84,2,30,564,0.562,9.5,0.699,0.301,0.649,0.36,0.616,0.718,0.649
Moses Moody,GSW,SG,"6'4.5""",76.5,"7'0.75""",84.75,8.25,74,1649,0.433,17,0.407,0.593,0.519,0.374,0.544,0.797,0.578
Mouhamed Gueye,ATL,C,"6'10.25""",82.25,"7'3.25""",87.25,5,33,533,0.421,13.3,0.526,0.474,0.567,0.259,0.482,0.762,0.52
Moussa Diabaté,CHA,C,"6'9.25""",81.25,"7'2.5""",86.5,5.25,71,1241,0.596,3.6,0.979,0.021,0.609,0,0.596,0.595,0.609
Myles Turner,IND,C,"6'9.75""",81.75,"7'4""",88,6.25,72,2174,0.481,16.2,0.514,0.486,0.561,0.396,0.577,0.773,0.612
Naji Marshall,DAL,SF,"6'5.75""",77.75,"7'0.75""",84.75,7,69,1919,0.508,12,0.694,0.306,0.611,0.275,0.551,0.813,0.584
