date,place,opponent_1,opponent_2,opponent_1_estimated_punch_power,opponent_2_estimated_punch_power,opponent_1_estimated_punch_resistance,opponent_2_estimated_punch_resistance,opponent_1_estimated_ability_to_take_punch,opponent_2_estimated_ability_to_take_punch,opponent_1_rounds_boxed,opponent_2_rounds_boxed,opponent_1_round_ko_percentage,opponent_2_round_ko_percentage,opponent_1_has_been_ko_percentage,opponent_2_has_been_ko_percentage,opponent_1_avg_weight,opponent_2_avg_weight,verdict
7 May 2016,Unknown,Amir Khan ,Saul Alvarez,70,70,65.7,58.3,78,84,203,325,9.36,9.85,5.88,,137.97,152.66,Alvarez won via KO in round 6
23 April 2016,Unknown,Dominic Wade ,Gennady Golovkin,70,70,54.6,65.7,67,82,60,151,20,20.53,0,0,162.48,159.66,Golovkin won via KO in round 2
25 June 2016,Unknown,Anthony Joshua ,Dominic Breazeale,87,87,65.4,54,78,78,34,57,47.06,26.32,0,0,237.04,237.83,Joshua won via TKO in round 7
21 August 2016,Unknown,Robeisy Ramirez Carrazana ,Tony Yoka,0,0,50,,50,,3,,0,0,0,0,0,0,Unknown Result
9 April 2016,Unknown,Charles Martin ,Anthony Joshua,80,80,46.8,64.6,74,75,74,32,28.38,46.88,0,0,239.9,236.51,Joshua won via KO in round 2
27 August 2016,Unknown,Robert Guerrero ,David Emanuel Peralta,63,63,68.3,53.4,83,65,270,116,6.67,12.07,,3.57,130.64,141.27,Peralta won via SD in round 12
10 September 2016,Unknown,Kell Brook ,Gennady Golovkin,75,75,63.9,65.8,79,83,179,153,13.97,20.92,0,0,149.14,159.66,Golovkin won via TKO in round 5
1 October 2016,Unknown,Alexander Dimitrenko ,Joseph Parker,68,68,63.2,60.7,78,82,219,84,10.96,20.24,2.5,,238.31,245.72,Parker won via KO in round 3
24 September 2016,Unknown,Jorge Linares ,Anthony Crolla,71,71,61.2,58,76,76,244,227,11.07,5.73,6.98,2.63,128.77,135.02,Linares won via UD in round 12
15 October 2016,Unknown,Bj Flores ,Tony Bellew,67,67,59.4,65.4,82,83,178,197,11.24,8.63,,3.33,206.07,182.99,Bellew won via TKO in round 3
17 September 2016,Unknown,Saul Alvarez ,Liam Smith,72,72,58.6,55.3,84,68,331,126,9.97,10.32,0,0,152.71,154.61,Alvarez won via KO in round 9
19 November 2016,Unknown,Sergey Kovalev ,Andre Ward,81,81,57.8,63,77,81,114,218,22.81,6.88,0,0,175,166.41,Ward won via UD in round 12
10 December 2016,Unknown,Eric Molina ,Anthony Joshua,68,68,56.8,66.2,78,80,119,41,15.97,41.46,10.71,,228.09,237.04,Joshua won via TKO in round 3
10 December 2016,Unknown,Andy Ruiz Jr ,Joseph Parker,72,72,54.3,61.5,78,82,116,87,16.38,20.69,0,0,248.4,246.11,Parker won via MD in round 12
1 October 2016,Unknown,Juergen Braehmer ,Nathan Cleverly,74,74,65.6,59.9,78,77,281,205,12.1,7.32,,3.13,170.75,173.79,Cleverly won via RTD in round 6
25 February 2017,Unknown,Deontay Wilder ,Gerald Washington,89,89,60.9,57.7,80,74,107,78,33.64,15.38,0,0,242.79,247.53,Wilder won via TKO in round 5
8 April 2017,Unknown,Daniel Dubois ,Marcus Kelly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dubois won via TKO in round 1
22 April 2017,Unknown,Daniel Dubois ,Blaise Mendouo,53,53,,,50,,1,,100,,0,0,244.5,,Dubois won via TKO in round 2
22 April 2017,Unknown,Tyrone Nurse ,Joe Hughes,50,50,53.8,48.4,67,53,226,116,3.1,5.17,0,0,142.21,141.99,Draw - 12 round SD decision
20 May 2017,Unknown,David Howe ,Daniel Dubois,56,56,47.9,,42,53,44,,,75,31.25,,225.11,233.25,Dubois won via KO in round 1
29 April 2017,Unknown,Wladimir Klitschko ,Anthony Joshua,77,77,72.5,66.9,85,81,358,,14.8,40.91,4.41,,234.93,237.06,Joshua won via TKO in round 11
16 September 2017,Unknown,Aj Carter ,Daniel Dubois,68,68,39.7,27.8,45,60,18,7,22.22,71.43,14.29,,216.79,230.38,Dubois won via TKO in round 1
8 July 2017,Unknown,Mauricio Barragan ,Daniel Dubois,64,64,45.1,21.8,55,56,51,,,80,6.25,,179.44,240.83,Dubois won via KO in round 2
26 August 2017,Unknown,Floyd Mayweather Jr ,Conor Mcgregor,67,67,69,,86,,387,,6.72,,0,0,136.76,,Mayweather Jr won via TKO in round 10
28 October 2017,Unknown,Carlos Takam ,Anthony Joshua,71,71,58.6,67.9,79,82,184,55,14.67,34.55,2.56,,236.71,237.26,Joshua won via TKO in round 10
23 September 2017,Unknown,Jorge Linares ,Luke Campbell,70,70,61.9,58.6,76,69,268,96,10.07,14.58,6.67,,128.77,135.31,Linares won via SD in round 12
16 September 2017,Unknown,Saul Alvarez ,Gennady Golovkin,72,72,59.2,66.5,84,84,352,170,9.66,19.41,0,0,152.97,159.65,Draw - 12 round SD decision
9 December 2017,Unknown,Dorian Darch ,Daniel Dubois,49,49,52.4,29.7,43,60,39,,,75,18.18,,236.59,230.38,Dubois won via TKO in round 2
4 November 2017,Unknown,Adrian Granados ,Shawn Porter,61,61,52.7,62.4,78,80,145,183,8.28,9.29,0,0,141.39,152.53,Porter won via UD in round 12
18 November 2017,Unknown,Horacio Garcia ,Carl Frampton,66,66,48.2,60.3,74,77,195,152,12.31,9.21,0,0,122.48,121.85,Frampton won via UD in round 10
30 December 2017,Unknown,Yoan Boyeaux ,Naoya Inoue,65,65,47.8,62.4,77,72,162,88,12.35,13.64,0,0,119.97,109.2,Inoue won via TKO in round 3
