Rank,Climber,Number,Gender,School,Tops,Zones,Attempts_Tops,Attempts_Zones,Boulder,Problem,Attempts
1,Nekaia Sanders,28,Women,None Listed,2,4,6,8,4,2,5
1,Nekaia Sanders,28,Women,None Listed,2,4,6,8,4,3,5
2,Tate Jennings,72,Women,U of Colorado Boulder,2,4,7,15,1,1,2
2,Tate Jennings,72,Women,U of Colorado Boulder,2,4,7,15,1,2,1
2,Tate Jennings,72,Women,U of Colorado Boulder,2,4,7,15,1,3,2
2,Tate Jennings,72,Women,U of Colorado Boulder,2,4,7,15,2,1,1
2,Tate Jennings,72,Women,U of Colorado Boulder,2,4,7,15,2,2,3
2,Tate Jennings,72,Women,U of Colorado Boulder,2,4,7,15,2,3,0
2,Tate Jennings,72,Women,U of Colorado Boulder,2,4,7,15,3,1,5
2,Tate Jennings,72,Women,U of Colorado Boulder,2,4,7,15,3,2,4
2,Tate Jennings,72,Women,U of Colorado Boulder,2,4,7,15,3,3,5
2,Tate Jennings,72,Women,U of Colorado Boulder,2,4,7,15,4,1,9
2,Tate Jennings,72,Women,U of Colorado Boulder,2,4,7,15,4,2,9
2,Tate Jennings,72,Women,U of Colorado Boulder,2,4,7,15,4,3,0
3,Helen Stephens,14,Women,Georgia Institute of Technology,2,4,10,13,1,1,2
3,Helen Stephens,14,Women,Georgia Institute of Technology,2,4,10,13,1,2,3
3,Helen Stephens,14,Women,Georgia Institute of Technology,2,4,10,13,1,3,0
3,Helen Stephens,14,Women,Georgia Institute of Technology,2,4,10,13,2,1,1
3,Helen Stephens,14,Women,Georgia Institute of Technology,2,4,10,13,2,2,3
3,Helen Stephens,14,Women,Georgia Institute of Technology,2,4,10,13,2,3,0
3,Helen Stephens,14,Women,Georgia Institute of Technology,2,4,10,13,3,1,5
3,Helen Stephens,14,Women,Georgia Institute of Technology,2,4,10,13,3,2,5
3,Helen Stephens,14,Women,Georgia Institute of Technology,2,4,10,13,3,3,5
3,Helen Stephens,14,Women,Georgia Institute of Technology,2,4,10,13,4,1,5
3,Helen Stephens,14,Women,Georgia Institute of Technology,2,4,10,13,4,2,5
3,Helen Stephens,14,Women,Georgia Institute of Technology,2,4,10,13,4,3,5
4,Julia Duffy,58,Women,U of Utah,1,4,7,13,1,1,1
4,Julia Duffy,58,Women,U of Utah,1,4,7,13,1,2,3
4,Julia Duffy,58,Women,U of Utah,1,4,7,13,1,3,0
4,Julia Duffy,58,Women,U of Utah,1,4,7,13,2,1,1
4,Julia Duffy,58,Women,U of Utah,1,4,7,13,2,2,2
4,Julia Duffy,58,Women,U of Utah,1,4,7,13,2,3,0
