"game_id","season","season_type","game_date","game_date_time","team_id","team_uid","team_slug","team_location","team_name","team_abbreviation","team_display_name","team_short_display_name","team_color","team_alternate_color","team_logo","team_home_away","team_score","team_winner","assists","blocks","defensive_rebounds","field_goal_pct","field_goals_made","field_goals_attempted","flagrant_fouls","fouls","free_throw_pct","free_throws_made","free_throws_attempted","offensive_rebounds","steals","team_turnovers","technical_fouls","three_point_field_goal_pct","three_point_field_goals_made","three_point_field_goals_attempted","total_rebounds","total_technical_fouls","total_turnovers","turnovers","opponent_team_id","opponent_team_uid","opponent_team_slug","opponent_team_location","opponent_team_name","opponent_team_abbreviation","opponent_team_display_name","opponent_team_short_display_name","opponent_team_color","opponent_team_alternate_color","opponent_team_logo","opponent_team_score","largest_lead"
401320698,2021,2,2021-08-19,2021-08-19 22:30:00,6,"s:40~l:59~t:6","los-angeles-sparks","Los Angeles","Sparks","LA","Los Angeles Sparks","Sparks","532481","49ac9c","https://a.espncdn.com/i/teamlogos/wnba/500/la.png","home",66,TRUE,16,2,24,44.6,25,56,0,15,64.7,11,17,8,6,0,0,35.7,5,14,32,0,19,19,20,"s:40~l:59~t:20","atlanta-dream","Atlanta","Dream","ATL","Atlanta Dream","Dream","d02030","383a37","https://a.espncdn.com/i/teamlogos/wnba/500/atl.png",64,"17"
401320697,2021,2,2021-08-19,2021-08-19 22:00:00,16,"s:40~l:59~t:16","washington-mystics","Washington","Mystics","WSH","Washington Mystics","Mystics","e03a3e","09295a","https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png","away",64,FALSE,9,5,20,28,21,75,0,17,66.7,16,24,14,8,1,0,23.1,6,26,34,0,11,10,11,"s:40~l:59~t:11","phoenix-mercury","Phoenix","Mercury","PHX","Phoenix Mercury","Mercury","3a267d","e56020","https://a.espncdn.com/i/teamlogos/wnba/500/phx.png",77,"12"
401320697,2021,2,2021-08-19,2021-08-19 22:00:00,11,"s:40~l:59~t:11","phoenix-mercury","Phoenix","Mercury","PHX","Phoenix Mercury","Mercury","3a267d","e56020","https://a.espncdn.com/i/teamlogos/wnba/500/phx.png","home",77,TRUE,19,4,34,51.6,32,62,0,22,69.2,9,13,10,2,1,2,28.6,4,14,44,2,19,18,16,"s:40~l:59~t:16","washington-mystics","Washington","Mystics","WSH","Washington Mystics","Mystics","e03a3e","09295a","https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png",64,"18"
401320696,2021,2,2021-08-19,2021-08-19 19:00:00,8,"s:40~l:59~t:8","minnesota-lynx","Minnesota","Lynx","MIN","Minnesota Lynx","Lynx","005084","47a757","https://a.espncdn.com/i/teamlogos/wnba/500/min.png","away",71,FALSE,18,5,17,42.4,28,66,0,24,100,10,10,5,7,1,1,35.7,5,14,22,1,11,10,18,"s:40~l:59~t:18","connecticut-sun","Connecticut","Sun","CONN","Connecticut Sun","Sun","de6b36","002d62","https://a.espncdn.com/i/teamlogos/wnba/500/conn.png",82,"0"
401320696,2021,2,2021-08-19,2021-08-19 19:00:00,18,"s:40~l:59~t:18","connecticut-sun","Connecticut","Sun","CONN","Connecticut Sun","Sun","de6b36","002d62","https://a.espncdn.com/i/teamlogos/wnba/500/conn.png","home",82,TRUE,17,2,28,49.1,27,55,0,18,92,23,25,3,5,2,0,35.7,5,14,31,0,19,17,8,"s:40~l:59~t:8","minnesota-lynx","Minnesota","Lynx","MIN","Minnesota Lynx","Lynx","005084","47a757","https://a.espncdn.com/i/teamlogos/wnba/500/min.png",71,"14"
401320695,2021,2,2021-08-18,2021-08-18 19:00:00,14,"s:40~l:59~t:14","seattle-storm","Seattle","Storm","SEA","Seattle Storm","Storm","05452a","f7c43c","https://a.espncdn.com/i/teamlogos/wnba/500/sea.png","away",79,FALSE,18,3,22,43.7,31,71,0,14,80,8,10,4,14,0,0,34.6,9,26,26,0,14,14,9,"s:40~l:59~t:9","new-york-liberty","New York","Liberty","NY","New York Liberty","Liberty","0d79b9","89c9bf","https://a.espncdn.com/i/teamlogos/wnba/500/ny.png",83,"15"
401320695,2021,2,2021-08-18,2021-08-18 19:00:00,9,"s:40~l:59~t:9","new-york-liberty","New York","Liberty","NY","New York Liberty","Liberty","0d79b9","89c9bf","https://a.espncdn.com/i/teamlogos/wnba/500/ny.png","home",83,TRUE,19,4,26,51.7,31,60,0,13,90,9,10,5,6,0,1,48,12,25,31,1,21,21,14,"s:40~l:59~t:14","seattle-storm","Seattle","Storm","SEA","Seattle Storm","Storm","05452a","f7c43c","https://a.espncdn.com/i/teamlogos/wnba/500/sea.png",79,"7"
401320694,2021,2,2021-08-17,2021-08-17 22:30:00,20,"s:40~l:59~t:20","atlanta-dream","Atlanta","Dream","ATL","Atlanta Dream","Dream","d02030","383a37","https://a.espncdn.com/i/teamlogos/wnba/500/atl.png","away",80,FALSE,20,3,31,38.6,34,88,0,13,38.9,7,18,17,10,0,2,25,5,20,48,2,13,13,6,"s:40~l:59~t:6","los-angeles-sparks","Los Angeles","Sparks","LA","Los Angeles Sparks","Sparks","532481","49ac9c","https://a.espncdn.com/i/teamlogos/wnba/500/la.png",85,"10"
401320694,2021,2,2021-08-17,2021-08-17 22:30:00,6,"s:40~l:59~t:6","los-angeles-sparks","Los Angeles","Sparks","LA","Los Angeles Sparks","Sparks","532481","49ac9c","https://a.espncdn.com/i/teamlogos/wnba/500/la.png","home",85,TRUE,29,5,35,44.4,36,81,0,18,80,8,10,6,9,1,1,22.7,5,22,41,1,15,14,20,"s:40~l:59~t:20","atlanta-dream","Atlanta","Dream","ATL","Atlanta Dream","Dream","d02030","383a37","https://a.espncdn.com/i/teamlogos/wnba/500/atl.png",80,"6"
401320692,2021,2,2021-08-17,2021-08-17 22:00:00,16,"s:40~l:59~t:16","washington-mystics","Washington","Mystics","WSH","Washington Mystics","Mystics","e03a3e","09295a","https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png","away",83,FALSE,15,2,24,42.9,30,70,0,19,90,18,20,5,9,0,0,18.5,5,27,29,0,8,8,17,"s:40~l:59~t:17","las-vegas-aces","Las Vegas","Aces","LV","Las Vegas Aces","Aces","000000","c7cfd4","https://a.espncdn.com/i/teamlogos/wnba/500/lv.png",93,"8"
401320692,2021,2,2021-08-17,2021-08-17 22:00:00,17,"s:40~l:59~t:17","las-vegas-aces","Las Vegas","Aces","LV","Las Vegas Aces","Aces","000000","c7cfd4","https://a.espncdn.com/i/teamlogos/wnba/500/lv.png","home",93,TRUE,20,3,34,56.7,34,60,0,13,82.6,19,23,3,4,0,0,54.5,6,11,37,0,14,14,16,"s:40~l:59~t:16","washington-mystics","Washington","Mystics","WSH","Washington Mystics","Mystics","e03a3e","09295a","https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png",83,"11"
401320693,2021,2,2021-08-17,2021-08-17 22:00:00,5,"s:40~l:59~t:5","indiana-fever","Indiana","Fever","IND","Indiana Fever","Fever","e2382f","08265b","https://a.espncdn.com/i/teamlogos/wnba/500/ind.png","away",80,FALSE,16,3,27,45.5,30,66,1,20,58.8,10,17,11,8,1,0,45.5,10,22,38,0,14,13,11,"s:40~l:59~t:11","phoenix-mercury","Phoenix","Mercury","PHX","Phoenix Mercury","Mercury","3a267d","e56020","https://a.espncdn.com/i/teamlogos/wnba/500/phx.png",84,"7"
401320693,2021,2,2021-08-17,2021-08-17 22:00:00,11,"s:40~l:59~t:11","phoenix-mercury","Phoenix","Mercury","PHX","Phoenix Mercury","Mercury","3a267d","e56020","https://a.espncdn.com/i/teamlogos/wnba/500/phx.png","home",84,TRUE,20,7,27,41.8,28,67,0,18,91.7,22,24,8,4,1,0,30,6,20,35,0,14,13,5,"s:40~l:59~t:5","indiana-fever","Indiana","Fever","IND","Indiana Fever","Fever","e2382f","08265b","https://a.espncdn.com/i/teamlogos/wnba/500/ind.png",80,"10"
401320691,2021,2,2021-08-17,2021-08-17 20:00:00,3,"s:40~l:59~t:3","dallas-wings","Dallas","Wings","DAL","Dallas Wings","Wings","11213e","c5d646","https://a.espncdn.com/i/teamlogos/wnba/500/dal.png","away",80,TRUE,20,5,30,38.5,30,78,0,6,86.7,13,15,15,7,3,0,50,7,14,45,0,15,12,19,"s:40~l:59~t:19","chicago-sky","Chicago","Sky","CHI","Chicago Sky","Sky","4f91cd","f1f2f3","https://a.espncdn.com/i/teamlogos/wnba/500/chi.png",76,"12"
