"driverId","driverName","lap","lapTime","lapPosition"
825,"Kevin Magnussen",23,93.278,13
825,"Kevin Magnussen",24,93.203,12
825,"Kevin Magnussen",25,92.734,12
825,"Kevin Magnussen",26,93.039,12
825,"Kevin Magnussen",27,92.854,12
825,"Kevin Magnussen",28,92.585,12
825,"Kevin Magnussen",29,92.426,12
825,"Kevin Magnussen",30,92.433,12
825,"Kevin Magnussen",31,92.256,12
825,"Kevin Magnussen",32,92.592,12
825,"Kevin Magnussen",33,93.4,11
825,"Kevin Magnussen",34,92.6,11
825,"Kevin Magnussen",35,92.958,11
825,"Kevin Magnussen",36,93.329,12
825,"Kevin Magnussen",37,93.335,10
825,"Kevin Magnussen",38,93.578,10
825,"Kevin Magnussen",39,92.629,10
825,"Kevin Magnussen",40,92.732,9
825,"Kevin Magnussen",41,92.678,9
825,"Kevin Magnussen",42,92.456,9
825,"Kevin Magnussen",43,92.516,8
825,"Kevin Magnussen",44,92.292,8
825,"Kevin Magnussen",45,92.12,8
825,"Kevin Magnussen",46,93.209,9
825,"Kevin Magnussen",47,93.387,10
825,"Kevin Magnussen",48,92.591,10
825,"Kevin Magnussen",49,92.402,10
825,"Kevin Magnussen",50,92.462,10
825,"Kevin Magnussen",51,92.237,10
825,"Kevin Magnussen",52,91.964,10
825,"Kevin Magnussen",53,91.691,10
825,"Kevin Magnussen",54,91.893,10
825,"Kevin Magnussen",55,91.735,10
825,"Kevin Magnussen",56,91.757,10
825,"Kevin Magnussen",57,92.025,10
822,"Valtteri Bottas",1,101.314,8
822,"Valtteri Bottas",2,95.623,9
822,"Valtteri Bottas",3,93.933,9
822,"Valtteri Bottas",4,94.493,9
822,"Valtteri Bottas",5,94.177,10
822,"Valtteri Bottas",6,93.821,10
822,"Valtteri Bottas",7,93.67,10
822,"Valtteri Bottas",8,93.856,10
822,"Valtteri Bottas",9,93.727,10
822,"Valtteri Bottas",10,93.762,10
822,"Valtteri Bottas",11,93.377,10
822,"Valtteri Bottas",12,93.151,10
822,"Valtteri Bottas",13,93.352,10
822,"Valtteri Bottas",14,93.894,9
822,"Valtteri Bottas",15,99.631,15
822,"Valtteri Bottas",16,108.475,16
822,"Valtteri Bottas",17,92.543,16
822,"Valtteri Bottas",18,93.893,16
822,"Valtteri Bottas",19,93.326,16
822,"Valtteri Bottas",20,92.981,16
822,"Valtteri Bottas",21,93.112,16
822,"Valtteri Bottas",22,92.876,16
822,"Valtteri Bottas",23,93.085,15
822,"Valtteri Bottas",24,93.046,15
822,"Valtteri Bottas",25,92.901,15
822,"Valtteri Bottas",26,92.851,15
822,"Valtteri Bottas",27,92.797,15
822,"Valtteri Bottas",28,92.64,15
822,"Valtteri Bottas",29,92.937,15
822,"Valtteri Bottas",30,92.631,15
822,"Valtteri Bottas",31,92.584,14
822,"Valtteri Bottas",32,92.496,14
822,"Valtteri Bottas",33,92.575,14
822,"Valtteri Bottas",34,92.47,13
822,"Valtteri Bottas",35,92.443,13
822,"Valtteri Bottas",36,92.524,13
822,"Valtteri Bottas",37,92.492,12
822,"Valtteri Bottas",38,92.632,11
822,"Valtteri Bottas",39,92.844,12
822,"Valtteri Bottas",40,94.143,12
822,"Valtteri Bottas",41,92.777,12
822,"Valtteri Bottas",42,92.216,12
822,"Valtteri Bottas",43,92.348,11
822,"Valtteri Bottas",44,92.079,11
822,"Valtteri Bottas",45,92.269,11
822,"Valtteri Bottas",46,92.618,11
822,"Valtteri Bottas",47,92.014,11
822,"Valtteri Bottas",48,92.427,11
822,"Valtteri Bottas",49,92.35,11
822,"Valtteri Bottas",50,93.074,12
822,"Valtteri Bottas",51,92.997,13
822,"Valtteri Bottas",52,92.793,13
822,"Valtteri Bottas",53,92.855,13
822,"Valtteri Bottas",54,92.188,13
822,"Valtteri Bottas",55,92.063,13
822,"Valtteri Bottas",56,91.838,13
822,"Valtteri Bottas",57,91.894,13
830,"Max Verstappen",1,101.724,9
830,"Max Verstappen",2,94.26,8
830,"Max Verstappen",3,94.127,8
830,"Max Verstappen",4,92.935,6
830,"Max Verstappen",5,92.875,6
830,"Max Verstappen",6,92.753,6
830,"Max Verstappen",7,92.555,6
830,"Max Verstappen",8,92.947,5
830,"Max Verstappen",9,92.988,4
830,"Max Verstappen",10,92.74,4
830,"Max Verstappen",11,92.251,4
830,"Max Verstappen",12,92.304,4
830,"Max Verstappen",13,91.736,4
830,"Max Verstappen",14,92.193,3
830,"Max Verstappen",15,92.433,2
830,"Max Verstappen",16,92.333,2
830,"Max Verstappen",17,92.455,2
830,"Max Verstappen",18,92.124,2
830,"Max Verstappen",19,92.073,2
830,"Max Verstappen",20,92.203,1
830,"Max Verstappen",21,92.351,1
830,"Max Verstappen",22,92.267,1
830,"Max Verstappen",23,91.906,1
830,"Max Verstappen",24,92.126,1
830,"Max Verstappen",25,91.919,1
830,"Max Verstappen",26,91.922,1
830,"Max Verstappen",27,91.829,1
830,"Max Verstappen",28,91.776,1
830,"Max Verstappen",29,91.82,1
830,"Max Verstappen",30,92.484,1
830,"Max Verstappen",31,91.627,1
830,"Max Verstappen",32,91.293,1
830,"Max Verstappen",33,91.481,1
830,"Max Verstappen",34,91.43,1
830,"Max Verstappen",35,91.225,1
830,"Max Verstappen",36,91.384,1
830,"Max Verstappen",37,91.268,1
830,"Max Verstappen",38,91.199,1
830,"Max Verstappen",39,91.444,1
830,"Max Verstappen",40,91.288,1
830,"Max Verstappen",41,91.004,1
830,"Max Verstappen",42,91.122,1
830,"Max Verstappen",43,90.988,1
830,"Max Verstappen",44,91.056,1
830,"Max Verstappen",45,95.856,1
830,"Max Verstappen",46,106.123,2
830,"Max Verstappen",47,91.179,2
830,"Max Verstappen",48,90.637,1
830,"Max Verstappen",49,90.91,1
830,"Max Verstappen",50,90.837,1
830,"Max Verstappen",51,90.699,1
830,"Max Verstappen",52,90.372,1
830,"Max Verstappen",53,90.546,1
830,"Max Verstappen",54,90.492,1
830,"Max Verstappen",55,90.391,1
830,"Max Verstappen",56,89.708,1
830,"Max Verstappen",57,90.273,1
839,"Esteban Ocon",1,102.184,10
839,"Esteban Ocon",2,95.207,10
839,"Esteban Ocon",3,93.948,10
839,"Esteban Ocon",4,94.344,10
839,"Esteban Ocon",5,93.355,9
839,"Esteban Ocon",6,93.521,9
839,"Esteban Ocon",7,93.357,9
839,"Esteban Ocon",8,93.317,9
839,"Esteban Ocon",9,93.298,9
839,"Esteban Ocon",10,93.241,9
839,"Esteban Ocon",11,93.095,9
839,"Esteban Ocon",12,93.107,9
839,"Esteban Ocon",13,94.313,9
839,"Esteban Ocon",14,93.933,8
839,"Esteban Ocon",15,93.258,7
839,"Esteban Ocon",16,93.221,7
839,"Esteban Ocon",17,93.148,6
839,"Esteban Ocon",18,92.938,5
839,"Esteban Ocon",19,93.243,4
839,"Esteban Ocon",20,92.84,4
839,"Esteban Ocon",21,93.164,3
839,"Esteban Ocon",22,93.681,4
839,"Esteban Ocon",23,93.104,4
839,"Esteban Ocon",24,92.904,4
839,"Esteban Ocon",25,92.984,3
839,"Esteban Ocon",26,93.161,3
839,"Esteban Ocon",27,92.857,3
839,"Esteban Ocon",28,92.882,3
839,"Esteban Ocon",29,93.657,4
839,"Esteban Ocon",30,93.817,5
839,"Esteban Ocon",31,93.298,5
839,"Esteban Ocon",32,92.775,5
839,"Esteban Ocon",33,92.303,4
839,"Esteban Ocon",34,93.211,5
839,"Esteban Ocon",35,92.89,5
839,"Esteban Ocon",36,93.199,6
839,"Esteban Ocon",37,92.674,6
839,"Esteban Ocon",38,92.58,6
839,"Esteban Ocon",39,97.507,6
839,"Esteban Ocon",40,105.73,11
839,"Esteban Ocon",41,91.81,11
839,"Esteban Ocon",42,91.708,11
839,"Esteban Ocon",43,91.754,10
839,"Esteban Ocon",44,91.454,10
839,"Esteban Ocon",45,91.566,10
839,"Esteban Ocon",46,91.968,10
839,"Esteban Ocon",47,92.222,9
839,"Esteban Ocon",48,91.724,9
839,"Esteban Ocon",49,92.209,9
839,"Esteban Ocon",50,92.086,9
839,"Esteban Ocon",51,91.795,9
839,"Esteban Ocon",52,91.582,9
839,"Esteban Ocon",53,91.842,9
839,"Esteban Ocon",54,91.537,9
839,"Esteban Ocon",55,91.289,9
839,"Esteban Ocon",56,91.143,9
839,"Esteban Ocon",57,91.429,9
807,"Nico Hülkenberg",1,102.723,11
807,"Nico Hülkenberg",2,95.313,11
807,"Nico Hülkenberg",3,93.858,11
807,"Nico Hülkenberg",4,94.463,11
807,"Nico Hülkenberg",5,93.708,11
807,"Nico Hülkenberg",6,93.835,11
807,"Nico Hülkenberg",7,93.422,11
