"Name","Age","Reg_Tm","Lg","Reg_G","Reg_PA","Reg_AB","Reg_R","Reg_H","Reg_Doubles","Reg_Triples","Reg_HR","Reg_RBI","Reg_SB","Reg_CS","Reg_BB","Reg_SO","Reg_BA","Reg_OBP","Reg_SLG","Reg_OPS","OPS+","Reg_TB","Reg_GDP","Reg_HBP","Reg_SH","Reg_SF","Reg_IBB","OppQual","Spring_G","Spring_PA","Spring_AB","Spring_R","Spring_H","Spring_Doubles","Spring_Triples","Spring_HR","Spring_RBI","Spring_SB","Spring_CS","Spring_BB","Spring_SO","Spring_BA","Spring_OBP","Spring_SLG","Spring_OPS","Spring_TB","Spring_GDP","Spring_HBP","Spring_SH","Spring_SF","Spring_IBB"
"Mookie Betts",30,"LAD","NL",152,693,584,126,179,40,1,39,107,14,3,96,107,0.307,0.408,0.579,0.987,164,338,5,8,0,5,3,7.3,16,46,41,10,16,4,0,1,3,0,1,5,6,0.39,0.457,0.561,1.017,23,0,0,0,0,0
"Bo Bichette",25,"TOR","AL",135,601,571,69,175,30,3,20,73,5,3,27,115,0.306,0.339,0.475,0.814,122,271,14,2,0,1,0,7.4,19,60,58,10,20,5,0,1,7,3,0,2,11,0.345,0.367,0.483,0.849,28,3,0,0,0,0
"Cavan Biggio",28,"TOR","AL",111,338,289,54,68,12,0,9,40,5,2,40,88,0.235,0.34,0.37,0.71,97,107,0,7,0,2,0,7.6,12,36,29,4,7,4,0,0,1,0,0,7,11,0.241,0.389,0.379,0.768,11,0,0,0,0,0
"Charlie Blackmon",36,"COL","NL",96,413,359,57,100,24,5,8,40,4,1,39,55,0.279,0.363,0.44,0.803,109,158,6,11,0,4,0,7.2,17,49,47,7,18,3,0,2,6,0,1,2,6,0.383,0.408,0.574,0.983,27,0,0,0,0,0
"Dairon Blanco",30,"KCR","AL",69,138,124,19,32,7,4,3,18,24,5,10,33,0.258,0.324,0.452,0.775,108,56,2,2,2,0,0,7.3,10,24,23,3,7,1,0,0,1,0,1,1,2,0.304,0.333,0.348,0.681,8,0,0,0,0,0
"Travis Blankenhorn",26,"WSN","NL",10,37,31,2,5,0,0,1,1,0,0,6,6,0.161,0.297,0.258,0.555,57,8,0,0,0,0,0,8.4,8,12,12,2,3,1,1,0,1,0,0,0,5,0.25,0.25,0.5,0.75,6,1,0,0,0,0
"JJ Bleday",25,"OAK","AL",82,303,256,35,50,11,0,10,27,5,1,42,72,0.195,0.31,0.355,0.666,88,91,3,2,0,3,0,7.2,18,52,46,11,16,3,1,2,7,1,0,5,7,0.348,0.423,0.587,1.01,27,1,1,0,0,0
"Xander Bogaerts",30,"SDP","NL",155,665,596,83,170,31,2,19,58,19,2,56,110,0.285,0.35,0.44,0.79,117,262,21,7,0,6,0,7.8,14,39,35,5,8,4,0,0,1,0,0,4,12,0.229,0.308,0.343,0.651,12,3,0,0,0,0
"Alec Bohm",26,"PHI","NL",145,611,558,74,153,31,0,20,97,4,1,42,94,0.274,0.327,0.437,0.765,106,244,23,5,0,6,1,7.8,16,44,41,2,11,3,0,1,5,0,0,2,9,0.268,0.318,0.415,0.733,17,1,1,0,0,0
"Sean Bouchard",27,"COL","NL",21,43,38,11,12,2,0,4,7,0,1,4,14,0.316,0.372,0.684,1.056,168,26,0,0,0,1,0,7,21,52,44,6,9,3,0,1,4,2,0,7,16,0.205,0.308,0.341,0.649,15,0,0,0,1,0
