"","Player1","Player2","Opponent1","Opponent2","Rank","Year","Gender","Category","Matches","Wins","Losses","Points For","Points Against","Difference","win_pct","total_pts","shot_pct"
"55","Anders ANTONSEN",NA,"WENG Hongyang",NA,5,2023,"Men","Singles",4,4,0,197,174,23,1,371,0.53099730458221
"56","Anthony Sinisuka GINTING",NA,"LI Shifeng",NA,6,2023,"Men","Singles",4,3,1,187,170,17,0.75,357,0.523809523809524
"57","LIN Chun-Yi",NA,"Toma Junior POPOV",NA,7,2023,"Men","Singles",4,2,2,185,183,2,0.5,368,0.502717391304348
"58","Viktor AXELSEN",NA,"Jonatan CHRISTIE",NA,8,2023,"Men","Singles",4,4,0,183,122,61,1,305,0.6
"59","WENG Hongyang",NA,"LEE Zii Jia",NA,9,2023,"Men","Singles",4,3,1,182,173,9,0.75,355,0.512676056338028
"60","Viktor AXELSEN",NA,"SHI Yuqi",NA,10,2023,"Men","Singles",4,3,1,181,148,33,0.75,329,0.550151975683891
"61","LOH Kean Yew",NA,"Kodai NARAOKA",NA,10,2023,"Men","Singles",3,3,0,181,135,46,1,316,0.572784810126582
"62","Kodai NARAOKA",NA,"PRANNOY H. S.",NA,12,2023,"Men","Singles",4,3,1,179,146,33,0.75,325,0.550769230769231
"63","LI Shifeng",NA,"LEE Zii Jia",NA,13,2023,"Men","Singles",3,2,1,175,156,19,0.666666666666667,331,0.528700906344411
"64","Kenta NISHIMOTO",NA,"Jonatan CHRISTIE",NA,15,2023,"Men","Singles",4,2,2,174,160,14,0.5,334,0.520958083832335
"65","WENG Hongyang",NA,"KIDAMBI Srikanth",NA,15,2023,"Men","Singles",3,2,1,174,147,27,0.666666666666667,321,0.542056074766355
"66","PRANNOY H. S.",NA,"LEE Cheuk Yiu",NA,15,2023,"Men","Singles",3,2,1,174,173,1,0.666666666666667,347,0.501440922190202
"67","Mads CHRISTOPHERSEN",NA,"Alex LANIER",NA,17,2023,"Men","Singles",3,1,2,171,171,0,0.333333333333333,342,0.5
"68","Alex LANIER",NA,"Mads CHRISTOPHERSEN",NA,17,2023,"Men","Singles",3,2,1,171,171,0,0.666666666666667,342,0.5
"69","Anders ANTONSEN",NA,"Toma Junior POPOV",NA,19,2023,"Men","Singles",3,3,0,169,151,18,1,320,0.528125
"70","LEE Zii Jia",NA,"Tze Yong NG",NA,20,2023,"Men","Singles",3,3,0,168,147,21,1,315,0.533333333333333
"71","LOH Kean Yew",NA,"Christo POPOV",NA,21,2023,"Men","Singles",4,2,2,166,158,8,0.5,324,0.512345679012346
"72","Kenta NISHIMOTO",NA,"LEE Zii Jia",NA,23,2023,"Men","Singles",4,2,2,165,165,0,0.5,330,0.5
"73","LEE Zii Jia",NA,"Kenta NISHIMOTO",NA,23,2023,"Men","Singles",4,2,2,165,165,0,0.5,330,0.5
"74","Kunlavut VITIDSARN",NA,"WANG Tzu Wei",NA,23,2023,"Men","Singles",3,3,0,165,132,33,1,297,0.555555555555556
"75","LEE Zii Jia",NA,"Kodai NARAOKA",NA,23,2023,"Men","Singles",3,1,2,165,157,8,0.333333333333333,322,0.512422360248447
"76","Min Hyuk KANG","SEO Seung Jae","Fajar ALFIAN","Muhammad Rian ARDIANTO",1,2023,"Men","Doubles",6,3,3,302,302,0,0.5,604,0.5
"77","Fajar ALFIAN","Muhammad Rian ARDIANTO","Min Hyuk KANG","SEO Seung Jae",1,2023,"Men","Doubles",6,3,3,302,302,0,0.5,604,0.5
"78","LIANG Weikeng","WANG Chang","Aaron CHIA","SOH Wooi Yik",3,2023,"Men","Doubles",5,4,1,249,227,22,0.8,476,0.523109243697479
"79","Pramudya Kusumawardana RIYANTO","Yeremia Erich Yoche YACOB","Ayato ENDO","Yuta TAKEI",4,2023,"Men","Doubles",4,4,0,229,194,35,1,423,0.541371158392435
"80","Min Hyuk KANG","SEO Seung Jae","Takuro HOKI","Yugo KOBAYASHI",5,2023,"Men","Doubles",5,4,1,216,195,21,0.8,411,0.525547445255474
"81","Satwiksairaj RANKIREDDY","Chirag SHETTY","LIANG Weikeng","WANG Chang",6,2023,"Men","Doubles",4,1,3,213,202,11,0.25,415,0.513253012048193
"82","Min Hyuk KANG","SEO Seung Jae","Mohammad AHSAN","Hendra SETIAWAN",7,2023,"Men","Doubles",4,3,1,210,186,24,0.75,396,0.53030303030303
"83","Min Hyuk KANG","SEO Seung Jae","LEE Yang","WANG Chi-Lin",8,2023,"Men","Doubles",4,3,1,206,183,23,0.75,389,0.529562982005141
"84","LIU Yuchen","OU Xuanyi","Ben LANE","Sean VENDY",9,2023,"Men","Doubles",4,4,0,205,184,21,1,389,0.526992287917738
"85","Mohammad AHSAN","Hendra SETIAWAN","Pramudya Kusumawardana RIYANTO","Yeremia Erich Yoche YACOB",10,2023,"Men","Doubles",4,3,1,200,182,18,0.75,382,0.523560209424084
"86","Kim ASTRUP","Anders Skaarup RASMUSSEN","Mark LAMSFUSS","Marvin SEIDEL",11,2023,"Men","Doubles",3,2,1,178,161,17,0.666666666666667,339,0.525073746312684
"87","LEE Yang","WANG Chi-Lin","ONG Yew Sin","TEO Ee Yi",12,2023,"Men","Doubles",3,2,1,172,166,6,0.666666666666667,338,0.50887573964497
"88","Fajar ALFIAN","Muhammad Rian ARDIANTO","Muhammad Shohibul FIKRI","Bagas MAULANA",13,2023,"Men","Doubles",4,3,1,170,157,13,0.75,327,0.519877675840979
"89","Min Hyuk KANG","SEO Seung Jae","LIU Yuchen","OU Xuanyi",15,2023,"Men","Doubles",4,4,0,168,123,45,1,291,0.577319587628866
"90","Kim ASTRUP","Anders Skaarup RASMUSSEN","Keiichiro MATSUI","Yoshinori TAKEUCHI",15,2023,"Men","Doubles",4,4,0,168,109,59,1,277,0.606498194945848
"91","Akira KOGA","Taichi SAITO","Aaron CHIA","SOH Wooi Yik",15,2023,"Men","Doubles",4,3,1,168,161,7,0.75,329,0.51063829787234
"92","Aaron CHIA","SOH Wooi Yik","Muhammad Shohibul FIKRI","Bagas MAULANA",15,2023,"Men","Doubles",4,4,0,168,115,53,1,283,0.593639575971731
"93","LIANG Weikeng","WANG Chang","Mohammad AHSAN","Hendra SETIAWAN",18,2023,"Men","Doubles",3,2,1,167,159,8,0.666666666666667,326,0.512269938650307
"94","LIU Yuchen","OU Xuanyi","Akira KOGA","Taichi SAITO",19,2023,"Men","Doubles",3,2,1,164,151,13,0.666666666666667,315,0.520634920634921
"95","LIANG Weikeng","WANG Chang","Pramudya Kusumawardana RIYANTO","Yeremia Erich Yoche YACOB",20,2023,"Men","Doubles",3,2,1,159,138,21,0.666666666666667,297,0.535353535353535
"96","Muhammad Shohibul FIKRI","Bagas MAULANA","Satwiksairaj RANKIREDDY","Chirag SHETTY",21,2023,"Men","Doubles",3,2,1,158,152,6,0.666666666666667,310,0.509677419354839
"97","Satwiksairaj RANKIREDDY","Chirag SHETTY","Leo Rolly CARNANDO","Daniel MARTHIN",22,2023,"Men","Doubles",3,3,0,156,125,31,1,281,0.555160142348754
"98","Kim ASTRUP","Anders Skaarup RASMUSSEN","Leo Rolly CARNANDO","Daniel MARTHIN",22,2023,"Men","Doubles",3,2,1,156,133,23,0.666666666666667,289,0.539792387543253
"99","Leo Rolly CARNANDO","Daniel MARTHIN","Aaron CHIA","SOH Wooi Yik",24,2023,"Men","Doubles",4,3,1,155,150,5,0.75,305,0.508196721311475
"100","LEE Jhe-Huei","YANG Po-Hsuan","Keiichiro MATSUI","Yoshinori TAKEUCHI",25,2023,"Men","Doubles",3,2,1,153,132,21,0.666666666666667,285,0.536842105263158
"101","ZHENG Siwei","HUANG Yaqiong","SEO Seung Jae","CHAE YuJung",1,2023,"Mixed","Doubles",8,6,2,401,324,77,0.75,725,0.553103448275862
"102","Yuta WATANABE","Arisa HIGASHINO","TANG Chun Man","TSE Ying Suet",2,2023,"Mixed","Doubles",6,5,1,278,243,35,0.833333333333333,521,0.533589251439539
"103","TANG Chun Man","TSE Ying Suet","Rehan Naufal KUSHARJANTO","Lisa Ayu KUSUMAWATI",3,2023,"Mixed","Doubles",5,5,0,265,196,69,1,461,0.574837310195228
"104","FENG Yanzhe","HUANG Dongping","Dechapol PUAVARANUKROH","Sapsiree TAERATTANACHAI",4,2023,"Mixed","Doubles",5,3,2,253,248,5,0.6,501,0.50499001996008
"105","Dechapol PUAVARANUKROH","Sapsiree TAERATTANACHAI","SEO Seung Jae","CHAE YuJung",5,2023,"Mixed","Doubles",5,3,2,238,231,7,0.6,469,0.507462686567164
"106","ZHENG Siwei","HUANG Yaqiong","FENG Yanzhe","HUANG Dongping",6,2023,"Mixed","Doubles",5,4,1,232,182,50,0.8,414,0.560386473429952
"107","TANG Chun Man","TSE Ying Suet","GOH Soon Huat","LAI Shevon Jemie",7,2023,"Mixed","Doubles",5,5,0,231,172,59,1,403,0.573200992555831
"108","SEO Seung Jae","CHAE YuJung","JIANG Zhenbang","WEI Yaxin",7,2023,"Mixed","Doubles",5,4,1,231,202,29,0.8,433,0.533487297921478
"109","FENG Yanzhe","HUANG Dongping","Yuta WATANABE","Arisa HIGASHINO",9,2023,"Mixed","Doubles",4,3,1,227,208,19,0.75,435,0.52183908045977
"110","FENG Yanzhe","HUANG Dongping","Hiroki MIDORIKAWA","Natsu SAITO",10,2023,"Mixed","Doubles",5,5,0,226,160,66,1,386,0.585492227979275
"111","FENG Yanzhe","HUANG Dongping","JIANG Zhenbang","WEI Yaxin",10,2023,"Mixed","Doubles",5,5,0,226,172,54,1,398,0.5678391959799
"112","Dechapol PUAVARANUKROH","Sapsiree TAERATTANACHAI","Mathias CHRISTIANSEN","Alexandra BØJE",12,2023,"Mixed","Doubles",5,3,2,210,178,32,0.6,388,0.541237113402062
"113","Yuta WATANABE","Arisa HIGASHINO","LEE Chun Hei Reginald","NG Tsz Yau",13,2023,"Mixed","Doubles",4,4,0,205,150,55,1,355,0.577464788732394
"114","KIM Won Ho","JEONG Na Eun","Kyohei YAMASHITA","Naru SHINOYA",14,2023,"Mixed","Doubles",4,3,1,204,189,15,0.75,393,0.519083969465649
"115","JIANG Zhenbang","WEI Yaxin","Praveen JORDAN","Melati Daeva OKTAVIANTI",15,2023,"Mixed","Doubles",4,3,1,197,167,30,0.75,364,0.541208791208791
"116","ZHENG Siwei","HUANG Yaqiong","KIM Won Ho","JEONG Na Eun",16,2023,"Mixed","Doubles",4,2,2,188,165,23,0.5,353,0.53257790368272
"117","Mathias CHRISTIANSEN","Alexandra BØJE","YANG Po-Hsuan","HU Ling Fang",17,2023,"Mixed","Doubles",3,3,0,185,150,35,1,335,0.552238805970149
"118","Dechapol PUAVARANUKROH","Sapsiree TAERATTANACHAI","CHEN Tang Jie","TOH Ee Wei",18,2023,"Mixed","Doubles",4,3,1,175,150,25,0.75,325,0.538461538461538
"119","ZHENG Siwei","HUANG Yaqiong","Yuta WATANABE","Arisa HIGASHINO",19,2023,"Mixed","Doubles",4,2,2,172,157,15,0.5,329,0.522796352583587
"120","Yuta WATANABE","Arisa HIGASHINO","YE Hong Wei","LEE Chia Hsin",19,2023,"Mixed","Doubles",4,2,2,172,169,3,0.5,341,0.504398826979472
"121","ZHENG Siwei","HUANG Yaqiong","Dejan FERDINANSYAH","Gloria Emanuelle WIDJAJA",21,2023,"Mixed","Doubles",4,4,0,168,106,62,1,274,0.613138686131387
"122","Hiroki NISHI","Akari SATO","Ruttanapak OUPTHONG","Kwanchanok SUDJAIPRAPARAT",22,2023,"Mixed","Doubles",3,2,1,167,150,17,0.666666666666667,317,0.526813880126183
"123","TANG Chun Man","TSE Ying Suet","KIM Won Ho","JEONG Na Eun",23,2023,"Mixed","Doubles",3,2,1,165,158,7,0.666666666666667,323,0.510835913312694
"124","LEE Chun Hei Reginald","NG Tsz Yau","YE Hong Wei","LEE Chia Hsin",24,2023,"Mixed","Doubles",3,2,1,163,150,13,0.666666666666667,313,0.520766773162939
"125","HEE Yong Kai Terry","TAN Wei Han","DHRUV KAPILA","Tanisha CRASTO",24,2023,"Mixed","Doubles",3,2,1,163,149,14,0.666666666666667,312,0.522435897435897
"126","CHEN Yufei",NA,"TAI Tzu Ying",NA,1,2022,"Women","Singles",5,3,2,267,252,15,0.6,519,0.514450867052023
"127","Akane YAMAGUCHI",NA,"WANG Zhiyi",NA,2,2022,"Women","Singles",5,3,2,262,247,15,0.6,509,0.514734774066798
"128","TAI Tzu Ying",NA,"Ratchanok INTANON",NA,3,2022,"Women","Singles",5,4,1,247,209,38,0.8,456,0.541666666666667
"129","Akane YAMAGUCHI",NA,"CHEN Yufei",NA,4,2022,"Women","Singles",5,4,1,233,201,32,0.8,434,0.536866359447005
"130","Akane YAMAGUCHI",NA,"Se Young AN",NA,5,2022,"Women","Singles",5,4,1,225,176,49,0.8,401,0.561097256857855
"131","CHEN Yufei",NA,"ZHANG Yiman",NA,6,2022,"Women","Singles",5,5,0,221,164,57,1,385,0.574025974025974
"132","Se Young AN",NA,"HAN Yue",NA,6,2022,"Women","Singles",4,3,1,221,202,19,0.75,423,0.522458628841608
"133","CHEN Yufei",NA,"Ratchanok INTANON",NA,8,2022,"Women","Singles",4,3,1,211,183,28,0.75,394,0.535532994923858
"134","Se Young AN",NA,"Gregoria Mariska TUNJUNG",NA,9,2022,"Women","Singles",4,4,0,192,133,59,1,325,0.590769230769231
"135","HE Bingjiao",NA,"CHEN Yufei",NA,10,2022,"Women","Singles",5,3,2,190,176,14,0.6,366,0.519125683060109
"136","Gregoria Mariska TUNJUNG",NA,"Akane YAMAGUCHI",NA,11,2022,"Women","Singles",4,2,2,184,179,5,0.5,363,0.506887052341598
"137","Nozomi OKUHARA",NA,"Wen Chi HSU",NA,12,2022,"Women","Singles",3,3,0,179,146,33,1,325,0.550769230769231
"138","TAI Tzu Ying",NA,"Busanan ONGBAMRUNGPHAN",NA,13,2022,"Women","Singles",4,4,0,170,131,39,1,301,0.564784053156146
"139","HE Bingjiao",NA,"TAI Tzu Ying",NA,14,2022,"Women","Singles",4,2,2,165,161,4,0.5,326,0.506134969325153
"140","Supanida KATETHONG",NA,"PUSARLA V. Sindhu",NA,15,2022,"Women","Singles",3,1,2,163,155,8,0.333333333333333,318,0.512578616352201
"141","Yvonne LI",NA,"Julie Dawall JAKOBSEN",NA,16,2022,"Women","Singles",3,2,1,155,136,19,0.666666666666667,291,0.532646048109966
