"","Player1","Player2","Opponent1","Opponent2","Rank","Year","Gender","Category","Matches","Wins","Losses","Points For","Points Against","Difference","win_pct","total_pts","shot_pct"
"142","HE Bingjiao",NA,"Busanan ONGBAMRUNGPHAN",NA,16,2022,"Women","Singles",3,3,0,155,120,35,1,275,0.563636363636364
"143","Ratchanok INTANON",NA,"HAN Yue",NA,18,2022,"Women","Singles",3,3,0,153,141,12,1,294,0.520408163265306
"144","PUSARLA V. Sindhu",NA,"HE Bingjiao",NA,19,2022,"Women","Singles",3,2,1,146,140,6,0.666666666666667,286,0.510489510489511
"145","CHEN Yufei",NA,"Michelle LI",NA,19,2022,"Women","Singles",3,3,0,146,110,36,1,256,0.5703125
"146","PUSARLA V. Sindhu",NA,"Lauren LAM",NA,22,2022,"Women","Singles",3,3,0,145,116,29,1,261,0.555555555555556
"147","Carolina MARIN",NA,"ZHANG Yiman",NA,22,2022,"Women","Singles",3,2,1,145,130,15,0.666666666666667,275,0.527272727272727
"148","Ratchanok INTANON",NA,"Kirsty GILMOUR",NA,22,2022,"Women","Singles",3,3,0,145,107,38,1,252,0.575396825396825
"149","HE Bingjiao",NA,"Akane YAMAGUCHI",NA,24,2022,"Women","Singles",3,2,1,144,139,5,0.666666666666667,283,0.508833922261484
"150","CHEN Yufei",NA,"Pornpawee CHOCHUWONG",NA,25,2022,"Women","Singles",3,3,0,143,116,27,1,259,0.552123552123552
"151","Benyapa AIMSAARD","Nuntakarn AIMSAARD","JEONG Na Eun","KIM Hye Jeong",1,2022,"Women","Doubles",6,4,2,250,230,20,0.666666666666667,480,0.520833333333333
"152","CHEN Qingchen","JIA Yifan","Jongkolphan KITITHARAKUL","Rawinda PRAJONGJAI",2,2022,"Women","Doubles",5,4,1,219,175,44,0.8,394,0.555837563451777
"153","DU Yue","LI Wenmei","Jongkolphan KITITHARAKUL","Rawinda PRAJONGJAI",3,2022,"Women","Doubles",4,3,1,208,185,23,0.75,393,0.529262086513995
"154","Nami MATSUYAMA","Chiharu SHIDA","JEONG Na Eun","KIM Hye Jeong",4,2022,"Women","Doubles",5,3,2,205,174,31,0.6,379,0.54089709762533
"155","CHEN Qingchen","JIA Yifan","Apriyani RAHAYU","Siti Fadia Silva RAMADHANTI",5,2022,"Women","Doubles",4,3,1,200,174,26,0.75,374,0.53475935828877
"156","TAN Pearly Koong Le","Muralitharan THINAAH","Apriyani RAHAYU","Siti Fadia Silva RAMADHANTI",6,2022,"Women","Doubles",4,2,2,195,190,5,0.5,385,0.506493506493506
"157","Apriyani RAHAYU","Siti Fadia Silva RAMADHANTI","ZHANG Shuxian","ZHENG Yu",7,2022,"Women","Doubles",4,3,1,187,186,1,0.75,373,0.501340482573727
"158","ZHANG Shuxian","ZHENG Yu","Jongkolphan KITITHARAKUL","Rawinda PRAJONGJAI",8,2022,"Women","Doubles",4,2,2,178,163,15,0.5,341,0.521994134897361
"159","TAN Pearly Koong Le","Muralitharan THINAAH","Yuki FUKUSHIMA","Sayaka HIROTA",9,2022,"Women","Doubles",4,2,2,174,165,9,0.5,339,0.513274336283186
"160","Jongkolphan KITITHARAKUL","Rawinda PRAJONGJAI","Treesa JOLLY","GAYATRI GOPICHAND PULLELA",10,2022,"Women","Doubles",4,4,0,173,137,36,1,310,0.558064516129032
"161","KIM So Yeong","KONG Hee Yong","Rachel HONDERICH","Kristen TSAI",11,2022,"Women","Doubles",3,3,0,164,124,40,1,288,0.569444444444444
"162","LEE So Hee","SHIN Seung Chan","ZHANG Shuxian","ZHENG Yu",12,2022,"Women","Doubles",3,1,2,153,147,6,0.333333333333333,300,0.51
