Name,Sex,Discipline,Result,Announced,Date,Event,Continent
Talya Davidoff (South Africa),F,CWTB,84 m,84 m,08.09.2024,"33rd AIDA Freediving World Championship,Corsica 2024",Africa
Walid Boudhiaf (Tunisia),M,CWTB,101 m,101 m,18.08.2022,29th AIDA World Championship,Africa
Yongju Lee (Republic of Korea),F,CWTB,97 m,97 m,22.11.2024,AIDA Official Friday - November 22 2024,Asia
Jin (Sendoh) Wang (China),M,CWTB,118 m,118 m,04.06.2024,AIDA Asian Freediving Cup 2024,Asia
Alenka Artnik (Slovenia),F,CWTB,111 m,111 m,30.07.2023,"Vertical Blue 2023 by Garmin, AIDA",Europe
Arnaud Jerald (France),M,CWTB,122 m,122 m,20.07.2023,"Vertical Blue 2023 by Garmin, AIDA",Europe
Enchante Gallardo (United States),F,CWTB,95 m,95 m,29.11.2024,Deep Dominica Depth Competition,North America
Kurt Chambers (United States),M,CWTB,112 m,112 m,17.06.2023,AIDA Asian Freediving Cup 2023,North America
Amber Bourke (Australia),F,CWTB,74 m,74 m,01.09.2023,AFA AIDA Depth Nationals 2023,Oceania
Mitch Ayres (Australia),M,CWTB,100 m,100 m,30.05.2024,AIDA Asian Freediving Cup 2024,Oceania
Sofia Gomez (Colombia),F,CWTB,81 m,81 m,27.04.2019,Xibalba 2019,South America
Alejandro Llinas (Colombia),M,CWTB,96 m,96 m,18.08.2022,29th AIDA World Championship,South America
Bevin Reynolds (South Africa),F,DNF,180 m,60 m,13.06.2023,30th AIDA POOL WORLD CHAMPIONSHIP,Africa
Anton De Wet (South Africa),M,DNF,154 m,100 m,25.06.2024,"32nd AIDA Freediving World Championship,Kaunas",Africa
Hyemi (Mimi) Kim (Republic of Korea),F,DNF,180 m,125 m,30.03.2025,AIDA 2025 3월 월간프리다이빙(Mar. Monthly Freediving),Asia
Ming (William Joy) Jin (China),M,DNF,193 m,10 m,16.03.2025,AIDA Macau Freediving Association Cup 2025,Asia
Julia Kozerska (Poland),F,DNF,213 m,66 m,13.06.2023,30th AIDA POOL WORLD CHAMPIONSHIP,Europe
Mateusz Malina (Poland),M,DNF,250 m,1 m,01.05.2022,AIDA Polish Freediving Pool Championships,Europe
Natalie Bruce (United States),F,DNF,150 m,55 m,25.06.2024,"32nd AIDA Freediving World Championship,Kaunas",North America
Rolando Salgado (Cuba),M,DNF,188 m,150 m,27.04.2024,AIDA Florida Apnea,North America
Amber Bourke (Australia),F,DNF,164 m,151 m,21.06.2013,Individual AIDA pool World Championships,Oceania
David Mullins (New Zealand),M,DNF,218 m,0 m,27.09.2010,Cressi World Record Challenge,Oceania
Ludmila Brzozowski (Argentina),F,DNF,142 m,75 m,03.12.2016,1 Campeonato Internacional de Buceo en Apnea Marina de Guerra del Perú,South America
Derek Ludovic (Venezuela),M,DNF,138 m,20 m,25.10.2019,AIDA South Florida Apnea Challenge 2019,South America
