"","fighter_name","Weight","Reach","Stance","SLpM","Str_Acc","SApM","Str_Def","TD_Avg","TD_Acc","TD_Def","Sub_Avg","birthyear","height_inches"
"1097","Abubakar Nurmagomedov",170,72,"Orthodox",1.41,44,0.71,81,5.29,100,0,0,1989,71
"1098","Kennedy Nzechukwu",205,83,"Southpaw",5.38,43,5.8,48,0,0,78,0,1992,77
"1099","Jake O'Brien",205,76,"Orthodox",1.31,31,1.92,69,6.39,54,25,0.2,1984,75
"1100","Sean O'Connell",205,74,"Orthodox",5.46,48,6.77,45,0,0,30,0.5,1983,73
"1101","Sean O'Malley",135,72,"Switch",6.35,57,3.76,64,1.05,50,61,1.1,1994,71
"1102","Casey O'Neill",125,69,"",5.64,72,1.84,42,6.91,66,0,1.7,1997,66
"1103","Brendan O'Reilly",170,69,"Orthodox",1.9,47,2.77,39,2.22,43,36,0.6,1987,67
"1104","Christian Ocon",135,69,"Orthodox",1.73,53,5.27,34,0,0,63,0,1996,68
"1105","Volkan Oezdemir",205,75,"Orthodox",5.03,45,4.24,55,0.36,20,80,0,1989,74
"1106","Andy Ogle",145,69,"Orthodox",2.24,44,2.23,50,1.44,26,58,0,1989,68
"1107","Yushin Okami",170,75,"Southpaw",2.06,38,2.25,60,1.98,39,84,0.5,1981,74
"1108","JJ Okanovich",155,76,"Orthodox",6.93,55,5.27,50,0,0,100,0,1990,71
"1109","Michal Oleksiejczuk",205,74,"Southpaw",4.83,56,2.91,69,1.05,66,35,0,1995,72
"1110","Aleksei Oleinik",240,80,"Orthodox",3.47,50,3.85,44,2.38,46,33,2.4,1977,74
"1111","Rafaello Oliveira",155,71,"Orthodox",2.19,33,3.38,59,2.49,36,11,1.6,1982,68
"1112","Charles Oliveira",155,74,"Orthodox",3.22,52,2.94,54,2.64,44,57,2.8,1989,70
"1113","Bruno Oliveira",205,80,"Orthodox",3.44,33,4.92,54,0,0,0,0,1984,76
"1114","Alex Oliveira",170,76,"Orthodox",2.87,50,2.18,48,2.41,37,63,0.6,1988,71
"1115","Cameron Olson",205,75,"Orthodox",3.13,47,2.2,57,3,42,100,1,1989,73
"1116","Daniel Omielanczuk",247,74,"Southpaw",3.09,57,3.29,47,0.56,26,68,0.1,1982,72
"1117","Michihiro Omigawa",145,68,"Orthodox",2.01,39,3.06,64,1.19,36,49,1.5,1975,66
"1118","Charlie Ontiveros",185,78,"Switch",0.33,40,4.18,19,0,0,0,0,1991,74
"1119","Brian Ortega",145,69,"Switch",4.29,38,6.28,52,0.8,21,56,1.1,1991,68
"1120","Tito Ortiz",205,74,"Orthodox",2.59,46,2.88,60,2.47,35,54,0.6,1975,75
"1121","Ode Osbourne",145,73,"Southpaw",4.3,54,3.04,42,1.9,100,66,1.9,1992,67
"1122","Kenji Osawa",135,66,"Orthodox",2.34,35,2.14,63,0.91,58,68,0.7,1976,67
"1123","Nick Osipczak",170,76,"Orthodox",2.83,50,3.77,50,1.2,45,71,1,1984,74
"1124","Dustin Ortiz",125,65,"Orthodox",2.94,44,2.17,56,3.01,36,52,0.1,1988,65
"1125","Rachael Ostovich",125,62,"Orthodox",2.54,43,3.97,57,2.03,83,66,0.8,1991,63
"1126","Zak Ottow",170,72,"Orthodox",2.63,36,2.73,58,0.97,29,57,0.4,1986,71
"1127","Sidney Outlaw",170,74,"Orthodox",0.13,33,0.8,71,3,75,0,3,1992,68
"1128","Alistair Overeem",265,80,"Orthodox",3.67,64,2.44,57,1.42,55,73,0.8,1980,76
"1129","Alptekin Ozkilic",125,65,"Orthodox",3.81,32,5.72,59,4.21,58,75,0,1986,65
"1130","Nick Pace",135,68,"Orthodox",1.48,34,3.14,57,2.52,43,54,0.5,1987,67
"1131","Teemu Packalen",155,75,"Orthodox",2.57,54,3.91,47,2.31,25,100,1.5,1987,73
"1132","Damacio Page",135,66,"Orthodox",2.05,38,2.47,51,2.63,64,23,0.9,1982,66
"1133","Dustin Pague",135,74,"Orthodox",1.65,53,2.96,41,1.03,44,55,2.6,1987,69
"1134","Dinis Paiva Jr.",145,71,"Southpaw",2.6,41,2.73,67,0,0,81,0,1988,69
"1135","Raulian Paiva",125,69,"Orthodox",4.46,43,4.89,51,0.26,20,80,0.3,1995,68
"1136","Sasha Palatnikov",170,72,"Switch",9.78,52,7.74,51,1.17,100,88,0,1989,73
"1137","Fredson Paixao",145,66,"Orthodox",1.71,54,2.31,62,0.62,11,10,2.2,1979,66
"1138","Soa Palelei",265,81,"Orthodox",2.47,57,2.68,48,2.2,47,66,0,1977,76
"1139","Bart Palaszewski",145,70,"Orthodox",2.67,32,3.97,57,0.65,31,53,0.5,1983,69
"1140","Rousimar Palhares",170,71,"Orthodox",1.75,51,2.04,59,3.93,45,0,4.1,1980,68
"1141","Jared Papazian",135,67,"Southpaw",3.33,39,3.81,44,0,0,50,0,1988,68
"1142","Alexandre Pantoja",125,67,"Orthodox",4.3,47,3.39,53,0.94,35,68,0.9,1990,65
"1143","Josh Parisian",265,79,"Orthodox",7.46,51,7.51,42,0,0,66,0.7,1989,76
"1144","Harvey Park",155,70,"Orthodox",3.77,50,7.21,33,0,0,0,0,1986,72
"1145","Junyong Park",185,73,"Orthodox",4.24,47,2.9,59,3.4,64,45,0,1991,70
"1146","Karo Parisyan",170,72,"Orthodox",2.49,41,2.19,58,5.27,59,59,1,1982,70
