CLUB,POSITION,total_offense,total_penalties,P,BL,percentage,HPI
GUM,GK,9,3,30,0,50,68
FAG,PV,5,1,6,0,66.67,72
SCM,GK,8,2,28,0,66.67,66
BER,LB,12,1,17,0,28.57,66
HCE,RB,8,4,11,0,40,64
RNL,GK,4,2,20,0,100,68
WET,CB,7,0,5,1,50,68
ASV,CB,5,1,6,0,66.67,67
GWD,CB,7,0,11,0,50,67
THW,LB,4,0,5,0,100,69
THW,LB,5,0,13,0,100,68
BER,LW,4,0,1,0,100,70
STU,GK,13,8,29,0,50,69
HSV,GK,8,4,26,0,100,67
THW,LW,5,0,3,0,25,65
RNL,GK,13,7,24,0,100,70
THW,GK,10,2,29,0,50,74
SGF,GK,10,0,27,0,50,71
FAG,LB,6,0,7,2,33.33,67
MTM,GK,8,3,29,0,33.33,73
BHC,GK,7,0,30,0,33.33,66
GUM,RB,9,2,4,1,14.29,65
WET,RW,2,1,3,0,100,67
BER,GK,12,6,25,0,20,68
LEI,LB,8,1,7,0,16.67,65
WET,GK,3,0,30,0,100,65
HSV,GK,3,0,18,0,100,64
SGF,RW,3,0,15,0,50,67
STU,PV,4,6,11,0,50,70
HAN,PV,2,0,16,0,100,73
RNL,LW,8,0,8,0,14.29,63
LEI,PV,2,0,2,0,100,73
RNL,RW,5,0,3,0,50,72
GWD,CB,3,1,2,0,50,64
HAN,RW,3,0,3,0,50,68
RNL,CB,4,1,3,0,33.33,65
BER,PV,2,0,1,0,100,73
THW,RB,9,0,12,0,20,66
GWD,RW,6,1,1,0,25,63
GWD,RB,2,0,2,0,100,67
MTM,PV,3,0,7,0,50,72
BHC,LB,2,0,1,0,100,68
HAN,GK,5,1,28,0,0,65
GWD,GK,15,8,30,0,0,67
BHC,CB,4,2,13,0,0,67
TBV,GK,0,1,9,0,0,61
FAG,GK,5,2,30,0,0,67
ASV,LB,3,16,25,17,0,66
ASV,GK,3,2,29,0,0,64
HAN,PV,2,3,8,1,0,70
RNL,GK,6,1,27,0,0,68
WET,GK,2,2,29,0,0,68
HCE,GK,0,0,1,0,0,65
TBV,GK,1,0,30,0,0,65
SCM,LB,9,12,30,12,0,68
TBV,GK,2,2,19,0,0,66
BER,GK,1,1,27,0,0,67
MTM,GK,1,0,29,0,0,68
LEI,GK,13,4,30,0,0,68
GWD,GK,3,0,29,0,0,64
GUM,GK,1,2,30,0,0,64
HAN,PV,2,0,7,0,0,72
STU,LW,0,0,2,0,0,65
BER,GK,0,0,2,0,0,69
HCE,GK,4,2,29,0,0,66
BER,GK,1,0,7,0,0,66
WET,GK,0,0,1,0,0,67
LEI,GK,0,0,3,0,0,68
TBV,GK,0,0,1,0,0,64
BHC,GK,0,0,1,0,0,71
SCM,GK,0,0,2,0,0,63
TBV,CB,0,1,11,0,0,64
GWD,LW,0,0,5,0,0,65
GWD,GK,0,0,7,0,0,63
ASV,LB,0,0,2,0,0,65
TBV,GK,0,0,1,0,0,63
GWD,PV,0,1,2,0,0,69
HAN,RW,1,0,3,0,0,69
LEI,CB,0,1,4,0,0,63
LEI,GK,2,2,27,0,0,65
HSV,GK,0,0,5,0,0,64
HSV,CB,0,1,5,0,0,64
GWD,RW,0,0,4,0,0,66
BER,LB,1,0,5,0,0,68
HSV,RW,0,0,4,0,0,69
FAG,LW,0,0,2,0,0,63
