,name_id,country,crag,sector,name,tall_recommend_sum,grade_mean,cluster,rating_tot
145,145,arg,piedra parada,totem,pico de pato,0,52.6,0,0.02910881717483959
146,146,arg,trebol,pared blanca,barbaroja,0,48.333333333333336,2,0.09755986123085553
147,147,arg,trebol,pared blanca,barbas del capitan,0,46.9,2,0.07800301453065911
148,148,arg,trebol,pared blanca,calavera no chilla,0,62.0,2,-0.15675408720338568
149,149,arg,trebol,pared blanca,capitan bachi,0,48.5,2,-0.07347453424249362
150,150,arg,trebol,pared blanca,chacopalai,0,65.0,2,-0.09066586871279061
151,151,arg,trebol,pared blanca,chimichanga,0,62.0,2,-0.07347453424249362
152,152,arg,trebol,pared blanca,corsario negro,1,59.4,3,0.011837569819057621
153,153,arg,trebol,pared blanca,galletita dulce,0,36.0,2,-0.04521144889283872
154,154,arg,trebol,pared blanca,guerra de peditos,0,31.0,2,-0.07347453424249362
155,155,arg,trebol,pared blanca,habitante del raviol,0,55.5,3,-0.07347453424249362
156,156,arg,trebol,pared blanca,isla del tesoro,0,38.66666666666666,2,0.2781395713763438
157,157,arg,trebol,pared blanca,jack sparrow,-1,51.0625,2,0.09778857143852947
158,158,arg,trebol,pared blanca,lenguita de gato,0,52.9,0,-0.008136248920071651
159,159,arg,trebol,pared blanca,mandibula de titanio,0,46.0,0,-0.16581142258309595
160,160,arg,trebol,pared blanca,pata de palo,0,51.8,0,-0.15876354542753346
161,161,arg,trebol,pared blanca,paty,0,53.0,0,-0.04521144889283872
162,162,arg,trebol,pared blanca,perla negra,0,37.0,1,0.19000971677838227
163,163,arg,trebol,pared blanca,peter pan,0,50.5,0,-0.03907319933370217
164,164,arg,trebol,pared blanca,tarugos y bananas,0,70.0,2,-0.08043948992836879
165,165,arg,trebol,pared blanca,travesia,0,57.5,3,-0.04521144889283872
166,166,arg,valle encantado,sector nuevo,meneaito,-1,53.5,3,-0.040683946052565235
167,167,arg,valle encantado,sector nuevo,toma de juan,-1,51.5,3,-0.16490179498667
168,168,arg,valle encantado,valle encantado,peluca,0,49.0,2,0.4115519961612803
169,169,arg,valle encantado,valle encantado,perita,0,44.0,2,-0.07347453424249362
170,170,arg,valle encantado,valle encantado,terreno,0,36.0,2,-0.07347453424249362
171,171,arg,villa llanquin,rocas rojas,buenos aires,0,39.5,2,-0.04612107648926469
172,172,arg,villa llanquin,rocas rojas,consuelo del abuelo,0,44.0,2,0.2781395713763438
173,173,arg,villa llanquin,rocas rojas,pito catala,0,66.0,2,-0.06968399583471888
174,174,arg,villa llanquin,rocas rojas,santiago,0,40.333333333333336,3,-0.07347453424249362
175,175,aus,arapiles,arapiles,wall of the afternoon sun,0,36.0,6,-0.07347453424249362
176,176,aus,arapiles,organ pipes,aardvark,0,36.0,6,-0.07347453424249362
177,177,aus,arapiles,organ pipes,stentor,-1,29.33333333333333,6,-0.04521144889283872
178,178,aus,arapiles,organ pipes,tannin,0,37.6,6,0.07298929422848445
179,179,aus,arapiles,organ pipes,wraith,0,42.66666666666666,6,-0.11166189738651176
180,180,aus,arapiles,tiger wall,no future,0,42.0,6,-0.07347453424249362
181,181,aus,arapiles,tiger wall,resignation,0,30.0,6,-0.17312465360333787
182,182,aus,bell sunnyside,bell,on main wall,0,55.0,2,-0.04521144889283872
183,183,aus,berowra,orange wall,wall thing,0,36.0,4,0.07447889720099252
184,184,aus,blue bell,main wall,gatekeeper,0,49.0,2,0.9324606881503088
185,185,aus,blue mountains,atlantis,herminator,-1,52.0,0,-0.15696439222351571
186,186,aus,blue mountains,atlantis,subwoofer,0,39.0,2,-0.07347453424249362
187,187,aus,blue mountains,atlantis,twenty something,0,49.0,2,0.07447889720099252
188,188,aus,blue mountains,bardens lookout,arrow and the song,0,29.0,2,0.5595054276047664
189,189,aus,blue mountains,bardens lookout,bloodline,-1,66.85714285714286,2,0.2607868894265899
190,190,aus,blue mountains,bardens lookout,booby trap,0,63.5,2,-0.07812753777910107
191,191,aus,blue mountains,bardens lookout,brain haemorrhage,0,66.0,0,0.005920616027412774
192,192,aus,blue mountains,bardens lookout,cave route,1,50.6,2,0.01020541001441825
193,193,aus,blue mountains,bardens lookout,change junkies,1,36.833333333333336,2,0.03458211516971545
194,194,aus,blue mountains,bardens lookout,changes,0,40.0,1,-0.06639703166954346
195,195,aus,blue mountains,bardens lookout,chicken skin,1,50.625,2,0.12392132214563722
196,196,aus,blue mountains,bardens lookout,dr do little,0,41.6,2,0.07447889720099252
197,197,aus,blue mountains,bardens lookout,electric blue,-1,36.6,2,0.19188553282500012
198,198,aus,blue mountains,bardens lookout,george king of the jungle,0,52.2,2,0.027182011591754904
199,199,aus,blue mountains,bardens lookout,go lotto,1,39.36363636363637,2,-0.07627466978447635
200,200,aus,blue mountains,bardens lookout,goosebumps,0,50.958333333333336,2,0.1479975052100995
201,201,aus,blue mountains,bardens lookout,hang on to yourself,1,45.15,2,-0.03699126220959617
202,202,aus,blue mountains,bardens lookout,happy new year,0,36.0,1,-0.07347453424249362
203,203,aus,blue mountains,bardens lookout,hermione,0,31.8,2,-0.10108792055817721
204,204,aus,blue mountains,bardens lookout,holy leaping shortarses batman,1,50.85714285714285,2,-0.03954877014545255
205,205,aus,blue mountains,bardens lookout,hunky dory,0,46.0,2,0.12049331386498409
206,206,aus,blue mountains,bardens lookout,it takes a lot to laugh it takes a train to cry,0,62.0,2,-0.03259084009658536
207,207,aus,blue mountains,bardens lookout,its no game,0,49.0,2,0.17872174979212868
208,208,aus,blue mountains,bardens lookout,jean genie,-1,50.66666666666666,2,-0.059648541405388084
209,209,aus,blue mountains,bardens lookout,jolly good fellow,1,34.64705882352941,1,0.0164030842152196
210,210,aus,blue mountains,bardens lookout,karinya,0,31.0,2,0.14851677224707785
211,211,aus,blue mountains,bardens lookout,kates kangaroo dance,0,49.5,3,-0.05381664534966726
212,212,aus,blue mountains,bardens lookout,lady grinning soul,0,44.18181818181818,2,-0.06925332024015542
213,213,aus,blue mountains,bardens lookout,lady stardust,1,45.23809523809524,2,0.17260853307583807
214,214,aus,blue mountains,bardens lookout,little triggers,1,37.73913043478261,1,0.08566998046970721
215,215,aus,blue mountains,bardens lookout,major tom,1,49.578947368421055,2,0.020797840554495094
216,216,aus,blue mountains,bardens lookout,mals mega route,0,46.0,2,0.43437065986846635
217,217,aus,blue mountains,bardens lookout,mike and lorna go to town,0,36.85714285714285,2,0.24772576480342537
218,218,aus,blue mountains,bardens lookout,pleasures of all flesh,0,62.75,1,0.4154978099291991
219,219,aus,blue mountains,bardens lookout,puppy fat,1,49.16666666666666,2,0.030752248852262465
220,220,aus,blue mountains,bardens lookout,scheme of things,0,48.94736842105263,2,0.22817854559856016
221,221,aus,blue mountains,bardens lookout,sound and vision,0,41.375,2,0.20208493189087706
222,222,aus,blue mountains,bardens lookout,starman,-1,41.8421052631579,2,0.05251600882372588
223,223,aus,blue mountains,bardens lookout,these terrors be but arguments for the children,0,55.16666666666666,2,-0.0623602822259166
224,224,aus,blue mountains,bardens lookout,turkey slap,1,54.583333333333336,2,0.07905080428514588
225,225,aus,blue mountains,bardens lookout,way of all flesh m,1,57.06818181818182,2,0.0944107034310946
226,226,aus,blue mountains,bardens lookout,who killed bambi,0,46.0,2,0.1778290514865952
227,227,aus,blue mountains,bell,an angel walks by,0,49.0,2,-0.04521144889283872
228,228,aus,blue mountains,bell,autophagocytosis,0,57.0,2,-0.055665188255602384
229,229,aus,blue mountains,bell,belayers root,0,37.333333333333336,2,0.07447889720099252
230,230,aus,blue mountains,bell,blow torch,0,48.0,2,0.11616680020044626
231,231,aus,blue mountains,bell,cavity search,1,54.833333333333336,2,0.11912831587454627
232,232,aus,blue mountains,bell,crumple zone,0,55.5,3,-0.036689294138850505
233,233,aus,blue mountains,bell,daffy,0,46.2,2,0.002664689544693764
234,234,aus,blue mountains,bell,darkwing duck,0,52.66666666666666,0,0.02415410937762484
235,235,aus,blue mountains,bell,does my bum look big on this,0,55.0,2,0.012637263214957452
236,236,aus,blue mountains,bell,duck tits,0,41.5,0,0.0146337241540769
237,237,aus,blue mountains,bell,duck walk,0,55.0,2,-0.036042260870886314
238,238,aus,blue mountains,bell,duckling,0,39.75,0,0.07447889720099252
239,239,aus,blue mountains,bell,event horizon,0,57.0,2,0.14393692364576055
240,240,aus,blue mountains,bell,fast forward the future,0,66.0,2,-0.03310812070386155
241,241,aus,blue mountains,bell,femme flic,0,42.0,2,0.4519305199482431
242,242,aus,blue mountains,bell,fly fury,0,38.0,2,-0.07347453424249362
