Player,Surface,EloRank,WinPercentage,DoubleFaultPercentage,ReturnPointsWonPercentage
Christopher Eubanks,Clay,84,0,0.04315,0.31016
Christopher Eubanks,Grass,84,0.75,0.03476,0.29836
Christopher Eubanks,Hard,84,0.375,0.03035,0.29278
Michael Mmoh,Hard,85,0.6,0.05036,0.35441
Dominic Stricker,Hard,86,0.42857,0.02825,0.34992
Alexandre Muller,Clay,87,0.41667,0.0213,0.36709
Alexandre Muller,Hard,87,0.29412,0.02741,0.37548
Corentin Moutet,Clay,88,0.46667,0.01842,0.3879
Corentin Moutet,Grass,88,0.44444,0.0492,0.35973
Corentin Moutet,Hard,88,0.125,0.02491,0.34356
Lorenzo Sonego,Clay,89,0.47059,0.02838,0.33931
Lorenzo Sonego,Grass,89,0.33333,0.02096,0.34007
Lorenzo Sonego,Hard,89,0.4375,0.02003,0.33051
Mackenzie Mcdonald,Grass,90,0.54545,0.03392,0.37456
Mackenzie Mcdonald,Hard,90,0.5,0.02961,0.38977
Harold Mayot,Hard,91,0.57143,0.0322,0.36605
Thanasi Kokkinakis,Clay,92,0.33333,0.02849,0.32797
Thanasi Kokkinakis,Hard,92,0.40909,0.03393,0.32831
Sebastian Ofner,Clay,93,0.38095,0.03639,0.38413
Sebastian Ofner,Hard,93,0.51724,0.02826,0.34516
Andy Murray,Hard,94,0.42857,0.02692,0.36663
Alex Molcan,Clay,95,0.44444,0.03039,0.40916
Facundo Diaz Acosta,Clay,96,0.6,0.03469,0.39797
Facundo Diaz Acosta,Hard,96,0.16667,0.05566,0.32225
Gregoire Barrere,Clay,97,0.5,0.02947,0.39453
Gregoire Barrere,Grass,97,0.55556,0.0245,0.34543
Gregoire Barrere,Hard,97,0.3125,0.02771,0.34206
David Goffin,Clay,98,0.2,0.03465,0.35854
David Goffin,Hard,98,0.28571,0.02243,0.346
Aleksandar Kovacevic,Clay,99,0.16667,0.02787,0.31219
Aleksandar Kovacevic,Hard,99,0.375,0.04721,0.32028
John Isner,Grass,101,0.6,0.03972,0.33333
John Isner,Hard,101,0.33333,0.03097,0.2972
Dino Prizmic,Hard,102,0.16667,0.02687,0.38349
Terence Atmane,Hard,103,0.14286,0.04498,0.32
Jason Kubler,Hard,104,0.2,0.03095,0.37783
Dominic Thiem,Clay,105,0.53846,0.03674,0.35173
Dominic Thiem,Hard,105,0.46667,0.04,0.33706
Marc Andrea Huesler,Clay,106,0.28571,0.04299,0.33528
Marc Andrea Huesler,Grass,106,0.4,0.04731,0.33469
Marc Andrea Huesler,Hard,106,0.22222,0.03418,0.32162
Taro Daniel,Clay,107,0.4,0.02564,0.38327
Taro Daniel,Hard,107,0.34783,0.03464,0.34934
Fabio Fognini,Clay,108,0.55556,0.05091,0.44351
Fabio Fognini,Hard,108,0.57143,0.06944,0.38654
J J Wolf,Grass,109,0.5,0.04449,0.3475
J J Wolf,Hard,109,0.3913,0.04506,0.35552
Lloyd Harris,Grass,110,0.5,0.02534,0.31589
Lloyd Harris,Hard,110,0.3,0.04489,0.28675
Stan Wawrinka,Clay,111,0.5,0.03098,0.36086
Stan Wawrinka,Hard,111,0.38889,0.02628,0.3549
Facundo Bagnis,Clay,113,0.5,0.02415,0.36195
Radu Albot,Clay,115,0.66667,0.04194,0.43954
Radu Albot,Hard,115,0.28571,0.03993,0.375
Yu Hsiou Hsu,Hard,116,0.5,0.02918,0.38803
Luca Van Assche,Clay,117,0.46154,0.03107,0.40137
Luca Van Assche,Hard,117,0.41667,0.03421,0.3477
Zizou Bergs,Clay,120,0.42857,0.04525,0.35692
Zizou Bergs,Hard,120,0.4,0.0325,0.34826
Jaume Munar,Clay,121,0.52,0.04046,0.4344
Jaume Munar,Hard,121,0.25,0.03787,0.37596
Emilio Nava,Hard,122,0.16667,0.04234,0.30958
Rinky Hijikata,Grass,124,0.66667,0.0276,0.37552
Rinky Hijikata,Hard,124,0.45833,0.04064,0.38249
James Duckworth,Hard,125,0.41667,0.01989,0.30449
Yosuke Watanuki,Hard,127,0.33333,0.03778,0.31882
Daniel Evans,Clay,129,0,0.04423,0.33755
Daniel Evans,Hard,129,0.44828,0.0451,0.3614
Sumit Nagal,Clay,132,0.4,0.01425,0.33598
Sumit Nagal,Hard,132,0.5,0.01393,0.35372
Liam Broady,Grass,133,0.5,0.04496,0.40661
Liam Broady,Hard,133,0.4,0.04313,0.38994
Diego Schwartzman,Clay,136,0.28571,0.0349,0.41433
Diego Schwartzman,Hard,136,0.26667,0.03581,0.35327
Max Purcell,Clay,137,0.5,0.02698,0.31099
Max Purcell,Hard,137,0.35294,0.0385,0.34175
Filip Misolic,Clay,138,0.4,0.02613,0.32663
