Player,Measure Names,Competition Level,Full Division Name,Full Team Name Correct,Full Team Name,Gender Division,Measure Values
Emmanuel Kameri,Team Games,Division 3,Division 3 Men,Oklahoma Christian Eagles,Oklahoma Christian Eagles,Men,5
Emma Smith,Team Games,Division 1,Division 1 Women,California - San Diego D-Co,California - San Diego D-Co,Women,5
Char Bokhof,Team Games,Division 1,Division 1 Women,Colorado State Helle's Belles,Colorado State Helle's Belles,Women,5
Annabel White,Team Games,Division 1,Division 1 Women,Tufts EWO,Tufts EWO,Women,5
Elliott Rosenberg,Team Games,Division 1,Division 1 Men,Brown Brownian Motion,Brown Brownian Motion,Men,8
Zach Van Dusen,Team Games,Division 3,Division 3 Men,Bates Orange Whip,Bates Orange Whip,Men,6
Zac Kuelz,Team Games,Division 1,Division 1 Men,NC State Alpha,NC State Alpha,Men,6
Wade Buchheit,Team Games,Division 3,Division 3 Men,Williams WUFO,Williams WUFO,Men,6
Tyler Shanahan,Team Games,Division 3,Division 3 Men,Davenport Panthers,Davenport Panthers,Men,6
Jonah Barer,Team Games,Division 3,Division 3 Men,Carleton CHOP,Carleton CHOP,Men,6
Dorthea Trelstad Pi-Sunyer,Team Games,Division 3,Division 3 Women,Macalester Purse Snatchers,Macalester Purse Snatchers,Women,6
Adam Kohn,Team Games,Division 3,Division 3 Men,Williams WUFO,Williams WUFO,Men,6
Savanna Tucker,Team Games,Division 1,Division 1 Women,Washington Element,Washington Element,Women,5
Peter Mans,Team Games,Division 3,Division 3 Men,Middlebury Pranksters,Middlebury Pranksters,Men,5
Owen Smith,Team Games,Division 1,Division 1 Men,Texas TUFF,Texas TUFF,Men,5
Max Dehlin,Team Games,Division 1,Division 1 Men,Minnesota Grey Duck,Minnesota Grey Duck,Men,5
Logan Keillor,Team Games,Division 1,Division 1 Men,Ottawa Gee-Gees,Ottawa Gee-Gees,Men,5
Jack Krugler,Team Games,Division 1,Division 1 Men,Georgia Jojah,Georgia Jojah,Men,5
Gavin Rice,Team Games,Division 3,Division 3 Men,Middlebury Pranksters,Middlebury Pranksters,Men,5
Gavin Abrahamsson,Team Games,Division 1,Division 1 Men,Massachusetts Zoodisc,Massachusetts Zoodisc,Men,5
Cole Chanler,Team Games,Division 1,Division 1 Men,Georgia Jojah,Georgia Jojah,Men,5
Ciona Antolin,Team Games,Division 1,Division 1 Women,Washington Element,Washington Element,Women,5
Chaily Derecskey,Team Games,Division 1,Division 1 Women,Pennsylvania Venus,Pennsylvania Venus,Women,5
Casey Thornton,Team Games,Division 1,Division 1 Men,Vermont Chill,Vermont Chill,Men,5
Brynn Freeland,Team Games,Division 1,Division 1 Women,Victoria Vikes,Victoria Vikes,Women,5
Macy Vollbrecht,Team Games,Division 1,Division 1 Women,Stanford Superfly,Stanford Superfly,Women,7
Amelia Hawkins,Team Games,Division 1,Division 1 Women,Stanford Superfly,Stanford Superfly,Women,7
Abbie Gillach,Team Games,Division 1,Division 1 Women,Colorado Quandary,Colorado Quandary,Women,7
Sebastian Williamson,Team Games,Division 3,Division 3 Men,Lewis & Clark Bacchus,Lewis & Clark Bacchus,Men,6
Maxwell Caputo,Team Games,Division 3,Division 3 Men,Richmond Spidermonkeys,Richmond Spidermonkeys,Men,6
Maryanne Maxwell,Team Games,Division 3,Division 3 Women,Portland UPRoar,Portland UPRoar,Women,6
Vincent Su,Team Games,Division 1,Division 1 Men,Cal Ursa Major,Cal Ursa Major,Men,5
Ryan Loui-Ying,Team Games,Division 3,Division 3 Men,Oklahoma Christian Eagles,Oklahoma Christian Eagles,Men,5
Leo Renzema,Team Games,Division 1,Division 1 Men,Oregon State Beavers,Oregon State Beavers,Men,5
Harriet Dahlstrom,Team Games,Division 3,Division 3 Women,Middlebury Pranksters,Middlebury Pranksters,Women,5
Grace Maroon,Team Games,Division 1,Division 1 Women,Pennsylvania Venus,Pennsylvania Venus,Women,5
Genevieve Reyland-Slawson,Team Games,Division 1,Division 1 Women,Colorado State Helle's Belles,Colorado State Helle's Belles,Women,5
Edi Lam,Team Games,Division 1,Division 1 Women,Tufts EWO,Tufts EWO,Women,5
Cice Kim,Team Games,Division 1,Division 1 Women,Colorado State Helle's Belles,Colorado State Helle's Belles,Women,5
Timothy Loftus,Team Games,Division 3,Division 3 Men,Rochester Piggies,Rochester Piggies,Men,6
Michiko Magnant,Team Games,Division 1,Division 1 Women,Oregon Fugue,Oregon Fugue,Women,6
Matthew Timoney,Team Games,Division 3,Division 3 Men,Richmond Spidermonkeys,Richmond Spidermonkeys,Men,6
Matthew Peterson,Team Games,Division 3,Division 3 Men,Berry Bucks,Berry Bucks,Men,6
Grant Klebig,Team Games,Division 3,Division 3 Men,St Olaf Berzerkers,St Olaf Berzerkers,Men,6
Collin Hill,Team Games,Division 3,Division 3 Men,Berry Bucks,Berry Bucks,Men,6
Ben Horrisberger,Team Games,Division 1,Division 1 Men,Oregon EGO,Oregon EGO,Men,6
Thomas Preston,Team Games,Division 3,Division 3 Men,Oklahoma Christian Eagles,Oklahoma Christian Eagles,Men,5
Ryanne Barrett,Team Games,Division 1,Division 1 Women,Tufts EWO,Tufts EWO,Women,5
Presten Berg,Team Games,Division 3,Division 3 Women,Lewis & Clark Artemis,Lewis & Clark Artemis,Women,5
Leilani Lepe,Team Games,Division 3,Division 3 Women,Davenport Panthers,Davenport Panthers,Women,5
Katrina McGuire,Team Games,Division 1,Division 1 Women,Michigan Flywheel,Michigan Flywheel,Women,5
Griffin Yas,Team Games,Division 1,Division 1 Men,Massachusetts Zoodisc,Massachusetts Zoodisc,Men,5
Cameron Freeman,Team Games,Division 1,Division 1 Men,Washington University Contra,Washington University Contra,Men,5
Austin Gin,Team Games,Division 1,Division 1 Men,Minnesota Grey Duck,Minnesota Grey Duck,Men,5
Aaron Barcio,Team Games,Division 1,Division 1 Men,Texas TUFF,Texas TUFF,Men,5
Raekwon Adkins,Team Games,Division 1,Division 1 Men,Oregon EGO,Oregon EGO,Men,6
Kennedy McCarthy,Team Games,Division 1,Division 1 Women,Vermont Ruckus,Vermont Ruckus,Women,6
Joe Claramunt,Team Games,Division 3,Division 3 Men,Davenport Panthers,Davenport Panthers,Men,6
Isamu Masayoshi Sims,Team Games,Division 3,Division 3 Men,Claremont Braineaters,Claremont Braineaters,Men,6
Ian VanOrder,Team Games,Division 3,Division 3 Men,Berry Bucks,Berry Bucks,Men,6
Ella Monaghan,Team Games,Division 1,Division 1 Women,Vermont Ruckus,Vermont Ruckus,Women,6
David Leder,Team Games,Division 3,Division 3 Men,Rochester Piggies,Rochester Piggies,Men,6
Casey Shaw-Merrigan,Team Games,Division 3,Division 3 Women,Colorado College Zenith,Colorado College Zenith,Women,6
Caroline Stone,Team Games,Division 1,Division 1 Women,Vermont Ruckus,Vermont Ruckus,Women,6
Calvin Ciorba,Team Games,Division 3,Division 3 Men,Richmond Spidermonkeys,Richmond Spidermonkeys,Men,6
Benjamin Bushley,Team Games,Division 3,Division 3 Men,Bates Orange Whip,Bates Orange Whip,Men,6
Anthony Camastro,Team Games,Division 3,Division 3 Men,Franciscan Fatal,Franciscan Fatal,Men,6
Amelia Platt,Team Games,Division 3,Division 3 Women,Wesleyan Vicious Circles,Wesleyan Vicious Circles,Women,6
Seth Wells,Team Games,Division 1,Division 1 Men,Colorado Mambird,Colorado Mambird,Men,7
Nanda Min-Fink,Team Games,Division 1,Division 1 Men,Colorado Mambird,Colorado Mambird,Men,7
Max Gade,Team Games,Division 1,Division 1 Men,Cal Poly-SLO Slocore,Cal Poly-SLO Slocore,Men,7
Wilson Tryon,Team Games,Division 1,Division 1 Men,Washington University Contra,Washington University Contra,Men,5
Wesley Fransen,Team Games,Division 3,Division 3 Men,Missouri S&T Miner Threat,Missouri S&T Miner Threat,Men,6
Syris Linkfield,Team Games,Division 1,Division 1 Women,Oregon Fugue,Oregon Fugue,Women,6
Sebastian Brauer,Team Games,Division 1,Division 1 Men,Minnesota Grey Duck,Minnesota Grey Duck,Men,5
Sean Brown,Team Games,Division 1,Division 1 Men,Penn State Spank,Penn State Spank,Men,5
Samuel Tremblay-Larochelle,Team Games,Division 1,Division 1 Men,Ottawa Gee-Gees,Ottawa Gee-Gees,Men,5
Parker Lin-Butler,Team Games,Division 1,Division 1 Men,Vermont Chill,Vermont Chill,Men,5
Nadia Scoppettone,Team Games,Division 1,Division 1 Women,Vermont Ruckus,Vermont Ruckus,Women,6
Malachi Raymond,Team Games,Division 3,Division 3 Men,Middlebury Pranksters,Middlebury Pranksters,Men,5
Leah Fulton,Team Games,Division 1,Division 1 Women,Victoria Vikes,Victoria Vikes,Women,5
Jonas Geere,Team Games,Division 3,Division 3 Men,St Olaf Berzerkers,St Olaf Berzerkers,Men,6
Jessica Wu,Team Games,Division 1,Division 1 Women,North Carolina Pleiades,North Carolina Pleiades,Women,7
Jamie Miller,Team Games,Division 3,Division 3 Men,Claremont Braineaters,Claremont Braineaters,Men,6
Jake Powell,Team Games,Division 1,Division 1 Men,Georgia Jojah,Georgia Jojah,Men,5
Jacob Trokel,Team Games,Division 3,Division 3 Men,Rochester Piggies,Rochester Piggies,Men,6
Henri Lessard,Team Games,Division 1,Division 1 Men,NC State Alpha,NC State Alpha,Men,6
Goodness Nwakudu,Team Games,Division 1,Division 1 Women,California - Santa Cruz Sol,California - Santa Cruz Sol,Women,5
Ethan Lavallee,Team Games,Division 3,Division 3 Men,Middlebury Pranksters,Middlebury Pranksters,Men,5
Emily Mulhern,Team Games,Division 3,Division 3 Women,St Olaf Vortex,St Olaf Vortex,Women,5
Carter Lankford,Team Games,Division 1,Division 1 Men,Cal Ursa Major,Cal Ursa Major,Men,5
Benjamin Payson,Team Games,Division 1,Division 1 Men,Vermont Chill,Vermont Chill,Men,5
Avery Goldstein,Team Games,Division 3,Division 3 Women,Middlebury Pranksters,Middlebury Pranksters,Women,5
Adam Wright,Team Games,Division 3,Division 3 Men,Oberlin Flying Horsecows,Oberlin Flying Horsecows,Men,6
Rose Bransford,Team Games,Division 1,Division 1 Women,Colorado Quandary,Colorado Quandary,Women,7
Dora McCotter-Hulett,Team Games,Division 1,Division 1 Women,Stanford Superfly,Stanford Superfly,Women,7
Zoe Posner,Team Games,Division 3,Division 3 Women,Colorado College Zenith,Colorado College Zenith,Women,6
Seth Fried,Team Games,Division 1,Division 1 Men,North Carolina Darkside,North Carolina Darkside,Men,6
Reece Overholt,Team Games,Division 3,Division 3 Men,Williams WUFO,Williams WUFO,Men,6
Max Fleming,Team Games,Division 3,Division 3 Men,Whitman Sweets,Whitman Sweets,Men,6
Joseph Duerr,Team Games,Division 3,Division 3 Men,Franciscan Fatal,Franciscan Fatal,Men,6
Eva Taberski,Team Games,Division 3,Division 3 Women,Mount Holyoke Daisy Chain,Mount Holyoke Daisy Chain,Women,6
Cade Ashland,Team Games,Division 3,Division 3 Men,St Olaf Berzerkers,St Olaf Berzerkers,Men,6
Amelie Marshall,Team Games,Division 1,Division 1 Women,British Columbia Thunderbirds,British Columbia Thunderbirds,Women,6
Mina Brown,Team Games,Division 1,Division 1 Women,Tufts EWO,Tufts EWO,Women,5
Jeremy Long,Team Games,Division 1,Division 1 Men,Penn State Spank,Penn State Spank,Men,5
Ian Mccosky,Team Games,Division 1,Division 1 Men,Minnesota Grey Duck,Minnesota Grey Duck,Men,5
Ericka Edgell,Team Games,Division 1,Division 1 Women,Victoria Vikes,Victoria Vikes,Women,5
