"rank","Player","begin_year","end_year","Pos","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","IBB","HBP","SH","SF","DP","BA","OBP","SLG","OPS","OPS+"
302,"Knucks James",1900,1918,"2B",195,847,778,89,173,17,11,4,73,26,NA,51,NA,NA,3,15,NA,NA,0.222,0.273,0.288,0.561,66
303,"Clarence Isreal",1940,1947,"3B",217,812,711,123,172,19,8,6,79,13,1,82,9,0,4,15,NA,1,0.242,0.324,0.316,0.64,75
304,"Ed Mayweather",1935,1942,"1B",183,703,623,94,171,28,14,10,106,7,0,66,5,0,4,9,1,0,0.274,0.347,0.413,0.76,122
305,"Todd Allen",1908,1925,"3B",175,707,622,97,171,34,4,8,83,41,NA,68,NA,NA,5,12,NA,NA,0.275,0.351,0.381,0.732,107
306,"Quincy Trouppe",1930,1948,"C",204,738,631,111,170,31,11,7,94,12,0,88,6,3,8,10,1,0,0.269,0.365,0.387,0.752,114
307,"John Britton",1942,1948,"3B",150,662,621,82,169,19,6,1,72,10,0,24,2,0,5,10,2,0,0.272,0.304,0.327,0.631,88
308,"Jasper Washington",1922,1933,"1B",151,605,556,75,168,41,5,3,96,5,0,24,2,NA,12,12,1,NA,0.302,0.344,0.41,0.754,94
309,"Dave Hoskins",1942,1946,"RF",158,619,565,87,165,22,11,5,87,3,1,39,7,0,2,12,1,0,0.292,0.339,0.396,0.736,104
310,"Bill Cooper",1937,1946,"C",196,680,604,104,165,26,4,7,78,9,1,64,14,0,2,10,0,0,0.273,0.345,0.364,0.709,91
311,"José Magriñat",1906,1916,"LF",202,803,736,68,165,29,8,2,74,12,NA,39,NA,NA,1,27,NA,NA,0.224,0.264,0.293,0.558,76
312,"Jimmy Ford",1937,1945,"2B",176,693,635,86,165,20,9,4,80,11,0,48,2,1,1,8,1,1,0.26,0.312,0.339,0.651,92
313,"Recurvon Terán",1915,1924,"2B",176,746,666,87,165,23,7,4,87,15,0,56,0,NA,5,18,1,NA,0.248,0.31,0.321,0.632,87
314,"Charlie Spearman",1919,1929,"C",181,629,555,90,165,31,6,14,100,8,0,50,NA,NA,6,18,0,NA,0.297,0.362,0.45,0.812,111
315,"Joe Scott",1927,1938,"1B",141,572,537,74,164,20,8,3,70,12,1,31,1,NA,2,2,NA,NA,0.305,0.346,0.389,0.735,107
316,"Harry Moore",1894,1913,"1B",180,769,693,103,164,29,4,5,88,10,NA,57,NA,NA,3,16,NA,NA,0.237,0.297,0.312,0.609,79
317,"Ernest Duff",1925,1929,"RF",142,536,492,90,163,27,7,4,69,17,NA,26,0,NA,4,14,NA,NA,0.331,0.37,0.439,0.809,112
318,"Jim Starks",1927,1946,"1B",183,679,604,95,163,31,5,15,93,10,1,62,6,1,4,8,1,1,0.27,0.341,0.412,0.754,100
319,"Minnie Miñoso",1946,1948,"3B",122,560,514,97,161,32,12,9,66,11,2,40,1,0,5,1,NA,0,0.313,0.369,0.475,0.843,141
320,"Wesley Pryor",1907,1914,"3B",139,595,549,82,161,22,7,3,73,12,NA,31,NA,NA,4,11,NA,NA,0.293,0.336,0.375,0.711,110
321,"Harry Buckner",1896,1917,"RF",153,579,506,91,161,38,10,10,88,26,NA,42,NA,NA,21,10,NA,NA,0.318,0.394,0.492,0.886,168
322,"Norman Robinson",1940,1948,"RF",171,635,588,84,160,23,7,0,72,15,1,40,0,0,2,5,0,0,0.272,0.321,0.335,0.656,76
323,"Subby Byas",1932,1942,"C",196,681,593,81,159,25,4,3,64,10,2,62,3,1,8,18,0,0,0.268,0.345,0.339,0.684,96
324,"Milton Lewis",1922,1928,"2B",168,627,580,71,159,24,6,19,102,0,0,35,9,0,4,8,0,1,0.274,0.32,0.434,0.754,100
325,"Eppie Hamilton",1923,1937,"C",209,584,546,57,158,22,8,3,67,5,NA,21,1,NA,3,14,NA,NA,0.289,0.319,0.375,0.695,90
326,"Billy Horne",1938,1946,"2B",194,768,683,85,158,16,8,2,76,13,0,60,8,0,1,23,1,1,0.231,0.294,0.287,0.581,75
327,"Thad Christopher",1935,1945,"LF",193,727,632,94,158,30,5,14,82,11,1,84,2,0,2,9,0,0,0.25,0.34,0.38,0.72,99
328,"John Cason",1918,1928,"C",195,744,655,55,157,19,5,3,63,5,0,57,1,NA,8,23,1,NA,0.24,0.308,0.298,0.606,69
329,"Lou Dials",1927,1936,"RF",178,669,592,81,157,26,14,7,80,12,0,61,2,NA,1,15,NA,NA,0.265,0.335,0.392,0.727,97
330,"Pedro Arango",1925,1939,"3B",158,646,586,74,157,21,10,9,85,12,NA,41,3,NA,7,12,0,NA,0.268,0.323,0.384,0.707,91
331,"Rogelio Alonso",1927,1930,"LF",182,706,648,74,157,25,8,1,55,17,NA,47,1,NA,4,7,NA,NA,0.242,0.298,0.31,0.608,72
332,"Frank Russell",1943,1948,"2B",159,638,581,81,156,28,8,0,77,11,0,31,1,0,7,19,0,0,0.269,0.313,0.344,0.658,78
333,"Milt Laurent",1929,1932,"2B",191,718,666,90,156,29,7,3,78,23,NA,37,0,NA,1,14,NA,NA,0.234,0.276,0.312,0.588,61
334,"Pete Booker",1905,1917,"C",160,628,560,87,155,27,0,0,61,6,NA,36,NA,NA,7,25,NA,NA,0.277,0.328,0.325,0.653,91
335,"Rogelio Linares",1940,1946,"LF",172,684,611,82,155,30,9,4,79,6,0,50,6,1,9,14,0,0,0.254,0.319,0.352,0.671,83
336,"Jimmy Wilkes",1945,1948,"CF",179,754,655,115,154,19,8,5,60,10,0,86,0,0,3,10,NA,1,0.235,0.327,0.311,0.638,78
