"rank","Player","begin_year","end_year","Pos","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","IBB","HBP","SH","SF","DP","BA","OBP","SLG","OPS","OPS+"
1,"Oscar Charleston",1915,1941,"CF",1358,5815,4978,1174,1733,327,113,187,1150,310,7,657,21,0,38,141,1,0,0.348,0.428,0.572,0,172
2,"Cool Papa Bell",1922,1946,"CF",1297,5849,5135,1227,1658,279,83,58,634,304,1,586,19,1,17,110,1,0,0.323,0.394,0.443,0.837,119
3,"Turkey Stearnes",1923,1940,"CF",1061,4612,4068,983,1413,252,124,200,1078,143,3,441,15,0,33,69,1,0,0.347,0.415,0.618,1.033,173
4,"Willie Wells",1924,1948,"SS",1115,4866,4210,986,1375,279,72,149,916,164,3,515,14,1,37,103,1,0,0.327,0.405,0.533,0.938,142
5,"Jud Wilson",1922,1945,"3B",1123,4486,3870,804,1372,256,64,100,888,122,6,488,7,1,57,67,4,0,0.355,0.434,0.531,0.965,156
6,"John Henry Lloyd",1906,1932,"SS",995,4208,3783,650,1301,206,66,30,678,135,2,284,6,NA,10,131,0,NA,0.344,0.391,0.457,0.848,142
7,"Biz Mackey",1920,1947,"C",1066,4152,3673,602,1206,207,67,66,710,71,11,365,21,4,20,92,2,0,0.328,0.392,0.475,0.867,132
8,"Mule Suttles",1923,1944,"1B",1000,4028,3550,780,1196,234,84,193,950,93,1,406,22,5,19,53,0,2,0.337,0.408,0.613,1.021,165
9,"Newt Allen",1923,1947,"2B",1086,4681,4187,702,1193,188,60,23,525,163,3,346,32,0,22,126,0,1,0.285,0.343,0.375,0.718,104
10,"Ben Taylor",1909,1929,"1B",946,3924,3474,559,1147,194,67,35,670,100,0,348,5,2,18,83,1,NA,0.33,0.394,0.455,0.849,139
11,"Judy Johnson",1918,1936,"3B",1007,4115,3732,626,1103,193,62,38,612,94,9,263,30,0,11,107,2,2,0.296,0.344,0.411,0.755,100
12,"Cristóbal Torriente",1913,1932,"CF",904,3739,3195,647,1084,200,77,64,713,145,4,439,19,0,27,72,6,0,0.339,0.423,0.51,0.933,174
13,"Josh Gibson",1930,1946,"C",815,3411,2932,764,1061,176,74,202,896,46,2,435,23,21,11,29,4,1,0.362,0.446,0.679,1.125,201
14,"Dewey Creacy",1924,1938,"3B",984,4079,3607,611,1049,149,62,87,643,53,1,343,7,NA,19,109,1,NA,0.291,0.355,0.439,0.794,101
15,"Hurley McNair",1910,1937,"RF",848,3645,3189,633,1025,147,77,48,567,134,4,340,11,2,21,92,3,0,0.321,0.39,0.461,0.851,139
16,"Chaney White",1920,1936,"CF",857,3670,3260,658,1012,146,54,35,527,79,1,317,15,0,22,70,1,2,0.31,0.375,0.421,0.796,111
17,"Dick Lundy",1916,1937,"SS",857,3522,3140,562,1001,171,53,50,594,111,3,289,15,2,20,72,1,1,0.319,0.38,0.455,0.834,126
18,"Frank Warfield",1914,1932,"2B",983,4301,3675,683,963,131,52,14,382,167,7,390,31,0,26,205,5,2,0.262,0.337,0.337,0.674,83
19,"Clint Thomas",1920,1938,"CF",859,3619,3189,598,962,177,65,65,581,165,12,277,19,0,27,124,2,2,0.302,0.362,0.459,0.821,116
20,"Vic Harris",1922,1947,"LF",840,3548,3136,618,952,149,64,41,500,40,3,331,12,0,24,54,3,3,0.304,0.374,0.431,0.805,113
21,"Crush Holloway",1921,1939,"RF",883,3824,3472,582,944,131,52,30,410,149,2,247,9,0,15,89,1,NA,0.272,0.323,0.365,0.688,83
22,"Jerry Benjamin",1932,1948,"CF",777,3511,3100,645,914,109,41,28,364,139,2,313,10,1,16,81,1,3,0.295,0.362,0.384,0.746,103
23,"George Scales",1921,1946,"2B",849,3336,2777,575,909,214,51,73,619,58,0,463,28,2,23,71,2,5,0.327,0.427,0.52,0.947,143
24,"Branch Russell",1922,1936,"RF",789,3473,2956,645,908,135,75,57,502,72,NA,385,3,NA,22,110,0,NA,0.307,0.391,0.461,0.852,114
25,"Walter Cannady",1921,1945,"2B",749,3124,2787,526,890,163,47,43,553,103,3,237,16,1,10,87,3,0,0.319,0.374,0.458,0.832,117
26,"Wilson Redus",1924,1940,"LF",819,3279,2915,496,873,135,45,86,527,49,1,260,12,0,32,71,1,0,0.299,0.363,0.465,0.828,113
27,"Fats Jenkins",1920,1940,"LF",634,2875,2508,571,847,109,32,21,294,133,1,291,4,0,13,63,0,0,0.338,0.409,0.432,0.841,121
28,"Buck Leonard",1933,1948,"1B",690,2992,2479,603,847,160,54,106,611,38,2,453,18,3,23,35,2,3,0.342,0.447,0.578,1.025,176
29,"Wade Johnston",1921,1933,"LF",704,3121,2751,510,826,116,57,44,380,74,1,295,5,0,10,63,2,0,0.3,0.37,0.432,0.802,115
30,"Pete Hill",1904,1925,"CF",690,2889,2483,511,814,145,45,48,443,81,0,311,0,NA,20,73,2,NA,0.328,0.407,0.48,0.887,168
31,"John Henry Russell",1923,1934,"2B",791,3228,2898,442,811,106,51,29,391,63,0,217,0,0,10,103,NA,0,0.28,0.332,0.382,0.714,85
32,"Bill Riggins",1920,1935,"SS",716,3100,2695,506,795,124,39,45,431,104,0,259,5,NA,22,123,1,NA,0.295,0.361,0.42,0.781,99
33,"George Carr",1920,1934,"1B",662,2746,2440,461,765,134,38,57,437,132,6,232,32,1,23,48,3,0,0.314,0.378,0.47,0.848,130
34,"John Beckwith",1919,1937,"3B",597,2408,2171,444,756,160,37,99,557,48,1,188,20,NA,8,41,0,NA,0.348,0.402,0.593,0.995,169
35,"Sandy Thompson",1917,1933,"LF",683,2782,2496,362,752,103,25,7,317,63,4,189,13,0,9,88,0,0,0.301,0.353,0.371,0.724,106
36,"Roy Parnell",1927,1943,"LF",621,2586,2294,471,751,132,53,43,385,57,4,223,11,2,16,53,0,0,0.327,0.391,0.487,0.878,137
37,"Sam Bankhead",1932,1948,"SS",706,3034,2664,456,749,101,35,19,368,107,2,270,14,1,16,81,3,0,0.281,0.35,0.367,0.717,95
38,"Frank Duncan",1920,1945,"C",959,3510,2966,441,748,126,30,15,363,67,1,357,34,1,27,160,0,3,0.252,0.338,0.33,0.668,86
39,"Bingo DeMoss",1910,1930,"2B",885,3723,3153,576,746,104,23,4,293,183,9,363,14,NA,41,165,1,NA,0.237,0.323,0.288,0.611,79
40,"Bullet Rogan",1920,1938,"CF",721,2504,2180,426,730,110,60,50,435,111,3,254,5,0,17,52,1,0,0.335,0.408,0.509,0.917,155
41,"Jelly Gardner",1917,1931,"RF",721,3035,2566,491,720,77,19,3,237,140,10,379,21,0,9,80,1,0,0.281,0.375,0.329,0.704,103
42,"Jim West",1930,1948,"1B",712,2863,2542,381,719,111,40,34,402,17,0,265,17,2,17,36,3,4,0.283,0.354,0.398,0.752,99
43,"Dave Malarcher",1916,1934,"3B",780,3241,2701,482,716,81,19,7,283,135,10,370,25,0,34,136,0,0,0.265,0.361,0.317,0.678,98
44,"Rap Dixon",1922,1937,"RF",608,2554,2178,514,710,136,48,77,465,109,0,281,7,0,14,81,0,0,0.326,0.406,0.539,0.945,146
45,"Clarence Smith",1921,1933,"RF",578,2405,2215,390,710,96,52,29,394,89,1,125,5,0,4,60,1,0,0.321,0.358,0.45,0.808,112
46,"Henry Kimbro",1937,1948,"CF",600,2700,2322,500,691,111,49,31,266,79,2,331,13,1,24,23,0,2,0.298,0.391,0.428,0.818,121
47,"Newt Joseph",1922,1935,"3B",690,2778,2401,394,686,133,40,32,406,94,3,271,34,0,15,89,2,1,0.286,0.361,0.414,0.776,115
48,"Oliver Marcell",1918,1930,"3B",619,2626,2274,387,685,85,30,15,318,56,2,232,9,1,18,100,2,0,0.301,0.37,0.385,0.755,104
49,"Willard Brown",1935,1948,"CF",485,2029,1873,386,672,145,48,66,449,101,1,145,12,1,4,6,1,1,0.359,0.406,0.593,0.999,186
50,"Jim Brown",1919,1937,"C",752,2801,2475,396,670,111,38,18,381,76,7,229,25,0,15,78,4,1,0.271,0.336,0.368,0.704,103
51,"Candy Jim Taylor",1907,1942,"3B",783,2662,2355,358,668,105,24,37,366,112,1,220,1,0,24,62,1,0,0.284,0.351,0.396,0.747,108
52,"Larry Brown",1921,1947,"C",867,2992,2563,297,659,103,36,15,324,26,1,294,13,0,24,111,0,1,0.257,0.339,0.343,0.682,86
53,"Gene Benson",1934,1948,"CF",585,2473,2245,329,656,86,32,17,328,21,3,199,5,0,3,26,0,2,0.292,0.351,0.382,0.732,95
54,"Charlie Blackwell",1915,1929,"RF",570,2437,2076,429,654,99,50,45,371,92,1,261,3,NA,50,48,2,NA,0.315,0.404,0.476,0.88,140
55,"Heavy Johnson",1920,1932,"RF",495,2008,1775,329,654,121,50,57,425,47,0,161,5,0,21,51,0,0,0.368,0.427,0.589,1.016,172
56,"Jesse Barber",1910,1924,"RF",558,2449,2223,394,654,90,37,12,247,70,0,164,4,0,9,53,0,NA,0.294,0.345,0.384,0.729,125
57,"Dobie Moore",1920,1926,"SS",470,2079,1887,376,652,118,52,34,391,69,3,118,8,0,15,58,1,1,0.346,0.388,0.517,0.906,150
58,"George Shively",1911,1924,"LF",535,2399,2120,453,649,72,32,8,214,125,0,212,9,1,21,46,0,NA,0.306,0.375,0.382,0.756,115
59,"Otto Briggs",1915,1934,"RF",599,2628,2288,397,649,80,29,6,207,82,6,237,17,0,25,76,2,1,0.284,0.357,0.352,0.709,93
60,"Chester Williams",1930,1942,"SS",630,2545,2319,323,647,100,38,10,289,46,0,153,6,0,8,65,0,1,0.279,0.326,0.368,0.694,88
61,"Edgar Wesley",1917,1927,"1B",515,2161,1915,321,613,100,29,86,421,48,0,199,3,NA,7,40,0,NA,0.32,0.386,0.537,0.923,144
62,"Valentín Dreke",1919,1927,"LF",462,2059,1856,323,608,84,23,15,258,60,0,143,2,NA,23,37,0,NA,0.328,0.383,0.422,0.805,127
63,"George Giles",1927,1938,"1B",488,2113,1846,365,582,104,33,9,274,71,1,196,5,0,8,63,0,0,0.315,0.383,0.422,0.805,112
64,"Dink Mothell",1920,1934,"2B",607,2566,2173,416,581,106,35,18,327,88,1,244,14,0,29,120,0,0,0.267,0.349,0.373,0.722,102
65,"Lemuel Hawkins",1921,1928,"1B",572,2397,2145,327,579,64,24,5,238,59,4,167,7,0,19,66,0,2,0.27,0.328,0.329,0.657,83
66,"Frank Duncan",1907,1928,"LF",605,2378,2105,308,574,98,25,7,243,31,0,168,1,NA,40,65,0,NA,0.273,0.338,0.353,0.691,110
67,"Bernardo Baró",1915,1929,"RF",509,2210,1955,323,573,71,29,16,246,89,1,189,1,NA,6,59,1,NA,0.293,0.357,0.384,0.741,115
68,"Jake Stephens",1921,1937,"SS",676,2778,2430,376,573,69,24,4,184,80,2,221,38,0,29,98,0,0,0.236,0.307,0.289,0.596,59
69,"Goose Curry",1928,1947,"RF",622,2273,1897,413,573,88,33,26,275,66,2,317,21,0,20,39,0,1,0.302,0.407,0.424,0.832,125
70,"Nat Rogers",1923,1945,"RF",547,2076,1893,270,571,87,30,16,292,35,1,139,4,1,8,36,0,0,0.302,0.352,0.405,0.757,116
71,"Felton Snow",1931,1947,"3B",576,2331,2111,307,561,76,29,12,286,29,0,146,28,0,3,70,1,2,0.266,0.314,0.346,0.66,77
72,"Connie Day",1917,1932,"2B",661,2665,2378,295,558,86,28,15,276,47,0,178,7,0,12,97,0,NA,0.235,0.291,0.313,0.605,66
73,"Sanford Jackson",1923,1936,"CF",574,2384,2124,343,557,55,30,2,173,72,3,161,7,0,10,87,2,1,0.262,0.317,0.319,0.636,81
74,"Jimmie Crutchfield",1930,1945,"CF",565,2321,2112,298,556,59,34,6,215,49,1,164,6,0,7,37,1,0,0.263,0.318,0.332,0.65,80
75,"Lennie Pearson",1937,1948,"1B",510,2072,1885,354,552,104,24,55,356,46,0,165,14,2,2,20,0,2,0.293,0.35,0.461,0.811,119
76,"Pete Washington",1923,1936,"CF",585,2330,2027,299,546,83,22,50,314,34,1,200,15,NA,18,85,NA,NA,0.269,0.34,0.406,0.746,97
77,"Martín Dihigo",1923,1945,"RF",492,2030,1756,361,546,83,27,85,383,50,2,224,5,0,9,41,0,0,0.311,0.392,0.534,0.926,144
78,"Johnny Jones",1922,1934,"LF",476,2060,1825,348,543,73,33,25,245,28,1,168,0,NA,20,47,0,NA,0.298,0.363,0.415,0.778,101
79,"Robert Hudspeth",1920,1932,"1B",468,1933,1740,237,538,90,22,44,302,20,0,133,5,NA,8,50,2,NA,0.309,0.361,0.462,0.823,119
80,"Steel Arm Davis",1920,1935,"RF",466,1824,1649,278,538,95,45,32,319,49,4,128,10,0,13,34,0,0,0.326,0.379,0.497,0.876,150
81,"Alex Radcliff",1926,1946,"3B",458,1964,1814,259,537,100,32,20,265,34,2,110,25,3,10,29,1,1,0.296,0.34,0.42,0.759,122
82,"Pelayo Chacón",1910,1931,"SS",517,2265,1991,334,536,77,32,6,225,73,0,186,0,NA,25,62,1,NA,0.269,0.339,0.349,0.688,108
83,"Dave Thomas",1929,1946,"1B",531,2203,1995,293,534,94,29,20,245,14,0,155,6,0,15,38,0,0,0.268,0.325,0.374,0.699,91
84,"George McAllister",1923,1934,"1B",536,2303,2009,304,530,63,26,11,195,31,NA,199,0,NA,6,89,NA,NA,0.264,0.332,0.337,0.669,88
85,"José María Fernández",1916,1947,"C",552,2074,1912,210,522,71,13,4,259,19,0,115,1,1,6,39,2,1,0.273,0.316,0.33,0.646,82
86,"Louis Santop",1910,1926,"C",453,1739,1547,262,519,89,28,24,318,47,0,145,1,2,8,39,0,2,0.335,0.395,0.476,0.871,150
87,"Sammy Hughes",1930,1946,"2B",449,1901,1657,349,518,98,28,23,251,26,1,192,13,1,8,44,0,1,0.313,0.387,0.447,0.834,121
88,"Namon Washington",1920,1933,"LF",571,2387,2053,339,514,53,17,6,203,80,6,215,19,0,10,109,0,0,0.25,0.324,0.302,0.626,66
89,"Jake Dunn",1930,1940,"SS",528,2065,1829,309,513,82,32,22,295,29,2,183,9,0,4,49,0,0,0.28,0.347,0.396,0.744,93
90,"Bill Perkins",1928,1948,"C",554,2037,1850,249,510,74,30,28,299,20,0,143,16,0,7,36,1,0,0.276,0.33,0.394,0.723,93
91,"Tommy Butts",1938,1948,"SS",504,2141,1886,324,509,59,27,4,207,38,1,172,26,0,20,63,0,1,0.27,0.337,0.336,0.674,85
92,"Joe Hewitt",1911,1932,"SS",594,2519,2049,406,503,51,13,7,170,154,1,323,2,NA,58,88,1,NA,0.245,0.364,0.293,0.657,83
93,"Jimmie Lyons",1909,1932,"LF",473,1956,1720,327,501,62,29,23,233,153,11,166,13,NA,3,63,4,NA,0.291,0.354,0.401,0.755,119
94,"Leroy Grant",1910,1924,"1B",578,2196,1951,233,500,88,16,11,266,47,0,140,10,NA,25,77,3,NA,0.256,0.314,0.335,0.649,98
95,"Ambrose Reid",1921,1932,"LF",518,2120,1915,275,498,59,17,8,234,25,1,142,9,0,3,59,1,1,0.26,0.312,0.321,0.633,70
96,"Mack Eggleston",1919,1934,"C",571,2125,1854,237,496,78,26,25,279,22,0,195,6,NA,13,62,1,NA,0.268,0.341,0.378,0.719,94
97,"Harry Jeffries",1919,1944,"3B",575,2191,1956,274,496,67,13,8,196,34,1,158,2,NA,12,65,0,NA,0.254,0.313,0.313,0.627,69
98,"Ed Rile",1919,1936,"1B",479,1782,1578,272,494,97,29,38,279,26,0,159,0,NA,10,34,1,NA,0.313,0.379,0.484,0.863,126
99,"Johnny Washington",1936,1948,"1B",422,1675,1553,242,493,73,31,12,264,41,1,95,5,0,4,23,NA,0,0.317,0.358,0.428,0.786,112
100,"Wild Bill Wright",1932,1945,"RF",399,1657,1516,270,493,91,42,26,271,43,1,107,9,5,12,21,1,2,0.325,0.374,0.492,0.866,131
101,"Mitchell Murray",1919,1932,"C",545,1883,1643,272,486,86,14,30,275,34,NA,158,4,NA,22,60,0,NA,0.296,0.365,0.42,0.785,104
102,"Bill Hoskins",1937,1946,"LF",400,1629,1464,281,481,69,42,39,295,31,0,140,18,3,11,12,2,1,0.329,0.391,0.513,0.904,142
103,"Ed Stone",1933,1946,"RF",413,1745,1527,285,475,72,38,30,266,23,2,192,13,0,6,20,0,0,0.311,0.39,0.467,0.857,126
104,"Jules Thomas",1908,1926,"CF",391,1671,1518,245,475,80,22,26,275,57,NA,115,NA,NA,10,28,0,NA,0.313,0.365,0.446,0.811,128
105,"Charley Williams",1921,1931,"2B",529,2080,1884,196,474,64,24,9,232,49,3,133,13,0,5,58,0,0,0.252,0.303,0.325,0.628,77
106,"Bill Francis",1906,1925,"3B",655,2659,2221,323,470,63,18,8,211,60,0,288,1,NA,35,113,2,0,0.212,0.311,0.267,0.578,76
107,"Bob Clarke",1922,1948,"C",713,2374,2148,211,468,80,7,7,187,16,1,157,8,1,12,57,0,1,0.218,0.275,0.271,0.546,45
108,"Jim Williams",1931,1944,"RF",402,1628,1496,230,464,90,16,13,256,50,1,91,1,0,10,30,1,1,0.31,0.354,0.418,0.771,111
109,"Bobby Robinson",1925,1940,"3B",533,2141,1891,279,462,56,21,9,190,41,0,179,4,0,15,55,1,0,0.244,0.314,0.31,0.625,67
110,"Morten Clark",1908,1923,"SS",531,2243,1932,301,461,54,22,3,174,99,2,222,2,0,16,71,2,NA,0.239,0.322,0.294,0.616,81
111,"Alejandro Oms",1917,1935,"CF",370,1617,1410,275,459,87,23,37,278,40,0,164,4,0,5,38,0,0,0.326,0.398,0.499,0.896,143
112,"Julio Rojo",1916,1936,"C",508,1943,1719,267,457,82,24,10,252,84,3,144,1,0,12,67,1,NA,0.266,0.327,0.359,0.686,86
113,"Bobby Williams",1917,1934,"SS",587,2315,2030,284,455,59,22,4,237,73,6,159,14,NA,19,106,1,NA,0.224,0.287,0.281,0.567,63
114,"Bruce Petway",1906,1925,"C",604,2155,1886,269,455,59,15,7,180,61,1,166,1,NA,12,91,0,NA,0.241,0.307,0.3,0.606,79
115,"Henry Spearman",1935,1945,"3B",405,1650,1498,228,454,90,21,27,276,7,1,126,19,0,6,18,2,2,0.303,0.359,0.445,0.804,112
116,"Bartolo Portuondo",1915,1927,"3B",482,2063,1836,266,453,54,21,1,147,66,0,138,0,NA,19,68,2,NA,0.247,0.306,0.301,0.606,80
117,"Clarence Palm",1927,1946,"C",525,1696,1542,222,450,66,17,51,290,22,0,119,2,0,6,28,1,1,0.292,0.345,0.456,0.801,109
118,"LeRoy Taylor",1925,1936,"RF",384,1594,1461,270,449,53,21,5,191,73,1,93,7,NA,8,32,NA,NA,0.307,0.352,0.383,0.735,101
119,"Dick Seay",1926,1947,"2B",584,2355,2075,271,448,48,20,13,190,34,1,179,7,0,29,72,0,1,0.216,0.287,0.277,0.564,52
120,"Halley Harding",1926,1937,"SS",387,1721,1509,272,447,76,23,4,152,59,0,161,1,NA,8,43,NA,NA,0.296,0.367,0.385,0.752,103
121,"George Johnson",1918,1929,"CF",437,1762,1543,252,447,85,30,36,261,42,0,143,14,1,4,71,1,0,0.29,0.351,0.454,0.805,121
122,"Herb Souell",1940,1948,"3B",392,1683,1550,267,445,46,23,6,167,57,0,108,2,1,10,13,2,1,0.287,0.337,0.358,0.695,103
123,"Harry Williams",1931,1946,"2B",416,1706,1553,288,444,74,24,20,251,39,1,131,4,0,4,18,0,0,0.286,0.343,0.403,0.746,101
124,"Claude Johnson",1916,1930,"2B",415,1800,1534,280,443,68,13,17,197,30,1,197,6,NA,5,64,0,NA,0.289,0.372,0.383,0.755,101
125,"Eggie Dallard",1921,1933,"1B",465,1962,1669,330,436,53,20,21,198,38,4,225,17,0,15,53,0,0,0.261,0.354,0.355,0.709,86
126,"Felipe Sierra",1921,1932,"2B",470,2078,1762,268,431,61,19,7,182,28,0,239,4,NA,20,57,0,NA,0.245,0.341,0.313,0.654,82
127,"Pat Patterson",1934,1947,"2B",343,1473,1334,256,430,83,28,23,233,24,0,111,11,0,2,25,1,0,0.322,0.375,0.478,0.853,127
128,"Charlie Mason",1922,1932,"LF",377,1583,1385,272,429,64,20,41,269,52,0,145,3,NA,11,42,0,NA,0.31,0.38,0.474,0.853,126
129,"Willie Bobo",1923,1930,"1B",403,1623,1367,267,429,83,25,26,249,48,NA,200,0,NA,9,47,0,NA,0.314,0.405,0.468,0.873,123
130,"Geechie Meredith",1923,1930,"2B",435,1774,1600,231,418,51,27,14,177,50,NA,107,0,NA,11,56,NA,NA,0.261,0.312,0.353,0.665,88
131,"Bill Pettus",1909,1923,"1B",352,1493,1305,257,415,79,27,31,242,53,0,139,3,0,11,37,1,NA,0.318,0.388,0.491,0.879,153
132,"Matt Carlisle",1932,1948,"2B",424,1668,1463,265,410,60,34,12,214,50,0,141,18,1,8,54,2,1,0.28,0.346,0.392,0.739,96
133,"Ted Radcliffe",1928,1946,"C",484,1623,1518,182,409,60,14,21,223,17,0,72,7,0,7,26,0,0,0.269,0.306,0.369,0.674,84
134,"Poindexter Williams",1921,1933,"C",444,1502,1377,165,408,62,24,22,241,10,0,86,3,0,11,28,0,0,0.296,0.343,0.424,0.767,109
135,"Country Brown",1917,1933,"RF",398,1609,1440,228,403,50,14,11,205,60,1,121,6,0,6,38,4,0,0.28,0.337,0.357,0.694,97
136,"Howard Easterling",1936,1946,"3B",335,1428,1291,252,403,68,37,20,239,26,3,111,16,1,10,16,0,0,0.312,0.371,0.469,0.84,130
137,"Pythias Russ",1925,1929,"SS",332,1350,1228,230,402,68,26,17,228,51,0,77,3,0,9,35,1,0,0.327,0.371,0.467,0.838,136
138,"Dick Jackson",1921,1931,"2B",418,1663,1525,211,398,66,26,13,183,28,2,76,3,0,3,59,0,NA,0.261,0.297,0.364,0.661,75
139,"Buck O'Neil",1937,1948,"1B",423,1687,1531,240,397,58,28,14,195,61,2,130,8,0,5,19,2,1,0.259,0.319,0.361,0.68,98
140,"Eustaquio Pedroso",1910,1926,"1B",471,1795,1580,202,395,74,22,7,222,32,0,148,2,NA,15,51,1,NA,0.25,0.32,0.338,0.658,103
141,"Marvin Barker",1932,1948,"CF",437,1666,1536,190,389,74,12,13,151,19,2,101,11,0,5,24,0,1,0.253,0.301,0.342,0.644,74
142,"Bill Pierce",1910,1925,"1B",350,1391,1234,206,385,64,28,18,219,18,0,109,0,NA,8,39,1,NA,0.312,0.371,0.453,0.824,136
143,"Monte Irvin",1938,1948,"CF",308,1292,1130,240,380,65,15,44,260,29,0,142,14,1,9,11,0,0,0.336,0.415,0.537,0.952,158
144,"Bienvenido Jiménez",1915,1929,"2B",421,1796,1554,261,377,59,23,7,110,60,1,160,1,NA,37,45,0,NA,0.243,0.328,0.324,0.651,104
145,"Ruben Jones",1923,1940,"RF",352,1354,1254,194,373,58,19,17,202,34,1,52,2,0,8,40,NA,0,0.297,0.33,0.415,0.744,105
146,"John Hines",1924,1934,"RF",387,1451,1289,181,365,61,19,7,197,34,1,103,12,0,10,48,1,0,0.283,0.341,0.376,0.717,110
147,"Tom Young",1926,1941,"C",394,1370,1218,208,360,63,25,13,226,42,0,114,11,0,5,33,0,0,0.296,0.358,0.42,0.779,115
148,"Blainey Hall",1914,1925,"LF",278,1163,1030,189,355,54,18,7,174,21,0,99,0,NA,4,30,0,NA,0.345,0.404,0.452,0.857,143
149,"Leroy Morney",1932,1944,"SS",364,1458,1285,216,354,62,18,7,169,37,1,131,5,0,7,34,1,0,0.275,0.346,0.368,0.714,103
150,"Neil Robinson",1932,1948,"CF",333,1323,1179,201,348,65,21,23,193,31,2,116,9,1,14,14,0,0,0.295,0.365,0.444,0.81,136
151,"Frank Austin",1944,1948,"SS",260,1156,1020,197,347,62,14,3,139,23,0,103,2,2,4,29,0,1,0.34,0.403,0.437,0.84,131
152,"Matías Ríos",1915,1924,"3B",426,1785,1574,184,347,37,11,3,114,33,3,123,2,NA,10,78,0,NA,0.22,0.281,0.264,0.545,66
153,"Manuel Villa",1909,1922,"RF",369,1540,1384,165,347,44,6,4,151,19,0,111,3,NA,7,37,1,NA,0.251,0.309,0.3,0.609,91
154,"Lester Lockett",1937,1948,"LF",334,1356,1241,182,346,51,19,11,203,16,1,88,9,1,6,21,0,2,0.279,0.33,0.377,0.707,105
155,"Spottswood Poles",1909,1923,"CF",290,1313,1140,223,346,54,9,3,107,67,NA,123,NA,NA,18,32,0,NA,0.304,0.38,0.375,0.755,115
156,"George Sweatt",1922,1927,"CF",390,1527,1308,202,342,65,22,9,175,31,4,142,18,0,13,64,0,3,0.261,0.34,0.365,0.705,98
157,"Harry Kenyon",1917,1929,"LF",392,1367,1235,193,338,58,18,9,163,41,0,85,1,0,12,35,0,0,0.274,0.327,0.372,0.698,89
158,"Charlie Smith",1924,1931,"RF",229,1012,845,231,337,69,20,41,224,30,0,129,0,NA,19,19,NA,NA,0.399,0.488,0.673,1.162,183
159,"Ted Page",1926,1937,"RF",315,1329,1164,228,336,47,21,8,130,28,0,124,4,NA,11,30,NA,NA,0.289,0.363,0.386,0.748,100
160,"Ted Strong",1936,1948,"RF",306,1238,1045,222,335,56,18,31,216,32,2,157,10,2,25,8,3,0,0.321,0.42,0.498,0.918,166
161,"Cando López",1926,1939,"CF",302,1315,1217,155,333,40,12,14,127,32,0,74,0,0,2,22,0,0,0.274,0.316,0.361,0.677,87
162,"David Whatley",1937,1944,"RF",257,1090,994,199,330,52,23,13,118,30,1,77,19,1,7,12,0,0,0.332,0.384,0.47,0.854,132
163,"Francisco Correa",1926,1936,"SS",315,1339,1233,148,329,52,17,8,146,12,0,62,4,NA,6,38,NA,NA,0.267,0.305,0.356,0.661,77
164,"George Dixon",1916,1934,"C",454,1527,1312,170,328,48,15,7,196.5,22,4,145,2,NA,20,47,3,NA,0.25,0.333,0.325,0.659,91
165,"Chance Cummings",1916,1928,"1B",346,1421,1276,170,326,23,10,2,126,39,1,89,3,0,1,55,0,0,0.255,0.305,0.294,0.598,65
166,"Hoss Walker",1929,1948,"SS",448,1650,1452,202,321,47,13,8,164,14,0,123,5,0,14,61,0,0,0.221,0.288,0.288,0.576,59
167,"Ángel Alfonso",1924,1930,"2B",302,1340,1168,200,321,57,19,16,156,31,NA,137,0,NA,13,22,NA,NA,0.275,0.357,0.397,0.755,101
168,"Judy Gans",1908,1925,"LF",379,1481,1300,173,318,43,13,4,123,41,NA,134,0,NA,9,38,0,NA,0.245,0.319,0.307,0.626,88
169,"Jabbo Andrews",1930,1942,"LF",298,1150,1051,158,318,50,24,25,174,11,0,79,5,0,7,13,0,0,0.303,0.355,0.467,0.822,127
170,"Marcelino Guerra",1910,1924,"LF",354,1451,1283,187,318,49,23,11,183,63,0,124,7,NA,4,38,2,NA,0.248,0.316,0.348,0.663,98
171,"Charles Wesley",1921,1939,"2B",374,1366,1274,151,314,32,18,3,117,25,0,51,0,NA,0,41,0,NA,0.246,0.275,0.307,0.582,63
172,"Pinky Ward",1923,1932,"CF",339,1369,1150,174,312,52,14,8,125,46,0,166,1,NA,10,43,NA,NA,0.271,0.368,0.362,0.73,99
173,"John Donaldson",1915,1932,"CF",300,1239,1093,158,307,38,17,6,153,34,0,81,5,NA,4,58,3,NA,0.281,0.332,0.363,0.695,99
174,"Ray Dandridge",1933,1944,"3B",253,1041,965,146,306,56,20,4,150,21,2,59,3,0,4,13,0,1,0.317,0.359,0.429,0.788,103
175,"Bill Yancey",1927,1936,"SS",350,1327,1170,157,303,48,14,14,156,17,0,107,6,NA,0,50,NA,NA,0.259,0.321,0.36,0.681,72
176,"Tullie McAdoo",1906,1924,"1B",376,1557,1322,170,302,58,16,7,152,31,2,119,11,NA,42,73,1,NA,0.228,0.312,0.312,0.624,73
177,"Henry Williams",1923,1937,"C",343,1128,1050,156,299,53,15,16,162,14,NA,49,1,NA,3,26,NA,NA,0.285,0.319,0.41,0.728,84
178,"José Pérez",1922,1937,"1B",340,1423,1177,185,296,37,8,4,135,16,NA,162,2,NA,33,51,0,NA,0.251,0.358,0.307,0.665,79
