Rank,Team,games,putouts,attempts,Errors,fielding_pct
51,Florida St. (ACC),62,"1,189",495,53,0.969
52,Iona (MAAC),47,917,350,40,0.969
53,Long Beach St. (Big West),54,"1,074",382,46,0.969
54,Stanford (Pac-12),67,"1,353",385,55,0.969
55,Nicholls (Southland),57,"1,143",436,50,0.969
56,Colorado St. (Mountain West),47,872,322,38,0.969
57,Chattanooga (SoCon),58,"1,161",405,50,0.969
58,Nevada (Mountain West),57,"1,116",481,51,0.969
59,Northwestern (Big Ten),48,938,377,42,0.969
60,Presbyterian (Big South),51,991,291,41,0.969
61,Baylor (Big 12),59,"1,139",485,52,0.969
61,North Carolina (ACC),50,940,278,39,0.969
63,Alabama (SEC),59,"1,225",485,55,0.969
64,ULM (Sun Belt),55,"1,106",441,50,0.969
65,Ole Miss (SEC),58,"1,183",453,53,0.969
66,Oregon St. (Pac-12),50,"1,009",317,43,0.969
67,Notre Dame (ACC),50,999,386,45,0.969
68,Kentucky (SEC),55,"1,088",294,45,0.968
69,Georgia Tech (ACC),55,"1,063",379,47,0.968
70,South Alabama (Sun Belt),55,"1,168",299,48,0.968
71,McNeese (Southland),60,"1,196",454,54,0.968
72,UAlbany (America East),47,907,373,42,0.968
73,Eastern Ky. (ASUN),52,"1,029",402,47,0.968
74,Louisiana (Sun Belt),64,"1,249",547,59,0.968
75,Saint Mary's (CA) (WCC),54,"1,064",363,47,0.968
76,California Baptist (WAC),58,"1,169",499,55,0.968
77,North Texas (AAC),56,"1,104",473,52,0.968
78,Sacramento St. (Big Sky),48,956,347,43,0.968
79,Southern Ill. (MVC),55,"1,082",278,45,0.968
80,UNLV (Mountain West),50,975,413,46,0.968
81,South Carolina (SEC),60,"1,275",542,61,0.968
82,Louisiana Tech (CUSA),54,"1,096",451,52,0.967
83,Wichita St. (AAC),50,961,317,43,0.967
84,UConn (Big East),55,"1,113",307,48,0.967
84,Boston College (ACC),54,"1,080",340,48,0.967
86,UNI (MVC),50,994,334,45,0.967
87,Boise St. (Mountain West),59,"1,148",382,52,0.967
88,Grand Canyon (WAC),63,"1,244",461,58,0.967
89,Sam Houston (CUSA),50,993,356,46,0.967
90,Purdue (Big Ten),52,"1,069",332,48,0.967
91,Ga. Southern (Sun Belt),51,"1,035",419,50,0.967
92,Fresno St. (Mountain West),52,"1,074",397,51,0.966
93,Santa Clara (WCC),53,"1,062",408,51,0.966
94,East Carolina (AAC),57,"1,138",302,50,0.966
95,Radford (Big South),47,913,354,44,0.966
96,Saint Peter's (MAAC),50,958,361,46,0.966
97,California (Pac-12),56,"1,139",409,54,0.966
98,Liberty (CUSA),63,"1,250",412,58,0.966
99,Delaware (CAA),53,"1,071",473,54,0.966
100,San Diego (WCC),56,"1,092",422,53,0.966
101,Central Conn. St. (NEC),47,925,274,42,0.966
102,Kent St. (MAC),49,962,349,46,0.966
103,Kansas (Big 12),54,"1,058",417,52,0.966
104,Charlotte (AAC),57,"1,161",396,55,0.966
105,LMU (CA) (WCC),53,"1,012",344,48,0.966
106,UNCW (CAA),56,"1,149",399,55,0.966
107,Mercer (SoCon),53,"1,061",425,53,0.966
108,Coastal Carolina (Sun Belt),55,"1,071",443,54,0.966
109,Samford (SoCon),56,"1,099",443,55,0.966
110,Belmont (MVC),50,"1,018",243,45,0.966
111,Syracuse (ACC),51,988,329,47,0.966
112,Saint Louis (Atlantic 10),53,"1,052",432,53,0.966
113,Houston (Big 12),55,"1,021",349,49,0.965
114,Southeastern La. (Southland),62,"1,200",526,62,0.965
115,Colgate (Patriot),50,953,465,51,0.965
116,St. John's (NY) (Big East),58,"1,154",400,56,0.965
117,Purdue Fort Wayne (Horizon),47,885,246,41,0.965
118,Texas (Big 12),65,"1,236",523,64,0.965
119,Texas Tech (Big 12),50,936,410,49,0.965
120,Hofstra (CAA),49,975,341,48,0.965
121,Seattle U (WAC),55,"1,056",499,57,0.965
122,Arizona St. (Pac-12),51,"1,010",408,52,0.965
123,USC Upstate (Big South),53,"1,039",458,55,0.965
124,Providence (Big East),46,880,286,43,0.964
125,Miami (OH) (MAC),58,"1,064",315,51,0.964
126,Indiana (Big Ten),60,"1,189",459,61,0.964
127,UTEP (CUSA),47,929,394,49,0.964
127,Coppin St. (MEAC),45,901,368,47,0.964
129,SFA (WAC),55,"1,080",377,54,0.964
130,Northern Ky. (Horizon),49,842,285,42,0.964
131,Saint Francis (PA) (NEC),55,"1,068",459,57,0.964
132,Pittsburgh (ACC),49,921,309,46,0.964
133,Brown (Ivy League),42,814,255,40,0.964
134,Stony Brook (CAA),52,"1,013",425,54,0.964
135,Saint Joseph's (Atlantic 10),52,978,401,52,0.964
136,Texas Southern (SWAC),40,757,328,41,0.964
137,Maine (America East),46,817,343,44,0.963
138,UT Martin (OVC),52,"1,042",381,54,0.963
139,Iowa (Big Ten),46,930,360,49,0.963
140,Villanova (Big East),57,"1,115",385,57,0.963
141,Wagner (NEC),38,729,267,38,0.963
142,Kansas City (Summit League),54,"1,078",415,57,0.963
143,Rutgers (Big Ten),55,"1,112",456,60,0.963
144,Middle Tenn. (CUSA),52,"1,055",328,53,0.963
145,UC Riverside (Big West),47,951,375,51,0.963
146,Marist (MAAC),55,"1,103",506,62,0.963
147,UAB (AAC),52,"1,005",445,56,0.963
148,Toledo (MAC),49,978,368,52,0.963
149,Georgetown (Big East),47,926,332,49,0.963
150,Missouri St. (MVC),51,981,299,50,0.962
151,Fordham (Atlantic 10),55,"1,080",351,56,0.962
152,Texas St. (Sun Belt),62,"1,263",420,66,0.962
153,Indiana St. (MVC),50,953,245,47,0.962
154,Tennessee Tech (OVC),47,948,400,53,0.962
155,Longwood (Big South),52,"1,002",293,51,0.962
156,Cal Poly (Big West),45,933,258,47,0.962
157,Fairfield (MAAC),47,906,330,49,0.962
158,George Washington (Atlantic 10),53,"1,028",307,53,0.962
159,Penn St. (Big Ten),55,"1,127",380,60,0.962
160,South Dakota (Summit League),53,"1,058",420,59,0.962
161,Wofford (SoCon),47,"1,003",449,58,0.962
162,North Dakota (Summit League),56,"1,075",474,62,0.962
163,Mississippi St. (SEC),54,"1,019",380,56,0.962
164,Marshall (Sun Belt),53,"1,021",449,59,0.961
165,Morgan St. (MEAC),55,"1,059",333,56,0.961
166,CSUN (Big West),51,"1,037",394,58,0.961
167,Utah St. (Mountain West),50,947,379,54,0.961
168,Dartmouth (Ivy League),35,670,187,35,0.961
169,Col. of Charleston (CAA),49,952,443,57,0.961
170,UC Santa Barbara (Big West),48,968,349,54,0.961
171,Clemson (ACC),54,"1,106",449,64,0.96
172,Southern Utah (WAC),50,972,437,58,0.96
173,Yale (Ivy League),46,919,344,52,0.96
174,Akron (MAC),52,"1,043",317,56,0.96
