Team,Home_Runs,Home_Run_Per_Game
Presbyterian (Big South),13,0.25
Saint Joseph's (Atlantic 10),13,0.25
UAB (AAC),13,0.25
Ark.-Pine Bluff (SWAC),12,0.24
Northern Ky. (Horizon),12,0.24
Coppin St. (MEAC),11,0.24
Maine (America East),11,0.24
Morgan St. (MEAC),13,0.24
CSU Bakersfield (Big West),12,0.24
Norfolk St. (MEAC),11,0.23
Stetson (ASUN),12,0.23
Penn (Ivy League),9,0.23
Kansas City (Summit League),12,0.22
Murray St. (MVC),12,0.22
Campbell (CAA),13,0.22
Northwestern St. (Southland),11,0.22
Monmouth (CAA),11,0.22
Delaware St. (MEAC),9,0.21
Valparaiso (MVC),10,0.20
Central Ark. (ASUN),11,0.20
UIC (MVC),11,0.20
Cal Poly (Big West),9,0.20
ETSU (SoCon),10,0.20
San Diego (WCC),11,0.20
Lipscomb (ASUN),10,0.19
Green Bay (Horizon),9,0.19
St. Bonaventure (Atlantic 10),8,0.19
IU Indy (Horizon),9,0.18
Western Ill. (OVC),9,0.18
Iowa (Big Ten),8,0.17
Brown (Ivy League),7,0.17
North Dakota (Summit League),9,0.16
Bowling Green (MAC),7,0.16
Quinnipiac (MAAC),7,0.16
Hampton (CAA),8,0.15
Jackson St. (SWAC),8,0.15
FGCU (ASUN),9,0.15
Florida A&M (SWAC),7,0.15
Wofford (SoCon),7,0.15
South Carolina St. (MEAC),6,0.14
Alabama St. (SWAC),8,0.14
Howard (MEAC),6,0.13
Wagner (NEC),5,0.13
UMES (MEAC),6,0.13
Charleston So. (Big South),6,0.12
Lafayette (Patriot),5,0.12
Grambling (SWAC),5,0.11
SFA (WAC),5,0.09
Bucknell (Patriot),4,0.09
Bethune-Cookman (SWAC),3,0.06
Alabama A&M (SWAC),2,0.06
Alcorn (SWAC),2,0.04
Mississippi Val. (SWAC),1,0.03
