Team,Runs_Scored,Runs_Per_Game
Purdue (Big Ten),208,4.00
Oakland (Horizon),176,4.00
Central Mich. (MAC),199,3.98
Southern Utah (WAC),199,3.98
Hawaii (Big West),182,3.96
South Fla. (AAC),221,3.95
Western Caro. (SoCon),209,3.94
Saint Joseph's (Atlantic 10),205,3.94
CSUN (Big West),201,3.94
Missouri St. (MVC),201,3.94
Bradley (MVC),219,3.91
Ga. Southern (Sun Belt),199,3.90
Nicholls (Southland),222,3.89
Illinois St. (MVC),210,3.89
Southern U. (SWAC),159,3.88
South Carolina (SEC),232,3.87
South Alabama (Sun Belt),212,3.85
UC Riverside (Big West),181,3.85
St. John's (NY) (Big East),222,3.83
UMass Lowell (America East),176,3.83
Furman (SoCon),206,3.81
Brown (Ivy League),160,3.81
Penn (Ivy League),152,3.80
Central Ark. (ASUN),205,3.80
Col. of Charleston (CAA),186,3.80
Massachusetts (Atlantic 10),207,3.76
Northern Ky. (Horizon),184,3.76
Longwood (Big South),195,3.75
Texas Southern (SWAC),150,3.75
Middle Tenn. (CUSA),192,3.69
Quinnipiac (MAAC),166,3.69
North Ala. (ASUN),199,3.69
Long Beach St. (Big West),198,3.67
Indiana St. (MVC),183,3.66
Wofford (SoCon),172,3.66
Columbia (Ivy League),146,3.65
Lamar University (Southland),186,3.65
Cleveland St. (Horizon),175,3.65
Sam Houston (CUSA),182,3.64
Buffalo (MAC),174,3.63
Austin Peay (ASUN),188,3.62
Hampton (CAA),188,3.62
San Jose St. (Mountain West),162,3.60
Iowa (Big Ten),165,3.59
UMES (MEAC),165,3.59
Houston Christian (Southland),179,3.58
UT Arlington (WAC),204,3.58
UAB (AAC),186,3.58
Michigan St. (Big Ten),182,3.57
IU Indy (Horizon),177,3.54
UNCW (CAA),197,3.52
Evansville (MVC),182,3.50
George Mason (Atlantic 10),182,3.50
FGCU (ASUN),206,3.49
Winthrop (Big South),192,3.49
Iona (MAAC),164,3.49
Robert Morris (Horizon),153,3.48
Pittsburgh (ACC),169,3.45
Purdue Fort Wayne (Horizon),162,3.45
Kansas City (Summit League),186,3.44
Fairfield (MAAC),160,3.40
Monmouth (CAA),172,3.37
New Mexico (Mountain West),182,3.37
Georgetown (Big East),158,3.36
San Diego (WCC),187,3.34
North Dakota St. (Summit League),178,3.30
N.C. A&T (CAA),158,3.29
Drexel (CAA),148,3.29
UC Davis (Big West),164,3.28
Rider (MAAC),167,3.27
A&M-Corpus Christi (Southland),140,3.26
South Dakota (Summit League),172,3.25
Sacred Heart (NEC),180,3.21
Alabama A&M (SWAC),114,3.17
Stetson (ASUN),163,3.13
Northwestern St. (Southland),156,3.12
Mount St. Mary's (MAAC),143,3.11
Hofstra (CAA),151,3.08
Ark.-Pine Bluff (SWAC),148,3.02
Army West Point (Patriot),160,3.02
Boston College (ACC),163,3.02
UTSA (AAC),171,3.00
N.C. Central (MEAC),168,3.00
Delaware St. (MEAC),126,3.00
Kennesaw St. (ASUN),158,2.98
Georgia St. (Sun Belt),157,2.96
Morehead St. (OVC),118,2.95
Pacific (WCC),155,2.92
Grambling (SWAC),131,2.91
Oregon St. (Pac-12),145,2.90
Bowling Green (MAC),127,2.89
Presbyterian (Big South),147,2.88
Manhattan (MAAC),144,2.88
DePaul (Big East),135,2.87
Murray St. (MVC),155,2.87
Bucknell (Patriot),131,2.85
Western Ill. (OVC),142,2.84
Holy Cross (Patriot),138,2.82
Towson (CAA),151,2.80
UIC (MVC),151,2.80
Merrimack (NEC),146,2.75
Rhode Island (Atlantic 10),143,2.75
Lipscomb (ASUN),142,2.73
Wagner (NEC),103,2.71
Alcorn (SWAC),121,2.69
Maine (America East),123,2.67
Green Bay (Horizon),123,2.62
Charleston So. (Big South),127,2.54
South Carolina St. (MEAC),106,2.52
Mississippi Val. (SWAC),91,2.46
ETSU (SoCon),122,2.44
Valparaiso (MVC),116,2.37
SFA (WAC),129,2.35
CSU Bakersfield (Big West),119,2.33
North Dakota (Summit League),129,2.30
FDU (NEC),112,2.29
St. Bonaventure (Atlantic 10),97,2.26
Norfolk St. (MEAC),105,2.23
Memphis (AAC),103,2.06
Lafayette (Patriot),79,1.88
Detroit Mercy (Horizon),82,1.86
