"","player","level","gender","division","team_name","statistic","value"
"150","Ian VanOrder","Division 3","Men","Division 3 Men","Berry Bucks","Team Games",6
"151","Ella Monaghan","Division 1","Women","Division 1 Women","Vermont Ruckus","Team Games",6
"152","David Leder","Division 3","Men","Division 3 Men","Rochester Piggies","Team Games",6
"153","Casey Shaw-Merrigan","Division 3","Women","Division 3 Women","Colorado College Zenith","Team Games",6
"154","Caroline Stone","Division 1","Women","Division 1 Women","Vermont Ruckus","Team Games",6
"155","Calvin Ciorba","Division 3","Men","Division 3 Men","Richmond Spidermonkeys","Team Games",6
"156","Benjamin Bushley","Division 3","Men","Division 3 Men","Bates Orange Whip","Team Games",6
"157","Anthony Camastro","Division 3","Men","Division 3 Men","Franciscan Fatal","Team Games",6
"158","Amelia Platt","Division 3","Women","Division 3 Women","Wesleyan Vicious Circles","Team Games",6
"159","Seth Wells","Division 1","Men","Division 1 Men","Colorado Mambird","Team Games",7
"160","Nanda Min-Fink","Division 1","Men","Division 1 Men","Colorado Mambird","Team Games",7
"161","Max Gade","Division 1","Men","Division 1 Men","Cal Poly-SLO Slocore","Team Games",7
"162","Wilson Tryon","Division 1","Men","Division 1 Men","Washington University Contra","Team Games",5
"163","Wesley Fransen","Division 3","Men","Division 3 Men","Missouri S&T Miner Threat","Team Games",6
"164","Syris Linkfield","Division 1","Women","Division 1 Women","Oregon Fugue","Team Games",6
"165","Sebastian Brauer","Division 1","Men","Division 1 Men","Minnesota Grey Duck","Team Games",5
"166","Sean Brown","Division 1","Men","Division 1 Men","Penn State Spank","Team Games",5
"167","Samuel Tremblay-Larochelle","Division 1","Men","Division 1 Men","Ottawa Gee-Gees","Team Games",5
"168","Parker Lin-Butler","Division 1","Men","Division 1 Men","Vermont Chill","Team Games",5
"169","Nadia Scoppettone","Division 1","Women","Division 1 Women","Vermont Ruckus","Team Games",6
"170","Malachi Raymond","Division 3","Men","Division 3 Men","Middlebury Pranksters","Team Games",5
"171","Leah Fulton","Division 1","Women","Division 1 Women","Victoria Vikes","Team Games",5
"172","Jonas Geere","Division 3","Men","Division 3 Men","St Olaf Berzerkers","Team Games",6
"173","Jessica Wu","Division 1","Women","Division 1 Women","North Carolina Pleiades","Team Games",7
"174","Jamie Miller","Division 3","Men","Division 3 Men","Claremont Braineaters","Team Games",6
"175","Jake Powell","Division 1","Men","Division 1 Men","Georgia Jojah","Team Games",5
"176","Jacob Trokel","Division 3","Men","Division 3 Men","Rochester Piggies","Team Games",6
"177","Henri Lessard","Division 1","Men","Division 1 Men","NC State Alpha","Team Games",6
"178","Goodness Nwakudu","Division 1","Women","Division 1 Women","California - Santa Cruz Sol","Team Games",5
"179","Ethan Lavallee","Division 3","Men","Division 3 Men","Middlebury Pranksters","Team Games",5
"180","Emily Mulhern","Division 3","Women","Division 3 Women","St Olaf Vortex","Team Games",5
"181","Carter Lankford","Division 1","Men","Division 1 Men","Cal Ursa Major","Team Games",5
"182","Benjamin Payson","Division 1","Men","Division 1 Men","Vermont Chill","Team Games",5
"183","Avery Goldstein","Division 3","Women","Division 3 Women","Middlebury Pranksters","Team Games",5
"184","Adam Wright","Division 3","Men","Division 3 Men","Oberlin Flying Horsecows","Team Games",6
"185","Rose Bransford","Division 1","Women","Division 1 Women","Colorado Quandary","Team Games",7
"186","Dora McCotter-Hulett","Division 1","Women","Division 1 Women","Stanford Superfly","Team Games",7
"187","Zoe Posner","Division 3","Women","Division 3 Women","Colorado College Zenith","Team Games",6
"188","Seth Fried","Division 1","Men","Division 1 Men","North Carolina Darkside","Team Games",6
"189","Reece Overholt","Division 3","Men","Division 3 Men","Williams WUFO","Team Games",6
"190","Max Fleming","Division 3","Men","Division 3 Men","Whitman Sweets","Team Games",6
"191","Joseph Duerr","Division 3","Men","Division 3 Men","Franciscan Fatal","Team Games",6
"192","Eva Taberski","Division 3","Women","Division 3 Women","Mount Holyoke Daisy Chain","Team Games",6
"193","Cade Ashland","Division 3","Men","Division 3 Men","St Olaf Berzerkers","Team Games",6
"194","Amelie Marshall","Division 1","Women","Division 1 Women","British Columbia Thunderbirds","Team Games",6
"195","Mina Brown","Division 1","Women","Division 1 Women","Tufts EWO","Team Games",5
"196","Jeremy Long","Division 1","Men","Division 1 Men","Penn State Spank","Team Games",5
"197","Ian Mccosky","Division 1","Men","Division 1 Men","Minnesota Grey Duck","Team Games",5
"198","Ericka Edgell","Division 1","Women","Division 1 Women","Victoria Vikes","Team Games",5
"199","Declan Kervick","Division 1","Men","Division 1 Men","Vermont Chill","Team Games",5
"200","Carly Atwell","Division 1","Women","Division 1 Women","Utah Spiral Jetty","Team Games",5
"201","Caelan McSweeney","Division 1","Men","Division 1 Men","Massachusetts Zoodisc","Team Games",5
"202","Anthony Jirele","Division 1","Men","Division 1 Men","Minnesota Grey Duck","Team Games",5
"203","Simone Pierotti","Division 1","Women","Division 1 Women","Colorado Quandary","Team Games",7
"204","Taylor Dunn","Division 3","Women","Division 3 Women","Mount Holyoke Daisy Chain","Team Games",6
"205","Tatum Cubrilovic","Division 1","Women","Division 1 Women","Vermont Ruckus","Team Games",6
"206","Sam Papin","Division 3","Men","Division 3 Men","Missouri S&T Miner Threat","Team Games",6
"207","Rutledge Smith","Division 1","Men","Division 1 Men","North Carolina Darkside","Team Games",6
"208","Nicholas Bollman","Division 3","Men","Division 3 Men","Williams WUFO","Team Games",6
"209","Nathan Wang","Division 3","Men","Division 3 Men","Carleton CHOP","Team Games",6
"210","Isabel Berman","Division 1","Women","Division 1 Women","Vermont Ruckus","Team Games",6
"211","Helena Tremblay","Division 1","Women","Division 1 Women","British Columbia Thunderbirds","Team Games",6
"212","Eric Treyz","Division 3","Men","Division 3 Men","Bates Orange Whip","Team Games",6
"213","Brian Trowbridge","Division 1","Men","Division 1 Men","North Carolina Darkside","Team Games",6
"214","Braque Pike","Division 3","Men","Division 3 Men","Oberlin Flying Horsecows","Team Games",6
"215","Luca Duclos-Orsello","Division 1","Men","Division 1 Men","Brown Brownian Motion","Team Games",8
"216","Wyatt Kellman","Division 1","Men","Division 1 Men","Massachusetts Zoodisc","Team Games",5
"217","Viola Deszily","Division 1","Women","Division 1 Women","California - Santa Cruz Sol","Team Games",5
"218","Taylor Betonte","Division 1","Women","Division 1 Women","Victoria Vikes","Team Games",5
"219","Sophia Harvey","Division 1","Women","Division 1 Women","Michigan Flywheel","Team Games",5
"220","Peter Kotz","Division 1","Men","Division 1 Men","Pittsburgh En Sabah Nur","Team Games",5
"221","Jonathan Sillivant","Division 1","Men","Division 1 Men","Alabama-Huntsville Nightmares","Team Games",5
"222","John Clyde","Division 1","Men","Division 1 Men","Texas TUFF","Team Games",5
"223","Jessie Chan","Division 1","Women","Division 1 Women","Tufts EWO","Team Games",5
"224","Isaac Kaplan","Division 1","Men","Division 1 Men","Massachusetts Zoodisc","Team Games",5
"225","Dagny Lott","Division 1","Women","Division 1 Women","Pennsylvania Venus","Team Games",5
