"","player","level","gender","division","team_name","statistic","value"
"612","Noel Sierra","Division 1","Men","Division 1 Men","Massachusetts Zoodisc","Team Games",5
"613","Nima Lhamo","Division 1","Men","Division 1 Men","Massachusetts Zoodisc","Team Games",5
"614","Nico Christakos","Division 1","Men","Division 1 Men","Vermont Chill","Team Games",5
"615","Mikah Keetch","Division 3","Women","Division 3 Women","Lewis & Clark Artemis","Team Games",5
"616","Maya Beck-Kjer","Division 1","Women","Division 1 Women","Colorado State Helle's Belles","Team Games",5
"617","Max Zeltsar","Division 3","Men","Division 3 Men","Middlebury Pranksters","Team Games",5
"618","Mathis Turgeon-Roy","Division 1","Men","Division 1 Men","Ottawa Gee-Gees","Team Games",5
"619","Maisie Prendergast","Division 1","Women","Division 1 Women","Utah Spiral Jetty","Team Games",5
"620","Madrona Maling","Division 1","Women","Division 1 Women","Washington Element","Team Games",5
"621","Madeline Trilling","Division 1","Women","Division 1 Women","California - Santa Cruz Sol","Team Games",5
"622","Madeline Scott","Division 1","Women","Division 1 Women","Pennsylvania Venus","Team Games",5
"623","Luke Cranor","Division 1","Men","Division 1 Men","Georgia Jojah","Team Games",5
"624","Leo Xiao","Division 1","Men","Division 1 Men","Carleton CUT","Team Games",5
"625","Leo Sarandos","Division 1","Men","Division 1 Men","Vermont Chill","Team Games",5
"626","Leo Jordan","Division 1","Men","Division 1 Men","Carleton CUT","Team Games",5
"627","Kyle Riley","Division 1","Men","Division 1 Men","Cal Ursa Major","Team Games",5
"628","KayAnna Williams","Division 3","Women","Division 3 Women","Davenport Panthers","Team Games",5
"629","Kai Hoadley","Division 3","Men","Division 3 Men","Middlebury Pranksters","Team Games",5
"630","Joshua Kolby","Division 1","Men","Division 1 Men","Alabama-Huntsville Nightmares","Team Games",5
"631","Jose Dasilva","Division 1","Men","Division 1 Men","Michigan Magnum","Team Games",5
"632","John Williams","Division 1","Men","Division 1 Men","Penn State Spank","Team Games",5
"633","John Helgeson","Division 1","Men","Division 1 Men","Minnesota Grey Duck","Team Games",5
"634","Jeremy Sanders","Division 1","Men","Division 1 Men","Georgia Jojah","Team Games",5
"635","Jemia Johnson","Division 1","Women","Division 1 Women","Georgia Athena","Team Games",5
"636","Jake Lyons","Division 3","Men","Division 3 Men","Middlebury Pranksters","Team Games",5
"637","Jacob Tindall","Division 1","Men","Division 1 Men","Washington University Contra","Team Games",5
"638","Jacob Croskey","Division 1","Men","Division 1 Men","Georgia Jojah","Team Games",5
"639","Jack Rice","Division 1","Men","Division 1 Men","Vermont Chill","Team Games",5
"640","Jack DiCola","Division 3","Men","Division 3 Men","Middlebury Pranksters","Team Games",5
"641","Isaac Fenster","Division 1","Men","Division 1 Men","Washington University Contra","Team Games",5
"642","Gretchen Berndt","Division 1","Women","Division 1 Women","California - Santa Cruz Sol","Team Games",5
"643","Grace Milhaupt","Division 3","Women","Division 3 Women","St Olaf Vortex","Team Games",5
"644","Ethan Zhang","Division 1","Men","Division 1 Men","Washington University Contra","Team Games",5
"645","Eric Johnson","Division 1","Men","Division 1 Men","Cal Ursa Major","Team Games",5
"646","Elsa Lindenmeyr","Division 1","Women","Division 1 Women","Western Washington Chaos","Team Games",5
"647","Ellie Crema","Division 3","Women","Division 3 Women","Lewis & Clark Artemis","Team Games",5
"648","Cindy Yang","Division 1","Women","Division 1 Women","California - Santa Barbara Burning Skirts","Team Games",5
"649","Char Batchelor","Division 3","Women","Division 3 Women","St Olaf Vortex","Team Games",5
"650","Carter Rathur","Division 1","Men","Division 1 Men","Georgia Jojah","Team Games",5
"651","Benji Feidler","Division 1","Men","Division 1 Men","Penn State Spank","Team Games",5
"652","Benjamin Deppen","Division 1","Men","Division 1 Men","Washington University Contra","Team Games",5
"653","Avery Smith","Division 3","Women","Division 3 Women","Davenport Panthers","Team Games",5
"654","Ariel Felcan","Division 1","Women","Division 1 Women","Tufts EWO","Team Games",5
"655","Annie McGarry","Division 3","Women","Division 3 Women","Middlebury Pranksters","Team Games",5
"656","Ananya Shaligram","Division 1","Women","Division 1 Women","California - San Diego D-Co","Team Games",5
"657","Amelicha Trinidad Gonzalez","Division 1","Women","Division 1 Women","Tufts EWO","Team Games",5
"658","Alexandra Flory","Division 3","Women","Division 3 Women","Lewis & Clark Artemis","Team Games",5
"659","Aidan DeLorenzo","Division 3","Men","Division 3 Men","Middlebury Pranksters","Team Games",5
"660","Zachary Kaufman","Division 1","Men","Division 1 Men","Brown Brownian Motion","Team Games",8
"661","Noah Urrutia","Division 1","Men","Division 1 Men","Brown Brownian Motion","Team Games",8
"662","Cameron Curney","Division 1","Men","Division 1 Men","Brown Brownian Motion","Team Games",8
"663","Zoe Luke","Division 1","Women","Division 1 Women","Oregon Fugue","Team Games",6
"664","William Beyreis","Division 3","Men","Division 3 Men","Williams WUFO","Team Games",6
"665","William Anderson","Division 3","Men","Division 3 Men","Carleton CHOP","Team Games",6
"666","Thais Thomas","Division 1","Women","Division 1 Women","Oregon Fugue","Team Games",6
"667","Tejas Sivarajakumar","Division 1","Men","Division 1 Men","NC State Alpha","Team Games",6
"668","Sylvie Shaya","Division 3","Women","Division 3 Women","Wellesley Whiptails","Team Games",6
"669","Susannah Cornell","Division 3","Women","Division 3 Women","Wesleyan Vicious Circles","Team Games",6
"670","Soren Severens","Division 3","Men","Division 3 Men","Whitman Sweets","Team Games",6
"671","Sophie Carpenter","Division 3","Women","Division 3 Women","Macalester Purse Snatchers","Team Games",6
"672","Sophie Addison","Division 3","Women","Division 3 Women","Colorado College Zenith","Team Games",6
"673","Simon Korotzer-Mariani","Division 3","Men","Division 3 Men","Oberlin Flying Horsecows","Team Games",6
"674","Shane Keeton","Division 3","Men","Division 3 Men","Missouri S&T Miner Threat","Team Games",6
"675","Serena Goldstone","Division 3","Women","Division 3 Women","Occidental WAC","Team Games",6
"676","Saxon Egge","Division 3","Men","Division 3 Men","Oberlin Flying Horsecows","Team Games",6
"677","Sarah Trouwborst","Division 3","Women","Division 3 Women","Union Jillz","Team Games",6
"678","Samuel Redinbo","Division 1","Men","Division 1 Men","North Carolina Darkside","Team Games",6
"679","Sam Hussey","Division 3","Men","Division 3 Men","Richmond Spidermonkeys","Team Games",6
"680","Ruby Kauffman-Rosengarten","Division 3","Women","Division 3 Women","Wesleyan Vicious Circles","Team Games",6
"681","Richard Dragicevich","Division 3","Men","Division 3 Men","Davenport Panthers","Team Games",6
"682","Riah Burrows","Division 3","Men","Division 3 Men","Oberlin Flying Horsecows","Team Games",6
"683","Presley Smith","Division 3","Men","Division 3 Men","Williams WUFO","Team Games",6
"684","Peter Free","Division 3","Men","Division 3 Men","Franciscan Fatal","Team Games",6
"685","Pah Na","Division 3","Men","Division 3 Men","Carleton CHOP","Team Games",6
"686","Owen Haddad","Division 3","Men","Division 3 Men","Bates Orange Whip","Team Games",6
"687","Oliver Sumners","Division 3","Men","Division 3 Men","Lewis & Clark Bacchus","Team Games",6
"688","Natalia Maahs","Division 3","Women","Division 3 Women","Colorado College Zenith","Team Games",6
"689","Mayana Ford","Division 3","Women","Division 3 Women","Macalester Purse Snatchers","Team Games",6
"690","May Kinnamon","Division 3","Women","Division 3 Women","Macalester Purse Snatchers","Team Games",6
"691","Max Goetz","Division 1","Men","Division 1 Men","North Carolina Darkside","Team Games",6
"692","Matti Lee","Division 1","Men","Division 1 Men","NC State Alpha","Team Games",6
"693","Mackenzie Bunnell","Division 3","Women","Division 3 Women","Wesleyan Vicious Circles","Team Games",6
"694","Luke Forrester","Division 3","Men","Division 3 Men","Franciscan Fatal","Team Games",6
"695","Luke Duan","Division 1","Men","Division 1 Men","North Carolina Darkside","Team Games",6
"696","Leo Dungan-Seaver","Division 3","Men","Division 3 Men","Whitman Sweets","Team Games",6
"697","Leah Hall","Division 1","Women","Division 1 Women","Oregon Fugue","Team Games",6
"698","Kiva Zimmerman","Division 3","Men","Division 3 Men","Williams WUFO","Team Games",6
"699","Katie Anderson","Division 3","Women","Division 3 Women","Portland UPRoar","Team Games",6
"700","Juraj Hurny","Division 3","Men","Division 3 Men","Davenport Panthers","Team Games",6
"701","John Cordier","Division 3","Men","Division 3 Men","Franciscan Fatal","Team Games",6
"702","Jasper Brown","Division 3","Men","Division 3 Men","Whitman Sweets","Team Games",6
"703","James Pekel","Division 3","Men","Division 3 Men","Davenport Panthers","Team Games",6
"704","Ian Hill","Division 3","Men","Division 3 Men","Rochester Piggies","Team Games",6
"705","Henry Weismann","Division 3","Men","Division 3 Men","Carleton CHOP","Team Games",6
"706","Hana Elawady","Division 3","Women","Division 3 Women","Portland UPRoar","Team Games",6
"707","Haley Hemeon","Division 1","Women","Division 1 Women","Vermont Ruckus","Team Games",6
"708","Gina Fiore","Division 3","Women","Division 3 Women","Wellesley Whiptails","Team Games",6
"709","Georgia Van der Linden","Division 1","Women","Division 1 Women","Oregon Fugue","Team Games",6
"710","Gaby Dominguez","Division 3","Women","Division 3 Women","Portland UPRoar","Team Games",6
"711","Eve Mullen","Division 3","Women","Division 3 Women","Carleton Eclipse","Team Games",6
"712","Eric Harnisher","Division 3","Men","Division 3 Men","Richmond Spidermonkeys","Team Games",6
"713","Emmett Warner","Division 1","Men","Division 1 Men","Oregon EGO","Team Games",6
"714","Emma Doty","Division 3","Women","Division 3 Women","Haverford/Bryn Mawr Sneetches","Team Games",6
"715","Emerson Jenen","Division 3","Men","Division 3 Men","Rochester Piggies","Team Games",6
"716","Clay Rosselot","Division 3","Men","Division 3 Men","Richmond Spidermonkeys","Team Games",6
"717","Clay Rasmussen","Division 3","Men","Division 3 Men","Claremont Braineaters","Team Games",6
"718","Bryelle Wong","Division 1","Women","Division 1 Women","British Columbia Thunderbirds","Team Games",6
"719","Benjamin Eichner","Division 3","Men","Division 3 Men","Oberlin Flying Horsecows","Team Games",6
"720","Benjamin Canty","Division 3","Men","Division 3 Men","Whitman Sweets","Team Games",6
"721","Bella Kim-LaTona","Division 3","Women","Division 3 Women","Wellesley Whiptails","Team Games",6
"722","Beckett Sessums","Division 1","Men","Division 1 Men","Oregon EGO","Team Games",6
"723","Anthony Longo","Division 3","Men","Division 3 Men","Richmond Spidermonkeys","Team Games",6
"724","Annabella Wardle","Division 3","Women","Division 3 Women","Carleton Eclipse","Team Games",6
"725","Annabel Ewing","Division 3","Women","Division 3 Women","Occidental WAC","Team Games",6
"726","Andrew Schultz","Division 1","Men","Division 1 Men","NC State Alpha","Team Games",6
"727","Alexander Tayyeb","Division 1","Men","Division 1 Men","NC State Alpha","Team Games",6
"728","Alex Gran","Division 3","Men","Division 3 Men","Carleton CHOP","Team Games",6
"729","Aidan Williams","Division 3","Men","Division 3 Men","Davenport Panthers","Team Games",6
"730","Aidan Tow","Division 3","Men","Division 3 Men","Missouri S&T Miner Threat","Team Games",6
"731","Wyatt Colburn","Division 1","Men","Division 1 Men","Cal Poly-SLO Slocore","Team Games",7
"732","Omar Semrin","Division 1","Men","Division 1 Men","Colorado Mambird","Team Games",7
"733","Leyla Williams","Division 1","Women","Division 1 Women","Colorado Quandary","Team Games",7
"734","Joseph Michaud","Division 1","Men","Division 1 Men","Colorado Mambird","Team Games",7
"735","Jolene Lee","Division 1","Women","Division 1 Women","Stanford Superfly","Team Games",7
"736","Devy Weir","Division 1","Women","Division 1 Women","Stanford Superfly","Team Games",7
"737","Daniel Estrin","Division 1","Men","Division 1 Men","Colorado Mambird","Team Games",7
"738","Will Christian","Division 1","Men","Division 1 Men","Massachusetts Zoodisc","Team Games",5
"739","Toby Graf","Division 3","Men","Division 3 Men","Middlebury Pranksters","Team Games",5
"740","Taylor Hanson","Division 1","Men","Division 1 Men","Massachusetts Zoodisc","Team Games",5
"741","Tatum Jenkins","Division 1","Women","Division 1 Women","Pennsylvania Venus","Team Games",5
"742","Surafel Sharpe","Division 3","Men","Division 3 Men","Oklahoma Christian Eagles","Team Games",5
"743","Sophia Dellapenta","Division 1","Women","Division 1 Women","Western Washington Chaos","Team Games",5
"744","Sonai Donnell","Division 1","Women","Division 1 Women","Colorado State Helle's Belles","Team Games",5
"745","Scarlett Deveno","Division 3","Women","Division 3 Women","Lewis & Clark Artemis","Team Games",5
"746","Savina Dock","Division 3","Women","Division 3 Women","St Olaf Vortex","Team Games",5
"747","Sam Elliott","Division 1","Men","Division 1 Men","Carleton CUT","Team Games",5
"748","Sadie Schmitz","Division 1","Women","Division 1 Women","Tufts EWO","Team Games",5
"749","Ruby Warner","Division 3","Women","Division 3 Women","Middlebury Pranksters","Team Games",5
"750","Ruby Gholston","Division 1","Women","Division 1 Women","California - Santa Cruz Sol","Team Games",5
"751","ruby Bond","Division 1","Women","Division 1 Women","Western Washington Chaos","Team Games",5
"752","Roberto Lombana","Division 1","Men","Division 1 Men","Penn State Spank","Team Games",5
"753","Riley Bong","Division 1","Men","Division 1 Men","Alabama-Huntsville Nightmares","Team Games",5
"754","Reegan Ketzenberger","Division 1","Women","Division 1 Women","Michigan Flywheel","Team Games",5
"755","Rachel Eder","Division 1","Women","Division 1 Women","Western Washington Chaos","Team Games",5
"756","Quinn Lander","Division 1","Men","Division 1 Men","Carleton CUT","Team Games",5
"757","Peter Helgeson","Division 1","Men","Division 1 Men","Minnesota Grey Duck","Team Games",5
"758","Paul Liang","Division 1","Men","Division 1 Men","Minnesota Grey Duck","Team Games",5
"759","Parker Steele","Division 1","Men","Division 1 Men","Penn State Spank","Team Games",5
"760","Paige Robinson","Division 1","Women","Division 1 Women","Georgia Athena","Team Games",5
"761","Owen Doherty","Division 1","Men","Division 1 Men","Vermont Chill","Team Games",5
"762","Owen Cloutier","Division 1","Men","Division 1 Men","Minnesota Grey Duck","Team Games",5
"763","Noah Schwalb","Division 1","Men","Division 1 Men","Alabama-Huntsville Nightmares","Team Games",5
"764","Nick Amano","Division 1","Men","Division 1 Men","Michigan Magnum","Team Games",5
"765","Nicholas Lutz","Division 1","Men","Division 1 Men","Penn State Spank","Team Games",5
"766","Nathaniel Hodges","Division 1","Men","Division 1 Men","Penn State Spank","Team Games",5
"767","Nadav Berkman","Division 1","Men","Division 1 Men","Massachusetts Zoodisc","Team Games",5
"768","Molly Kaplan","Division 3","Women","Division 3 Women","Middlebury Pranksters","Team Games",5
"769","Michelle Tzou","Division 1","Women","Division 1 Women","Georgia Athena","Team Games",5
"770","Michael Coyne","Division 1","Men","Division 1 Men","Washington University Contra","Team Games",5
"771","Micah Tatro","Division 3","Men","Division 3 Men","Oklahoma Christian Eagles","Team Games",5
"772","Micah Davis","Division 1","Men","Division 1 Men","Pittsburgh En Sabah Nur","Team Games",5
"773","Megan Mathieu","Division 1","Women","Division 1 Women","Tufts EWO","Team Games",5
"774","Megan Blommel","Division 1","Women","Division 1 Women","Utah Spiral Jetty","Team Games",5
"775","Maya Flynn","Division 1","Women","Division 1 Women","Washington Element","Team Games",5
"776","Maxwell Olesen","Division 1","Men","Division 1 Men","Pittsburgh En Sabah Nur","Team Games",5
"777","Matthew Davidorf","Division 1","Men","Division 1 Men","Georgia Jojah","Team Games",5
"778","Marley Standard","Division 1","Women","Division 1 Women","California - Santa Cruz Sol","Team Games",5
"779","Madison Lodico","Division 1","Women","Division 1 Women","Utah Spiral Jetty","Team Games",5
"780","Luke Knight","Division 1","Men","Division 1 Men","Texas TUFF","Team Games",5
"781","Lucy VanNewkirk","Division 3","Women","Division 3 Women","Middlebury Pranksters","Team Games",5
"782","Lucy Robertson","Division 1","Women","Division 1 Women","Victoria Vikes","Team Games",5
"783","logan krehbiel","Division 3","Men","Division 3 Men","Oklahoma Christian Eagles","Team Games",5
"784","Lily Howard","Division 1","Women","Division 1 Women","Western Washington Chaos","Team Games",5
"785","Liam Reynolds","Division 3","Men","Division 3 Men","Middlebury Pranksters","Team Games",5
"786","Levi Dohman","Division 1","Men","Division 1 Men","Minnesota Grey Duck","Team Games",5
"787","Leo Wolf","Division 1","Men","Division 1 Men","Oregon State Beavers","Team Games",5
"788","Leah Marquez","Division 3","Women","Division 3 Women","Lewis & Clark Artemis","Team Games",5
"789","Kong Hui Lim","Division 3","Men","Division 3 Men","Oklahoma Christian Eagles","Team Games",5
"790","Kensley West","Division 1","Women","Division 1 Women","Georgia Athena","Team Games",5
"791","Kelly Tam","Division 1","Women","Division 1 Women","Washington Element","Team Games",5
"792","Kellen Watts","Division 1","Men","Division 1 Men","Texas TUFF","Team Games",5
"793","Kaitlyn Straight","Division 1","Women","Division 1 Women","California - San Diego D-Co","Team Games",5
"794","Kainoa Hottendorf","Division 1","Men","Division 1 Men","Cal Ursa Major","Team Games",5
"795","Joshua Wang","Division 1","Men","Division 1 Men","Michigan Magnum","Team Games",5
"796","Jaden Fielding","Division 1","Men","Division 1 Men","Ottawa Gee-Gees","Team Games",5
"797","Jaden Busch","Division 1","Men","Division 1 Men","Massachusetts Zoodisc","Team Games",5
"798","Ivan Kase","Division 1","Men","Division 1 Men","Minnesota Grey Duck","Team Games",5
"799","Isaac Fuzat","Division 1","Men","Division 1 Men","Texas TUFF","Team Games",5
"800","Ian Grochocinski","Division 1","Men","Division 1 Men","Washington University Contra","Team Games",5
"801","Hazel Stringer","Division 3","Women","Division 3 Women","Middlebury Pranksters","Team Games",5
"802","Grady Welsh","Division 3","Men","Division 3 Men","Middlebury Pranksters","Team Games",5
"803","Georgia Smith","Division 1","Women","Division 1 Women","Victoria Vikes","Team Games",5
"804","Gaby Elkhoury","Division 1","Men","Division 1 Men","Georgia Jojah","Team Games",5
"805","Gabriel Gatewood-Wolfe","Division 1","Men","Division 1 Men","Cal Ursa Major","Team Games",5
"806","Forrest Williams","Division 1","Men","Division 1 Men","Vermont Chill","Team Games",5
"807","Forrest Vargyas","Division 1","Men","Division 1 Men","Oregon State Beavers","Team Games",5
"808","Evan Tompkins","Division 1","Men","Division 1 Men","Washington University Contra","Team Games",5
"809","Evan Lutz","Division 1","Men","Division 1 Men","Penn State Spank","Team Games",5
"810","Ethan Schiff","Division 1","Men","Division 1 Men","Massachusetts Zoodisc","Team Games",5
"811","Ethan Ode","Division 1","Men","Division 1 Men","Minnesota Grey Duck","Team Games",5
"812","Ethan Landis","Division 1","Men","Division 1 Men","Penn State Spank","Team Games",5
"813","Emma Toussaint","Division 1","Women","Division 1 Women","California - San Diego D-Co","Team Games",5
"814","Emma Ellefson-Frank","Division 1","Women","Division 1 Women","California - San Diego D-Co","Team Games",5
"815","Emma Crump","Division 1","Women","Division 1 Women","California - Santa Barbara Burning Skirts","Team Games",5
"816","Emiko Shiota","Division 1","Women","Division 1 Women","California - San Diego D-Co","Team Games",5
"817","Elyse Siegel","Division 1","Women","Division 1 Women","Victoria Vikes","Team Games",5
"818","Elijah McKinley","Division 1","Men","Division 1 Men","Alabama-Huntsville Nightmares","Team Games",5
"819","Elie Weitzman","Division 1","Men","Division 1 Men","Washington University Contra","Team Games",5
"820","Eleanor Tyne","Division 1","Women","Division 1 Women","Tufts EWO","Team Games",5
"821","Edward Morris","Division 1","Men","Division 1 Men","Cal Ursa Major","Team Games",5
"822","Drew Vetteth","Division 1","Men","Division 1 Men","Cal Ursa Major","Team Games",5
"823","David Peterson","Division 3","Men","Division 3 Men","Oklahoma Christian Eagles","Team Games",5
"824","Danielle Michiels","Division 1","Women","Division 1 Women","California - Santa Barbara Burning Skirts","Team Games",5
"825","Daniel Kang","Division 1","Men","Division 1 Men","Massachusetts Zoodisc","Team Games",5
"826","Conner Lough","Division 1","Men","Division 1 Men","Alabama-Huntsville Nightmares","Team Games",5
"827","Colin Brown","Division 1","Men","Division 1 Men","Carleton CUT","Team Games",5
"828","Chris Doehring","Division 1","Men","Division 1 Men","Michigan Magnum","Team Games",5
"829","Challis Holloway","Division 1","Men","Division 1 Men","Oregon State Beavers","Team Games",5
"830","Catherine Davison","Division 1","Women","Division 1 Women","Victoria Vikes","Team Games",5
"831","Cassidy Morgan","Division 1","Women","Division 1 Women","California - San Diego D-Co","Team Games",5
"832","Calista Aragon","Division 3","Women","Division 3 Women","Lewis & Clark Artemis","Team Games",5
"833","Caleb Lance","Division 3","Men","Division 3 Men","Oklahoma Christian Eagles","Team Games",5
"834","Brandon Shunk","Division 1","Men","Division 1 Men","Penn State Spank","Team Games",5
"835","Ben Brochard","Division 1","Men","Division 1 Men","Oregon State Beavers","Team Games",5
"836","Ava Samford","Division 1","Women","Division 1 Women","Georgia Athena","Team Games",5
"837","Annika Ross","Division 1","Women","Division 1 Women","California - San Diego D-Co","Team Games",5
"838","Anna Cauchy","Division 1","Women","Division 1 Women","Washington Element","Team Games",5
"839","Amanda Harrison","Division 3","Women","Division 3 Women","Middlebury Pranksters","Team Games",5
"840","Alexander Janelle","Division 1","Men","Division 1 Men","Texas TUFF","Team Games",5
"841","Addyson Hale","Division 1","Women","Division 1 Women","Georgia Athena","Team Games",5
"842","Yun Hua","Division 1","Women","Division 1 Women","British Columbia Thunderbirds","Team Games",6
"843","Will Scudder","Division 1","Men","Division 1 Men","NC State Alpha","Team Games",6
"844","Thomas Davis","Division 3","Men","Division 3 Men","Bates Orange Whip","Team Games",6
"845","Tae Weiss","Division 3","Women","Division 3 Women","Wesleyan Vicious Circles","Team Games",6
"846","Stephen Kise","Division 3","Men","Division 3 Men","Berry Bucks","Team Games",6
"847","Sophia Mason","Division 3","Women","Division 3 Women","Grinnell Grinneleanor Roosevelts","Team Games",6
"848","Sopheakdey Bov","Division 3","Men","Division 3 Men","Rochester Piggies","Team Games",6
"849","Sebastian Espinal","Division 3","Men","Division 3 Men","Williams WUFO","Team Games",6
"850","Samuel Guarino","Division 3","Men","Division 3 Men","Oberlin Flying Horsecows","Team Games",6
"851","Orr Teva","Division 3","Men","Division 3 Men","Williams WUFO","Team Games",6
"852","Noah Paradise","Division 3","Men","Division 3 Men","Rochester Piggies","Team Games",6
"853","Noah Goldberg","Division 3","Men","Division 3 Men","Lewis & Clark Bacchus","Team Games",6
"854","Nathaniel Snow","Division 3","Men","Division 3 Men","Williams WUFO","Team Games",6
"855","Mijoo Lee","Division 1","Women","Division 1 Women","British Columbia Thunderbirds","Team Games",6
"856","Michael Stein","Division 3","Men","Division 3 Men","Richmond Spidermonkeys","Team Games",6
"857","Maya Salzman","Division 3","Women","Division 3 Women","Wesleyan Vicious Circles","Team Games",6
"858","Luke Williams","Division 3","Men","Division 3 Men","St Olaf Berzerkers","Team Games",6
"859","Lola Murnighan","Division 3","Women","Division 3 Women","Wesleyan Vicious Circles","Team Games",6
"860","Liam O’Shea","Division 3","Men","Division 3 Men","Whitman Sweets","Team Games",6
"861","Larson Selvig","Division 3","Men","Division 3 Men","Whitman Sweets","Team Games",6
"862","Kiran Saini","Division 3","Women","Division 3 Women","Richmond Red Hots","Team Games",6
"863","Kelby Anderson","Division 3","Men","Division 3 Men","St Olaf Berzerkers","Team Games",6
"864","Kawika Tu","Division 3","Men","Division 3 Men","Williams WUFO","Team Games",6
"865","Kavya Borra","Division 3","Women","Division 3 Women","Richmond Red Hots","Team Games",6
"866","Kana Chung","Division 3","Men","Division 3 Men","Missouri S&T Miner Threat","Team Games",6
"867","Julia Kezer","Division 1","Women","Division 1 Women","Vermont Ruckus","Team Games",6
"868","Julia Frank","Division 3","Women","Division 3 Women","Occidental WAC","Team Games",6
"869","Joseph Dauchess","Division 3","Men","Division 3 Men","Franciscan Fatal","Team Games",6
"870","Jonas Kra-Caskey","Division 3","Men","Division 3 Men","Lewis & Clark Bacchus","Team Games",6
"871","Jonah Hammes","Division 1","Men","Division 1 Men","Oregon EGO","Team Games",6
"872","Jing Jing Munson","Division 1","Women","Division 1 Women","Carleton Syzygy","Team Games",6
"873","Jesse Barker Plotkin","Division 3","Men","Division 3 Men","Carleton CHOP","Team Games",6
"874","Jericho Stern","Division 3","Men","Division 3 Men","Lewis & Clark Bacchus","Team Games",6
"875","Jacob Mathew","Division 3","Men","Division 3 Men","Missouri S&T Miner Threat","Team Games",6
"876","Jaclyn Murray","Division 3","Women","Division 3 Women","Portland UPRoar","Team Games",6
"877","Jack Ryan","Division 3","Men","Division 3 Men","Oberlin Flying Horsecows","Team Games",6
"878","Jack Gleason","Division 1","Men","Division 1 Men","Oregon EGO","Team Games",6
"879","Isabella Harker","Division 1","Women","Division 1 Women","Oregon Fugue","Team Games",6
"880","Isabel Contreras","Division 3","Women","Division 3 Women","Portland UPRoar","Team Games",6
"881","Henry Kennedy","Division 1","Men","Division 1 Men","NC State Alpha","Team Games",6
"882","Gabriel Nobis","Division 1","Men","Division 1 Men","Oregon EGO","Team Games",6
"883","Gabriel Badillo Moorman","Division 3","Men","Division 3 Men","St Olaf Berzerkers","Team Games",6
"884","Feliz Matthews","Division 3","Women","Division 3 Women","Portland UPRoar","Team Games",6
"885","Eva Fischer","Division 1","Women","Division 1 Women","Carleton Syzygy","Team Games",6
"886","Ethan Landgreen","Division 3","Men","Division 3 Men","St Olaf Berzerkers","Team Games",6
"887","Emmett Levine","Division 3","Men","Division 3 Men","Claremont Braineaters","Team Games",6
"888","Emma Seto","Division 3","Women","Division 3 Women","Richmond Red Hots","Team Games",6
"889","Emile Starkweather","Division 1","Men","Division 1 Men","Oregon EGO","Team Games",6
"890","Elliot Mayo","Division 3","Men","Division 3 Men","Berry Bucks","Team Games",6
"891","Ella Spitz","Division 3","Women","Division 3 Women","Wesleyan Vicious Circles","Team Games",6
"892","Ella Polli","Division 1","Women","Division 1 Women","Vermont Ruckus","Team Games",6
"893","Ella Evans","Division 3","Women","Division 3 Women","Haverford/Bryn Mawr Sneetches","Team Games",6
"894","Dylan McKellips","Division 3","Men","Division 3 Men","Rochester Piggies","Team Games",6
"895","Dov Bearman","Division 1","Men","Division 1 Men","North Carolina Darkside","Team Games",6
"896","Devon Shepherd","Division 3","Men","Division 3 Men","Richmond Spidermonkeys","Team Games",6
"897","David Kim","Division 3","Men","Division 3 Men","St Olaf Berzerkers","Team Games",6
"898","David Allen","Division 3","Men","Division 3 Men","Lewis & Clark Bacchus","Team Games",6
"899","Dash Fitzgerald","Division 3","Men","Division 3 Men","Whitman Sweets","Team Games",6
"900","Daboh Ahn","Division 3","Women","Division 3 Women","Grinnell Grinneleanor Roosevelts","Team Games",6
"901","Da'Rina Ballard","Division 3","Women","Division 3 Women","Occidental WAC","Team Games",6
"902","Clell Hamm","Division 1","Men","Division 1 Men","North Carolina Darkside","Team Games",6
"903","Claire Weng","Division 1","Women","Division 1 Women","British Columbia Thunderbirds","Team Games",6
"904","Claire Lindsey","Division 3","Women","Division 3 Women","Colorado College Zenith","Team Games",6
"905","Christopher Brown","Division 3","Men","Division 3 Men","Williams WUFO","Team Games",6
"906","Cameron Meier","Division 3","Men","Division 3 Men","Davenport Panthers","Team Games",6
"907","Avi Skolnick","Division 3","Men","Division 3 Men","Rochester Piggies","Team Games",6
"908","Ashley Chen","Division 3","Women","Division 3 Women","Wellesley Whiptails","Team Games",6
"909","Arjun Deshmukh","Division 1","Men","Division 1 Men","North Carolina Darkside","Team Games",6
"910","Anna Luo","Division 1","Women","Division 1 Women","British Columbia Thunderbirds","Team Games",6
"911","Anna Davidson","Division 3","Women","Division 3 Women","Union Jillz","Team Games",6
"912","Alexander Kim","Division 3","Men","Division 3 Men","Williams WUFO","Team Games",6
"913","Aaron Wei","Division 1","Men","Division 1 Men","North Carolina Darkside","Team Games",6
"914","Zach Riley","Division 1","Men","Division 1 Men","Cal Poly-SLO Slocore","Team Games",7
"915","Will Barnouw","Division 1","Men","Division 1 Men","Colorado Mambird","Team Games",7
"916","Tsz Yan Yip","Division 1","Women","Division 1 Women","Stanford Superfly","Team Games",7
"917","Selena Kleber","Division 1","Women","Division 1 Women","North Carolina Pleiades","Team Games",7
"918","Ryan Allenson","Division 1","Men","Division 1 Men","Colorado Mambird","Team Games",7
"919","Owen Gresko","Division 1","Men","Division 1 Men","Cal Poly-SLO Slocore","Team Games",7
