POS,COUNTRY,ATHLETE,TIME,DISTANCE,GENDER
3,ESP,Diego GARCÍA CARRERA,1:19:51,20000,0
4,JPN,Yuta KOGA,1:19:54,20000,0
5,GER,Christopher LINKE,1:19:57 SB,20000,0
6,ECU,Jordy Rafael JIMÉNEZ ARROBO,1:20:04 PB,20000,0
7,ITA,Riccardo ORSONI,1:20:11 PB,20000,0
8,ESP,Álvaro LÓPEZ,1:20:20 PB,20000,0
9,JPN,Satoshi MARUO,1:20:23,20000,0
10,ETH,Misgana Wakuma FEKANSA,1:20:51 NR,20000,0
11,CHN,Yongjie WEN,1:20:58,20000,0
12,ITA,Gianluca PICCHIOTTINO,1:21:06 PB,20000,0
13,JPN,Tomohiro NODA,1:21:16,20000,0
14,ITA,Michele ANTONELLI,1:21:18 PB,20000,0
15,MEX,Andres Eduardo OLIVAS NÚÑEZ,1:21:31 SB,20000,0
16,MEX,José Luis DOCTOR,1:21:32,20000,0
17,FIN,Veli-Matti PARTANEN,1:21:32 SB,20000,0
18,JPN,Kento YOSHIKAWA,1:21:35,20000,0
19,POL,Artur BRZOZOWSKI,1:21:38 SB,20000,0
20,IND,Servin SEBASTIAN,1:21:39,20000,0
21,CHN,Ning LU,1:21:43,20000,0
22,TUR,Mazlum DEMIR,1:21:46 PB,20000,0
23,IND,Vikash SINGH,1:21:59 SB,20000,0
24,RSA,Wayne SNYMAN,1:22:00 SB,20000,0
25,PER,César Augusto RODRÍGUEZ,1:22:01,20000,0
26,MEX,Noel CHAMA,1:22:04 SB,20000,0
27,CHN,Lihong CUI,1:22:05,20000,0
28,ESP,Iván LÓPEZ,1:22:18,20000,0
29,ESP,Marc TUR,1:22:27,20000,0
30,BRA,Matheus CORREA,1:22:41 SB,20000,0
31,GER,Karl JUNGHANNSS,1:22:45 SB,20000,0
32,ITA,Andrea AGRUSTI,1:22:52 SB,20000,0
33,ITA,Emiliano BRIGANTE,1:22:59 PB,20000,0
34,UKR,Mukola RUSHCHAK,1:23:17 PB,20000,0
35,CHN,Xiangfei ZHAO,1:23:30,20000,0
36,FIN,Aleksi OJALA,1:23:33,20000,0
37,FRA,Dimitri DURAND,1:23:35 PB,20000,0
38,MEX,Isaac PALMA,1:23:41,20000,0
39,UKR,Maryan ZAKALNYTSKYY,1:23:47,20000,0
40,IND,Suraj PANWAR,1:24:09,20000,0
41,AUS,Will THOMPSON,1:24:09,20000,0
42,CZE,Adam ZAJÍČEK,1:24:10 PB,20000,0
43,PER,Luis Henry CAMPOS,1:24:15 SB,20000,0
44,FRA,Martin MADELINE-DEGY,1:24:50 PB,20000,0
45,GBR,Cameron CORBISHLEY,1:25:05,20000,0
46,ALG,Ismail BENHAMMOUDA,1:25:16,20000,0
47,AUS,Mitchell BAKER,1:25:19 SB,20000,0
48,FIN,Jerry JOKINEN,1:25:44 SB,20000,0
49,SVK,Michal MORVAY,1:25:47,20000,0
50,UKR,Viktor SHUMIK,1:25:49 SB,20000,0
51,AUS,Tim FRASER,1:25:59,20000,0
52,JPN,Ryo HAMANISHI,1:26:04,20000,0
53,TUR,Ozan BAYRAM,1:26:49 PB,20000,0
54,LAT,Arnis RUMBENIEKS,1:27:05,20000,0
55,IRL,Joe MOONEY,1:27:09,20000,0
56,TPE,Chia-Wei HSU,1:27:13 SB,20000,0
57,CHN,Zhaozhao WANG,1:27:14,20000,0
58,NCA,Gabriel ALVARADO,1:27:29 NR,20000,0
59,FIN,Joni HAVA,1:28:00,20000,0
60,ALG,Abdennour AMEUR,1:28:18 PB,20000,0
61,CZE,Jaromír MORÁVEK,1:28:32,20000,0
62,UKR,Yehor SHELEST,1:28:34,20000,0
63,ALG,Aymen BENSAHA,1:29:15,20000,0
64,AUS,Carl GIBBONS,1:30:39,20000,0
65,TUR,Harun BILIR,1:32:37,20000,0
66,IND,Arshpreet SINGH,1:33:39,20000,0
67,RSA,Antonio FARMER,1:34:27,20000,0
68,USA,John Cody RISCH,1:34:56 SB,20000,0
69,USA,Juan MONTANEZ,1:35:30 PB,20000,0
70,BRA,Paulo Henrique RIBEIRO,1:37:59 SB,20000,0
71,RSA,Tumisang PULE,1:38:12,20000,0
72,ALG,Mohamed Fetah MEDDOUR,1:40:24,20000,0
73,KAZ,Darkhаn ASSETKHANULY,1:40:37,20000,0
74,USA,Joel PFAHLER,1:41:03 SB,20000,0
75,JOR,Abood Khaled JOUDAH,1:43:43 PB,20000,0
76,NZL,Alex BROWN,1:54:38 SB,20000,0
