"date","home_team","away_team","home_score","away_score","competition","stadium","city","country","neutral","world_cup","winner","year"
"1904-02-29","Ireland","Scotland",3,19,"1904 Home Nations Championship","Lansdowne Road","Dublin","Ireland",FALSE,FALSE,"Scotland",1904
"1904-03-14","Ireland","Wales",14,12,"1904 Home Nations Championship","Balmoral Showgrounds","Balmoral","Ireland",FALSE,FALSE,"Ireland",1904
"1904-03-21","Scotland","England",6,3,"1904 Home Nations Championship","Inverleith","Edinburgh","Scotland",FALSE,FALSE,"Scotland",1904
"1905-01-16","Wales","England",25,0,"1905 Home Nations Championship","Cardiff Arms Park","Cardiff","Wales",FALSE,FALSE,"Wales",1905
"1905-02-06","Scotland","Wales",3,6,"1905 Home Nations Championship","Inverleith","Edinburgh","Scotland",FALSE,FALSE,"Wales",1905
"1905-02-13","Ireland","England",17,3,"1905 Home Nations Championship","Mardyke","Cork","Ireland",FALSE,FALSE,"Ireland",1905
"1905-02-27","Scotland","Ireland",5,11,"1905 Home Nations Championship","Inverleith","Edinburgh","Scotland",FALSE,FALSE,"Ireland",1905
"1905-03-13","Wales","Ireland",10,3,"1905 Home Nations Championship","St Helen's","Swansea","Wales",FALSE,FALSE,"Wales",1905
"1905-03-20","England","Scotland",0,8,"1905 Home Nations Championship","Athletic Ground","Richmond","England",FALSE,FALSE,"Scotland",1905
"1905-09-04","New Zealand","Australia",14,3,"1905 Australia tour of New Zealand","Tahuna Park","Dunedin","New Zealand",FALSE,FALSE,"New Zealand",1905
"1905-11-20","Scotland","New Zealand",7,12,"1905-06 New Zealand tour","Inverleith","Edinburgh","Scotland",FALSE,FALSE,"New Zealand",1905
"1905-11-27","Ireland","New Zealand",0,15,"The Original All Blacks","Lansdowne Road","Dublin","Ireland",FALSE,FALSE,"New Zealand",1905
"1905-12-04","England","New Zealand",0,15,"The Original All Blacks tour","Crystal Palace","London","England",FALSE,FALSE,"New Zealand",1905
"1905-12-18","Wales","New Zealand",3,0,"The Original All Blacks tour","Cardiff Arms Park","Cardiff","Wales",FALSE,FALSE,"Wales",1905
"1906-01-03","France","New Zealand",8,38,"The Original All Blacks","Parc des Princes","Paris","France",FALSE,FALSE,"New Zealand",1906
"1906-01-15","England","Wales",3,16,"1906 Home Nations Championship","Athletic Ground","Richmond","England",FALSE,FALSE,"Wales",1906
"1906-02-05","Wales","Scotland",9,3,"1906 Home Nations Championship","National Stadium","Cardiff","Wales",FALSE,FALSE,"Wales",1906
"1906-02-12","England","Ireland",6,16,"1906 Home Nations Championship","Welford Road","Leicester","England",FALSE,FALSE,"Ireland",1906
"1906-02-26","Ireland","Scotland",6,13,"1906 Home Nations Championship","Lansdowne Road","Dublin","Ireland",FALSE,FALSE,"Scotland",1906
"1906-03-12","Ireland","Wales",11,6,"1906 Home Nations Championship","Balmoral Showgrounds","Balmoral","Ireland",FALSE,FALSE,"Ireland",1906
"1906-03-19","Scotland","England",3,9,"1906 Home Nations Championship","Inverleith","Edinburgh","Scotland",FALSE,FALSE,"England",1906
"1906-03-24","France","England",8,35,NA,"Parc des Princes","Paris","France",FALSE,FALSE,"England",1906
"1906-11-19","Scotland","South Africa",6,0,"1906-07 South Africa rugby union tour of Europe","Hampden Park","Glasgow","Scotland",FALSE,FALSE,"Scotland",1906
"1906-11-26","Ireland","South Africa",12,15,"1906-07 South Africa rugby union tour of Europe","Balmoral Showgrounds","Belfast","Ireland",FALSE,FALSE,"South Africa",1906
"1906-12-03","Wales","South Africa",0,11,"1906-07 South Africa tour of Europe","St. Helen's","Swansea","Wales",FALSE,FALSE,"South Africa",1906
"1906-12-10","England","South Africa",3,3,"1906-07 South Africa rugby union tour of Europe","Crystal Palace","London","England",FALSE,FALSE,"Tie",1906
"1907-01-07","England","France",41,13,NA,"Athletic Ground","Richmond","England",FALSE,FALSE,"England",1907
"1907-01-14","Wales","England",22,0,"1907 Home Nations Championship","St Helen's","Swansea","Wales",FALSE,FALSE,"Wales",1907
"1907-02-04","Scotland","Wales",6,3,"1907 Home Nations Championship","Inverleith","Edinburgh","Scotland",FALSE,FALSE,"Scotland",1907
"1907-02-11","Ireland","England",17,9,"1907 Home Nations Championship","Lansdowne Road","Dublin","Ireland",FALSE,FALSE,"Ireland",1907
"1907-02-25","Scotland","Ireland",15,3,"1907 Home Nations Championship","Inverleith","Edinburgh","Scotland",FALSE,FALSE,"Scotland",1907
"1907-03-11","Wales","Ireland",29,0,"1907 Home Nations Championship","National Stadium","Cardiff","Wales",FALSE,FALSE,"Wales",1907
"1907-03-18","England","Scotland",3,8,"1907 Home Nations Championship","Rectory Field","Blackheath","England",FALSE,FALSE,"Scotland",1907
"1907-07-22","Australia","New Zealand",6,26,"1907 New Zealand tour of Australia","Sydney Cricket Ground","Sydney","Australia",FALSE,FALSE,"New Zealand",1907
"1907-08-05","Australia","New Zealand",5,14,"1907 New Zealand tour of Australia","Brisbane Cricket Ground","Brisbane","Australia",FALSE,FALSE,"New Zealand",1907
"1907-08-12","Australia","New Zealand",5,5,"1907 New Zealand tour of Australia","Sydney Cricket Ground","Sydney","Australia",FALSE,FALSE,"Tie",1907
"1908-01-03","France","England",0,19,NA,"Stade Yves-du-Manoir","Colombes","France",FALSE,FALSE,"England",1908
"1908-01-20","England","Wales",18,28,"1908 Home Nations Championship","Ashton Gate","Bristol","England",FALSE,FALSE,"Wales",1908
"1908-02-03","Wales","Scotland",6,5,"1908 Home Nations Championship","St Helen's","Swansea","Wales",FALSE,FALSE,"Wales",1908
"1908-02-10","England","Ireland",13,3,"1908 Home Nations Championship","Athletic Ground","Richmond","England",FALSE,FALSE,"England",1908
"1908-03-02","Ireland","Scotland",16,11,"1908 Home Nations Championship","Lansdowne Road","Dublin","Ireland",FALSE,FALSE,"Ireland",1908
"1908-03-04","Wales","France",36,4,"1908 Home Nations Championship","National Stadium","Cardiff","Wales",FALSE,FALSE,"Wales",1908
"1908-03-16","Ireland","Wales",5,11,"1908 Home Nations Championship","Balmoral Showgrounds","Balmoral","Ireland",FALSE,FALSE,"Wales",1908
"1908-03-23","Scotland","England",16,10,"1908 Home Nations Championship","Inverleith","Edinburgh","Scotland",FALSE,FALSE,"Scotland",1908
"1908-12-14","Wales","Australia",9,6,"1908-09 Australia tour of Great Britain","National Stadium","Cardiff","Wales",FALSE,FALSE,"Wales",1908
"1909-01-11","England","Australia",3,9,"1908-09 Australia tour of Great Britain","Rectory Field","Blackheath","England",FALSE,FALSE,"Australia",1909
"1909-01-18","Wales","England",8,0,"1909 Home Nations Championship","Cardiff Arms Park","Cardiff","Wales",FALSE,FALSE,"Wales",1909
"1909-02-01","England","France",22,0,NA,"Welford Road","Leicester","England",FALSE,FALSE,"England",1909
"1909-02-08","Scotland","Wales",3,5,"1909 Home Nations Championship","Inverleith","Edinburgh","Scotland",FALSE,FALSE,"Wales",1909
"1909-02-15","Ireland","England",5,11,"1909 Home Nations Championship","Lansdowne Road","Dublin","Ireland",FALSE,FALSE,"England",1909
"1909-02-25","France","Wales",5,47,"1909 Home Nations Championship","Stade Colombes","Paris","France",FALSE,FALSE,"Wales",1909
"1909-03-01","Scotland","Ireland",9,3,"1909 Home Nations Championship","Inverleith","Edinburgh","Scotland",FALSE,FALSE,"Scotland",1909
"1909-03-15","Wales","Ireland",18,5,"1909 Home Nations Championship","St Helen's","Swansea","Wales",FALSE,FALSE,"Wales",1909
"1909-03-22","Ireland","France",19,8,"Test Match","Lansdowne Road","Dublin","Ireland",FALSE,FALSE,"Ireland",1909
"1909-03-22","England","Scotland",8,18,"1909 Home Nations Championship","Athletic Ground","Richmond","England",FALSE,FALSE,"Scotland",1909
"1910-01-03","Wales","France",49,14,"1910 Five Nations Championship","St Helen's","Swansea","Wales",FALSE,FALSE,"Wales",1910
"1910-01-17","England","Wales",11,6,"1910 Five Nations Championship","Twickenham","London","England",FALSE,FALSE,"England",1910
"1910-01-24","Scotland","France",27,0,"1910 Five Nations Championship","Inverleith","Edinburgh","Scotland",FALSE,FALSE,"Scotland",1910
