"","Date","Player1","Player2","Sets_P1","Sets_P2","P1_G1","P2_G1","P1_G2","P2_G2","P1_G3","P2_G3","P1_G4","P2_G4","P1_G5","P2_G5","HomeWinner"
"61",2022-06-10 09:50:00,"Romanenko I.","Lipkan D.",3,1,11,5,11,5,4,11,11,8,NA,NA,1
"62",2022-06-10 09:50:00,"Vons V.","Fylypiv R.",3,2,11,2,11,8,9,11,6,11,12,10,1
"63",2022-06-10 09:55:00,"Torba R.","Rak S.",3,1,11,4,11,6,12,14,11,9,NA,NA,1
"64",2022-06-10 09:55:00,"Zemiantsev S.","Baranovskiy S.",1,3,7,11,11,9,5,11,15,17,NA,NA,0
"65",2022-06-10 10:00:00,"Baday M.","Zaitsev O.",3,1,11,6,8,11,11,3,11,8,NA,NA,1
"66",2022-06-10 10:00:00,"Kunchurov D.","Yurenev O.",3,0,12,10,11,7,11,3,NA,NA,NA,NA,1
"67",2022-06-10 10:05:00,"Nadporozhskyi O.","Mishchenko V.",1,3,5,11,12,10,7,11,10,12,NA,NA,0
"68",2022-06-10 10:15:00,"Hrstka T.","Herink J.",1,3,6,11,2,11,14,12,6,11,NA,NA,0
"69",2022-06-10 10:20:00,"Lutskyi V.","Slozka M.",3,2,11,6,5,11,13,11,6,11,11,4,1
"70",2022-06-10 10:20:00,"Shkepu S.","Semipeadnii V.",3,0,11,2,11,4,13,11,NA,NA,NA,NA,1
"71",2022-06-10 10:20:00,"Turek T.","Papirnik O.",1,3,8,11,11,7,8,11,9,11,NA,NA,0
"72",2022-06-10 10:25:00,"Hordiichuk O.","Nakliutskyi A.",3,0,11,9,11,6,11,7,NA,NA,NA,NA,1
"73",2022-06-10 10:25:00,"Masko Y.","Horbanenko O.",3,2,11,8,8,11,6,11,11,5,11,9,1
"74",2022-06-10 10:30:00,"Fedoryshyn I.","Sedin V.",3,0,11,3,11,8,11,7,NA,NA,NA,NA,1
"75",2022-06-10 10:30:00,"Yakubov M.","Tsoi K.",3,2,18,16,11,13,7,11,11,3,11,6,1
"76",2022-06-10 10:35:00,"Kolbasenko O.","Sklyarenko A.",1,3,13,11,9,11,8,11,7,11,NA,NA,0
"77",2022-06-10 10:45:00,"Lukes T.","Brozek M.",3,1,5,11,11,3,11,5,11,4,NA,NA,1
"78",2022-06-10 10:50:00,"Fylypiv R.","Daragan S.",3,0,11,7,11,6,12,10,NA,NA,NA,NA,1
"79",2022-06-10 10:50:00,"Mul S.","Dubrovin V.",3,2,11,13,11,7,7,11,11,5,12,10,1
"80",2022-06-10 10:50:00,"Zachar M.","Marko J.",0,3,7,11,6,11,6,11,NA,NA,NA,NA,0
"81",2022-06-10 10:55:00,"Baranovskiy S.","Cherevko R.",3,1,11,6,12,10,8,11,11,8,NA,NA,1
"82",2022-06-10 10:55:00,"Rak S.","Nikolenko S.",3,1,11,5,9,11,11,6,11,7,NA,NA,1
"83",2022-06-10 11:00:00,"Stukalov V.","Kunchurov D.",2,3,11,8,11,13,11,9,8,11,8,11,0
"84",2022-06-10 11:00:00,"Zaitsev O.","Tupyk M.",2,3,7,11,11,3,7,11,11,6,8,11,0
"85",2022-06-10 11:05:00,"Skripnik S.","Nadporozhskyi O.",3,2,11,6,11,13,11,5,8,11,11,7,1
"86",2022-06-10 11:15:00,"Hrstka T.","Lukes T.",3,2,3,11,10,12,11,6,11,6,12,10,1
"87",2022-06-10 11:20:00,"Mikus D.","Cechvala R.",0,3,21,23,4,11,7,11,NA,NA,NA,NA,0
"88",2022-06-10 11:20:00,"Romanenko I.","Shkepu S.",3,1,11,9,9,11,11,6,11,9,NA,NA,1
"89",2022-06-10 11:20:00,"Vons V.","Maltsev D.",2,3,11,8,3,11,5,11,11,6,6,11,0
"90",2022-06-10 11:25:00,"Melnik V.","Zemiantsev S.",1,3,5,11,11,6,8,11,7,11,NA,NA,0
"91",2022-06-10 11:25:00,"Torba R.","Kuzmych V.",3,2,11,9,11,4,11,13,6,11,11,3,1
"92",2022-06-10 11:30:00,"Fedoryshyn I.","Baday M.",0,3,17,19,8,11,8,11,NA,NA,NA,NA,0
"93",2022-06-10 11:35:00,"Sklyarenko A.","Mrykh M.",3,2,8,11,13,11,11,3,5,11,11,6,1
"94",2022-06-10 11:40:00,"Tsoi K.","Ponomarenko O.",2,3,11,7,7,11,11,9,7,11,7,11,0
"95",2022-06-10 11:45:00,"Herink J.","Brozek M.",3,1,6,11,11,5,11,9,11,4,NA,NA,1
"96",2022-06-10 11:50:00,"Dubrovin V.","Lipkan D.",3,1,11,9,10,12,11,3,12,10,NA,NA,1
"97",2022-06-10 11:50:00,"Lutskyi V.","Fylypiv R.",1,3,9,11,11,13,11,5,9,11,NA,NA,0
"98",2022-06-10 11:50:00,"Turek T.","Zachar M.",3,1,4,11,11,8,11,6,11,8,NA,NA,1
"99",2022-06-10 11:55:00,"Hordiichuk O.","Rak S.",1,3,7,11,7,11,11,5,8,11,NA,NA,0
"100",2022-06-10 11:55:00,"Masko Y.","Baranovskiy S.",3,1,11,3,4,11,11,7,11,8,NA,NA,1
"101",2022-06-10 12:00:00,"Sedin V.","Fedoryshyn I.",3,0,11,9,11,8,11,6,NA,NA,NA,NA,1
"102",2022-06-10 12:00:00,"Yakubov M.","Yurenev O.",1,3,10,12,5,11,16,14,7,11,NA,NA,0
"103",2022-06-10 12:05:00,"Kolbasenko O.","Mishchenko V.",3,1,11,7,5,11,12,10,11,8,NA,NA,1
"104",2022-06-10 12:20:00,"Brozek M.","Hrstka T.",3,0,11,8,11,6,11,9,NA,NA,NA,NA,1
"105",2022-06-10 12:20:00,"Cechvala R.","Papirnik O.",3,2,11,8,9,11,8,11,11,4,11,7,1
"106",2022-06-10 12:20:00,"Mul S.","Semipeadnii V.",3,0,11,3,14,12,11,6,NA,NA,NA,NA,1
"107",2022-06-10 12:20:00,"Vons V.","Slozka M.",3,2,11,9,5,11,6,11,11,8,11,5,1
"108",2022-06-10 12:25:00,"Torba R.","Nakliutskyi A.",3,2,11,5,11,9,10,12,11,13,11,7,1
"109",2022-06-10 12:25:00,"Zemiantsev S.","Horbanenko O.",3,1,6,11,11,7,11,5,11,9,NA,NA,1
"110",2022-06-10 12:30:00,"Stukalov V.","Tsoi K.",3,2,11,6,7,11,4,11,11,9,11,9,1
"111",2022-06-10 12:30:00,"Zaitsev O.","Baday M.",0,3,7,11,10,12,7,11,NA,NA,NA,NA,0
"112",2022-06-10 12:35:00,"Skripnik S.","Sklyarenko A.",0,3,9,11,5,11,7,11,NA,NA,NA,NA,0
"113",2022-06-10 12:50:00,"Daragan S.","Maltsev D.",0,3,4,11,8,11,7,11,NA,NA,NA,NA,0
"114",2022-06-10 12:50:00,"Herink J.","Lukes T.",3,2,6,11,12,10,11,9,5,11,11,5,1
"115",2022-06-10 12:50:00,"Mikus D.","Marko J.",1,3,11,13,8,11,11,8,8,11,NA,NA,0
"116",2022-06-10 12:50:00,"Romanenko I.","Dubrovin V.",0,3,8,11,8,11,10,12,NA,NA,NA,NA,0
"117",2022-06-10 12:55:00,"Melnik V.","Cherevko R.",3,0,11,6,11,8,11,6,NA,NA,NA,NA,1
"118",2022-06-10 12:55:00,"Nikolenko S.","Kuzmych V.",3,2,11,6,10,12,12,14,11,5,12,10,1
"119",2022-06-10 13:00:00,"Yakubov M.","Kunchurov D.",2,3,11,9,12,10,2,11,3,11,3,11,0
"120",2022-06-10 13:00:00,"Zaporozhets R.","Hubenko M.",3,2,5,11,11,9,11,8,9,11,11,3,1
"121",2022-06-10 13:05:00,"Barsa T.","Luder J.",3,1,11,7,11,3,6,11,11,6,NA,NA,1
"122",2022-06-10 13:05:00,"Kolbasenko O.","Nadporozhskyi O.",1,3,9,11,9,11,12,10,8,11,NA,NA,0
"123",2022-06-10 13:05:00,"Zholubak R.","Yurchenko K.",2,3,11,8,11,9,10,12,9,11,6,11,0
