Player,Team,Date,Position,Games Missed,Reported Injury Type,Downs Played After Concussion,Average Playtime Before Injury,Offense,Skilled
Laurent Robinson,Jacksonville Jaguars,23/09/2012,Wide Receiver,0,Concussion,26,56,Offense,Skilled
Omar Bolden,Denver Broncos,18/11/2012,Comerback,0,Concussion,12,22.67,Defense,Non-Skilled
Isaac Redman,Pittsburgh Steelers,18/11/2012,Running Back,0,Concussion,5,28.86,Offense,Skilled
Domenik Hixon,New York Giants,16/09/2012,Wide Receiver,1,Concussion,62,29,Offense,Skilled
Eddie Lacy,Green Bay Packers,15/09/2013,Running Back,1,Concussion,54,41,Offense,Skilled
LaRon Byrd,Arizona Cardinals,25/11/2012,Wide Receiver,2,Head,20,1,Offense,Skilled
Bernard Pierce,Baltimore Ravens,16/12/2012,Running Back,0,Head,22,12.69,Offense,Skilled
Dunta Robinson,Atlanta Falcons,30/12/2012,Comerback,0,Head,63,62,Defense,Non-Skilled
Raymond Ventrone,San Francisco 49ers,22/09/2013,Safety,0,Concussion,25,20,Defense,Non-Skilled
Jermichael Finley,Green Bay Packers,22/09/2013,Tight End,0,Concussion,45,51,Offense,Skilled
Nolan Carroll,Miami Dolphins,31/10/2013,Comerback,0,Concussion,73,58.86,Defense,Non-Skilled
Ellis Lankster,New York Jets,23/12/2012,Comerback,1,Concussion,0,41.14,Defense,Non-Skilled
Billy Winn,Cleveland Browns,16/09/2012,Defensive Tackle,0,Head,56,69,Defense,Non-Skilled
Kyle Arrington,New England Patriots,28/10/2012,Comerback,0,Concussion,86,74.29,Defense,Non-Skilled
Ernie Sims,Dallas Cowboys,16/12/2012,Linebacker,0,Concussion,20,54.43,Defense,Non-Skilled
Justin Bethel,Arizona Cardinals,17/11/2013,Comerback,0,Concussion,17,21.22,Defense,Non-Skilled
Antoine Caldwell,Houston Texans,14/10/2012,Guard,0,Concussion,48,48,Offense,Non-Skilled
Craig Stevens,Tennessee Titans,24/11/2013,Tight End,1,Concussion,15,43.9,Offense,Skilled
Dre Kirkpatrick,Cincinnati Bengals,2/12/2012,Comerback,4,Head,0,21.5,Defense,Non-Skilled
Adrian Robinson,Pittsburgh Steelers,21/10/2012,Linebacker,0,Concussion,7,3,Defense,Non-Skilled
Rashean Mathis,Detroit Lions,29/09/2013,Comerback,0,Head,68,49.67,Defense,Non-Skilled
Nick Kasa,Oakland Raiders,8/12/2013,Tight End,0,Concussion,11,7.42,Offense,Skilled
Terron Armstead,New Orleans Saints,28/09/2014,Offensive Tackle,0,Concussion,89,76.33,Offense,Non-Skilled
Christopher Conte,Chicago Bears,5/10/2014,Safety,0,Concussion,26,42,Defense,Non-Skilled
Michael Hoomanawanui,New England Patriots,30/09/2012,Tight End,2,Concussion,20,17.67,Offense,Skilled
Phillip Adams,Oakland Raiders,16/12/2012,Comerback,0,Concussion,25,23.77,Defense,Non-Skilled
Gino Gradkowski,Baltimore Ravens,12/01/2013,Guard,0,Head,5,11.71,Offense,Non-Skilled
Devin Hester,Chicago Bears,25/11/2012,Wide Receiver,1,Concussion,61,36.7,Offense,Skilled
Kevin Rutland,Jacksonville Jaguars,23/09/2012,Comerback,2,Concussion,6,19.5,Defense,Non-Skilled
Joshua Cribbs,Cleveland Browns,27/09/2012,Wide Receiver,0,Head,27,23.67,Offense,Skilled
Nate Eachus,Kansas City Chiefs,28/10/2012,Running Back,1,Head,32,28.5,Offense,Skilled
Delanie Walker,Tennessee Titans,1/12/2013,Tight End,1,Concussion,77,54.55,Offense,Skilled
Brady Quinn,Kansas City Chiefs,28/10/2012,Quarterback,2,Head,30,39,Offense,Skilled
Joe Reitz,Indianapolis Colts,15/12/2013,Guard,3,Concussion,0,15.17,Offense,Non-Skilled
Mike Tolbert,Carolina Panthers,4/11/2012,Full Back,0,Head,22,33,Offense,Skilled
Peyton Hillis,New York Giants,15/12/2013,Running Back,1,Concussion,41,25.25,Offense,Skilled
Bilal Powell,New York Jets,11/11/2012,Running Back,0,Concussion,28,31,Offense,Skilled
Anthony Allen,Baltimore Ravens,12/01/2013,Running Back,0,Head,16,24.35,Offense,Skilled
Kyle Wilson,New York Jets,13/10/2013,Comerback,0,Concussion,70,54,Defense,Non-Skilled
Omar Bolden,Denver Broncos,24/11/2013,Safety,0,Concussion,25,22.2,Defense,Non-Skilled
Chris Prosinski,Jacksonville Jaguars,5/12/2013,Safety,0,Concussion,82,0,Defense,Non-Skilled
Joseph Randle,Dallas Cowboys,14/09/2014,Running Back,0,Concussion,9,3,Offense,Skilled
John Sullivan,Minnesota Vikings,19/10/2014,Center,0,Concussion,74,62.57,Offense,Non-Skilled
Montell Owens,Jacksonville Jaguars,23/09/2012,Running Back,0,Concussion,18,32.5,Offense,Skilled
William Powell,Arizona Cardinals,4/10/2012,Running Back,0,Head,35,40,Offense,Skilled
Phillip Adams,Oakland Raiders,2/12/2012,Comerback,0,Concussion,61,21.27,Defense,Non-Skilled
Mychal Rivera,Oakland Raiders,24/11/2013,Tight End,0,Concussion,42,51.5,Offense,Skilled
Brodrick Bunkley,New Orleans Saints,19/10/2014,Defensive Tackle,0,Concussion,24,27.5,Defense,Non-Skilled
Lamin Barrow,Denver Broncos,23/10/2014,Linebacker,0,Concussion,30,28.5,Defense,Non-Skilled
James Harrison,Cincinnati Bengals,15/12/2013,Linebacker,1,Concussion,27,30.77,Defense,Non-Skilled
Martin Tevaseu,Indianapolis Colts,25/11/2012,Defensive Tackle,0,Head,24,14,Defense,Non-Skilled
Ramon Foster,Pittsburgh Steelers,27/10/2013,Guard,0,Concussion,80,58,Offense,Non-Skilled
David Amerson,Washington Redskins,12/10/2014,Comerback,0,Concussion,59,73.4,Defense,Non-Skilled
Christopher Owens,Atlanta Falcons,17/09/2012,Comerback,2,Head,21,32,Defense,Non-Skilled
Justin Hunter,Tennessee Titans,14/11/2013,Wide Receiver,0,Concussion,39,17.130000000000003,Offense,Skilled
Daren Bates,St. Louis Rams,24/11/2013,Linebacker,1,Concussion,17,19.6,Defense,Non-Skilled
Jeron Johnson,Seattle Seahawks,26/10/2014,Safety,1,Concussion,75,23.67,Defense,Non-Skilled
Will Rackley,Jacksonville Jaguars,27/10/2013,Guard,2,Concussion,72,62.86,Offense,Non-Skilled
Bryan Walters,Seattle Seahawks,19/10/2014,Wide Receiver,2,Concussion,10,16.67,Offense,Skilled
Rashad Jennings,Jacksonville Jaguars,2/12/2012,Running Back,4,Concussion,0,38.33,Offense,Skilled
Keith Brooking,Denver Broncos,7/10/2012,Linebacker,0,Concussion,37,33.5,Defense,Non-Skilled
Jeff Allen,Kansas City Chiefs,1/11/2012,Guard,0,Head,68,50.71,Offense,Non-Skilled
Matt Giordano,Oakland Raiders,2/12/2012,Safety,0,Concussion,87,61.36,Defense,Non-Skilled
Vernon Davis,San Francisco 49ers,23/12/2012,Tight End,0,Concussion,60,60.07,Offense,Skilled
Chris Ogbonnaya,Cleveland Browns,3/10/2013,Running Back,0,Concussion,55,52.75,Offense,Skilled
Andre Fluellen,Detroit Lions,20/10/2013,Defensive Tackle,0,Concussion,19,16.330000000000002,Defense,Non-Skilled
Nate Irving,Denver Broncos,23/09/2012,Linebacker,1,Concussion,24,21.5,Defense,Non-Skilled
Garrett Graham,Houston Texans,2/12/2012,Tight End,1,Concussion,46,50.27,Offense,Skilled
Jabari Greer,New Orleans Saints,23/12/2012,Comerback,1,Concussion,0,61.849999999999994,Defense,Non-Skilled
Josh Thomas,Carolina Panthers,15/09/2013,Comerback,1,Concussion,65,71,Defense,Non-Skilled
Dan Connolly,New England Patriots,13/10/2013,Guard,1,Concussion,80,74.8,Offense,Non-Skilled
Kevin Boss,Kansas City Chiefs,16/09/2012,Tight End,14,Head,0,37,Offense,Skilled
Luke Joeckel,Jacksonville Jaguars,26/10/2014,Offensive Tackle,0,Concussion,66,68.14,Offense,Non-Skilled
Usama Young,Cleveland Browns,25/11/2012,Safety,1,Head,28,56.220000000000006,Defense,Non-Skilled
Da'Quan Bowers,Tampa Bay Buccaneers,11/11/2013,Defensive End,1,Concussion,19,18.5,Defense,Non-Skilled
Thomas DeCoud,Atlanta Falcons,8/12/2013,Safety,1,Concussion,66,77.58,Defense,Non-Skilled
Josh Norman,Carolina Panthers,5/10/2014,Comerback,2,Concussion,71,32,Defense,Non-Skilled
Phillip Gaines,Kansas City Chiefs,5/10/2014,Comerback,0,Concussion,49,14.25,Defense,Non-Skilled
Percy Harvin,Seattle Seahawks,11/01/2014,Wide Receiver,1,Concussion,31,21,Offense,Skilled
Marcus Gilbert,Pittsburgh Steelers,20/10/2014,Offensive Tackle,1,Concussion,75,66.71000000000001,Offense,Non-Skilled
Early Doucet,Arizona Cardinals,9/12/2012,Wide Receiver,3,Concussion,0,43.36,Offense,Skilled
Dexter McCluster,Kansas City Chiefs,25/11/2012,Wide Receiver,0,Head,24,40,Offense,Skilled
Craig Steltz,Chicago Bears,17/11/2013,Safety,0,Concussion,16,19.88,Defense,Non-Skilled
LaMar Miller,Miami Dolphins,8/12/2013,Running Back,0,Concussion,38,40.92,Offense,Skilled
Duke Ihenacho,Denver Broncos,29/12/2013,Safety,0,Concussion,45,56.790000000000006,Defense,Non-Skilled
Brandon Flowers,San Diego Chargers,19/10/2014,Comerback,1,Concussion,59,54,Defense,Non-Skilled
Cody Davis,St. Louis Rams,26/10/2014,Safety,1,Concussion,22,21,Defense,Non-Skilled
Earl Bennett,Chicago Bears,2/12/2012,Wide Receiver,2,Concussion,31,40.89,Offense,Skilled
