"","Rnk","GC","hours","minutes","seconds","BIB","Specialty","Rider","Age","Team","UCI","Pnt","Time","year","tot_seconds"
"1116",135,105,3,13,5,68,"GC","VERONA Carlos   Movistar Team",26,"Movistar Team",NA,NA,"1:421:42",2019,11585
"1117",136,37,1,35,45,67,"Climber","SOLER Marc   Movistar Team",25,"Movistar Team",NA,NA,",,1:42",2019,5745
"1118",137,45,1,47,20,148,"Climber","ROCHE Nicolas   Team Sunweb",35,"Team Sunweb",NA,NA,",,1:42",2019,6440
"1119",138,129,3,49,45,203,"TT","CUMMINGS Steve   Team Dimension Data",38,"Team Dimension Data",NA,NA,",,1:42",2019,13785
"1120",139,104,3,12,22,77,"Hills","CORT Magnus   Astana Pro Team",26,"Astana Pro Team",NA,NA,",,1:42",2019,11542
"1121",140,28,1,14,58,136,"Climber","MOLLEMA Bauke   Trek - Segafredo",32,"Trek - Segafredo",NA,NA,",,1:42",2019,4498
"1122",141,146,4,7,32,104,"TT","HEPBURN Michael   Mitchelton-Scott",27,"Mitchelton-Scott",NA,NA,"1:461:46",2019,14852
"1123",142,109,3,18,36,102,"TT","DURBRIDGE Luke   Mitchelton-Scott",28,"Mitchelton-Scott",NA,NA,",,1:46",2019,11916
"1124",143,112,3,22,22,106,"GC","JUUL-JENSEN Christopher   Mitchelton-Scott",30,"Mitchelton-Scott",NA,NA,",,1:46",2019,12142
"1125",144,94,3,1,43,168,"Classic","WELLENS Tim   Lotto Soudal",28,"Lotto Soudal",NA,NA,"1:481:48",2019,10903
"1126",145,97,3,2,42,23,"GC","DEVENYNS Dries   Deceuninck - Quick Step",36,"Deceuninck - Quick Step",NA,NA,"1:521:52",2019,10962
"1127",146,154,4,31,43,196,"Classic","OFFREDO Yoann   Wanty - Gobert Cycling Team",32,"Wanty - Gobert Cycling Team",NA,NA,"1:531:53",2019,16303
"1128",147,35,1,24,35,14,"Climber","KONRAD Patrick   BORA - hansgrohe",27,"BORA - hansgrohe",NA,NA,",,1:53",2019,5075
"1129",148,98,3,3,49,165,"Classic","KEUKELEIRE Jens   Lotto Soudal",30,"Lotto Soudal",NA,NA,"2:182:18",2019,11029
"1130",149,56,2,3,0,35,"Classic","GALLOPIN Tony   AG2R La Mondiale",31,"AG2R La Mondiale",NA,NA,"2:212:21",2019,7380
"1131",150,83,2,46,14,4,"Classic","KWIATKOWSKI Michał   Team INEOS",29,"Team INEOS",NA,NA,"2:302:30",2019,9974
"1132",151,24,1,4,40,82,"GC","BENNETT George   Team Jumbo-Visma",29,"Team Jumbo-Visma",NA,NA,",,2:30",2019,3880
"1133",152,135,3,56,52,96,"TT","SCULLY Tom   EF Education First",29,"EF Education First",NA,NA,",,2:30",2019,14212
"1134",153,68,2,16,43,37,"Classic","NAESEN Oliver   AG2R La Mondiale",28,"AG2R La Mondiale",NA,NA,"0:000:00",2019,8203
"1135",154,93,3,0,37,48,"TT","TRATNIK Jan   Bahrain Merida",29,"Bahrain Merida",NA,NA,"3:003:00",2019,10837
"1136",155,117,3,29,22,187,"TT","WÜRTZ SCHMIDT Mads   Team Katusha Alpecin",25,"Team Katusha Alpecin",NA,NA,"3:333:33",2019,12562
"1137",1,138,5,32,33,43,"Sprint","BENNETT SamDeceuninck - Quick Step",29,"Deceuninck - Quick Step",120,100,"2:53:32",2020,19953
"1138",2,124,5,11,3,105,"Classic","PEDERSEN Mads   Trek - Segafredo",24,"Trek - Segafredo",50,70,",,0:00",2020,18663
"1139",3,84,4,4,15,21,"Sprint","SAGAN Peter   BORA - hansgrohe",30,"BORA - hansgrohe",25,50,",,0:00",2020,14655
"1140",4,132,5,28,28,135,"Classic","KRISTOFF Alexander   UAE Team Emirates",33,"UAE Team Emirates",15,40,",,0:00",2020,19708
"1141",5,135,5,30,1,128,"Sprint","VIVIANI Elia   Cofidis",31,"Cofidis",5,32,",,0:00",2020,19801
"1142",6,20,1,20,31,18,"Classic","VAN AERT Wout   Team Jumbo-Visma",26,"Team Jumbo-Visma",NA,26,",,0:00",2020,4831
"1143",7,144,5,50,25,151,"Sprint","EWAN Caleb   Lotto Soudal",26,"Lotto Soudal",NA,22,",,0:00",2020,21025
"1144",8,115,5,0,14,174,"Classic","HOFSTETTER Hugo   Israel Start-Up Nation",26,"Israel Start-Up Nation",NA,18,",,0:00",2020,18014
"1145",9,122,5,10,32,211,"Sprint","COQUARD Bryan   B&B Hotels - Vital Concept p/b KTM",28,"B&B Hotels - Vital Concept p/b KTM",NA,14,",,0:00",2020,18632
"1146",10,134,5,29,38,198,"Sprint","WALSCHEID Max   NTT Pro Cycling",27,"NTT Pro Cycling",NA,10,",,0:00",2020,19778
"1147",11,93,4,24,42,64,"Classic","COLBRELLI Sonny   Bahrain - McLaren",30,"Bahrain - McLaren",NA,8,",,0:00",2020,15882
"1148",12,101,4,34,19,192,"Sprint","BOASSON HAGEN Edvald   NTT Pro Cycling",33,"NTT Pro Cycling",NA,6,",,0:00",2020,16459
"1149",13,88,4,17,7,167,"Sprint","MEZGEC Luka   Mitchelton-Scott",32,"Mitchelton-Scott",NA,4,",,0:00",2020,15427
"1150",14,141,5,42,13,181,"Sprint","BONIFAZIO Niccolò   Team Total Direct Energie",26,"Team Total Direct Energie",NA,2,",,0:00",2020,20533
"1151",15,133,5,28,45,87,"Classic","RUSSO Clément   Team Arkéa Samsic",25,"Team Arkéa Samsic",NA,1,",,0:00",2020,19725
"1152",16,104,4,39,8,37,"Classic","VENTURINI Clément   AG2R La Mondiale",26,"AG2R La Mondiale",NA,NA,",,0:00",2020,16748
"1153",17,79,3,52,10,117,"Classic","TRENTIN Matteo   CCC Team",31,"CCC Team",NA,NA,",,0:00",2020,13930
"1154",18,140,5,38,16,203,"Sprint","BOL Cees   Team Sunweb",25,"Team Sunweb",NA,NA,",,0:00",2020,20296
"1155",19,71,3,40,52,107,"Classic","STUYVEN Jasper   Trek - Segafredo",28,"Trek - Segafredo",NA,NA,",,0:00",2020,13252
"1156",20,98,4,33,17,178,"Sprint","VAN ASBROECK Tom   Israel Start-Up Nation",30,"Israel Start-Up Nation",NA,NA,",,0:00",2020,16397
"1157",21,137,5,31,37,217,"Hills","REZA Kévin   B&B Hotels - Vital Concept p/b KTM",32,"B&B Hotels - Vital Concept p/b KTM",NA,NA,",,0:00",2020,19897
"1158",22,143,5,46,27,65,"Classic","HALLER Marco   Bahrain - McLaren",29,"Bahrain - McLaren",NA,NA,",,0:00",2020,20787
"1159",23,83,4,0,34,162,"GC","BAUER Jack   Mitchelton-Scott",35,"Mitchelton-Scott",NA,NA,",,0:00",2020,14434
"1160",24,61,3,22,4,35,"Classic","NAESEN Oliver   AG2R La Mondiale",30,"AG2R La Mondiale",NA,NA,",,0:00",2020,12124
