"","Rnk","GC","hours","minutes","seconds","BIB","Specialty","Rider","Age","Team","UCI","Pnt","Time","year","tot_seconds"
"435",101,141,4,10,32,202,"Sprint","BRUN Frederic   Bretagne - Séché Environnement",26,"Bretagne - Séché Environnement",NA,NA,",,0:00",2015,15032
"436",102,66,2,43,34,175,"GC","NAVARRO Daniel   Cofidis, Solutions Crédits",32,"Cofidis, Solutions Crédits",NA,NA,",,0:00",2015,9814
"437",103,72,2,54,31,98,"GC","MACHADO Tiago   Team Katusha",29,"Team Katusha",NA,NA,",,0:00",2015,10471
"438",104,63,2,37,17,69,"Sprint","WYSS Danilo   BMC Racing Team",29,"BMC Racing Team",NA,NA,",,0:00",2015,9437
"439",105,7,0,15,14,141,"Climber","MOLLEMA Bauke   Trek Factory Racing",28,"Trek Factory Racing",NA,NA,",,0:00",2015,914
"440",106,27,1,33,21,147,"TT","JUNGELS Bob   Trek Factory Racing",22,"Trek Factory Racing",NA,NA,",,0:00",2015,5601
"441",107,154,4,32,32,213,"Sprint","FARRAR Tyler   MTN - Qhubeka",31,"MTN - Qhubeka",NA,NA,",,0:00",2015,16352
"442",108,12,0,22,50,66,"GC","SÁNCHEZ Samuel   BMC Racing Team",37,"BMC Racing Team",NA,NA,",,0:00",2015,1370
"443",109,86,3,12,23,212,"TT","CUMMINGS Steve   MTN - Qhubeka",34,"MTN - Qhubeka",NA,NA,",,0:00",2015,11543
"444",110,120,3,53,21,65,"TT","QUINZIATO Manuel   BMC Racing Team",35,"BMC Racing Team",NA,NA,",,0:00",2015,14001
"445",111,131,4,1,12,5,"TT","GRUZDEV Dmitriy   Astana Pro Team",29,"Astana Pro Team",NA,NA,",,0:00",2015,14472
"446",112,37,1,56,57,72,"GC","BAK Lars Ytting   Lotto Soudal",35,"Lotto Soudal",NA,NA,",,0:00",2015,7017
"447",113,49,2,16,15,219,"TT","TEKLEHAIMANOT Daniel   MTN - Qhubeka",26,"MTN - Qhubeka",NA,NA,",,0:00",2015,8175
"448",114,59,2,33,42,184,"TT","CLEMENT Stef   IAM Cycling",32,"IAM Cycling",NA,NA,",,0:00",2015,9222
"449",115,13,0,31,3,218,"Climber","PAUWELS Serge   MTN - Qhubeka",31,"MTN - Qhubeka",NA,NA,",,0:00",2015,1863
"450",116,42,2,8,20,118,"Climber","URÁN Rigoberto   Etixx - Quick Step",28,"Etixx - Quick Step",NA,NA,",,0:00",2015,7700
"451",117,33,1,51,32,127,"GC","SICARD Romain   Team Europcar",27,"Team Europcar",NA,NA,",,0:00",2015,6692
"452",118,87,3,14,14,87,"Hills","PREIDLER Georg   Team Giant - Alpecin",25,"Team Giant - Alpecin",NA,NA,",,0:00",2015,11654
"453",119,114,3,45,18,76,"GC","HANSEN Adam   Lotto Soudal",34,"Lotto Soudal",NA,NA,",,0:00",2015,13518
"454",120,129,3,59,39,79,"Classic","WELLENS Tim   Lotto Soudal",24,"Lotto Soudal",NA,NA,",,0:00",2015,14379
"455",121,153,4,26,47,134,"Sprint","LEEZER Tom   Team LottoNL-Jumbo",29,"Team LottoNL-Jumbo",NA,NA,",,0:00",2015,16007
"456",122,50,2,16,36,108,"Climber","YATES Adam   Orica GreenEDGE",22,"Orica GreenEDGE",NA,NA,",,0:00",2015,8196
"457",123,133,4,2,6,207,"Classic","GÉRARD Arnaud   Bretagne - Séché Environnement",30,"Bretagne - Séché Environnement",NA,NA,",,0:00",2015,14526
"458",124,71,2,53,22,26,"Sprint","LADAGNOUS Matthieu   FDJ",30,"FDJ",NA,NA,",,0:00",2015,10402
"459",125,146,4,16,13,16,"TT","GAUDIN Damien   AG2R La Mondiale",28,"AG2R La Mondiale",NA,NA,",,0:00",2015,15373
"460",126,83,3,8,47,194,"GC","BUCHMANN Emanuel   Bora - Argon 18",22,"Bora - Argon 18",NA,NA,",,0:00",2015,11327
"461",127,159,4,48,8,106,"TT","TUFT Svein   Orica GreenEDGE",38,"Orica GreenEDGE",NA,NA,",,0:00",2015,17288
"462",128,40,2,4,37,164,"Climber","HESJEDAL Ryder   Team Cannondale - Garmin",34,"Team Cannondale - Garmin",NA,NA,",,0:00",2015,7477
"463",129,77,3,3,9,9,"TT","WESTRA Lieuwe   Astana Pro Team",32,"Astana Pro Team",NA,NA,",,0:00",2015,10989
"464",130,124,3,56,49,142,"GC","ARREDONDO Julián David   Trek Factory Racing",26,"Trek Factory Racing",NA,NA,",,0:00",2015,14209
"465",131,61,2,35,10,11,"GC","PERAUD Jean-Christophe   AG2R La Mondiale",38,"AG2R La Mondiale",NA,NA,",,0:00",2015,9310
"466",132,70,2,53,9,33,"GC","KÖNIG Leopold   Team Sky",27,"Team Sky",NA,NA,",,0:00",2015,10389
"467",133,136,4,4,45,37,"Classic","ROWE Luke   Team Sky",25,"Team Sky",NA,NA,",,0:00",2015,14685
"468",134,48,2,16,5,35,"GC","PORTE Richie   Team Sky",30,"Team Sky",NA,NA,",,0:00",2015,8165
"469",135,44,2,12,44,34,"GC","POELS Wout   Team Sky",27,"Team Sky",NA,NA,",,0:00",2015,7964
"470",136,1,0,0,0,31,"GC","FROOME ChrisTeam Sky",30,"Team Sky",NA,NA,",,0:00",2015,0
"471",137,128,3,59,37,38,"Classic","STANNARD Ian   Team Sky",28,"Team Sky",NA,NA,",,0:00",2015,14377
"472",138,35,1,54,8,36,"Climber","ROCHE Nicolas   Team Sky",31,"Team Sky",NA,NA,",,0:00",2015,6848
"473",139,15,0,31,39,39,"GC","THOMAS Geraint   Team Sky",29,"Team Sky",NA,NA,",,0:00",2015,1899
"474",140,92,3,18,43,137,"GC","TEN DAM Laurens   Team LottoNL-Jumbo",34,"Team LottoNL-Jumbo",NA,NA,",,0:00",2015,11923
"475",141,57,2,31,14,52,"GC","ANACONA Winner   Movistar Team",26,"Movistar Team",NA,NA,",,0:00",2015,9074
"476",142,2,0,1,12,51,"GC","QUINTANA NairoMovistar Team",25,"Movistar Team",NA,NA,",,0:00",2015,72
"477",143,107,3,37,28,58,"TT","MALORI Adriano   Movistar Team",27,"Movistar Team",NA,NA,",,0:00",2015,13048
"478",144,65,2,40,6,56,"GC","HERRADA José   Movistar Team",29,"Movistar Team",NA,NA,",,0:00",2015,9606
"479",145,38,1,58,14,86,"Climber","GESCHKE Simon   Team Giant - Alpecin",29,"Team Giant - Alpecin",NA,NA,",,0:00",2015,7094
"480",146,148,4,21,31,144,"TT","DEVOLDER Stijn   Trek Factory Racing",35,"Trek Factory Racing",NA,NA,",,0:00",2015,15691
"481",147,88,3,15,1,209,"Sprint","VACHON Florian   Bretagne - Séché Environnement",30,"Bretagne - Séché Environnement",NA,NA,",,0:00",2015,11701
"482",148,144,4,15,20,107,"GC","WEENING Pieter   Orica GreenEDGE",34,"Orica GreenEDGE",NA,NA,"0:210:21",2015,15320
"483",149,158,4,41,27,179,"Sprint","VANBILSEN Kenneth   Cofidis, Solutions Crédits",25,"Cofidis, Solutions Crédits",NA,NA,"0:000:00",2015,16887
"484",150,41,2,5,3,7,"GC","SCARPONI Michele   Astana Pro Team",35,"Astana Pro Team",NA,NA,",,0:00",2015,7503
"485",151,101,3,27,34,63,"TT","DENNIS Rohan   BMC Racing Team",25,"BMC Racing Team",NA,NA,",,0:00",2015,12454
"486",152,36,1,56,13,46,"TT","ROGERS Michael   Tinkoff - Saxo",35,"Tinkoff - Saxo",NA,NA,",,0:00",2015,6973
"487",153,151,4,25,3,103,"TT","DURBRIDGE Luke   Orica GreenEDGE",24,"Orica GreenEDGE",NA,NA,",,0:00",2015,15903
"488",154,45,2,14,8,129,"Classic","VOECKLER Thomas   Team Europcar",36,"Team Europcar",NA,NA,",,0:00",2015,8048
"489",155,68,2,48,19,17,"GC","RIBLON Christophe   AG2R La Mondiale",34,"AG2R La Mondiale",NA,NA,",,0:00",2015,10099
"490",156,24,1,26,5,53,"TT","CASTROVIEJO Jonathan   Movistar Team",28,"Movistar Team",NA,NA,",,0:00",2015,5165
"491",157,67,2,48,2,73,"TT","DE GENDT Thomas   Lotto Soudal",28,"Lotto Soudal",NA,NA,",,0:00",2015,10082
"492",158,31,1,40,44,71,"Classic","GALLOPIN Tony   Lotto Soudal",27,"Lotto Soudal",NA,NA,",,0:00",2015,6044
"493",159,32,1,41,34,57,"GC","IZAGIRRE Gorka   Movistar Team",27,"Movistar Team",NA,NA,",,0:00",2015,6094
"494",160,118,3,52,17,152,"GC","BONO Matteo   Lampre - Merida",31,"Lampre - Merida",NA,NA,",,0:00",2015,13937
"495",1,133,4,9,7,161,"Sprint","GREIPEL André   Lotto Soudal",34,"Lotto Soudal",120,100,"2:43:08",2016,14947
"496",2,95,3,27,9,32,"Sprint","SAGAN PeterTinkoff",26,"Tinkoff",50,70,",,0:00",2016,12429
"497",3,149,4,24,24,144,"Classic","KRISTOFF Alexander   Team Katusha",29,"Team Katusha",25,50,",,0:00",2016,15864
"498",4,109,3,47,29,103,"Sprint","BOASSON HAGEN Edvald   Team Dimension Data",29,"Team Dimension Data",15,40,",,0:00",2016,13649
"499",5,110,3,47,40,207,"Classic","MATTHEWS Michael   ORICA-BikeExchange",25,"ORICA-BikeExchange",5,32,",,0:00",2016,13660
"500",6,99,3,33,29,67,"Classic","STUYVEN Jasper   Trek - Segafredo",24,"Trek - Segafredo",NA,26,",,0:00",2016,12809
"501",7,134,4,9,40,87,"TT","NAVARDAUSKAS Ramūnas   Cannondale - Drapac Pro Cycling Team",28,"Cannondale - Drapac Pro Cycling Team",NA,22,",,0:00",2016,14980
"502",8,157,4,29,47,196,"Classic","LAPORTE Christophe   Cofidis, Solutions Crédits",23,"Cofidis, Solutions Crédits",NA,18,",,0:00",2016,16187
"503",9,174,5,17,14,135,"Sprint","BENNETT Sam   Bora - Argon 18",25,"Bora - Argon 18",NA,14,",,0:00",2016,19034
"504",10,115,3,56,30,106,"Sprint","JANSE VAN RENSBURG Reinardt   Team Dimension Data",27,"Team Dimension Data",NA,10,",,0:00",2016,14190
"505",11,168,4,39,37,154,"Sprint","CIMOLAI Davide   Lampre - Merida",26,"Lampre - Merida",NA,8,",,0:00",2016,16777
"506",12,170,4,50,14,216,"Sprint","MCLAY Daniel   Fortuneo - Vital Concept",24,"Fortuneo - Vital Concept",NA,6,",,0:00",2016,17414
"507",13,172,4,55,13,77,"Sprint","HOWARD Leigh   IAM Cycling",26,"IAM Cycling",NA,4,",,0:00",2016,17713
"508",14,144,4,22,2,186,"Sprint","RICHEZE Maximiliano   Etixx - Quick Step",33,"Etixx - Quick Step",NA,2,",,0:00",2016,15722
"509",15,63,2,43,51,127,"Sprint","ROUX Anthony   FDJ",29,"FDJ",NA,1,",,0:00",2016,9831
"510",16,148,4,24,24,113,"Sprint","DEGENKOLB John   Team Giant - Alpecin",27,"Team Giant - Alpecin",NA,NA,",,0:00",2016,15864
"511",17,143,4,21,41,117,"Sprint","SINKELDAM Ramon   Team Giant - Alpecin",27,"Team Giant - Alpecin",NA,NA,",,0:00",2016,15701
"512",18,104,3,40,2,57,"Classic","VANMARCKE Sep   Team LottoNL-Jumbo",27,"Team LottoNL-Jumbo",NA,NA,",,0:00",2016,13202
"513",19,77,3,1,22,39,"Classic","VALGREN Michael   Tinkoff",24,"Tinkoff",NA,NA,",,0:00",2016,10882
"514",20,6,0,6,16,12,"Climber","VALVERDE Alejandro   Movistar Team",36,"Movistar Team",NA,NA,",,0:00",2016,376
"515",21,86,3,14,31,24,"TT","GRIVKO Andrey   Astana Pro Team",32,"Astana Pro Team",NA,NA,",,0:00",2016,11671
"516",22,10,0,7,11,36,"GC","KREUZIGER Roman   Tinkoff",30,"Tinkoff",NA,NA,",,0:00",2016,431
"517",23,142,4,18,15,199,"Sprint","SOUPE Geoffrey   Cofidis, Solutions Crédits",28,"Cofidis, Solutions Crédits",NA,NA,",,0:00",2016,15495
"518",24,156,4,29,38,34,"Sprint","GATTO Oscar   Tinkoff",31,"Tinkoff",NA,NA,",,0:00",2016,16178
"519",25,9,0,7,4,184,"Climber","MARTIN Dan   Etixx - Quick Step",29,"Etixx - Quick Step",NA,NA,",,0:00",2016,424
"520",26,165,4,34,45,142,"Sprint","GUARNIERI Jacopo   Team Katusha",28,"Team Katusha",NA,NA,",,0:00",2016,16485
"521",27,78,3,2,10,129,"Classic","VICHOT Arthur   FDJ",27,"FDJ",NA,NA,",,0:00",2016,10930
"522",28,3,0,4,21,11,"GC","QUINTANA Nairo   Movistar Team",26,"Movistar Team",NA,NA,",,0:00",2016,261
"523",29,126,4,5,22,168,"Sprint","ROELANDTS Jürgen   Lotto Soudal",31,"Lotto Soudal",NA,NA,",,0:00",2016,14722
"524",30,18,0,38,57,72,"TT","CLEMENT Stef   IAM Cycling",33,"IAM Cycling",NA,NA,",,0:00",2016,2337
"525",31,2,0,4,5,41,"Climber","BARDET Romain   AG2R La Mondiale",25,"AG2R La Mondiale",NA,NA,",,0:00",2016,245
"526",32,37,1,46,36,27,"Climber","ROSA Diego   Astana Pro Team",27,"Astana Pro Team",NA,NA,",,0:00",2016,6396
"527",33,5,0,5,17,91,"GC","PORTE Richie   BMC Racing Team",31,"BMC Racing Team",NA,NA,",,0:00",2016,317
"528",34,4,0,4,42,209,"Climber","YATES AdamORICA-BikeExchange",23,"ORICA-BikeExchange",NA,NA,",,0:00",2016,282
"529",35,8,0,6,58,157,"Climber","MEINTJES Louis   Lampre - Merida",24,"Lampre - Merida",NA,NA,",,0:00",2016,418
"530",36,120,3,58,17,63,"TT","IRIZAR Markel   Trek - Segafredo",36,"Trek - Segafredo",NA,NA,",,0:00",2016,14297
"531",37,91,3,23,15,89,"Classic","VAN BAARLE Dylan   Cannondale - Drapac Pro Cycling Team",24,"Cannondale - Drapac Pro Cycling Team",NA,NA,",,0:00",2016,12195
"532",38,164,4,32,25,176,"Sprint","PETIT Adrien   Direct Energie",25,"Direct Energie",NA,NA,",,0:00",2016,16345
"533",39,159,4,30,30,33,"TT","BODNAR Maciej   Tinkoff",31,"Tinkoff",NA,NA,",,0:00",2016,16230
"534",40,150,4,26,39,187,"Sprint","SABATINI Fabio   Etixx - Quick Step",31,"Etixx - Quick Step",NA,NA,",,0:00",2016,15999
"535",41,169,4,40,24,169,"Sprint","SIEBERG Marcel   Lotto Soudal",34,"Lotto Soudal",NA,NA,",,0:00",2016,16824
"536",42,71,2,51,23,165,"Classic","GALLOPIN Tony   Lotto Soudal",28,"Lotto Soudal",NA,NA,",,0:00",2016,10283
"537",43,122,4,3,16,112,"Classic","CURVERS Roy   Team Giant - Alpecin",36,"Team Giant - Alpecin",NA,NA,",,0:00",2016,14596
"538",44,68,2,49,49,46,"Classic","GAUTIER Cyril   AG2R La Mondiale",28,"AG2R La Mondiale",NA,NA,",,0:00",2016,10189
"539",45,132,4,9,4,202,"Classic","ALBASINI Michael   ORICA-BikeExchange",35,"ORICA-BikeExchange",NA,NA,",,0:00",2016,14944
"540",46,129,4,8,7,148,"Sprint","VICIOSO Ángel   Team Katusha",39,"Team Katusha",NA,NA,",,0:00",2016,14887
"541",47,24,0,53,6,69,"GC","ZUBELDIA Haimar   Trek - Segafredo",39,"Trek - Segafredo",NA,NA,",,0:00",2016,3186
"542",48,67,2,48,2,145,"GC","LOSADA Alberto   Team Katusha",34,"Team Katusha",NA,NA,",,0:00",2016,10082
"543",49,14,0,24,59,126,"GC","REICHENBACH Sébastien   FDJ",27,"FDJ",NA,NA,",,0:00",2016,1499
"544",50,16,0,30,42,81,"GC","ROLLAND Pierre   Cannondale - Drapac Pro Cycling Team",29,"Cannondale - Drapac Pro Cycling Team",NA,NA,",,0:00",2016,1842
"545",51,34,1,27,39,65,"GC","SCHLECK Fränk   Trek - Segafredo",36,"Trek - Segafredo",NA,NA,",,0:00",2016,5259
"546",52,7,0,6,58,141,"Climber","RODRÍGUEZ Joaquim   Team Katusha",37,"Team Katusha",NA,NA,",,0:00",2016,418
"547",53,116,3,57,6,152,"Classic","ARASHIRO Yukiya   Lampre - Merida",31,"Lampre - Merida",NA,NA,",,0:00",2016,14226
"548",54,33,1,25,14,48,"GC","POZZOVIVO Domenico   AG2R La Mondiale",33,"AG2R La Mondiale",NA,NA,",,0:00",2016,5114
"549",55,21,0,47,40,131,"GC","BUCHMANN Emanuel   Bora - Argon 18",23,"Bora - Argon 18",NA,NA,",,0:00",2016,2860
"550",56,76,3,0,54,97,"GC","SCHÄR Michael   BMC Racing Team",29,"BMC Racing Team",NA,NA,",,0:00",2016,10854
"551",57,117,3,57,49,92,"GC","BOOKWALTER Brent   BMC Racing Team",32,"BMC Racing Team",NA,NA,",,0:00",2016,14269
"552",58,98,3,33,29,55,"Classic","MARTENS Paul   Team LottoNL-Jumbo",32,"Team LottoNL-Jumbo",NA,NA,",,0:00",2016,12809
"553",59,13,0,19,20,21,"Climber","ARU Fabio   Astana Pro Team",26,"Astana Pro Team",NA,NA,",,0:00",2016,1160
"554",60,171,4,51,7,105,"Sprint","EISEL Bernhard   Team Dimension Data",35,"Team Dimension Data",NA,NA,",,0:00",2016,17467
"555",61,166,4,35,6,181,"Sprint","KITTEL Marcel   Etixx - Quick Step",28,"Etixx - Quick Step",NA,NA,",,0:00",2016,16506
"556",62,145,4,22,5,38,"Sprint","TOSATTO Matteo   Tinkoff",42,"Tinkoff",NA,NA,",,0:00",2016,15725
"557",63,93,3,24,36,217,"Classic","PÉRICHON Pierre-Luc   Fortuneo - Vital Concept",29,"Fortuneo - Vital Concept",NA,NA,",,0:00",2016,12276
"558",64,100,3,34,26,166,"GC","HANSEN Adam   Lotto Soudal",35,"Lotto Soudal",NA,NA,",,0:00",2016,12866
"559",65,155,4,29,22,167,"Sprint","HENDERSON Gregory   Lotto Soudal",39,"Lotto Soudal",NA,NA,",,0:00",2016,16162
"560",66,114,3,52,50,189,"GC","VERMOTE Julien   Etixx - Quick Step",26,"Etixx - Quick Step",NA,NA,",,0:00",2016,13970
"561",67,139,4,16,57,183,"Sprint","KEISSE Iljo   Etixx - Quick Step",33,"Etixx - Quick Step",NA,NA,",,0:00",2016,15417
"562",68,41,2,0,9,182,"Classic","ALAPHILIPPE Julian   Etixx - Quick Step",24,"Etixx - Quick Step",NA,NA,",,0:00",2016,7209
"563",69,84,3,12,52,218,"GC","SØRENSEN Chris Anker   Fortuneo - Vital Concept",31,"Fortuneo - Vital Concept",NA,NA,",,0:00",2016,11572
"564",70,50,2,13,47,42,"GC","BAKELANTS Jan   AG2R La Mondiale",30,"AG2R La Mondiale",NA,NA,",,0:00",2016,8027
"565",71,20,0,42,28,49,"Climber","VUILLERMOZ Alexis   AG2R La Mondiale",28,"AG2R La Mondiale",NA,NA,",,0:00",2016,2548
"566",72,108,3,46,42,14,"GC","ERVITI Imanol   Movistar Team",32,"Movistar Team",NA,NA,",,0:00",2016,13602
"567",73,61,2,41,5,45,"GC","GASTAUER Ben   AG2R La Mondiale",28,"AG2R La Mondiale",NA,NA,",,0:00",2016,9665
"568",74,130,4,8,8,44,"Sprint","DUMOULIN Samuel   AG2R La Mondiale",35,"AG2R La Mondiale",NA,NA,",,0:00",2016,14888
"569",75,57,2,27,45,43,"GC","CHEREL Mikaël   AG2R La Mondiale",30,"AG2R La Mondiale",NA,NA,",,0:00",2016,8865
"570",76,105,3,40,9,219,"Sprint","VACHON Florian   Fortuneo - Vital Concept",31,"Fortuneo - Vital Concept",NA,NA,",,0:00",2016,13209
"571",77,69,2,50,23,13,"GC","ANACONA Winner   Movistar Team",27,"Movistar Team",NA,NA,",,0:00",2016,10223
"572",78,46,2,7,22,66,"GC","STETINA Peter   Trek - Segafredo",28,"Trek - Segafredo",NA,NA,",,0:00",2016,7642
"573",79,54,2,18,24,159,"GC","POLANC Jan   Lampre - Merida",24,"Lampre - Merida",NA,NA,",,0:00",2016,8304
"574",80,51,2,15,16,155,"GC","ĐURASEK Kristijan   Lampre - Merida",28,"Lampre - Merida",NA,NA,",,0:00",2016,8116
"575",81,146,4,23,1,215,"Sprint","FONSECA Armindo   Fortuneo - Vital Concept",27,"Fortuneo - Vital Concept",NA,NA,",,0:00",2016,15781
"576",82,90,3,21,9,213,"Classic","DELAPLACE Anthony   Fortuneo - Vital Concept",26,"Fortuneo - Vital Concept",NA,NA,",,0:00",2016,12069
"577",83,42,2,0,38,107,"Climber","PAUWELS Serge   Team Dimension Data",32,"Team Dimension Data",NA,NA,",,0:00",2016,7238
"578",84,47,2,9,49,17,"GC","IZAGIRRE Ion   Movistar Team",27,"Movistar Team",NA,NA,",,0:00",2016,7789
"579",85,26,1,3,59,25,"GC","KANGERT Tanel   Astana Pro Team",29,"Astana Pro Team",NA,NA,",,0:00",2016,3839
"580",86,23,0,52,14,111,"Climber","BARGUIL Warren   Team Giant - Alpecin",24,"Team Giant - Alpecin",NA,NA,",,0:00",2016,3134
"581",87,29,1,12,6,99,"GC","VAN GARDEREN Tejay   BMC Racing Team",27,"BMC Racing Team",NA,NA,",,0:00",2016,4326
"582",88,65,2,46,32,137,"Climber","KONRAD Patrick   Bora - Argon 18",24,"Bora - Argon 18",NA,NA,",,0:00",2016,9992
"583",89,56,2,25,45,116,"Hills","PREIDLER Georg   Team Giant - Alpecin",26,"Team Giant - Alpecin",NA,NA,",,0:00",2016,8745
"584",90,85,3,14,7,109,"TT","TEKLEHAIMANOT Daniel   Team Dimension Data",27,"Team Dimension Data",NA,NA,",,0:00",2016,11647
"585",91,45,2,6,36,96,"GC","MOINARD Amaël   BMC Racing Team",34,"BMC Racing Team",NA,NA,",,0:00",2016,7596
"586",92,128,4,6,23,134,"GC","BENEDETTI Cesare   Bora - Argon 18",28,"Bora - Argon 18",NA,NA,",,0:00",2016,14783
"587",93,88,3,19,44,133,"TT","BÁRTA Jan   Bora - Argon 18",31,"Bora - Argon 18",NA,NA,",,0:00",2016,11984
"588",94,27,1,4,25,37,"Climber","MAJKA RafałTinkoff",26,"Tinkoff",NA,NA,",,0:00",2016,3865
"589",95,152,4,28,1,85,"Classic","KOREN Kristijan   Cannondale - Drapac Pro Cycling Team",29,"Cannondale - Drapac Pro Cycling Team",NA,NA,",,0:00",2016,16081
"590",96,22,0,48,23,94,"GC","CARUSO Damiano   BMC Racing Team",28,"BMC Racing Team",NA,NA,",,0:00",2016,2903
"591",97,102,3,38,17,158,"Classic","PIBERNIK Luka   Lampre - Merida",22,"Lampre - Merida",NA,NA,",,0:00",2016,13097
"592",98,19,0,38,59,79,"Climber","PANTANO Jarlinson   IAM Cycling",27,"IAM Cycling",NA,NA,",,0:00",2016,2339
"593",99,107,3,44,54,173,"Classic","DUCHESNE Antoine   Direct Energie",24,"Direct Energie",NA,NA,",,0:00",2016,13494
"594",100,80,3,4,53,19,"TT","OLIVEIRA Nelson   Movistar Team",27,"Movistar Team",NA,NA,",,0:00",2016,11093
"595",101,39,1,55,28,136,"GC","HUZARSKI Bartosz   Bora - Argon 18",35,"Bora - Argon 18",NA,NA,",,0:00",2016,6928
"596",102,36,1,38,30,124,"GC","MORABITO Steve   FDJ",33,"FDJ",NA,NA,",,0:00",2016,5910
"597",103,127,4,6,18,122,"Sprint","BONNET William   FDJ",34,"FDJ",NA,NA,",,0:00",2016,14778
"598",104,96,3,27,15,128,"TT","ROY Jérémy   FDJ",33,"FDJ",NA,NA,",,0:00",2016,12435
"599",105,31,1,21,0,18,"Climber","MORENO Daniel   Movistar Team",34,"Movistar Team",NA,NA,",,0:00",2016,4860
"600",106,75,2,58,48,73,"TT","COPPEL Jérôme   IAM Cycling",29,"IAM Cycling",NA,NA,",,0:00",2016,10728
"601",107,55,2,21,17,198,"GC","MATÉ Luis Ángel   Cofidis, Solutions Crédits",32,"Cofidis, Solutions Crédits",NA,NA,",,0:00",2016,8477
"602",108,59,2,28,27,211,"GC","SEPÚLVEDA Eduardo   Fortuneo - Vital Concept",25,"Fortuneo - Vital Concept",NA,NA,",,0:00",2016,8907
"603",109,154,4,28,33,138,"Sprint","SCHILLINGER Andreas   Bora - Argon 18",33,"Bora - Argon 18",NA,NA,",,0:00",2016,16113
"604",110,72,2,53,10,208,"GC","PLAZA Rubén   ORICA-BikeExchange",36,"ORICA-BikeExchange",NA,NA,",,0:00",2016,10390
"605",111,38,1,50,51,205,"Hills","IMPEY Daryl   ORICA-BikeExchange",31,"ORICA-BikeExchange",NA,NA,",,0:00",2016,6651
"606",112,140,4,17,3,104,"TT","CUMMINGS Steve   Team Dimension Data",35,"Team Dimension Data",NA,NA,",,0:00",2016,15423
"607",113,44,2,6,13,98,"Classic","VAN AVERMAET Greg   BMC Racing Team",31,"BMC Racing Team",NA,NA,",,0:00",2016,7573
"608",114,119,3,58,10,206,"GC","JUUL-JENSEN Christopher   ORICA-BikeExchange",27,"ORICA-BikeExchange",NA,NA,",,0:00",2016,14290
"609",115,112,3,51,55,203,"TT","DURBRIDGE Luke   ORICA-BikeExchange",25,"ORICA-BikeExchange",NA,NA,",,0:00",2016,13915
"610",116,82,3,9,19,88,"Classic","SLAGTER Tom-Jelte   Cannondale - Drapac Pro Cycling Team",27,"Cannondale - Drapac Pro Cycling Team",NA,NA,",,0:00",2016,11359
"611",117,74,2,58,12,29,"GC","TIRALONGO Paolo   Astana Pro Team",39,"Astana Pro Team",NA,NA,",,0:00",2016,10692
"612",118,30,1,19,59,22,"GC","NIBALI Vincenzo   Astana Pro Team",31,"Astana Pro Team",NA,NA,",,0:00",2016,4799
"613",119,48,2,10,25,28,"GC","SÁNCHEZ Luis León   Astana Pro Team",32,"Astana Pro Team",NA,NA,",,0:00",2016,7825
"614",120,64,2,44,1,74,"Classic","ELMIGER Martin   IAM Cycling",37,"IAM Cycling",NA,NA,",,0:00",2016,9841
"615",121,32,1,24,38,51,"GC","KELDERMAN Wilco   Team LottoNL-Jumbo",25,"Team LottoNL-Jumbo",NA,NA,",,0:00",2016,5078
"616",122,131,4,8,22,84,"GC","HOWES Alex   Cannondale - Drapac Pro Cycling Team",28,"Cannondale - Drapac Pro Cycling Team",NA,NA,",,0:00",2016,14902
"617",123,70,2,50,49,214,"GC","FEILLU Brice   Fortuneo - Vital Concept",30,"Fortuneo - Vital Concept",NA,NA,",,0:00",2016,10249
"618",124,136,4,12,53,153,"GC","BONO Matteo   Lampre - Merida",32,"Lampre - Merida",NA,NA,",,0:00",2016,15173
"619",125,138,4,16,53,59,"Classic","WYNANTS Maarten   Team LottoNL-Jumbo",34,"Team LottoNL-Jumbo",NA,NA,",,0:00",2016,15413
"620",126,58,2,28,6,35,"GC","KIŠERLOVSKI Robert   Tinkoff",29,"Tinkoff",NA,NA,",,0:00",2016,8886
"621",127,25,0,56,33,149,"GC","ZAKARIN Ilnur   Team Katusha",26,"Team Katusha",NA,NA,",,0:00",2016,3393
"622",128,52,2,17,16,23,"GC","FUGLSANG Jakob   Astana Pro Team",31,"Astana Pro Team",NA,NA,",,0:00",2016,8236
"623",129,153,4,28,11,119,"GC","TIMMER Albert   Team Giant - Alpecin",31,"Team Giant - Alpecin",NA,NA,",,0:00",2016,16091
"624",130,147,4,23,42,47,"GC","GOUGEARD Alexis   AG2R La Mondiale",23,"AG2R La Mondiale",NA,NA,",,0:00",2016,15822
"625",131,43,2,2,53,172,"TT","CHAVANEL Sylvain   Direct Energie",37,"Direct Energie",NA,NA,",,0:00",2016,7373
"626",132,15,0,28,31,9,"GC","THOMAS Geraint   Team Sky",30,"Team Sky",NA,NA,",,0:00",2016,1711
"627",133,28,1,6,57,6,"GC","POELS Wout   Team Sky",28,"Team Sky",NA,NA,",,0:00",2016,4017
"628",134,12,0,18,51,2,"GC","HENAO Sergio   Team Sky",28,"Team Sky",NA,NA,",,0:00",2016,1131
"629",135,35,1,32,19,4,"Climber","LANDA Mikel   Team Sky",26,"Team Sky",NA,NA,",,0:00",2016,5539
"630",136,17,0,38,30,5,"Climber","NIEVE Mikel   Team Sky",32,"Team Sky",NA,NA,",,0:00",2016,2310
