Place,Tied,Name,School,Victories,Bouts,Pct,TS,TR,Ind,Gender,Weapon
23,FALSE,Anika Breker,Brown,6,23,0.261,50,97,-47,Women,Foil
24,FALSE,Alina Lee,Ohio State,2,23,0.087,63,104,-41,Women,Foil
1,FALSE,Bryce Louie,Pennsylvania,19,23,0.826,103,60,43,Men,Foil
2,FALSE,Blake Broszus,Pennsylvania,16,23,0.696,105,71,34,Men,Foil
3,TRUE,Sam Kumbla,Columbia,16,23,0.696,96,70,26,Men,Foil
3,TRUE,Daniel Zhang,Harvard,16,23,0.696,92,75,17,Men,Foil
5,FALSE,Zach Binder,Columbia,15,23,0.652,96,71,25,Men,Foil
6,FALSE,Marcello Olivares,Notre Dame,14,23,0.609,96,75,21,Men,Foil
7,FALSE,Edriss Ndiaye,Ohio State,14,23,0.609,94,76,18,Men,Foil
8,FALSE,Ziyuan Chen,Notre Dame,14,23,0.609,90,75,15,Men,Foil
9,FALSE,Jack Griffith,Air Force,14,23,0.609,94,85,9,Men,Foil
10,FALSE,James Chen,Harvard,13,23,0.565,92,73,19,Men,Foil
11,FALSE,Tit Nam Cheng,Penn State,12,23,0.522,91,85,6,Men,Foil
12,FALSE,Henry Zhang,M.I.T.,11,23,0.478,78,92,-14,Men,Foil
13,FALSE,Arwen Borowiak,Penn State,10,23,0.435,86,85,1,Men,Foil
14,FALSE,Alan Zheng,Johns Hopkins,10,23,0.435,82,86,-4,Men,Foil
15,FALSE,Ethan Um,Princeton,10,23,0.435,84,93,-9,Men,Foil
16,FALSE,Justin Vogler,Ohio State,10,23,0.435,83,95,-12,Men,Foil
17,FALSE,Adam Wong,N.Y.U.,10,23,0.435,82,96,-14,Men,Foil
18,FALSE,Elijah Onik,Boston College,10,23,0.435,80,95,-15,Men,Foil
19,FALSE,David Prilutsky,Princeton,9,23,0.391,81,90,-9,Men,Foil
20,FALSE,Sanjay Kasi,Stanford,9,23,0.391,80,91,-11,Men,Foil
21,FALSE,Farr Dickson,N.Y.U.,8,23,0.348,72,92,-20,Men,Foil
22,FALSE,Andy Zhang,M.I.T.,7,23,0.304,65,98,-33,Men,Foil
23,FALSE,Jaewon Jang,Air Force,5,23,0.217,55,104,-49,Men,Foil
24,FALSE,Scott Lao,U.C. San Diego,4,23,0.174,62,106,-44,Men,Foil
1,FALSE,Emily Vermeule,Harvard,16,23,0.696,104,75,29,Women,Epee
2,FALSE,Tierna Oxenreider,Columbia/Barnard,16,23,0.696,82,57,25,Women,Epee
3,TRUE,Ketki Ketkar,Cornell,17,23,0.739,94,80,14,Women,Epee
3,TRUE,Nicole Feygin,St. John's,16,23,0.696,101,74,27,Women,Epee
5,FALSE,Montserrat Viveros,Ohio State,15,23,0.652,80,53,27,Women,Epee
6,FALSE,Isabella Chin,Harvard,14,23,0.609,87,72,15,Women,Epee
7,FALSE,Ariana Rausch,Princeton,14,23,0.609,90,79,11,Women,Epee
8,FALSE,Mina Yamanaka,Columbia/Barnard,12,23,0.522,91,86,5,Women,Epee
9,FALSE,Jessica Lin,Princeton,12,23,0.522,90,86,4,Women,Epee
10,FALSE,Grace Hu,Pennsylvania,12,23,0.522,82,81,1,Women,Epee
11,FALSE,Kateryna Chorniy,Penn State,11,23,0.478,88,85,3,Women,Epee
12,FALSE,Irene Yeu,Stanford,11,23,0.478,75,75,0,Women,Epee
13,FALSE,Christina Watrall,Air Force,11,23,0.478,93,94,-1,Women,Epee
14,FALSE,Jocelyn Ratzlaff,Air Force,11,23,0.478,77,86,-9,Women,Epee
15,FALSE,Renee Zuhars,U.C. San Diego,10,23,0.435,86,91,-5,Women,Epee
16,FALSE,Amanda Pirkowski,Notre Dame,10,23,0.435,80,85,-5,Women,Epee
17,FALSE,Yeva Mazur,Ohio State,10,23,0.435,77,85,-8,Women,Epee
18,FALSE,Michaela Joyce,Notre Dame,10,23,0.435,80,89,-9,Women,Epee
19,FALSE,Amanda O'Donnell,Yale,10,23,0.435,83,93,-10,Women,Epee
20,FALSE,Jaclyn Khrol,Penn State,10,23,0.435,85,97,-12,Women,Epee
21,FALSE,Karen Wang,Northwestern,10,23,0.435,83,97,-14,Women,Epee
22,FALSE,Rachel Kowalsky,Duke,8,23,0.348,69,97,-28,Women,Epee
23,FALSE,Elisa Treglia,St. John's,7,23,0.304,75,100,-25,Women,Epee
24,FALSE,Alexa Drovetsky,Yale,3,23,0.13,69,104,-35,Women,Epee
1,FALSE,Tristan Szapary,Princeton,16,23,0.696,98,71,27,Men,Epee
2,FALSE,Jonathan Hamilton-Meikle,Notre Dame,16,23,0.696,105,78,27,Men,Epee
3,TRUE,Henry Lawson,Harvard,17,23,0.739,99,69,30,Men,Epee
3,TRUE,Allen Marakov,Duke,17,23,0.739,107,80,27,Men,Epee
5,FALSE,Justin Haddad,Columbia,16,23,0.696,95,77,18,Men,Epee
6,FALSE,Mihir Kumashi,Harvard,16,23,0.696,97,80,17,Men,Epee
7,FALSE,Paul Veltrup,Ohio State,15,23,0.652,97,81,16,Men,Epee
8,FALSE,Paul Fortin,St. John's,15,23,0.652,91,78,13,Men,Epee
9,FALSE,Rico Braun,U.I.W.,14,23,0.609,91,82,9,Men,Epee
10,FALSE,Theodore Vinnitchouk,Yale,13,23,0.565,97,86,11,Men,Epee
11,FALSE,Tingwei Xu,Penn State,12,23,0.522,84,78,6,Men,Epee
12,FALSE,Joey Wu,Pennsylvania,11,23,0.478,89,91,-2,Men,Epee
