Team,Triples,Triples_Per_Game
Michigan St. (Big Ten),5,0.10
San Diego St. (Mountain West),5,0.10
Butler (Big East),5,0.10
Army West Point (Patriot),5,0.09
Georgia St. (Sun Belt),5,0.09
James Madison (Sun Belt),5,0.09
Utah Valley (WAC),5,0.09
A&M-Corpus Christi (Southland),4,0.09
St. Bonaventure (Atlantic 10),4,0.09
North Florida (ASUN),5,0.09
SIUE (OVC),5,0.09
Southeast Mo. St. (OVC),5,0.09
Detroit Mercy (Horizon),4,0.09
California (Pac-12),5,0.09
Alcorn (SWAC),4,0.09
East Carolina (AAC),5,0.09
Eastern Ill. (OVC),5,0.09
Maine (America East),4,0.09
Yale (Ivy League),4,0.09
Creighton (Big East),5,0.09
Miami (OH) (MAC),5,0.09
Ark.-Pine Bluff (SWAC),4,0.08
FDU (NEC),4,0.08
Niagara (MAAC),4,0.08
Seton Hall (Big East),4,0.08
Illinois (Big Ten),4,0.08
Mercer (SoCon),4,0.08
Merrimack (NEC),4,0.08
Pacific (WCC),4,0.08
Illinois St. (MVC),4,0.07
UIC (MVC),4,0.07
Massachusetts (Atlantic 10),4,0.07
UConn (Big East),4,0.07
Villanova (Big East),4,0.07
UMass Lowell (America East),3,0.07
Iona (MAAC),3,0.06
Buffalo (MAC),3,0.06
Holy Cross (Patriot),3,0.06
Lipscomb (ASUN),3,0.06
Coastal Carolina (Sun Belt),3,0.05
North Dakota (Summit League),3,0.05
St. John's (NY) (Big East),3,0.05
South Carolina St. (MEAC),2,0.05
Hawaii (Big West),2,0.04
Purdue Fort Wayne (Horizon),2,0.04
Valparaiso (MVC),2,0.04
ETSU (SoCon),2,0.04
Indiana St. (MVC),2,0.04
Memphis (AAC),2,0.04
Jacksonville (ASUN),2,0.04
Presbyterian (Big South),2,0.04
Central Conn. St. (NEC),1,0.02
Norfolk St. (MEAC),1,0.02
Ga. Southern (Sun Belt),1,0.02
Akron (MAC),1,0.02
USC Upstate (Big South),1,0.02
UTSA (AAC),1,0.02
